"script_path","script_type","switching_only","uses_root_artifacts","uses_run_artifacts","cross_pipeline_dependency","depends_on_old_tables","hidden_input_risk","ready_for_minimal_migration","requires_logic_change","notes"
"Switching/analysis/run_kappa2_opening_test.m","SCRIPT_ANALYSIS","YES","YES","NO","NO","YES","YES","YES","NO","reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_kappa2_operational_signature_test.m","FUNCTION_ANALYSIS","NO","YES","NO","YES","YES","YES","NO","YES","contains Aging dependency; reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_kappa2_physical_necessity.m","SCRIPT_ANALYSIS","NO","YES","NO","YES","YES","YES","NO","YES","contains Relaxation dependency; reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_minimal_canonical.m","SCRIPT_ANALYSIS","NO","NO","YES","YES","NO","YES","NO","YES","contains Aging dependency; uses run_dir_pointer.txt linkage"
"Switching/analysis/run_parameter_robustness_switching_canonical.m","FUNCTION_ANALYSIS","YES","YES","NO","NO","YES","YES","YES","NO","reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_phi_asymmetry_link.m","FUNCTION_ANALYSIS","NO","YES","YES","YES","YES","YES","NO","YES","contains Aging dependency; reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_phi_even_deformation_test.m","FUNCTION_ANALYSIS","NO","YES","YES","YES","YES","YES","NO","YES","contains Aging dependency; reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_phi_physical_identification.m","FUNCTION_ANALYSIS","NO","YES","YES","YES","NO","YES","NO","YES","contains Aging dependency; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_phi_physical_structure_test.m","FUNCTION_ANALYSIS","NO","YES","YES","YES","YES","YES","NO","YES","contains Aging dependency; reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_phi_pt_independence_test.m","FUNCTION_ANALYSIS","NO","YES","YES","YES","YES","YES","NO","YES","contains Aging dependency; reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_phi_pt_restricted_deformation.m","FUNCTION_ANALYSIS","NO","YES","YES","YES","YES","YES","NO","YES","contains Aging dependency; reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_phi_pt_restricted_deformation_5_1.m","FUNCTION_ANALYSIS","NO","NO","YES","YES","YES","YES","NO","YES","contains Aging dependency; reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_phi_pt_restricted_deformation_stable.m","FUNCTION_ANALYSIS","NO","NO","YES","YES","NO","YES","NO","YES","contains Aging dependency; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_phi_temperature_derivative_test.m","FUNCTION_ANALYSIS","NO","YES","YES","YES","YES","YES","NO","YES","contains Aging dependency; reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_phi1_observable_phi2_driver_test.m","SCRIPT_ANALYSIS","NO","YES","NO","YES","YES","YES","NO","YES","contains Aging dependency; reads root-level tables/*.csv via readtable/load"
"Switching/analysis/run_phi1_phi2_observable_closure_fixed.m","SCRIPT_ANALYSIS","YES","YES","NO","NO","YES","YES","YES","NO","reads root-level tables/*.csv via readtable/load"
"Switching/analysis/run_phi1_phi2_observable_closure_test.m","SCRIPT_ANALYSIS","YES","YES","NO","NO","YES","YES","YES","NO","reads root-level tables/*.csv via readtable/load"
"Switching/analysis/run_phi2_deformation_structure_test.m","SCRIPT_ANALYSIS","NO","YES","NO","YES","NO","YES","NO","YES","contains Aging dependency; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_phi2_extended_deformation_basis_test.m","SCRIPT_ANALYSIS","NO","YES","NO","YES","YES","YES","NO","YES","contains Aging dependency; reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_phi2_kappa2_canonical_residual_mode.m","SCRIPT_ANALYSIS","NO","YES","NO","YES","NO","YES","NO","YES","contains Aging dependency; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_phi2_second_order_deformation_test.m","SCRIPT_ANALYSIS","NO","YES","NO","YES","NO","YES","NO","YES","contains Aging dependency; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_phi2_shape_physics_test.m","SCRIPT_ANALYSIS","NO","YES","NO","YES","NO","YES","NO","YES","contains Aging dependency"
"Switching/analysis/run_prediction_falsification_test.m","FUNCTION_ANALYSIS","NO","YES","YES","YES","YES","YES","NO","YES","contains Aging dependency; contains Relaxation dependency; uses cross_experiment run context; reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_pt_deformation_mode_test.m","FUNCTION_ANALYSIS","NO","YES","YES","YES","YES","YES","NO","YES","contains Aging dependency; reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_pt_energy_extraction_robustness_audit.m","FUNCTION_ANALYSIS","NO","NO","YES","YES","YES","NO","NO","YES","contains Aging dependency; reads root-level tables/*.csv via readtable/load"
"Switching/analysis/run_PT_kappa_relaxation_mapping.m","SCRIPT_ANALYSIS","NO","YES","NO","YES","YES","YES","NO","YES","contains Relaxation dependency; reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_PT_to_relaxation_mapping.m","SCRIPT_ANALYSIS","NO","YES","NO","YES","YES","YES","NO","YES","contains Relaxation dependency; reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_pt_width_spread_observable_analysis.m","FUNCTION_ANALYSIS","NO","YES","YES","YES","YES","YES","NO","YES","contains Aging dependency; reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_relaxation_deep_search.m","SCRIPT_ANALYSIS","NO","YES","NO","YES","YES","YES","NO","YES","contains Relaxation dependency; reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_relaxation_extraction_from_known_runs.m","SCRIPT_ANALYSIS","NO","YES","NO","YES","YES","YES","NO","YES","contains Relaxation dependency; reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_relaxation_outlier_audit.m","SCRIPT_ANALYSIS","NO","YES","NO","YES","YES","YES","NO","YES","contains Relaxation dependency; reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_relaxation_outlier_audit_no_toolbox.m","SCRIPT_ANALYSIS","NO","YES","NO","YES","YES","YES","NO","YES","contains Relaxation dependency; reads root-level tables/*.csv via readtable/load"
"Switching/analysis/run_residual_decomposition_22k_failure_audit.m","FUNCTION_ANALYSIS","NO","YES","YES","YES","YES","YES","NO","YES","contains Aging dependency; reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_residual_rank2_audit.m","FUNCTION_ANALYSIS","NO","YES","NO","YES","YES","YES","NO","YES","contains Relaxation dependency; reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_residual_sector_robustness.m","FUNCTION_ANALYSIS","NO","YES","YES","YES","NO","YES","NO","YES","contains Aging dependency; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_residual_temperature_structure_test.m","FUNCTION_ANALYSIS","NO","YES","YES","YES","YES","YES","NO","YES","contains Aging dependency; reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_switching_peak_jump_audit.m","FUNCTION_ANALYSIS","NO","YES","YES","YES","NO","YES","NO","YES","contains Aging dependency; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_tail_ablation_test.m","FUNCTION_ANALYSIS","NO","YES","YES","YES","NO","YES","NO","YES","contains Aging dependency; contains Relaxation dependency; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_trajectory_geometry_aging_test.m","SCRIPT_ANALYSIS","NO","YES","NO","YES","YES","YES","NO","YES","contains Aging dependency; reads root-level tables/*.csv via readtable/load"
"Switching/analysis/run_validate_relaxation_dataset.m","SCRIPT_ANALYSIS","NO","YES","NO","YES","YES","YES","NO","YES","contains Relaxation dependency; reads root-level tables/*.csv via readtable/load"
"Switching/analysis/run_width_decomposition_test.m","SCRIPT_ANALYSIS","YES","YES","NO","NO","YES","PARTIAL","YES","NO","reads root-level tables/*.csv via readtable/load"
"Switching/analysis/run_width_interaction_closure_test.m","SCRIPT_ANALYSIS","YES","YES","NO","NO","NO","YES","YES","NO","contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/run_width_interaction_closure_test_v2.m","SCRIPT_ANALYSIS","YES","YES","NO","NO","YES","YES","YES","NO","reads root-level tables/*.csv via readtable/load"
"Switching/analysis/switching_a1_vs_curvature_test.m","FUNCTION_ANALYSIS","NO","YES","YES","YES","NO","YES","NO","YES","contains Aging dependency; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/switching_alignment_audit.m","SCRIPT_ANALYSIS","NO","YES","YES","YES","NO","NO","NO","YES","contains Aging dependency"
"Switching/analysis/switching_dynamic_shape_geometry_match_analysis.m","FUNCTION_ANALYSIS","NO","YES","YES","YES","NO","YES","NO","YES","contains Aging dependency; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/switching_dynamic_shape_mode_analysis.m","FUNCTION_ANALYSIS","NO","YES","YES","YES","NO","YES","NO","YES","contains Aging dependency; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/switching_effective_observables.m","FUNCTION_ANALYSIS","NO","YES","YES","YES","NO","YES","NO","YES","contains Aging dependency; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/switching_energy_mapping_analysis.m","FUNCTION_ANALYSIS","NO","YES","YES","YES","YES","NO","NO","YES","contains Aging dependency; reads root-level tables/*.csv via readtable/load"
"Switching/analysis/switching_energy_scale_collapse_filtered.m","SCRIPT_ANALYSIS","NO","YES","YES","YES","NO","YES","NO","YES","contains Aging dependency; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/switching_full_scaling_collapse.m","SCRIPT_ANALYSIS","NO","YES","YES","YES","NO","YES","NO","YES","contains Aging dependency; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/switching_full_scaling_collapse_figure_repair.m","SCRIPT_ANALYSIS","NO","YES","YES","YES","NO","YES","NO","YES","contains Aging dependency; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/switching_geometry_diagnostics.m","SCRIPT_ANALYSIS","NO","YES","YES","YES","NO","YES","NO","YES","contains Aging dependency; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/switching_mechanism_followup.m","SCRIPT_ANALYSIS","NO","NO","NO","YES","NO","PARTIAL","NO","YES","contains Aging dependency"
"Switching/analysis/switching_mechanism_survey.m","SCRIPT_ANALYSIS","NO","NO","NO","YES","NO","PARTIAL","NO","YES","contains Aging dependency"
"Switching/analysis/switching_mode23_analysis.m","SCRIPT_ANALYSIS","NO","NO","YES","YES","NO","PARTIAL","NO","YES","contains Aging dependency"
"Switching/analysis/switching_observable_basis_test.m","SCRIPT_ANALYSIS","NO","NO","NO","YES","NO","PARTIAL","NO","YES","contains Aging dependency"
"Switching/analysis/switching_observable_stability_survey.m","SCRIPT_ANALYSIS","NO","NO","YES","YES","NO","NO","NO","YES","contains Aging dependency"
"Switching/analysis/switching_residual_collapse_verification_analysis.m","FUNCTION_ANALYSIS","NO","YES","YES","YES","NO","YES","NO","YES","contains Aging dependency; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/switching_residual_decomposition_analysis.m","FUNCTION_ANALYSIS","NO","YES","YES","YES","NO","YES","NO","YES","contains Aging dependency; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/switching_ridge_curvature_analysis.m","FUNCTION_ANALYSIS","NO","YES","YES","YES","YES","YES","NO","YES","contains Aging dependency; contains Relaxation dependency; reads root-level tables/*.csv via readtable/load; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/switching_ridge_susceptibility_analysis.m","FUNCTION_ANALYSIS","NO","YES","YES","YES","NO","YES","NO","YES","contains Aging dependency; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/switching_ridge_susceptibility_test.m","FUNCTION_ANALYSIS","NO","YES","YES","YES","NO","YES","NO","YES","contains Aging dependency; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/switching_second_coordinate_duel.m","SCRIPT_ANALYSIS","NO","NO","NO","YES","NO","PARTIAL","NO","YES","contains Aging dependency"
"Switching/analysis/switching_second_structural_observable_search.m","SCRIPT_ANALYSIS","NO","NO","NO","YES","NO","PARTIAL","NO","YES","contains Aging dependency"
"Switching/analysis/switching_shape_rank_analysis.m","SCRIPT_ANALYSIS","NO","NO","NO","YES","NO","PARTIAL","NO","YES","contains Aging dependency"
"Switching/analysis/switching_translation_mode_test.m","FUNCTION_ANALYSIS","NO","YES","YES","YES","NO","YES","NO","YES","contains Aging dependency; contains hardcoded run_YYYY_MM_DD_HHMMSS id"
"Switching/analysis/switching_XI_Xshape_analysis.m","SCRIPT_ANALYSIS","NO","NO","YES","YES","NO","PARTIAL","NO","YES","contains Aging dependency"
