"file","line","issue_text","physics_reclassification"
"Aging/CANONICAL_IMPLEMENTATION_SUMMARY.md","55","- Supports 5 selector modes (half_range_primary, symmetric_consensus, model_based, direct_only, unresolved_flag)","UNCLEAR"
"Aging/CANONICAL_IMPLEMENTATION_SUMMARY.md","213","- **`unsupported`** - Failed validation, no fallback possible","REAL_PROBLEM"
"Aging/CANONICAL_IMPLEMENTATION_SUMMARY.md","285","5. **`unresolved_flag`** - Explicitly mark unresolved","UNCLEAR"
"Aging/CANONICAL_IMPLEMENTATION_SUMMARY.md","512","- unresolved_flag âœ“","UNCLEAR"
"Aging/CANONICAL_IMPLEMENTATION_SUMMARY.md","585","4. **Status Clarity**: Explicit support_status (not silent failure)","REAL_PROBLEM"
"Aging/DELIVERY_SUMMARY.md","26","- âœ“ Robust to noise and edge artifacts","REAL_PROBLEM"
"Aging/DELIVERY_SUMMARY.md","27","- âœ“ Full error handling with status codes","REAL_PROBLEM"
"Aging/DELIVERY_SUMMARY.md","39","- `status` - 'ok' or error code","REAL_PROBLEM"
"Aging/DELIVERY_SUMMARY.md","66","- `.baseline_status` - 'ok' or error code","REAL_PROBLEM"
"Aging/DELIVERY_SUMMARY.md","82","- Reduced maintenance burden","REAL_PROBLEM"
"Aging/DELIVERY_SUMMARY.md","98","- Validates: NaN counts, valid runs, plateau statistics","REAL_PROBLEM"
"Aging/DELIVERY_SUMMARY.md","233","- Help (common errors)","REAL_PROBLEM"
"Aging/DELIVERY_SUMMARY.md","275","| 2. Implementation | âœ… COMPLETE | All code created, 0 lint errors |","REAL_PROBLEM"
"Aging/DELIVERY_SUMMARY.md","285","- âœ“ 0 MATLAB syntax errors (all files lint-checked)","REAL_PROBLEM"
"Aging/DELIVERY_SUMMARY.md","287","- âœ“ Full error handling (6+ failure modes handled)","REAL_PROBLEM"
"Aging/DELIVERY_SUMMARY.md","362","**Maintenance**: Unified debug & production code paths ensure long-term maintainability","REAL_PROBLEM"
"Aging/DEPLOYMENT_CHECKLIST.md","13","- [x] MATLAB lint validation: 0 syntax errors across all files","REAL_PROBLEM"
"Aging/DEPLOYMENT_CHECKLIST.md","15","- [x] Error handling with status codes for all failure modes","REAL_PROBLEM"
"Aging/DEPLOYMENT_CHECKLIST.md","121","- [x] All code compiles without errors","REAL_PROBLEM"
"Aging/DEPLOYMENT_CHECKLIST.md","182","- Robust to noise and edge artifacts","REAL_PROBLEM"
"Aging/DEPLOYMENT_CHECKLIST.md","183","- Full error handling with status codes","REAL_PROBLEM"
"Aging/DEPLOYMENT_CHECKLIST.md","251","- ""All NaN in diagnostics"" â†’ Check `cfg.useRobustBaseline = true` is set","REAL_PROBLEM"
"Aging/docs/CANONICAL_TWO_TIME_DEFINITION.md","32","- `selector_mode` : 'half_range_primary' | 'symmetric_consensus' | 'model_based' | 'direct_only' | 'unresolved_flag'","UNCLEAR"
"Aging/docs/CANONICAL_TWO_TIME_DEFINITION.md","158","| **Sign Handling** | Lost early (always abs) | Preserved as `FM_step_raw` | Inconsistent |","UNCLEAR"
"Aging/docs/CANONICAL_TWO_TIME_DEFINITION.md","159","| **Window Definition** | Exclusive bounds `(T > lo) & (T < hi)` | Inclusive `T >= lo & T <= hi` | Inconsistent |","UNCLEAR"
"Aging/docs/CANONICAL_TWO_TIME_DEFINITION.md","176","5. **`unresolved_flag`** - Explicitly mark unresolved (for missing data)","REAL_PROBLEM"
"Aging/docs/CANONICAL_TWO_TIME_DEFINITION.md","186","- **`unsupported`** - Failed validation, no fallback","REAL_PROBLEM"
"Aging/docs/stage4_refactor_verification.md","93","5. Bootstrap error estimation (500 iterations)","REAL_PROBLEM"
"Aging/docs/state_flow.md","221","- Window geometry: `dipWindow`, `fmWindowLeft`, `fmWindowRight`, `noiseWindow`","REAL_PROBLEM"
"Aging/docs/state_flow.md","222","- Signal quality: SNR, RMS noise","REAL_PROBLEM"
"Aging/docs/state_flow.md","253","- `fit_RMSE` - Root mean square error","REAL_PROBLEM"
"Aging/docs/state_flow.md","265","- `fit_RMSE` - Root mean square error","REAL_PROBLEM"
"Aging/docs/state_flow.md","554","- `AFM_amp_err` - Amplitude error","REAL_PROBLEM"
"Aging/docs/state_flow.md","556","- `AFM_area_err` - Area error","REAL_PROBLEM"
"Aging/docs/state_flow.md","561","- `FM_step_err` - Step error","REAL_PROBLEM"
"Aging/docs/state_flow.md","631","- Window geometries, SNR, noise RMS","REAL_PROBLEM"
"Aging/docs/state_flow.md","707","| `fit_RMSE` | 5 | - | scalar | Root mean square error |","REAL_PROBLEM"
"Aging/docs/state_flow.md","735","- `'height'` mode â†’ `AFM_amp` and `AFM_amp_err` are set; `AFM_area` fields are NaN","REAL_PROBLEM"
"Aging/docs/state_flow.md","736","- `'area'` mode â†’ `AFM_area` and `AFM_area_err` are set; `AFM_amp` fields are NaN","REAL_PROBLEM"
"Aging/docs/state_flow.md","745","| 1.1 | 2026-03-04 | Added Field Origin Table, corrected field names, added missing fields |","REAL_PROBLEM"
"Aging/docs/state_flow.md","755","âœ… **No missing fields in documentation**","REAL_PROBLEM"
"Aging/docs/state_flow.md","760","**Added missing fields:**","REAL_PROBLEM"
"Aging/docs/state_flow.md","770","**Added missing fields:**","REAL_PROBLEM"
"Aging/docs/state_flow.md","785","**Added missing fields:**","REAL_PROBLEM"
"Aging/docs/state_flow.md","788","- Errors: `AFM_amp_err`, `AFM_area_err`, `FM_step_err`","REAL_PROBLEM"
"Aging/docs/state_flow.md","799","**Added missing fields:**","REAL_PROBLEM"
"Aging/docs/state_flow.md","822","- Height mode: `AFM_amp`, `AFM_amp_err` (meaningful), `AFM_area`, `AFM_area_err` (NaN)","REAL_PROBLEM"
"Aging/docs/state_flow.md","823","- Area mode: `AFM_area`, `AFM_area_err` (meaningful), `AFM_amp`, `AFM_amp_err` (NaN)","REAL_PROBLEM"
"Aging/ENHANCED_DIAGNOSTICS_SUMMARY.md","58","- NaN handling (displays ""N/A"")","REAL_PROBLEM"
"Aging/ENHANCED_DIAGNOSTICS_SUMMARY.md","205","Limited to avoid noise at low T and transitions at high T","REAL_PROBLEM"
"Aging/MANIFEST.md","16","- Full error handling with 6+ status codes","REAL_PROBLEM"
"Aging/MANIFEST.md","18","- Lint verified: 0 errors","REAL_PROBLEM"
"Aging/MANIFEST.md","24","- Lint verified: 0 errors","REAL_PROBLEM"
"Aging/MANIFEST.md","30","- Lint verified: 0 errors","REAL_PROBLEM"
"Aging/MANIFEST.md","109","- Error handling flow","REAL_PROBLEM"
"Aging/MANIFEST.md","125","- **MATLAB lint errors**: 0 âœ…","REAL_PROBLEM"
"Aging/MANIFEST.md","164","âœ… **Error handling** (6+ failure modes)","REAL_PROBLEM"
"Aging/MANIFEST.md","190","2. Review: Common error table","REAL_PROBLEM"
"Aging/MANIFEST.md","263","- âœ… Error handling (6+ status codes)","REAL_PROBLEM"
"Aging/MANIFEST.md","266","- âœ… 0 MATLAB lint errors","REAL_PROBLEM"
"Aging/MANIFEST.md","285","- Full error handling","REAL_PROBLEM"
"Aging/MANIFEST.md","311","| Implementation | âœ… DONE | Code complete, lint 0 errors |","REAL_PROBLEM"
"Aging/MANIFEST.md","361","- [x] Regression tests pass (0 failures)","REAL_PROBLEM"
"Aging/MANIFEST.md","365","- [x] Error handling implemented (6+ codes)","REAL_PROBLEM"
"Aging/MANIFEST.md","376","| MATLAB Lint Errors | 0 | 0 | âœ… PASS |","REAL_PROBLEM"
"Aging/PHYSICS_CONTEXT_ARCHITECTURE.md","292","- Warnings and errors","REAL_PROBLEM"
"Aging/PHYSICS_CONTEXT_ARCHITECTURE.md","324","- Below 10 K: Too close to measurement noise","REAL_PROBLEM"
"Aging/PHYSICS_CONTEXT_ARCHITECTURE.md","385","âœ“ Optional physics extraction â€” graceful degradation if fields missing","REAL_PROBLEM"
"Aging/PHYSICS_CONTEXT_ARCHITECTURE.md","404","physicsContext.mynewparam = NaN;  % Handle missing","REAL_PROBLEM"
"Aging/PHYSICS_CONTEXT_ARCHITECTURE.md","435","**Problem:** Fields show ""N/A"" or NaN","REAL_PROBLEM"
"Aging/PHYSICS_CONTEXT_ARCHITECTURE.md","440","3. Verify result.R_squared etc are not NaN","REAL_PROBLEM"
"Aging/PHYSICS_DIAGNOSTICS_GUIDE.md","75","â€¢ Dominance:    M_dom     = 1 - A(T)","REAL_PROBLEM"
"Aging/PHYSICS_DIAGNOSTICS_GUIDE.md","219","### 3. Dominance Mechanism","REAL_PROBLEM"
"Aging/PHYSICS_DIAGNOSTICS_GUIDE.md","252","- **Low temperatures:** Noise and measurement artifacts","REAL_PROBLEM"
"Aging/PHYSICS_DIAGNOSTICS_GUIDE.md","317","- Verify data quality and noise levels","REAL_PROBLEM"
"Aging/QUICK_REFERENCE.md","228","### Problem: Each run overwrites diagnostics","UNCLEAR"
"Aging/QUICK_START.md","50",".baseline_status      - 'ok' or error code","REAL_PROBLEM"
"Aging/QUICK_START.md","107","| >10% NaN values | Not enough plateau points | Reduce `plateau_nPoints` or increase `dip_margin_K` |","REAL_PROBLEM"
"Aging/QUICK_START.md","161","**Error message: ""No real Aging data found""**","REAL_PROBLEM"
"Aging/QUICK_START.md","167","**Error message: ""Insufficient plateau points""**","REAL_PROBLEM"
"Aging/QUICK_START.md","174","**Error message: ""Plateau overlap dip""**","REAL_PROBLEM"
"Aging/README.md","55","state.stage8.SSE_initial      % Initial sum of squared errors","REAL_PROBLEM"
"Aging/README.md","56","state.stage8.SSE_final        % Final sum of squared errors","REAL_PROBLEM"
"Aging/README.md","95","- **Logistic gating**: Smooth transition from AFM to FM dominance with current","REAL_PROBLEM"
"Aging/REAL_DATA_SETUP_GUIDE.md","185","NaN in FM_step: 0/48","REAL_PROBLEM"
"Aging/REAL_DATA_SETUP_GUIDE.md","186","NaN in Dip_area: 0/48","REAL_PROBLEM"
"Aging/REAL_DATA_SETUP_GUIDE.md","231","- Dip location errors (|Tmin - Tp| > 2 K) â†’ May indicate poor fit or data quality","REAL_PROBLEM"
"Aging/REAL_DATA_SETUP_GUIDE.md","234","- Large FM variation (>30%) â†’ Noise or baseline artifacts","REAL_PROBLEM"
"Aging/REAL_DATA_SETUP_GUIDE.md","236","- >10% NaN in diagnostics â†’ May need parameter tuning","REAL_PROBLEM"
"Aging/REAL_DATA_SETUP_GUIDE.md","245","cfg.dropLowestN = 1;           % Default. Increase if edge noise is high","REAL_PROBLEM"
"Aging/REAL_DATA_SETUP_GUIDE.md","260","### Problem: ""Stage 1 load failed"" or ""No .dat files found""","REAL_PROBLEM"
"Aging/REAL_DATA_SETUP_GUIDE.md","267","### Problem: ""All NaN in baseline diagnostics""","REAL_PROBLEM"
"Aging/ROBUST_BASELINE_IMPLEMENTATION_SUMMARY.md","10","- âœ… Passes lint validation (0 syntax errors, all files)","REAL_PROBLEM"
"Aging/ROBUST_BASELINE_IMPLEMENTATION_SUMMARY.md","88","- Validates: NaN counts, valid run statistics, plateau ranges","REAL_PROBLEM"
"Aging/ROBUST_BASELINE_IMPLEMENTATION_SUMMARY.md","138","| **Syntax Validation** | âœ… PASS (0 errors) | MATLAB lint on all 8 files |","REAL_PROBLEM"
"Aging/ROBUST_BASELINE_IMPLEMENTATION_SUMMARY.md","140","| **Error Handling** | âœ… PASS | Status codes for all failure modes |","REAL_PROBLEM"
"Aging/ROBUST_BASELINE_IMPLEMENTATION_SUMMARY.md","276","- All files: 0 lint errors","REAL_PROBLEM"
"Aging/ROBUST_BASELINE_IMPLEMENTATION_SUMMARY.md","337","- If edge noise: increase `dropLowestN` (try 2-3)","REAL_PROBLEM"
"Aging/STATUS.md","57","âœ“ **Edge handling** â€” Robust aggregation (median) handles noise","REAL_PROBLEM"
"Aging/STATUS.md","60","âœ“ **Error handling** â€” 6+ failure modes with status codes","REAL_PROBLEM"
"Aging/STATUS.md","65","- **0 MATLAB lint errors** â€” All files validated","REAL_PROBLEM"
"Aging/STATUS.md","128","- **Robust aggregation**: Median handles outliers & noise","REAL_PROBLEM"
"Aging/STATUS.md","141","- **Status codes**: 6+ error codes for diagnosis","REAL_PROBLEM"
"Aging/STATUS.md","192","| Lint Validation | âœ… 0 ERRORS | Today |","REAL_PROBLEM"
"Aging/STATUS.md","230","- 0 MATLAB syntax errors","REAL_PROBLEM"
"Aging/STATUS.md","242","- Error handling documented","REAL_PROBLEM"
"Aging/STATUS.md","277","- [x] Error handling implemented","REAL_PROBLEM"
"Aging/verification/VERIFICATION_REPORT.md","16","âœ… Passes all lint checks (0 syntax errors)","REAL_PROBLEM"
"Aging/verification/VERIFICATION_REPORT.md","65","| Error fallback handling | 275-283 | âœ… Returns NaN + status on failure |","REAL_PROBLEM"
"Aging/verification/VERIFICATION_REPORT.md","113","- Realistic noise and aging growth (dip depth âˆ log(wait_time))","REAL_PROBLEM"
"Aging/verification/VERIFICATION_REPORT.md","122","- No unexpected NaNs in required fields","REAL_PROBLEM"
"Aging/verification/VERIFICATION_REPORT.md","215","| File | Status | Errors |","REAL_PROBLEM"
"Aging/verification/VERIFICATION_REPORT.md","234","âœ… Missing fields automatically filled by `estimateRobustBaseline`","REAL_PROBLEM"
"Aging/verification/VERIFICATION_REPORT.md","241","- âœ… Error handling with informative status codes","REAL_PROBLEM"
"Aging/verification/VERIFICATION_REPORT.md","243","- âœ… Robust NaN handling throughout","REAL_PROBLEM"
"Aging/verification/VERIFICATION_REPORT.md","266","| Very small dataset (<20 points) | Returns NaN + status | âœ… Safe |","REAL_PROBLEM"
"Aging/verification/VERIFICATION_REPORT.md","267","| Single measurement temperature | Returns NaN + 'insufficient_points' | âœ… Safe |","REAL_PROBLEM"
"Aging/verification/VERIFICATION_REPORT.md","269","| All points in dip window | Plateau mask empty â†’ status error | âœ… Safe |","REAL_PROBLEM"
"archive/invalid/reports/aging_alpha_closure_report.md","5","This run tests whether the remaining aging closure error, especially near the **22â€“24 K** transition, is captured by an **alpha-derived reorganization term** beyond **R ~ g(P_T) + Îºâ‚** (implemented with `spread90_50` for `g(P_T)`), under **strict leave-one-out cross-validation (LOOCV)** on a **common temperature overlap**.","REAL_PROBLEM"
"archive/invalid/reports/aging_alpha_closure_report.md","39","Out-of-sample LOOCV supports **abs(alpha)** (and full **alpha**) as strong linear predictors beyond **g(P_T) + kappa1**, including lower errors in the **22â€“24 K** band in this audit. The specific **alpha_res** / **|alpha_res|** pair does **not** beat the reference on RMSE here, so the â€œresidualizedâ€ geometry split is **not** the predictive upgradeâ€”**signed alpha magnitude** is.","REAL_PROBLEM"
"archive/invalid/reports/aging_hermetic_closure_report.md","6","Does a **single minimal** extension to `R ~ g(P_T) + kappa1 + alpha` (implemented with `spread90_50` for `g(P_T)`) close LOOCV error globally and in **22-24 K**?","REAL_PROBLEM"
"archive/invalid/reports/aging_hermetic_closure_report.md","38","3. Remaining error: inspect residual vs T (baseline vs best); systematic banding implies structure.","REAL_PROBLEM"
"archive/invalid/reports/aging_kappa_comparison.md","17","| R ~ 1 (baseline) | 51.5008 | NaN | NaN | 24.282 | 51.2485 |","REAL_PROBLEM"
"archive/invalid/reports/aging_measurement_definition_audit.md","3","## INVALID AGING ANALYSIS","UNCLEAR"
"archive/invalid/reports/aging_measurement_definition_audit.md","5","- DEFINITION_CONTAMINATION: YES","UNCLEAR"
"archive/invalid/reports/aging_measurement_definition_audit.md","7","- Definition mismatch: this lineage applies relaxation measurement logic to aging, so outputs are invalid for aging interpretation and must not be used for aging conclusions.","UNCLEAR"
"archive/invalid/reports/aging_measurement_definition_audit.md","21","- Classification: MEASUREMENT FAILURE","REAL_PROBLEM"
"archive/invalid/reports/aging_measurement_definition_audit.md","26","- Global trace correlation median: NaN","REAL_PROBLEM"
"archive/invalid/reports/aging_measurement_definition_audit.md","27","- Global trace nRMSE median: NaN","REAL_PROBLEM"
"archive/invalid/reports/aging_measurement_definition_audit.md","28","- Global shape similarity median: NaN","REAL_PROBLEM"
"archive/invalid/reports/aging_measurement_definition_audit.md","29","- Global ordering consistency (Kendall tau) median: NaN","REAL_PROBLEM"
"archive/invalid/reports/aging_measurement_definition_audit.md","32","- Interpretation class: MEASUREMENT FAILURE","REAL_PROBLEM"
"archive/invalid/reports/aging_meta_audit_latest_results.md","21","| 2026-03-26 | **24G** | `reports/aging_kappa2_report.md`, `tables/aging_kappa2_*.csv` | Îº2 beyond PT+Îº1 | 11 | **canonical** negative result on Îº2; **inconsistent headline risk** vs 24F/24I if â€œbest LOOCVâ€ is quoted without cross-check |","UNCLEAR"
"archive/invalid/reports/aging_meta_audit_latest_results.md","90","- **Primary PT scalar proxy:** **spread90_50** (q90âˆ’q50 of threshold current ladder) â€” dominant observable proxy for `g(P_T)` in every aging prediction table reviewed.","REAL_PROBLEM"
"archive/invalid/reports/aging_meta_audit_latest_results.md","100","- **Hermetically closed (project definition in 24I):** the report sets **`HERMETIC_CLOSURE_ACHIEVED: YES`** via **`+ abs(alpha_res)`** on the Î±-inclusive base; this is a **rule-based** statement anchored in that file, not a claim of zero systematic error.","REAL_PROBLEM"
"archive/invalid/reports/aging_meta_audit_latest_results.md","102","**Strongest single justified sentence:** *On the documented n = 11 temperature overlap, aging R(T) is tightly predictable in LOOCV from barrier PT spread and collective-state scalars, with the best linear models using Î± (including `abs(Î±)` and Îº1Â·Î± interaction extensions) and a hermetic-style residual correction `abs(Î±_res)` on top of Î± that specifically collapses 22â€“24 K error per Agent 24Iâ€™s dual criterion.*","REAL_PROBLEM"
"archive/invalid/reports/aging_meta_audit_latest_results.md","127","| **kappa1** | Required with PT on n = 11; alone fails vs naive mean on n = 11 | Part of residual structure before Î± | **Fragile** alone; **stable** with PT | **Canonical** with spread | Latent (map-derived); proxies per dictionary |","UNCLEAR"
"archive/invalid/reports/aging_meta_audit_latest_results.md","128","| **kappa2** | No gain in `+ Îº2` tensor test; `spread + Îº2` beats `spread + Îº1` *only* among Îº-only swaps | Worse than Î± path per 24G | **Fragile** for aging closure here | Corrective / second mode â€” **not supported** | Partial (I_peak links in dictionary) |","UNCLEAR"
"archive/invalid/reports/aging_meta_audit_latest_results.md","129","| **alpha** | Large drop vs PT+Îº1 | Still elevated error before hermetic fix | Strong in linear class | **Canonical** in â€œfullâ€ aging story after 24F | Latent; prose proxies in dictionary |","REAL_PROBLEM"
"archive/invalid/reports/aging_meta_audit_latest_results.md","131","| **alpha_res** (added to PT+Îº1 only) | **Does not** improve LOOCV (24F) | â€” | **Fragile** in that role | Not a global corrective there | Decomposition latent |","UNCLEAR"
"archive/invalid/reports/aging_meta_audit_verdict_summary.md","19","- **spread90_50:** dominant PT scalar in the documented fits; strong alone, stronger with state.","REAL_PROBLEM"
"archive/invalid/reports/aging_relaxation_confusion_audit.md","12","- A **localized contamination lineage exists** in aging-labeled audit artifacts created from relaxation logic.","MODEL_MISMATCH"
"archive/invalid/reports/aging_relaxation_confusion_audit.md","13","- The contaminated lineage explicitly uses `R_relax_canonical`, `t0`, and `tau=t-t0` semantics.","MODEL_MISMATCH"
"archive/invalid/reports/aging_relaxation_confusion_audit.md","18","- Contamination is localized to aging-labeled measurement-audit artifacts.","UNCLEAR"
"archive/invalid/reports/aging_relaxation_confusion_audit.md","45","- Can remain: core `Aging/` pipeline scripts and existing `results/aging` outputs not tied to the contaminated lineage.","UNCLEAR"
"archive/invalid/reports/aging_relaxation_confusion_audit.md","47","- Must be rewritten: any aging measurement-definition audit must use aging-native definitions only (no `t0`, no post-field-removal transient logic, no `R_relax_canonical`).","MODEL_MISMATCH"
"docs/reports/legacy/AGING_AUDIT_REPORT.md","187","**Status:** âœ… No missing field errors detected in standard execution path","REAL_PROBLEM"
"docs/reports/legacy/AGING_AUDIT_REPORT.md","363","| Missing smoke test | Low | âœ… FIXED | Created `pipeline_smoke_test.m` |","REAL_PROBLEM"
"docs/reports/legacy/AGING_STABILIZATION_COMPLETE.md","52","- âœ… No critical field overwrites","UNCLEAR"
"docs/reports/legacy/AGING_STABILIZATION_COMPLETE.md","247","% Test pipeline infrastructure (no data files required)","REAL_PROBLEM"
"docs/reports/legacy/AGING_VERIFICATION_FINAL.md","52","### Issue 3: Missing Infrastructure Tests","REAL_PROBLEM"
"junk/aging_trace_structure_attempt/AGING_STRUCTURE_EXECUTION_HANDOFF.md","19","âœ“ Error handling (lines 572-602)","REAL_PROBLEM"
"junk/aging_trace_structure_attempt/AGING_STRUCTURE_EXECUTION_HANDOFF.md","30","- NO relaxation contamination (R_relax_canonical absent)","MODEL_MISMATCH"
"junk/aging_trace_structure_attempt/AGING_STRUCTURE_EXECUTION_HANDOFF.md","31","- NO post-transient logic","UNCLEAR"
"junk/aging_trace_structure_attempt/AGING_STRUCTURE_EXECUTION_HANDOFF.md","42","- Proper logging and error reporting","REAL_PROBLEM"
"junk/aging_trace_structure_attempt/AGING_TRACE_STRUCTURE_DELIVERY_SUMMARY.md","40","- Noise floor proxy via median absolute deviation","REAL_PROBLEM"
"junk/aging_trace_structure_attempt/AGING_TRACE_STRUCTURE_DELIVERY_SUMMARY.md","41","- Missing segment detection","REAL_PROBLEM"
"junk/aging_trace_structure_attempt/AGING_TRACE_STRUCTURE_DELIVERY_SUMMARY.md","76","- strictly_increasing_time, has_missing_segments, sign_stable","REAL_PROBLEM"
"junk/aging_trace_structure_attempt/AGING_TRACE_STRUCTURE_DELIVERY_SUMMARY.md","78","- dynamic_range, noise_floor_proxy","REAL_PROBLEM"
"junk/aging_trace_structure_attempt/AGING_TRACE_STRUCTURE_DELIVERY_SUMMARY.md","93","CONTAMINATED_LINEAGE_EXCLUDED = YES/NO","UNCLEAR"
"junk/aging_trace_structure_attempt/AGING_TRACE_STRUCTURE_DELIVERY_SUMMARY.md","103","MEASUREMENT_FAILURE = YES/NO","REAL_PROBLEM"
"junk/aging_trace_structure_attempt/AGING_TRACE_STRUCTURE_DELIVERY_SUMMARY.md","104","DEFINITION_CONTAMINATION_DETECTED = YES/NO","UNCLEAR"
"junk/aging_trace_structure_attempt/AGING_TRACE_STRUCTURE_DELIVERY_SUMMARY.md","111","âœ… **NO post-transient logic**","UNCLEAR"
"junk/aging_trace_structure_attempt/AGING_TRACE_STRUCTURE_DELIVERY_SUMMARY.md","115","âœ… **NO relaxation comparison** beyond contamination avoidance","UNCLEAR"
"junk/aging_trace_structure_attempt/AGING_TRACE_STRUCTURE_DELIVERY_SUMMARY.md","119","## Contamination Exclusion","UNCLEAR"
"junk/aging_trace_structure_attempt/AGING_TRACE_STRUCTURE_DELIVERY_SUMMARY.md","121","The following contaminated lineage is explicitly excluded:","UNCLEAR"
"junk/aging_trace_structure_attempt/AGING_TRACE_STRUCTURE_DELIVERY_SUMMARY.md","147","â”œâ”€â”€ run_manifest.json                          (provenance tracking)","REAL_PROBLEM"
"junk/aging_trace_structure_attempt/AGING_TRACE_STRUCTURE_DELIVERY_SUMMARY.md","163","- Standard provenance tracking","REAL_PROBLEM"
"junk/aging_trace_structure_attempt/AGING_TRACE_STRUCTURE_DELIVERY_SUMMARY.md","179","- **Error Handling:** Try-catch with proper logging","REAL_PROBLEM"
"junk/aging_trace_structure_attempt/FINAL_COMPLETION_REPORT.md","22","- Finiteness, duplicates, monotonicity, sign stability, dynamic range, noise floor","REAL_PROBLEM"
"junk/aging_trace_structure_attempt/FINAL_COMPLETION_REPORT.md","48","CONTAMINATED_LINEAGE_EXCLUDED","UNCLEAR"
"junk/aging_trace_structure_attempt/FINAL_COMPLETION_REPORT.md","58","MEASUREMENT_FAILURE","REAL_PROBLEM"
"junk/aging_trace_structure_attempt/FINAL_COMPLETION_REPORT.md","59","DEFINITION_CONTAMINATION_DETECTED","UNCLEAR"
"junk/aging_trace_structure_attempt/FINAL_COMPLETION_REPORT.md","65","- âœ… NO post-transient logic","UNCLEAR"
"junk/aging_trace_structure_attempt/FINAL_COMPLETION_REPORT.md","109","- Error handling with try-catch confirmed","REAL_PROBLEM"
"junk/aging_trace_structure_attempt/FINAL_COMPLETION_REPORT.md","115","- Relaxation contamination scan: 0 matches","UNCLEAR"
"junk/aging_trace_structure_attempt/MASTER_EXECUTIVE_SUMMARY.md","32","- âœ… CONTAMINATED_LINEAGE_EXCLUDED","UNCLEAR"
"junk/aging_trace_structure_attempt/MASTER_EXECUTIVE_SUMMARY.md","42","- âœ… MEASUREMENT_FAILURE","REAL_PROBLEM"
"junk/aging_trace_structure_attempt/MASTER_EXECUTIVE_SUMMARY.md","43","- âœ… DEFINITION_CONTAMINATION_DETECTED","UNCLEAR"
"junk/aging_trace_structure_attempt/MASTER_EXECUTIVE_SUMMARY.md","48","- âœ… NO post-transient logic (verified: 0 matches)","UNCLEAR"
"junk/aging_trace_structure_attempt/MASTER_EXECUTIVE_SUMMARY.md","71","âœ… Error handling complete (try-catch with verdict updates)","REAL_PROBLEM"
"junk/aging_trace_structure_attempt/PRODUCTION_DEPLOYMENT_CHECKLIST.md","14","- Finiteness, duplicates, monotonicity, sign stability, dynamic range, noise floor","REAL_PROBLEM"
