"script_path","file_size","line_count","contains_createRunContext","contains_execution_status","contains_execution_probe"
"Switching/analysis/run_phi_pt_restricted_deformation.m","47315","1371","YES","NO","NO"
"Switching/analysis/run_phi_pt_restricted_deformation_5_1.m","36251","1018","YES","NO","NO"
"Switching/analysis/run_phi_pt_restricted_deformation_stable.m","32901","969","YES","NO","NO"
"Switching/analysis/run_phi_temperature_derivative_test.m","32566","962","YES","NO","NO"
"Switching/analysis/run_phi1_observable_phi2_driver_test.m","4931","50","NO","NO","NO"
"Switching/analysis/run_phi1_phi2_observable_closure_fixed.m","22123","565","NO","YES","NO"
"Switching/analysis/run_phi1_phi2_observable_closure_test.m","16790","428","NO","NO","NO"
"Switching/analysis/run_phi2_deformation_structure_test.m","5352","139","NO","NO","NO"
"Switching/analysis/run_phi2_extended_deformation_basis_test.m","36035","885","NO","YES","NO"
"Switching/analysis/run_phi2_kappa2_canonical_residual_mode.m","11962","278","NO","NO","NO"
"Switching/analysis/run_phi2_second_order_deformation_test.m","21633","519","NO","YES","NO"
"Switching/analysis/run_phi2_shape_physics_test.m","5652","34","NO","NO","NO"
"Switching/analysis/run_prediction_falsification_test.m","21205","574","YES","NO","NO"
"Switching/analysis/run_pt_deformation_mode_test.m","31127","912","YES","NO","NO"
"Switching/analysis/run_pt_energy_extraction_robustness_audit.m","27170","735","YES","NO","NO"
"Switching/analysis/run_PT_kappa_relaxation_mapping.m","16312","389","NO","YES","NO"
"Switching/analysis/run_PT_to_relaxation_mapping.m","9740","262","NO","YES","NO"
"Switching/analysis/run_pt_width_spread_observable_analysis.m","18366","536","YES","NO","NO"
"Switching/analysis/run_relaxation_deep_search.m","20351","459","NO","NO","NO"
"Switching/analysis/run_relaxation_extraction_from_known_runs.m","15945","403","NO","YES","NO"
"Switching/analysis/run_relaxation_outlier_audit.m","24466","666","NO","YES","NO"
"Switching/analysis/run_relaxation_outlier_audit_no_toolbox.m","29550","811","NO","YES","NO"
"Switching/analysis/run_residual_decomposition_22k_failure_audit.m","14429","377","YES","NO","NO"
"Switching/analysis/run_residual_rank2_audit.m","22841","698","NO","NO","NO"
"Switching/analysis/run_residual_sector_robustness.m","28957","764","YES","NO","NO"
"Switching/analysis/run_residual_temperature_structure_test.m","15910","446","YES","NO","NO"
"Switching/analysis/run_switching_canonical.m","27392","651","YES","YES","YES"
"Switching/analysis/run_switching_peak_jump_audit.m","16066","376","YES","NO","NO"
"Switching/analysis/run_tail_ablation_test.m","15046","420","YES","NO","NO"
"Switching/analysis/run_trajectory_geometry_aging_test.m","17353","425","NO","NO","NO"
"Switching/analysis/run_validate_relaxation_dataset.m","14645","404","NO","YES","NO"
"Switching/analysis/run_width_decomposition_test.m","14613","431","NO","NO","NO"
"Switching/analysis/run_width_interaction_closure_test.m","22108","222","NO","YES","NO"
"Switching/analysis/run_width_interaction_closure_test_v2.m","26793","690","NO","YES","NO"
"Switching/analysis/sanitizeMD.m","135","5","NO","NO","NO"
"Switching/analysis/spearmanCorrelation.m","315","16","NO","NO","NO"
"Switching/analysis/switching_a1_vs_curvature_test.m","20283","516","YES","NO","NO"
"Switching/analysis/switching_alignment_audit.m","100276","2588","YES","NO","NO"
"Switching/analysis/switching_dynamic_shape_geometry_match_analysis.m","26300","605","YES","NO","NO"
"Switching/analysis/switching_dynamic_shape_mode_analysis.m","24288","610","YES","NO","NO"
"Switching/analysis/switching_effective_observables.m","30115","625","YES","NO","NO"
"Switching/analysis/switching_energy_mapping_analysis.m","26265","724","YES","NO","NO"
"Switching/analysis/switching_energy_scale_collapse_filtered.m","22058","588","YES","NO","NO"
"Switching/analysis/switching_full_scaling_collapse.m","25577","684","YES","NO","NO"
"Switching/analysis/switching_full_scaling_collapse_figure_repair.m","11782","321","YES","NO","NO"
"Switching/analysis/switching_geometry_diagnostics.m","26702","630","YES","NO","NO"
"Switching/analysis/switching_mechanism_followup.m","25248","625","NO","NO","NO"
"Switching/analysis/switching_mechanism_survey.m","27278","678","NO","NO","NO"
"Switching/analysis/switching_mode23_analysis.m","22059","558","NO","NO","NO"
"Switching/analysis/switching_observable_basis_test.m","20436","597","NO","NO","NO"
"Switching/analysis/switching_observable_stability_survey.m","12084","375","YES","NO","NO"
"Switching/analysis/switching_residual_collapse_verification_analysis.m","16902","432","YES","NO","NO"
"Switching/analysis/switching_residual_decomposition_analysis.m","30306","914","YES","NO","NO"
"Switching/analysis/switching_ridge_curvature_analysis.m","21287","606","YES","NO","NO"
"Switching/analysis/switching_ridge_susceptibility_analysis.m","32249","748","YES","NO","NO"
"Switching/analysis/switching_ridge_susceptibility_test.m","18012","467","YES","NO","NO"
"Switching/analysis/switching_second_coordinate_duel.m","25171","734","NO","NO","NO"
"Switching/analysis/switching_second_structural_observable_search.m","24676","728","NO","NO","NO"
"Switching/analysis/switching_shape_rank_analysis.m","16893","477","NO","NO","NO"
"Switching/analysis/switching_translation_mode_test.m","16075","398","YES","NO","NO"
"Switching/analysis/switching_XI_Xshape_analysis.m","15606","485","NO","NO","NO"
"Switching/analysis/tiedRankLocal.m","487","23","NO","NO","NO"
"Switching/analysis/toDoubleColumn.m","471","20","NO","NO","NO"
"Switching/analysis/yesno.m","100","8","NO","NO","NO"
"Switching/utils/analyzeShapeSubspace.m","348","12","NO","NO","NO"
"Switching/utils/buildMapRounded.m","643","24","NO","NO","NO"
"Switching/utils/buildShapeMaps.m","925","37","NO","NO","NO"
"Switching/utils/buildSwitchingMapRounded.m","939","35","NO","NO","NO"
"Switching/utils/computeXshapeFromMap.m","715","29","NO","NO","NO"
"Switching/utils/safeCorr.m","285","18","NO","NO","NO"
"Switching/utils/switchingNumericColumn.m","378","20","NO","NO","NO"
"Switching/utils/toNum.m","78","3","NO","NO","NO"
"Switching/utils/toNumeric.m","82","3","NO","NO","NO"
"Switching/utils/toNumericColumn.m","88","3","NO","NO","NO"
