"type","path","description","method_type"
"report","reports/switching_raw_baseline_correction_report.md","Report artifact: switching raw baseline correction report","background_model"
"report","reports/tau_extracted.md","Report artifact: tau extracted","dip_extraction"
"report","reports/tau_vs_barrier_report.md","Report artifact: tau vs barrier report","dip_extraction"
"report","reports/width_decomposition.md","Report artifact: width decomposition","decomposition"
"report","results/aging/runs/run_2026_03_09_014130_MG119_3sec/reports/geometry_visualization/aging_geometry_report.txt","Report artifact: aging geometry report","unknown"
"report","results/aging/runs/run_2026_03_09_124648_geometry_visualization/reports/geometry_visualization/aging_geometry_report.txt","Report artifact: aging geometry report","unknown"
"report","results/aging/runs/run_2026_03_09_124648_geometry_visualization/reports/geometry_visualization/aging_geometry_review/aging_geometry_report.txt","Report artifact: aging geometry report","unknown"
"report","results/aging/runs/run_2026_03_09_130918_geometry_visualization/reports/geometry_visualization/aging_geometry_report.txt","Report artifact: aging geometry report","unknown"
"report","results/aging/runs/run_2026_03_09_140848_geometry_visualization/reports/geometry_visualization/aging_geometry_report.txt","Report artifact: aging geometry report","unknown"
"report","results/aging/runs/run_2026_03_09_141328_geometry_visualization/reports/geometry_visualization/aging_geometry_report.txt","Report artifact: aging geometry report","unknown"
"report","results/aging/runs/run_2026_03_10_112842_geometry_visualization/reports/aging_geometry_report.txt","Report artifact: aging geometry report","unknown"
"report","results/aging/runs/run_2026_03_10_150549_geometry_visualization/reports/aging_geometry_report.txt","Report artifact: aging geometry report","unknown"
"report","results/aging/runs/run_2026_03_10_171522_observable_mode_correlation/reports/observable_mode_correlation_report.md","Report artifact: observable mode correlation report","decomposition"
"report","results/aging/runs/run_2026_03_10_200643_observable_mode_correlation/reports/observable_mode_correlation_report.md","Report artifact: observable mode correlation report","decomposition"
"report","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/reports/aging_observable_summary.md","Report artifact: aging observable summary","unknown"
"report","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/reports/aging_observable_summary.md","Report artifact: aging observable summary","unknown"
"report","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/reports/aging_observable_summary.md","Report artifact: aging observable summary","unknown"
"report","results/aging/runs/run_2026_03_10_225135_tp_14_structured_export/reports/aging_observable_summary.md","Report artifact: aging observable summary","unknown"
"report","results/aging/runs/run_2026_03_10_225902_tp_18_structured_export/reports/aging_observable_summary.md","Report artifact: aging observable summary","unknown"
"report","results/aging/runs/run_2026_03_10_231114_tp_22_structured_export/reports/aging_observable_summary.md","Report artifact: aging observable summary","unknown"
"report","results/aging/runs/run_2026_03_10_231719_tp_26_structured_export/reports/aging_observable_summary.md","Report artifact: aging observable summary","unknown"
"report","results/aging/runs/run_2026_03_10_232934_tp_34_structured_export/reports/aging_observable_summary.md","Report artifact: aging observable summary","unknown"
"report","results/aging/runs/run_2026_03_10_235137_tp_sweep_summary/reports/aging_tp_sweep_summary.md","Report artifact: aging tp sweep summary","unknown"
"report","results/aging/runs/run_2026_03_11_011643_observable_identification_audit/reports/aging_observable_identification_audit.md","Report artifact: aging observable identification audit","unknown"
"report","results/aging/runs/run_2026_03_11_082451_aging_shape_collapse_analysis/reports/aging_shape_collapse_analysis.md","Report artifact: aging shape collapse analysis","dip_extraction"
"report","results/aging/runs/run_2026_03_12_211204_aging_dataset_build/reports/aging_dataset_build_report.md","Report artifact: aging dataset build report","unknown"
"report","results/aging/runs/run_2026_03_12_223709_aging_timescale_extraction/reports/aging_timescale_extraction_report.md","Report artifact: aging timescale extraction report","dip_extraction"
"report","results/aging/runs/run_2026_03_12_223712_aging_log_time_scaling_test/reports/aging_log_scaling_report.md","Report artifact: aging log scaling report","slope"
"report","results/aging/runs/run_2026_03_12_225842_aging_component_clock_test/reports/aging_component_clock_report.md","Report artifact: aging component clock report","dip_extraction"
"report","results/aging/runs/run_2026_03_12_233710_aging_time_rescaling_collapse/reports/aging_collapse_test_report.md","Report artifact: aging collapse test report","dip_extraction"
"report","results/aging/runs/run_2026_03_13_004253_aging_fm_using_dip_clock/reports/aging_fm_using_dip_clock_report.md","Report artifact: aging fm using dip clock report","dip_extraction"
"report","results/aging/runs/run_2026_03_13_005134_aging_fm_using_dip_clock/reports/aging_fm_using_dip_clock_report.md","Report artifact: aging fm using dip clock report","dip_extraction"
"report","results/aging/runs/run_2026_03_13_010148_aging_fm_using_extracted_dip_tau/reports/fm_extracted_dip_tau_report.md","Report artifact: fm extracted dip tau report","dip_extraction"
"report","results/aging/runs/run_2026_03_13_011143_aging_fm_timescale_analysis/reports/aging_fm_timescale_analysis_report.md","Report artifact: aging fm timescale analysis report","dip_extraction"
"report","results/aging/runs/run_2026_03_13_012211_aging_fm_timescale_analysis/reports/aging_fm_timescale_analysis_report.md","Report artifact: aging fm timescale analysis report","dip_extraction"
"report","results/aging/runs/run_2026_03_13_013634_aging_fm_timescale_analysis/reports/aging_fm_timescale_analysis_report.md","Report artifact: aging fm timescale analysis report","dip_extraction"
"report","results/aging/runs/run_2026_03_14_071151_tri_scaling_test/reports/tri_scaling_test_report.md","Report artifact: tri scaling test report","dip_extraction"
"report","results/aging/runs/run_2026_03_14_071722_tri_scaling_test/reports/tri_scaling_test_report.md","Report artifact: tri scaling test report","dip_extraction"
"report","results/aging/runs/run_2026_03_14_073402_TRI_cross_temperature_test/reports/tri_cross_temperature_test_report.md","Report artifact: tri cross temperature test report","dip_extraction"
"report","results/aging/runs/run_2026_03_14_074613_aging_clock_ratio_analysis/reports/aging_clock_ratio_analysis_report.md","Report artifact: aging clock ratio analysis report","dip_extraction"
"report","results/aging/runs/run_2026_03_14_074701_TRI_clock_consistency_test/reports/tri_clock_consistency_report.md","Report artifact: tri clock consistency report","dip_extraction"
"report","results/aging/runs/run_2026_03_14_075006_TRI_clock_consistency_test/reports/tri_clock_consistency_report.md","Report artifact: tri clock consistency report","dip_extraction"
"report","results/aging/runs/run_2026_03_14_132559_clock_ratio_temperature_support_audit/reports/aging_clock_ratio_temperature_support_audit_report.md","Report artifact: aging clock ratio temperature support audit report","dip_extraction"
"report","results/aging/runs/run_2026_03_14_133454_clock_ratio_temperature_support_audit/reports/aging_clock_ratio_temperature_support_audit_report.md","Report artifact: aging clock ratio temperature support audit report","dip_extraction"
"report","results/aging/runs/run_2026_03_14_152820_clock_ratio_lower_support_audit/reports/aging_clock_ratio_lower_support_audit_report.md","Report artifact: aging clock ratio lower support audit report","dip_extraction"
"report","results/aging/runs/run_2026_03_16_023652_aging_clock_ratio_temperature_scaling/reports/aging_clock_ratio_temperature_scaling_report.md","Report artifact: aging clock ratio temperature scaling report","dip_extraction"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260223_232412/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260223_233951/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260223_235148/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260223_235318/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260223_235451/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260223_235729/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260223_235739/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260223_235755/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260223_235809/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260223_235824/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260223_235838/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260223_235853/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_000324/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_001959/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_002638/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_002731/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_002811/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_002943/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_003312/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_003546/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_003657/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_004516/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_004632/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_004814/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_004914/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_005119/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_005315/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_005548/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_005708/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_005824/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_011853/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_013216/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_083013/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_224027/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_224858/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_225013/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_225238/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_225631/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_225817/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_230105/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_230234/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_230301/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_230318/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_230421/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_230646/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_231124/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_233621/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_233756/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_233958/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_234229/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_234345/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_234940/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260224_235202/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260225_011039/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260225_011455/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260225_011812/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260225_012405/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260225_014207/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260225_014957/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260225_062621/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260226_231405/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260226_231544/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260226_231622/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260226_231736/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260227_102753/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260304_203209/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260304_211321/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260304_220024/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260304_220046/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260304_221439/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260304_222002/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260304_222215/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260304_222725/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260304_224828/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260304_230334/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260304_230934/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260304_231526/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260306_134327/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260306_150249/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260306_150302/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260306_150317/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_debug_runs/reports/20260306_150331/log.txt","Report artifact: log","unknown"
"report","results/aging/runs/run_legacy_separability/reports/interpretation_summary.txt","Report artifact: interpretation summary","unknown"
"report","results/aging/runs/run_legacy_svd_pca/reports/interpretation_summary.txt","Report artifact: interpretation summary","decomposition"
"report","results/aging/runs/run_TRI_collapse_diagnostics/reports/tri_collapse_diagnostics_report.md","Report artifact: tri collapse diagnostics report","dip_extraction"
"report","results/relaxation/runs/run_2026_03_30_124149_aging_measurement_definition_audit/reports/aging_measurement_definition_audit.md","Report artifact: aging measurement definition audit","unknown"
"report","results/relaxation/runs/run_2026_03_30_133703_aging_measurement_definition_audit/reports/aging_measurement_definition_audit.md","Report artifact: aging measurement definition audit","unknown"
"run","results/aging/runs/run_2026_03_09_014130_MG119_3sec/run_manifest.json","Run manifest/status artifact: run manifest","unknown"
"run","results/aging/runs/run_2026_03_09_124648_geometry_visualization/run_manifest.json","Run manifest/status artifact: run manifest","unknown"
"run","results/aging/runs/run_2026_03_09_130918_geometry_visualization/run_manifest.json","Run manifest/status artifact: run manifest","unknown"
"run","results/aging/runs/run_2026_03_09_140848_geometry_visualization/run_manifest.json","Run manifest/status artifact: run manifest","unknown"
"run","results/aging/runs/run_2026_03_09_141328_geometry_visualization/run_manifest.json","Run manifest/status artifact: run manifest","unknown"
"run","results/aging/runs/run_2026_03_10_112842_geometry_visualization/run_manifest.json","Run manifest/status artifact: run manifest","unknown"
"run","results/aging/runs/run_2026_03_10_145239_geometry_visualization/run_manifest.json","Run manifest/status artifact: run manifest","unknown"
"run","results/aging/runs/run_2026_03_10_150549_geometry_visualization/run_manifest.json","Run manifest/status artifact: run manifest","unknown"
"run","results/aging/runs/run_2026_03_10_171522_observable_mode_correlation/run_manifest.json","Run manifest/status artifact: run manifest","decomposition"
"run","results/aging/runs/run_2026_03_10_200643_observable_mode_correlation/run_manifest.json","Run manifest/status artifact: run manifest","decomposition"
"run","results/aging/runs/run_2026_03_10_215702_tp_27_structured_export/run_manifest.json","Run manifest/status artifact: run manifest","unknown"
"run","results/aging/runs/run_2026_03_10_220156_tp_27_structured_export/run_manifest.json","Run manifest/status artifact: run manifest","unknown"
"run","results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/run_manifest.json","Run manifest/status artifact: run manifest","unknown"
"run","results/aging/runs/run_2026_03_10_222534_MG119_3sec/run_manifest.json","Run manifest/status artifact: run manifest","unknown"
"run","results/aging/runs/run_2026_03_10_222604_MG119_36sec/run_manifest.json","Run manifest/status artifact: run manifest","unknown"
"run","results/aging/runs/run_2026_03_10_222613_MG119_6min/run_manifest.json","Run manifest/status artifact: run manifest","unknown"
"run","results/aging/runs/run_2026_03_10_222624_MG119_60min/run_manifest.json","Run manifest/status artifact: run manifest","unknown"
"run","results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/run_manifest.json","Run manifest/status artifact: run manifest","unknown"
"run","results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/run_manifest.json","Run manifest/status artifact: run manifest","unknown"
"run","results/aging/runs/run_2026_03_10_225135_tp_14_structured_export/run_manifest.json","Run manifest/status artifact: run manifest","unknown"
"run","results/aging/runs/run_2026_03_10_225902_tp_18_structured_export/run_manifest.json","Run manifest/status artifact: run manifest","unknown"
"run","results/aging/runs/run_2026_03_10_231114_tp_22_structured_export/run_manifest.json","Run manifest/status artifact: run manifest","unknown"
"run","results/aging/runs/run_2026_03_10_231719_tp_26_structured_export/run_manifest.json","Run manifest/status artifact: run manifest","unknown"
"run","results/aging/runs/run_2026_03_10_232934_tp_34_structured_export/run_manifest.json","Run manifest/status artifact: run manifest","unknown"
"run","results/aging/runs/run_2026_03_10_235137_tp_sweep_summary/run_manifest.json","Run manifest/status artifact: run manifest","unknown"
"run","results/aging/runs/run_2026_03_11_011643_observable_identification_audit/run_manifest.json","Run manifest/status artifact: run manifest","unknown"
"run","results/aging/runs/run_2026_03_11_030129_aging_shape_collapse_analysis/run_manifest.json","Run manifest/status artifact: run manifest","dip_extraction"
