script_path,LEGACY_CANONICAL,ENTRY_SIGNAL,RUN_CONTEXT,EXECUTION_STATUS,ROOT_DEPENDENCY,COMPLEXITY,CONVERSION_DIFFICULTY
Switching/analysis/run_kappa2_kww_shape_test.m,NO,NO,NO,YES,YES,HIGH,HARD
Switching/analysis/run_kappa2_opening_test.m,NO,NO,NO,YES,YES,HIGH,HARD
Switching/analysis/run_kappa2_operational_signature_test.m,NO,NO,NO,NO,YES,MEDIUM,MEDIUM
Switching/analysis/run_kappa2_physical_necessity.m,NO,NO,NO,YES,YES,HIGH,HARD
Switching/analysis/run_minimal_canonical.m,YES,NO,YES,YES,YES,LOW,EASY
Switching/analysis/run_parameter_robustness_switching_canonical.m,NO,NO,NO,NO,YES,HIGH,HARD
Switching/analysis/run_phi_asymmetry_link.m,NO,NO,YES,NO,YES,HIGH,HARD
Switching/analysis/run_phi_even_deformation_test.m,NO,NO,YES,NO,YES,HIGH,HARD
Switching/analysis/run_phi_physical_identification.m,NO,NO,YES,NO,YES,HIGH,HARD
Switching/analysis/run_phi_physical_structure_test.m,NO,NO,YES,NO,YES,HIGH,HARD
Switching/analysis/run_phi_pt_independence_test.m,NO,NO,YES,NO,YES,HIGH,HARD
Switching/analysis/run_phi_pt_restricted_deformation.m,NO,NO,YES,NO,YES,HIGH,HARD
Switching/analysis/run_phi_pt_restricted_deformation_5_1.m,NO,NO,YES,NO,YES,HIGH,HARD
Switching/analysis/run_phi_pt_restricted_deformation_stable.m,NO,NO,YES,NO,YES,HIGH,HARD
Switching/analysis/run_phi_temperature_derivative_test.m,NO,NO,YES,NO,YES,HIGH,HARD
Switching/analysis/run_phi1_observable_phi2_driver_test.m,NO,NO,NO,NO,YES,LOW,MEDIUM
Switching/analysis/run_phi1_phi2_observable_closure_fixed.m,NO,NO,NO,YES,YES,MEDIUM,MEDIUM
Switching/analysis/run_phi1_phi2_observable_closure_test.m,NO,NO,NO,NO,YES,MEDIUM,MEDIUM
Switching/analysis/run_phi2_deformation_structure_test.m,NO,NO,NO,NO,YES,LOW,MEDIUM
Switching/analysis/run_phi2_extended_deformation_basis_test.m,NO,NO,NO,YES,YES,HIGH,HARD
Switching/analysis/run_phi2_kappa2_canonical_residual_mode.m,NO,NO,NO,NO,YES,MEDIUM,MEDIUM
Switching/analysis/run_phi2_second_order_deformation_test.m,NO,NO,NO,YES,YES,MEDIUM,MEDIUM
Switching/analysis/run_phi2_shape_physics_test.m,NO,NO,NO,NO,YES,LOW,MEDIUM
Switching/analysis/run_prediction_falsification_test.m,NO,NO,YES,NO,YES,HIGH,HARD
Switching/analysis/run_pt_deformation_mode_test.m,NO,NO,YES,NO,YES,HIGH,HARD
Switching/analysis/run_pt_energy_extraction_robustness_audit.m,NO,NO,YES,NO,YES,HIGH,HARD
Switching/analysis/run_PT_kappa_relaxation_mapping.m,NO,NO,NO,YES,YES,MEDIUM,MEDIUM
Switching/analysis/run_PT_to_relaxation_mapping.m,NO,NO,NO,YES,YES,MEDIUM,MEDIUM
Switching/analysis/run_pt_width_spread_observable_analysis.m,NO,NO,YES,NO,YES,HIGH,HARD
Switching/analysis/run_relaxation_deep_search.m,NO,NO,NO,NO,YES,HIGH,HARD
Switching/analysis/run_relaxation_extraction_from_known_runs.m,NO,NO,NO,YES,YES,MEDIUM,MEDIUM
Switching/analysis/run_relaxation_outlier_audit.m,NO,NO,NO,YES,YES,MEDIUM,MEDIUM
Switching/analysis/run_relaxation_outlier_audit_no_toolbox.m,NO,NO,NO,YES,YES,HIGH,HARD
Switching/analysis/run_residual_decomposition_22k_failure_audit.m,NO,NO,YES,NO,YES,MEDIUM,MEDIUM
Switching/analysis/run_residual_rank2_audit.m,NO,NO,NO,NO,YES,HIGH,HARD
Switching/analysis/run_residual_sector_robustness.m,NO,NO,YES,NO,YES,HIGH,HARD
Switching/analysis/run_residual_temperature_structure_test.m,NO,NO,YES,NO,YES,MEDIUM,MEDIUM
Switching/analysis/run_switching_canonical.m,YES,YES,YES,YES,YES,MEDIUM,EASY
Switching/analysis/run_switching_peak_jump_audit.m,NO,NO,YES,NO,YES,MEDIUM,MEDIUM
Switching/analysis/run_tail_ablation_test.m,NO,NO,YES,NO,YES,MEDIUM,MEDIUM
Switching/analysis/run_trajectory_geometry_aging_test.m,NO,NO,NO,NO,YES,MEDIUM,MEDIUM
Switching/analysis/run_validate_relaxation_dataset.m,NO,NO,NO,YES,YES,MEDIUM,MEDIUM
Switching/analysis/run_width_decomposition_test.m,NO,NO,NO,NO,YES,MEDIUM,MEDIUM
Switching/analysis/run_width_interaction_closure_test.m,NO,NO,NO,YES,NO,MEDIUM,EASY
Switching/analysis/run_width_interaction_closure_test_v2.m,NO,NO,NO,YES,YES,HIGH,HARD
Switching/analysis/sanitizeMD.m,NO,NO,NO,NO,NO,LOW,EASY
Switching/analysis/spearmanCorrelation.m,NO,NO,NO,NO,NO,LOW,EASY
Switching/analysis/switching_a1_vs_curvature_test.m,NO,NO,YES,NO,YES,MEDIUM,MEDIUM
Switching/analysis/switching_alignment_audit.m,YES,NO,YES,NO,YES,HIGH,HARD
Switching/analysis/switching_dynamic_shape_geometry_match_analysis.m,NO,NO,YES,NO,YES,MEDIUM,MEDIUM
Switching/analysis/switching_dynamic_shape_mode_analysis.m,NO,NO,YES,NO,YES,MEDIUM,MEDIUM
Switching/analysis/switching_effective_observables.m,NO,NO,YES,NO,YES,MEDIUM,MEDIUM
Switching/analysis/switching_energy_mapping_analysis.m,NO,NO,YES,NO,YES,MEDIUM,MEDIUM
Switching/analysis/switching_energy_scale_collapse_filtered.m,NO,NO,YES,NO,YES,MEDIUM,MEDIUM
Switching/analysis/switching_full_scaling_collapse.m,NO,NO,YES,NO,YES,MEDIUM,MEDIUM
Switching/analysis/switching_full_scaling_collapse_figure_repair.m,NO,NO,YES,NO,YES,LOW,EASY
Switching/analysis/switching_geometry_diagnostics.m,NO,NO,YES,NO,YES,MEDIUM,MEDIUM
Switching/analysis/switching_mechanism_followup.m,NO,NO,NO,NO,YES,MEDIUM,MEDIUM
Switching/analysis/switching_mechanism_survey.m,NO,NO,NO,NO,YES,MEDIUM,MEDIUM
Switching/analysis/switching_mode23_analysis.m,NO,NO,NO,NO,YES,MEDIUM,MEDIUM
Switching/analysis/switching_observable_basis_test.m,NO,NO,NO,NO,YES,MEDIUM,MEDIUM
Switching/analysis/switching_observable_stability_survey.m,NO,NO,YES,NO,YES,MEDIUM,MEDIUM
Switching/analysis/switching_residual_collapse_verification_analysis.m,NO,NO,YES,NO,YES,MEDIUM,MEDIUM
Switching/analysis/switching_residual_decomposition_analysis.m,NO,NO,YES,NO,YES,HIGH,HARD
Switching/analysis/switching_ridge_curvature_analysis.m,NO,NO,YES,NO,YES,MEDIUM,MEDIUM
Switching/analysis/switching_ridge_susceptibility_analysis.m,NO,NO,YES,NO,YES,HIGH,HARD
Switching/analysis/switching_ridge_susceptibility_test.m,NO,NO,YES,NO,YES,MEDIUM,MEDIUM
Switching/analysis/switching_second_coordinate_duel.m,NO,NO,NO,NO,YES,MEDIUM,MEDIUM
Switching/analysis/switching_second_structural_observable_search.m,NO,NO,NO,NO,YES,MEDIUM,MEDIUM
Switching/analysis/switching_shape_rank_analysis.m,NO,NO,NO,NO,YES,MEDIUM,MEDIUM
Switching/analysis/switching_translation_mode_test.m,NO,NO,YES,NO,YES,MEDIUM,MEDIUM
Switching/analysis/switching_XI_Xshape_analysis.m,NO,NO,NO,NO,YES,MEDIUM,MEDIUM
Switching/analysis/tiedRankLocal.m,NO,NO,NO,NO,NO,LOW,EASY
Switching/analysis/toDoubleColumn.m,NO,NO,NO,NO,NO,LOW,EASY
Switching/analysis/yesno.m,NO,NO,NO,NO,NO,LOW,EASY
Switching/utils/analyzeShapeSubspace.m,NO,NO,NO,NO,NO,LOW,EASY
Switching/utils/buildMapRounded.m,NO,NO,NO,NO,NO,LOW,EASY
Switching/utils/buildShapeMaps.m,NO,NO,NO,NO,NO,LOW,EASY
Switching/utils/buildSwitchingMapRounded.m,NO,NO,NO,NO,NO,LOW,EASY
Switching/utils/computeXshapeFromMap.m,NO,NO,NO,NO,NO,LOW,EASY
Switching/utils/safeCorr.m,NO,NO,NO,NO,NO,LOW,EASY
Switching/utils/switchingNumericColumn.m,NO,NO,NO,NO,NO,LOW,EASY
Switching/utils/toNum.m,NO,NO,NO,NO,NO,LOW,EASY
Switching/utils/toNumeric.m,NO,NO,NO,NO,NO,LOW,EASY
Switching/utils/toNumericColumn.m,NO,NO,NO,NO,NO,LOW,EASY
