"file_path","line_number","kind","var","value","code"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_cross_temperature_test.m","158","explicit_runid_in_line","","run_2026_03_12_223709_aging_timescale_extraction","'run_2026_03_12_223709_aging_timescale_extraction', 'tables', 'tau_vs_Tp.csv'));"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_cross_temperature_test.m","160","explicit_runid_in_line","","run_2026_03_13_013634_aging_fm_timescale_analysis","'run_2026_03_13_013634_aging_fm_timescale_analysis', 'tables', 'tau_FM_vs_Tp.csv'));"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_cross_temperature_test.m","187","explicit_runid_in_line","","run_2026_03_11_082451_aging_shape_collapse_analysis","existing(end + 1).run_id = ""run_2026_03_11_082451_aging_shape_collapse_analysis"";"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_cross_temperature_test.m","191","explicit_runid_in_line","","run_2026_03_12_223709_aging_timescale_extraction","existing(end + 1).run_id = ""run_2026_03_12_223709_aging_timescale_extraction"";"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_cross_temperature_test.m","195","explicit_runid_in_line","","run_2026_03_13_013634_aging_fm_timescale_analysis","existing(end + 1).run_id = ""run_2026_03_13_013634_aging_fm_timescale_analysis"";"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_cross_temperature_test.m","199","explicit_runid_in_line","","run_2026_03_14_071151_tri_scaling_test","existing(end + 1).run_id = ""run_2026_03_14_071151_tri_scaling_test"";"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_scaling_test.m","127","explicit_runid_in_line","","run_2026_03_12_223709_aging_timescale_extraction","'run_2026_03_12_223709_aging_timescale_extraction', 'tables', 'tau_vs_Tp.csv'));"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_scaling_test.m","129","explicit_runid_in_line","","run_2026_03_13_013634_aging_fm_timescale_analysis","'run_2026_03_13_013634_aging_fm_timescale_analysis', 'tables', 'tau_FM_vs_Tp.csv'));"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_scaling_test.m","156","explicit_runid_in_line","","run_2026_03_11_082451_aging_shape_collapse_analysis","existing(end + 1).run_id = ""run_2026_03_11_082451_aging_shape_collapse_analysis"";"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_scaling_test.m","160","explicit_runid_in_line","","run_2026_03_12_233710_aging_time_rescaling_collapse","existing(end + 1).run_id = ""run_2026_03_12_233710_aging_time_rescaling_collapse"";"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_scaling_test.m","164","explicit_runid_in_line","","run_2026_03_12_223709_aging_timescale_extraction","existing(end + 1).run_id = ""run_2026_03_12_223709_aging_timescale_extraction"";"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_scaling_test.m","168","explicit_runid_in_line","","run_2026_03_13_013634_aging_fm_timescale_analysis","existing(end + 1).run_id = ""run_2026_03_13_013634_aging_fm_timescale_analysis"";"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_scaling_test.m","172","explicit_runid_in_line","","run_2026_03_13_005134_aging_fm_using_dip_clock","existing(end + 1).run_id = ""run_2026_03_13_005134_aging_fm_using_dip_clock"";"
"C:\Dev\matlab-functions\analysis\activation_coordinate_test.m","93","explicit_runid_in_line","","run_2026_03_10_175048_relaxation_observable_stability_audit","cfg = setDefaultField(cfg, 'relaxRunName', 'run_2026_03_10_175048_relaxation_observable_stability_audit');"
"C:\Dev\matlab-functions\analysis\activation_coordinate_test.m","93","default_runname","relaxRunName","run_2026_03_10_175048_relaxation_observable_stability_audit","cfg = setDefaultField(cfg, 'relaxRunName', 'run_2026_03_10_175048_relaxation_observable_stability_audit');"
"C:\Dev\matlab-functions\analysis\activation_coordinate_test.m","94","explicit_runid_in_line","","run_2026_03_12_234016_switching_full_scaling_collapse","cfg = setDefaultField(cfg, 'switchRunName', 'run_2026_03_12_234016_switching_full_scaling_collapse');"
"C:\Dev\matlab-functions\analysis\activation_coordinate_test.m","94","default_runname","switchRunName","run_2026_03_12_234016_switching_full_scaling_collapse","cfg = setDefaultField(cfg, 'switchRunName', 'run_2026_03_12_234016_switching_full_scaling_collapse');"
"C:\Dev\matlab-functions\analysis\activation_coordinate_test.m","95","explicit_runid_in_line","","run_2026_03_13_071713_switching_composite_observable_scan","cfg = setDefaultField(cfg, 'contextRunName', 'run_2026_03_13_071713_switching_composite_observable_scan');"
"C:\Dev\matlab-functions\analysis\activation_coordinate_test.m","95","default_runname","contextRunName","run_2026_03_13_071713_switching_composite_observable_scan","cfg = setDefaultField(cfg, 'contextRunName', 'run_2026_03_13_071713_switching_composite_observable_scan');"
"C:\Dev\matlab-functions\analysis\activation_coordinate_test.m","330","explicit_runid_in_line","","run_2026_03_13_071713_switching_composite_observable_scan","lines(end + 1) = '- Context reference only: `run_2026_03_13_071713_switching_composite_observable_scan` previously identified `I/(w*S)` as the strongest saved low-order composite against `A(T)`.';"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","80","explicit_runid_in_line","","run_2026_03_12_211204_aging_dataset_build","cfg = setDefaultField(cfg, 'agingDatasetRunName', 'run_2026_03_12_211204_aging_dataset_build');"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","80","default_runname","agingDatasetRunName","run_2026_03_12_211204_aging_dataset_build","cfg = setDefaultField(cfg, 'agingDatasetRunName', 'run_2026_03_12_211204_aging_dataset_build');"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","81","explicit_runid_in_line","","run_2026_03_13_013634_aging_fm_timescale_analysis","cfg = setDefaultField(cfg, 'fmTauRunName', 'run_2026_03_13_013634_aging_fm_timescale_analysis');"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","81","default_runname","fmTauRunName","run_2026_03_13_013634_aging_fm_timescale_analysis","cfg = setDefaultField(cfg, 'fmTauRunName', 'run_2026_03_13_013634_aging_fm_timescale_analysis');"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","82","explicit_runid_in_line","","run_2026_03_12_223709_aging_timescale_extraction","cfg = setDefaultField(cfg, 'dipTauRunName', 'run_2026_03_12_223709_aging_timescale_extraction');"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","82","default_runname","dipTauRunName","run_2026_03_12_223709_aging_timescale_extraction","cfg = setDefaultField(cfg, 'dipTauRunName', 'run_2026_03_12_223709_aging_timescale_extraction');"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","83","explicit_runid_in_line","","run_2026_03_12_233710_aging_time_rescaling_collapse","cfg = setDefaultField(cfg, 'dipCollapseRunName', 'run_2026_03_12_233710_aging_time_rescaling_collapse');"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","83","default_runname","dipCollapseRunName","run_2026_03_12_233710_aging_time_rescaling_collapse","cfg = setDefaultField(cfg, 'dipCollapseRunName', 'run_2026_03_12_233710_aging_time_rescaling_collapse');"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","84","explicit_runid_in_line","","run_2026_03_10_112659_alignment_audit","cfg = setDefaultField(cfg, 'switchRunName', 'run_2026_03_10_112659_alignment_audit');"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","84","default_runname","switchRunName","run_2026_03_10_112659_alignment_audit","cfg = setDefaultField(cfg, 'switchRunName', 'run_2026_03_10_112659_alignment_audit');"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","85","explicit_runid_in_line","","run_2026_03_11_084425_relaxation_switching_motion_test","cfg = setDefaultField(cfg, 'switchMotionRunName', 'run_2026_03_11_084425_relaxation_switching_motion_test');"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","85","default_runname","switchMotionRunName","run_2026_03_11_084425_relaxation_switching_motion_test","cfg = setDefaultField(cfg, 'switchMotionRunName', 'run_2026_03_11_084425_relaxation_switching_motion_test');"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","86","explicit_runid_in_line","","run_2026_03_12_234016_switching_full_scaling_collapse","cfg = setDefaultField(cfg, 'switchFullScalingRunName', 'run_2026_03_12_234016_switching_full_scaling_collapse');"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","86","default_runname","switchFullScalingRunName","run_2026_03_12_234016_switching_full_scaling_collapse","cfg = setDefaultField(cfg, 'switchFullScalingRunName', 'run_2026_03_12_234016_switching_full_scaling_collapse');"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","87","explicit_runid_in_line","","run_2026_03_13_020519_switching_composite_observable_scan","cfg = setDefaultField(cfg, 'switchCompositeRunName', 'run_2026_03_13_020519_switching_composite_observable_scan');"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","87","default_runname","switchCompositeRunName","run_2026_03_13_020519_switching_composite_observable_scan","cfg = setDefaultField(cfg, 'switchCompositeRunName', 'run_2026_03_13_020519_switching_composite_observable_scan');"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","88","explicit_runid_in_line","","run_2026_03_11_203011_existing_results_state_map","cfg = setDefaultField(cfg, 'existingStateRunName', 'run_2026_03_11_203011_existing_results_state_map');"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","88","default_runname","existingStateRunName","run_2026_03_11_203011_existing_results_state_map","cfg = setDefaultField(cfg, 'existingStateRunName', 'run_2026_03_11_203011_existing_results_state_map');"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","89","explicit_runid_in_line","","run_2026_03_12_075103_unified_dynamical_crossover_synthesis","cfg = setDefaultField(cfg, 'unifiedRunName', 'run_2026_03_12_075103_unified_dynamical_crossover_synthesis');"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","89","default_runname","unifiedRunName","run_2026_03_12_075103_unified_dynamical_crossover_synthesis","cfg = setDefaultField(cfg, 'unifiedRunName', 'run_2026_03_12_075103_unified_dynamical_crossover_synthesis');"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","90","explicit_runid_in_line","","run_2026_03_12_084004_common_dynamical_subspace","cfg = setDefaultField(cfg, 'subspaceRunName', 'run_2026_03_12_084004_common_dynamical_subspace');"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","90","default_runname","subspaceRunName","run_2026_03_12_084004_common_dynamical_subspace","cfg = setDefaultField(cfg, 'subspaceRunName', 'run_2026_03_12_084004_common_dynamical_subspace');"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","130","explicit_runid_in_line","","run_2026_03_11_203011_existing_results_state_map","'direct_aging_fm_vs_switching', 'run_2026_03_11_203011_existing_results_state_map', 'gap_scan', 'No saved modern run directly compares Switching motion or growth observables to Aging Dip_depth, FM_abs, or related sector observables.', false;"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","132","explicit_runid_in_line","","run_2026_03_12_084004_common_dynamical_subspace","'aggregated_fm_vs_switching_subspace', 'run_2026_03_12_084004_common_dynamical_subspace', 'indirect_old_fm_scalarization', 'An older aggregated FM_abs(Tp) export was found to align with Switching |dI_peak/dT|, but that run predated tau_FM and did not justify reducing FM_abs(Tp, tw) to one scalar.', false;"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","133","explicit_runid_in_line","","run_2026_03_12_075103_unified_dynamical_crossover_synthesis","'background_proxy_vs_switching', 'run_2026_03_12_075103_unified_dynamical_crossover_synthesis', 'indirect_proxy_link', 'The unified crossover synthesis explicitly used a structural-collapse background proxy instead of scalar FM_abs and reported strong background-proxy vs Switching mobility alignment.', true;"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","134","explicit_runid_in_line","","run_2026_03_13_013634_aging_fm_timescale_analysis","'fm_sector_timescale', 'run_2026_03_13_013634_aging_fm_timescale_analysis', 'current_fm_sector_result', 'FM_abs shows a meaningful collapse under tau_FM(Tp), with tau_FM distinct from tau_dip.', true;"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","135","explicit_runid_in_line","","run_2026_03_12_223709_aging_timescale_extraction","'dip_sector_timescale', 'run_2026_03_12_223709_aging_timescale_extraction + run_2026_03_12_233710_aging_time_rescaling_collapse', 'current_dip_sector_result', 'Dip_depth has its own resolved tau_dip(Tp) and a strong time-rescaling collapse.', true;"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","136","explicit_runid_in_line","","run_2026_03_10_112659_alignment_audit","'switching_observable_reuse', 'run_2026_03_10_112659_alignment_audit + run_2026_03_11_084425_relaxation_switching_motion_test + run_2026_03_12_234016_switching_full_scaling_collapse', 'reused_switching_observables', 'I_peak(T), S_peak(T), width_I(T), ridge motion |dI_peak/dT|, and full-scaling width(T) already exist as saved outputs.', true};"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","264","explicit_runid_in_line","","run_2026_03_11_084425_relaxation_switching_motion_test","obs(end+1,1) = makeSwitchObs(""ridge_motion_abs_dIpeak_dT"", 'Switching ridge motion |dI_peak/dT|', switching.motion.T_K, switching.motion.motion_abs_dI_peak_dT, ""mobility"", true, ""Saved ridge-motion observable and the most direct Switching mobility proxy."", ""run_2026_03_11_084425_relaxation_switching_motion_test"", ""Good support from 14-30 K; 34 K is missing."");"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","265","explicit_runid_in_line","","run_2026_03_10_112659_alignment_audit","obs(end+1,1) = makeSwitchObs(""S_peak"", 'Switching S_peak(T)', switching.canonical.T, switching.canonical.S_peak, ""amplitude"", true, ""Canonical Switching peak amplitude from the alignment audit."", ""run_2026_03_10_112659_alignment_audit"", ""Available through 34 K."");"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","266","explicit_runid_in_line","","run_2026_03_10_112659_alignment_audit","obs(end+1,1) = makeSwitchObs(""I_peak"", 'Switching I_peak(T)', switching.canonical.T, switching.canonical.I_peak, ""ridge_position"", true, ""Canonical ridge-position observable; useful as a pinned/mobile coordinate rather than as a mobility amplitude."", ""run_2026_03_10_112659_alignment_audit"", ""Available through 34 K, but the 34 K point is non-monotone."");"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","267","explicit_runid_in_line","","run_2026_03_10_112659_alignment_audit","obs(end+1,1) = makeSwitchObs(""width_I"", 'Switching width_I(T)', switching.canonical.T, switching.canonical.width_I, ""width"", true, ""Requested canonical width observable from the alignment audit."", ""run_2026_03_10_112659_alignment_audit"", ""High-temperature support is poor because width_I is NaN above 28 K."");"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","268","explicit_runid_in_line","","run_2026_03_12_234016_switching_full_scaling_collapse","obs(end+1,1) = makeSwitchObs(""width_full_scaling"", 'Switching full-scaling width(T)', switching.fullScaling.T_K, switching.fullScaling.width_chosen_mA, ""width"", true, ""Newer saved width observable from the full-scaling collapse run."", ""run_2026_03_12_234016_switching_full_scaling_collapse"", ""Extends usable width coverage to 30 K, but still lacks 34 K."");"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","272","explicit_runid_in_line","","run_2026_03_13_020519_switching_composite_observable_scan","obs(end+1,1) = makeSwitchObs(""I_over_wS"", 'Switching composite I/(w S)', switching.fullScaling.T_K, XcanonicalAtFullScalingT, ""composite"", false, ""Exploratory composite from the switching composite scan; inspected but not used in the main assignment."", ""run_2026_03_13_020519_switching_composite_observable_scan"", ""Composite context only, not a canonical target."");"
"C:\Dev\matlab-functions\analysis\aging_timescale_bridge.m","144","explicit_runid_in_line","","run_2026_03_10_175048_relaxation_observable_stability_audit","cfg = setDefaultField(cfg, 'relaxRunName', 'run_2026_03_10_175048_relaxation_observable_stability_audit');"
"C:\Dev\matlab-functions\analysis\aging_timescale_bridge.m","144","default_runname","relaxRunName","run_2026_03_10_175048_relaxation_observable_stability_audit","cfg = setDefaultField(cfg, 'relaxRunName', 'run_2026_03_10_175048_relaxation_observable_stability_audit');"
"C:\Dev\matlab-functions\analysis\aging_timescale_bridge.m","145","explicit_runid_in_line","","run_2026_03_13_071713_switching_composite_observable_scan","cfg = setDefaultField(cfg, 'switchCompositeRunName', 'run_2026_03_13_071713_switching_composite_observable_scan');"
"C:\Dev\matlab-functions\analysis\aging_timescale_bridge.m","145","default_runname","switchCompositeRunName","run_2026_03_13_071713_switching_composite_observable_scan","cfg = setDefaultField(cfg, 'switchCompositeRunName', 'run_2026_03_13_071713_switching_composite_observable_scan');"
"C:\Dev\matlab-functions\analysis\aging_timescale_bridge.m","146","explicit_runid_in_line","","run_2026_03_12_223709_aging_timescale_extraction","cfg = setDefaultField(cfg, 'dipTauRunName', 'run_2026_03_12_223709_aging_timescale_extraction');"
"C:\Dev\matlab-functions\analysis\aging_timescale_bridge.m","146","default_runname","dipTauRunName","run_2026_03_12_223709_aging_timescale_extraction","cfg = setDefaultField(cfg, 'dipTauRunName', 'run_2026_03_12_223709_aging_timescale_extraction');"
"C:\Dev\matlab-functions\analysis\aging_timescale_bridge.m","147","explicit_runid_in_line","","run_2026_03_13_013634_aging_fm_timescale_analysis","cfg = setDefaultField(cfg, 'fmTauRunName', 'run_2026_03_13_013634_aging_fm_timescale_analysis');"
"C:\Dev\matlab-functions\analysis\aging_timescale_bridge.m","147","default_runname","fmTauRunName","run_2026_03_13_013634_aging_fm_timescale_analysis","cfg = setDefaultField(cfg, 'fmTauRunName', 'run_2026_03_13_013634_aging_fm_timescale_analysis');"
"C:\Dev\matlab-functions\analysis\ax_functional_relation_analysis.m","120","explicit_runid_in_line","","run_2026_03_10_175048_relaxation_observable_stability_audit","cfg = setDefaultField(cfg, 'relaxRunName', 'run_2026_03_10_175048_relaxation_observable_stability_audit');"
"C:\Dev\matlab-functions\analysis\ax_functional_relation_analysis.m","120","default_runname","relaxRunName","run_2026_03_10_175048_relaxation_observable_stability_audit","cfg = setDefaultField(cfg, 'relaxRunName', 'run_2026_03_10_175048_relaxation_observable_stability_audit');"
"C:\Dev\matlab-functions\analysis\ax_functional_relation_analysis.m","121","explicit_runid_in_line","","run_2026_03_13_112155_switching_geometry_diagnostics","cfg = setDefaultField(cfg, 'switchRunName', 'run_2026_03_13_112155_switching_geometry_diagnostics');"
"C:\Dev\matlab-functions\analysis\ax_functional_relation_analysis.m","121","default_runname","switchRunName","run_2026_03_13_112155_switching_geometry_diagnostics","cfg = setDefaultField(cfg, 'switchRunName', 'run_2026_03_13_112155_switching_geometry_diagnostics');"
"C:\Dev\matlab-functions\analysis\barrier_observable_test.m","107","explicit_runid_in_line","","run_2026_03_12_234016_switching_full_scaling_collapse","cfg = setDefaultField(cfg, 'switchRunName', 'run_2026_03_12_234016_switching_full_scaling_collapse');"
"C:\Dev\matlab-functions\analysis\barrier_observable_test.m","107","default_runname","switchRunName","run_2026_03_12_234016_switching_full_scaling_collapse","cfg = setDefaultField(cfg, 'switchRunName', 'run_2026_03_12_234016_switching_full_scaling_collapse');"
"C:\Dev\matlab-functions\analysis\barrier_observable_test.m","108","explicit_runid_in_line","","run_2026_03_10_175048_relaxation_observable_stability_audit","cfg = setDefaultField(cfg, 'relaxRunName', 'run_2026_03_10_175048_relaxation_observable_stability_audit');"
"C:\Dev\matlab-functions\analysis\barrier_observable_test.m","108","default_runname","relaxRunName","run_2026_03_10_175048_relaxation_observable_stability_audit","cfg = setDefaultField(cfg, 'relaxRunName', 'run_2026_03_10_175048_relaxation_observable_stability_audit');"
"C:\Dev\matlab-functions\analysis\common_dynamical_subspace_analysis.m","21","explicit_runid_in_line","","run_2026_03_10_175048_relaxation_observable_stability_audit","cfg = setDefaultField(cfg,'relaxRunName','run_2026_03_10_175048_relaxation_observable_stability_audit');"
"C:\Dev\matlab-functions\analysis\common_dynamical_subspace_analysis.m","21","default_runname","relaxRunName","run_2026_03_10_175048_relaxation_observable_stability_audit","cfg = setDefaultField(cfg,'relaxRunName','run_2026_03_10_175048_relaxation_observable_stability_audit');"
"C:\Dev\matlab-functions\analysis\common_dynamical_subspace_analysis.m","22","explicit_runid_in_line","","run_2026_03_10_200643_observable_mode_correlation","cfg = setDefaultField(cfg,'agingRunName','run_2026_03_10_200643_observable_mode_correlation');"
"C:\Dev\matlab-functions\analysis\common_dynamical_subspace_analysis.m","22","default_runname","agingRunName","run_2026_03_10_200643_observable_mode_correlation","cfg = setDefaultField(cfg,'agingRunName','run_2026_03_10_200643_observable_mode_correlation');"
"C:\Dev\matlab-functions\analysis\common_dynamical_subspace_analysis.m","23","explicit_runid_in_line","","run_2026_03_11_011643_observable_identification_audit","cfg = setDefaultField(cfg,'agingAuditRunName','run_2026_03_11_011643_observable_identification_audit');"
"C:\Dev\matlab-functions\analysis\common_dynamical_subspace_analysis.m","23","default_runname","agingAuditRunName","run_2026_03_11_011643_observable_identification_audit","cfg = setDefaultField(cfg,'agingAuditRunName','run_2026_03_11_011643_observable_identification_audit');"
"C:\Dev\matlab-functions\analysis\common_dynamical_subspace_analysis.m","24","explicit_runid_in_line","","run_2026_03_10_112659_alignment_audit","cfg = setDefaultField(cfg,'switchRunName','run_2026_03_10_112659_alignment_audit');"
"C:\Dev\matlab-functions\analysis\common_dynamical_subspace_analysis.m","24","default_runname","switchRunName","run_2026_03_10_112659_alignment_audit","cfg = setDefaultField(cfg,'switchRunName','run_2026_03_10_112659_alignment_audit');"
"C:\Dev\matlab-functions\analysis\common_dynamical_subspace_analysis.m","25","explicit_runid_in_line","","run_2026_03_11_084425_relaxation_switching_motion_test","cfg = setDefaultField(cfg,'switchMotionRunName','run_2026_03_11_084425_relaxation_switching_motion_test');"
"C:\Dev\matlab-functions\analysis\common_dynamical_subspace_analysis.m","25","default_runname","switchMotionRunName","run_2026_03_11_084425_relaxation_switching_motion_test","cfg = setDefaultField(cfg,'switchMotionRunName','run_2026_03_11_084425_relaxation_switching_motion_test');"
"C:\Dev\matlab-functions\analysis\common_dynamical_subspace_analysis.m","26","explicit_runid_in_line","","run_2026_03_11_224713_relaxation_aging_canonical_comparison","cfg = setDefaultField(cfg,'crossRelaxAgingRunName','run_2026_03_11_224713_relaxation_aging_canonical_comparison');"
"C:\Dev\matlab-functions\analysis\common_dynamical_subspace_analysis.m","26","default_runname","crossRelaxAgingRunName","run_2026_03_11_224713_relaxation_aging_canonical_comparison","cfg = setDefaultField(cfg,'crossRelaxAgingRunName','run_2026_03_11_224713_relaxation_aging_canonical_comparison');"
"C:\Dev\matlab-functions\analysis\common_dynamical_subspace_analysis.m","27","explicit_runid_in_line","","run_2026_03_12_004907_switching_relaxation_observable_comparis","cfg = setDefaultField(cfg,'crossSwitchRelaxRunName','run_2026_03_12_004907_switching_relaxation_observable_comparis');"
"C:\Dev\matlab-functions\analysis\common_dynamical_subspace_analysis.m","27","default_runname","crossSwitchRelaxRunName","run_2026_03_12_004907_switching_relaxation_observable_comparis","cfg = setDefaultField(cfg,'crossSwitchRelaxRunName','run_2026_03_12_004907_switching_relaxation_observable_comparis');"
"C:\Dev\matlab-functions\analysis\common_dynamical_subspace_analysis.m","28","explicit_runid_in_line","","run_2026_03_12_075103_unified_dynamical_crossover_synthesis","cfg = setDefaultField(cfg,'crossUnifiedRunName','run_2026_03_12_075103_unified_dynamical_crossover_synthesis');"
"C:\Dev\matlab-functions\analysis\common_dynamical_subspace_analysis.m","28","default_runname","crossUnifiedRunName","run_2026_03_12_075103_unified_dynamical_crossover_synthesis","cfg = setDefaultField(cfg,'crossUnifiedRunName','run_2026_03_12_075103_unified_dynamical_crossover_synthesis');"
"C:\Dev\matlab-functions\analysis\finalize_relaxation_aging_run.m","3","explicit_runid_in_line","","run_2026_03_11_223145_relaxation_aging_canonical_comparison","runDir = ""C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_223145_relaxation_aging_canonical_comparison"";"
"C:\Dev\matlab-functions\analysis\get_canonical_X.m","53","explicit_runid_in_line","","run_2026_03_22_013049_x_observable_export_corrected","opts.runName = 'run_2026_03_22_013049_x_observable_export_corrected';"
"C:\Dev\matlab-functions\analysis\motion_activity_comparison.m","103","explicit_runid_in_line","","run_2026_03_12_234016_switching_full_scaling_collapse","cfg = setDefaultField(cfg, 'switchRunName', 'run_2026_03_12_234016_switching_full_scaling_collapse');"
"C:\Dev\matlab-functions\analysis\motion_activity_comparison.m","103","default_runname","switchRunName","run_2026_03_12_234016_switching_full_scaling_collapse","cfg = setDefaultField(cfg, 'switchRunName', 'run_2026_03_12_234016_switching_full_scaling_collapse');"
