"blocker_type","severity","script_path","evidence","prevents_entrypoint_run","prevents_minimal_migration"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_kappa2_operational_signature_test.m","line 15: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_kappa2_operational_signature_test.m","line 127: 'run_2026_03_10_112659_alignment_audit', 'alignment_audit', 'switching_alignment_samples.csv'));","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_kappa2_physical_necessity.m","line 3: % Determine whether kappa2 is physically required for aging or only empirical.","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_kappa2_physical_necessity.m","line 9: repoRoot = 'C:\Dev\matlab-functions';","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_minimal_canonical.m","line 9: exist(fullfile(temp_dir, 'Aging'), 'dir') && ...","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_minimal_canonical.m","line 67: pf = fullfile(repoRoot, 'run_dir_pointer.txt');","NO","NO"
"ROOT_TABLE_LOADING_DEPENDENCY","MEDIUM","Switching/analysis/run_parameter_robustness_switching_canonical.m","line 27: Tsamp = readtable(samplesPath);","NO","NO"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_parameter_robustness_switching_canonical.m","line 10: 'run_2026_03_10_112659_alignment_audit', 'alignment_audit', 'switching_alignment_samples.csv');","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_phi_asymmetry_link.m","line 18: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_phi_asymmetry_link.m","line 211: cfg = localSetDef(cfg, 'canonicalDecompositionRunId', 'run_2026_03_24_220314_residual_decomposition');","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_phi_even_deformation_test.m","line 18: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_phi_even_deformation_test.m","line 64: '_extract_run_2026_03_24_220314_residual_decomposition', ...","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_phi_physical_identification.m","line 18: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_phi_physical_identification.m","line 64: '_extract_run_2026_03_24_220314_residual_decomposition', ...","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_phi_physical_structure_test.m","line 16: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_phi_physical_structure_test.m","line 221: cfg = localSetDef(cfg, 'canonicalDecompositionRunId', 'run_2026_03_24_220314_residual_decomposition');","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_phi_pt_independence_test.m","line 17: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_phi_pt_independence_test.m","line 360: cfg = localSetDef(cfg, 'alignmentRunId', 'run_2026_03_10_112659_alignment_audit');","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_phi_pt_restricted_deformation.m","line 35: addpath(fullfile(repoRoot, 'Aging', 'utils'));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_phi_pt_restricted_deformation.m","line 229: cfg = localSetDef(cfg, 'decompositionRunId', 'run_2026_03_24_220314_residual_decomposition');","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_phi_pt_restricted_deformation_5_1.m","line 30: addpath(fullfile(repoRoot, 'Aging', 'utils'));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_phi_pt_restricted_deformation_5_1.m","line 460: cfg = localSetDef(cfg, 'decompositionRunId', 'run_2026_03_24_220314_residual_decomposition');","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_phi_pt_restricted_deformation_stable.m","line 22: addpath(fullfile(repoRoot, 'Aging', 'utils'));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_phi_pt_restricted_deformation_stable.m","line 29: cfg = localSetDef(cfg, 'decompositionRunId', ""run_2026_03_24_220314_residual_decomposition"");","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_phi_temperature_derivative_test.m","line 17: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_phi_temperature_derivative_test.m","line 232: cfg = setDef(cfg, 'decompositionRunId', 'run_2026_03_24_220314_residual_decomposition');","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_phi1_observable_phi2_driver_test.m","line 18: addpath(genpath(fullfile(repoRoot, 'Aging'))); addpath(fullfile(repoRoot, 'tools')); addpath(fullfile(repoRoot, 'tools', 'figures')); addpath(fullfile(repoRoot, 'Switching', 'utils'), '-begin'); addpath(analysisDir, '-begin');","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_phi1_observable_phi2_driver_test.m","line 3: repoRoot = 'C:/Dev/matlab-functions';","NO","NO"
"ROOT_TABLE_LOADING_DEPENDENCY","MEDIUM","Switching/analysis/run_phi1_phi2_observable_closure_fixed.m","line 53: T_o2A = readtable(o2AlignedCsvPath, 'VariableNamingRule', 'preserve');","NO","NO"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_phi1_phi2_observable_closure_fixed.m","line 5: repoRoot = 'C:/Dev/matlab-functions';","NO","NO"
"ROOT_TABLE_LOADING_DEPENDENCY","MEDIUM","Switching/analysis/run_phi1_phi2_observable_closure_test.m","line 33: mapTbl = readtable(inputCandidatesPath, 'VariableNamingRule', 'preserve');","NO","NO"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_phi1_phi2_observable_closure_test.m","line 5: repoRoot = 'C:/Dev/matlab-functions';","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_phi2_deformation_structure_test.m","line 13: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_phi2_deformation_structure_test.m","line 10: repoRoot = 'C:/Dev/matlab-functions';","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_phi2_extended_deformation_basis_test.m","line 27: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_phi2_extended_deformation_basis_test.m","line 24: repoRoot = 'C:/Dev/matlab-functions';","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_phi2_kappa2_canonical_residual_mode.m","line 35: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_phi2_kappa2_canonical_residual_mode.m","line 4: repoRoot = 'C:/Dev/matlab-functions';","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_phi2_second_order_deformation_test.m","line 17: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_phi2_second_order_deformation_test.m","line 14: repoRoot = 'C:/Dev/matlab-functions';","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_phi2_shape_physics_test.m","line 18: addpath(genpath(fullfile(repoRoot, 'Aging'))); addpath(fullfile(repoRoot, 'tools')); addpath(fullfile(repoRoot, 'tools', 'figures')); addpath(fullfile(repoRoot, 'Switching', 'utils'), '-begin'); addpath(analysisDir, '-begin');","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_phi2_shape_physics_test.m","line 3: repoRoot = 'C:/Dev/matlab-functions';","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_prediction_falsification_test.m","line 14: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_prediction_falsification_test.m","line 191: cfg = setDefault(cfg, 'alignmentRunId', 'run_2026_03_10_112659_alignment_audit');","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_pt_deformation_mode_test.m","line 19: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_pt_deformation_mode_test.m","line 214: cfg = localSetDef(cfg, 'decompositionRunId', 'run_2026_03_24_220314_residual_decomposition');","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_pt_energy_extraction_robustness_audit.m","line 18: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_PT_kappa_relaxation_mapping.m","line 1: % RUN_PT_KAPPA_RELAXATION_MAPPING","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_PT_kappa_relaxation_mapping.m","line 6: %   tools/run_matlab_safe.bat C:\Dev\matlab-functions\Switching\analysis\run_PT_kappa_relaxation_mapping.m","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_PT_to_relaxation_mapping.m","line 1: % RUN_PT_TO_RELAXATION_MAPPING  Test mapping from PT(E) to relaxation R(T,t).","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_PT_to_relaxation_mapping.m","line 5: %   tools/run_matlab_safe.bat C:\Dev\matlab-functions\Switching\analysis\run_PT_to_relaxation_mapping.m","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_pt_width_spread_observable_analysis.m","line 22: addpath(fullfile(repoRoot, 'Aging', 'utils'));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_pt_width_spread_observable_analysis.m","line 141: 'run_2026_03_25_013346_pt_energy_robustness_audit');","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_relaxation_deep_search.m","line 1: % RUN_RELAXATION_DEEP_SEARCH  Deep search for relaxation dynamics in selected runs.","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_relaxation_deep_search.m","line 5: %   tools/run_matlab_safe.bat C:\Dev\matlab-functions\Switching\analysis\run_relaxation_deep_search.m","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_relaxation_extraction_from_known_runs.m","line 1: % run_relaxation_extraction_from_known_runs","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_relaxation_extraction_from_known_runs.m","line 8: repoRoot = 'C:/Dev/matlab-functions';","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_relaxation_outlier_audit.m","line 1: % run_relaxation_outlier_audit","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_relaxation_outlier_audit.m","line 7: repoRoot = 'C:/Dev/matlab-functions';","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_relaxation_outlier_audit_no_toolbox.m","line 1: % run_relaxation_outlier_audit_no_toolbox","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_relaxation_outlier_audit_no_toolbox.m","line 7: repoRoot = 'C:/Dev/matlab-functions';","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_residual_decomposition_22k_failure_audit.m","line 12: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_residual_decomposition_22k_failure_audit.m","line 4: % (run_2026_03_24_220314_residual_decomposition chain). Writes to a new","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_residual_rank2_audit.m","line 370: % Reproduce pt_svd_score1/2 calculation from run_barrier_to_relaxation_mechanism.m:","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_residual_rank2_audit.m","line 29: baseRunId = ""run_2026_03_25_012517_rsr_child_baseline"";","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_residual_sector_robustness.m","line 26: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_residual_sector_robustness.m","line 31: alignmentRunId = 'run_2026_03_10_112659_alignment_audit';","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_residual_temperature_structure_test.m","line 12: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_residual_temperature_structure_test.m","line 17: alignmentRunId = 'run_2026_03_10_112659_alignment_audit';","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_switching_peak_jump_audit.m","line 12: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_switching_peak_jump_audit.m","line 17: sourceRunId = 'run_2026_03_10_112659_alignment_audit';","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_tail_ablation_test.m","line 14: addpath(fullfile(repoRoot, 'Aging', 'utils'));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_tail_ablation_test.m","line 147: 'run_2026_03_25_013356_pt_robust_canonical', 'tables', 'PT_matrix.csv'));","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_trajectory_geometry_aging_test.m","line 1: % run_trajectory_geometry_aging_test","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_trajectory_geometry_aging_test.m","line 10: repoRoot = 'C:\Dev\matlab-functions';","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/run_validate_relaxation_dataset.m","line 1: % run_validate_relaxation_dataset","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_validate_relaxation_dataset.m","line 7: repoRoot = 'C:/Dev/matlab-functions';","NO","NO"
"ROOT_TABLE_LOADING_DEPENDENCY","MEDIUM","Switching/analysis/run_width_decomposition_test.m","line 77: widthTbl = readtable(widthPath, 'VariableNamingRule', 'preserve');","NO","NO"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_width_interaction_closure_test.m","line 2: sp='C:\Dev\matlab-functions\Switching\analysis\run_width_interaction_closure_test.m';","NO","NO"
"ROOT_TABLE_LOADING_DEPENDENCY","MEDIUM","Switching/analysis/run_width_interaction_closure_test_v2.m","line 107: tmp = load(f, info(idxS).name, info(idxT).name, info(idxI).name);","NO","NO"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/run_width_interaction_closure_test_v2.m","line 5: repoRoot = 'C:\Dev\matlab-functions';","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/switching_a1_vs_curvature_test.m","line 14: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/switching_a1_vs_curvature_test.m","line 141: cfg = setDefault(cfg, 'a1RunId', 'run_2026_03_14_161801_switching_dynamic_shape_mode');","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/switching_alignment_audit.m","line 2: % R_relax = time-dependent relaxation (-dM/dlog t)","NO","YES"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/switching_dynamic_shape_geometry_match_analysis.m","line 15: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/switching_dynamic_shape_geometry_match_analysis.m","line 191: cfg = setDefault(cfg, 'dynamicShapeRunId', 'run_2026_03_14_161801_switching_dynamic_shape_mode');","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/switching_dynamic_shape_mode_analysis.m","line 21: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/switching_dynamic_shape_mode_analysis.m","line 353: cfg = setDefault(cfg, 'alignmentRunId', 'run_2026_03_10_112659_alignment_audit');","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/switching_effective_observables.m","line 14: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/switching_effective_observables.m","line 207: cfg = setDefaultField(cfg, 'fullScalingRunId', 'run_2026_03_12_234016_switching_full_scaling_collapse');","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/switching_energy_mapping_analysis.m","line 15: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/switching_energy_scale_collapse_filtered.m","line 13: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/switching_energy_scale_collapse_filtered.m","line 18: sourceRunId = ""run_2026_03_10_112659_alignment_audit"";","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/switching_full_scaling_collapse.m","line 12: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/switching_full_scaling_collapse.m","line 17: sourceRunId = ""run_2026_03_10_112659_alignment_audit"";","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/switching_full_scaling_collapse_figure_repair.m","line 13: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/switching_full_scaling_collapse_figure_repair.m","line 19: sourceRunId = ""run_2026_03_12_234016_switching_full_scaling_collapse"";","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/switching_geometry_diagnostics.m","line 13: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/switching_geometry_diagnostics.m","line 17: sourceScalingRunId = ""run_2026_03_12_234016_switching_full_scaling_collapse"";","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/switching_mechanism_followup.m","line 18: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/switching_mechanism_survey.m","line 18: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/switching_mode23_analysis.m","line 2: % R_relax = time-dependent relaxation (-dM/dlog t)","NO","YES"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/switching_observable_basis_test.m","line 13: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/switching_observable_stability_survey.m","line 19: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/switching_residual_collapse_verification_analysis.m","line 14: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/switching_residual_collapse_verification_analysis.m","line 268: cfg = setDefault(cfg, 'dynamicShapeRunId', 'run_2026_03_14_161801_switching_dynamic_shape_mode');","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/switching_residual_decomposition_analysis.m","line 17: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/switching_residual_decomposition_analysis.m","line 223: cfg = setDefault(cfg, 'alignmentRunId', 'run_2026_03_10_112659_alignment_audit');","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/switching_ridge_curvature_analysis.m","line 27: addpath(genpath(fullfile(repoRoot, 'Aging')));","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/switching_ridge_curvature_analysis.m","line 135: cfg = setDefault(cfg, 'switchMapRunId', 'run_2026_03_13_152008_switching_effective_observables');","NO","NO"
"CROSS_PIPELINE_DEPENDENCY","HIGH","Switching/analysis/switching_ridge_susceptibility_analysis.m","line 6: % with the relaxation observable a1(T) and whether it scales with the","NO","YES"
"HIDDEN_INPUT_BINDING","MEDIUM","Switching/analysis/switching_ridge_susceptibility_analysis.m","line 355: cfg = setDefault(cfg, 'effObsRunId',           'run_2026_03_13_152008_switching_effective_observables');","NO","NO"
