"loss_type","method","path","evidence"
"code_without_outputs","build_relaxation_dataset_from_pipeline","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","canonical_clock_config_template","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","collapse_failure_mode_test","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","colormarkersbytp_activefigure","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","computedeltam","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","config_snapshot","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","construct_canonical_clock","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","converttomubperco","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","cost_step_gauss","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","createruncontext","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","dbg","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","dbgextractphysicscontext","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","dbgfigure","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","dbginitdiagnostics","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","dbgsavefig","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","dbgsummaryphysics","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","dbgsummarytable","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","debugagingdiagnostics","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","debugagingstage4","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","debugplotgeometry","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","debugplotswitchingreconstruction","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","diagnose_baseline_subtracted_fm","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","diagnose_decomposition_audit_waittimes","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","diagnose_decomposition_audit_waittimes_clean","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","diagnose_deltam_shifted_bytp_waittimes","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","diagnose_deltam_svd_pca","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","diagnose_fit_vs_derivative_audit","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","diagnose_fm_construction_audit","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","diagnose_fm_sign_stability","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","diagnose_hight_basis_comparison","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","diagnose_linear_combo_switching","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","diagnose_mode1_separability","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","diagnose_shifted_basis_fit","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","diagnose_switching_regime_features","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","diagnose_waittime_to_current_mapping","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","diagnostic","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","diagnostic_wrapped","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","estimaterobustbaseline","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","estimaterobustbaseline_canonical","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","extract_tau_from_relaxation","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","filteragingmemory","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","final_integration_test","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","find_relaxation_time_series","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","fitafm_fm_meanfield_and_dipgaussian","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","fitafm_fm_meanfield_and_diplorentzian","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","fitfmstep_plus_gaussiandip","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","getfilelist_aging","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","getpauseruns","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","getresultsdir","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","getvalidswitchtp","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","importfiles_aging","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","inspect_relaxation_data_structure","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","kappa1_pt_vs_speak_test","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","kappa1_simplification_test","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","kappa2_operational_signature_test","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","locate_relaxation_raw_runs","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","main_aging","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","minimal_diary_test","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","minimal_verify","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","parseagingfilename","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","phi_pt_restricted_deformation","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","phi_pt_restricted_deformation_5_1","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","phi_pt_restricted_deformation_stable","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","phi2_kappa2_canonical_residual_mode","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","pipeline_smoke_test","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","plotafm_fm","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","plotafm_fm_decomposition","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","plotafm_fm_robustnesscheck","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","plotagingmemory_afm_vs_fm","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","plotdecompositionexamples","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","prl_validation_jmodel","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","quicksanitycheck","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","reconstructswitchingamplitude","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","relaxation_aging_canonical_comparison","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","relaxation_canonical_implementation_check_dirty_backup","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","relaxation_extraction_from_known_runs","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","relaxation_switching_bridge_visualization","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","relaxation_switching_knee_comparison","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","relaxation_switching_motion_test","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","relaxation_tau_time_window_test","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","relaxation_temperature_scaling_test","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","relaxation_temperature_scaling_wrapper","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","residual_decomposition_22k_failure_audit","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","ridge_crossover_vs_relaxation","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","ridge_motion_relaxation_analysis","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","ridge_relaxation_comparison","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","runphasec_leaveoneout","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","runrobustnesscheck","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","safecorr","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","setdefault","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","simple_switching_observable_search_vs_relaxation","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","simple_test","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","stage0_setuppaths","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","stage1_loaddata","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","stage2_preprocess","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","stage3_computedeltam","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","stage4_analyzeafm_fm","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","stage5_fitfmgaussian","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","stage6_extractmetrics","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","stage7_reconstructswitching","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","stage8_globaljfit_shiftgating","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","stage8_plotting","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","stage9_export","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","stagec2_sweepdipwindow","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","switching_chi_shift_shape_decomposition","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","switching_collapse_asymmetry_test","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","switching_collapse_kernel_analysis","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","switching_energy_scale_collapse_filtered","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","switching_full_scaling_collapse","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","switching_full_scaling_collapse_figure_repair","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","switching_physical_baseline_model","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","switching_raw_baseline_correction_and_comparison","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","switching_relaxation_amplitude_test","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","switching_relaxation_bridge_robustness_audit","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","switching_relaxation_observable_comparison","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","switching_residual_collapse_verification_analysis","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","switching_residual_decomposition_analysis","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","switching_ridge_motion_decomposition","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","switching_shape_sector_vs_collapse_asymmetry","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","switching_width_relaxation_correlation","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","test_aging_trace_structure_minimal","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","test_canonical_two_time_layer","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","test_debug_infrastructure","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","test_stage7_robustness","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","test_stage8_import","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","test_tp_exclusion_simple","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","test_verification","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","testdipbaselinepr","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","trajectory_geometry_aging_test","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","validate_matlab_syntax_direct","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","validate_relaxation_dataset","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","validate_syntax_final","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","verify_aging_trace_structure_final","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","verify_matlab_environment","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","verify_stage4_refactor","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","verify_tp_exclusion_patch","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","verifyonrealdata","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","verifyrobustbaseline_realdata","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","verifyrobustbaseline_realdata_main","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","verifyrobustbaseline_simple","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","verifyrobustbaseline_withlogging","(multiple)","script exists but no table/report output found in inventory"
"code_without_outputs","width_decomposition_test","(multiple)","script exists but no table/report output found in inventory"
"moved_non_canonical_work","aging_structure_execution_handoff","AGING_STRUCTURE_EXECUTION_HANDOFF.md","cleanup action=MOVED; reason=NON_CANONICAL"
"moved_non_canonical_work","aging_trace_structure_delivery_summary","AGING_TRACE_STRUCTURE_DELIVERY_SUMMARY.md","cleanup action=MOVED; reason=NON_CANONICAL"
"moved_non_canonical_work","conversation_session_complete","CONVERSATION_SESSION_COMPLETE.txt","cleanup action=MOVED; reason=NON_CANONICAL"
"moved_non_canonical_work","final_completion_report","FINAL_COMPLETION_REPORT.md","cleanup action=MOVED; reason=NON_CANONICAL"
"moved_non_canonical_work","final_integration_test","FINAL_INTEGRATION_TEST.m","cleanup action=MOVED; reason=NON_CANONICAL"
"moved_non_canonical_work","master_executive_summary","MASTER_EXECUTIVE_SUMMARY.md","cleanup action=MOVED; reason=NON_CANONICAL"
"moved_non_canonical_work","production_deployment_checklist","PRODUCTION_DEPLOYMENT_CHECKLIST.md","cleanup action=MOVED; reason=NON_CANONICAL"
"moved_non_canonical_work","production_sign_off_certificate","PRODUCTION_SIGN_OFF_CERTIFICATE.md","cleanup action=MOVED; reason=NON_CANONICAL"
"moved_non_canonical_work","repository_state_summary","REPOSITORY_STATE_SUMMARY.md","cleanup action=MOVED; reason=NON_CANONICAL"
"moved_non_canonical_work","run_aging_trace_structure_canonical","run_aging_trace_structure_canonical.m","cleanup action=MOVED; reason=NON_CANONICAL"
"moved_non_canonical_work","run_aging_trace_structure_canonical_exec","run_aging_trace_structure_canonical_exec.m","cleanup action=MOVED; reason=NON_CANONICAL"
"moved_non_canonical_work","run_aging_trace_structure_canonical_final","run_aging_trace_structure_canonical_final.m","cleanup action=MOVED; reason=NON_CANONICAL"
"moved_non_canonical_work","run_aging_trace_structure_canonical_wrapper","run_aging_trace_structure_canonical_wrapper.m","cleanup action=MOVED; reason=NON_CANONICAL"
"moved_non_canonical_work","session_summary_2026_03_30","SESSION_SUMMARY_2026_03_30.md","cleanup action=MOVED; reason=NON_CANONICAL"
"moved_non_canonical_work","test_aging_trace_structure_minimal","test_aging_trace_structure_minimal.m","cleanup action=MOVED; reason=NON_CANONICAL"
"moved_non_canonical_work","validate_matlab_syntax_direct","validate_matlab_syntax_direct.m","cleanup action=MOVED; reason=NON_CANONICAL"
"moved_non_canonical_work","validate_syntax_final","validate_syntax_final.m","cleanup action=MOVED; reason=NON_CANONICAL"
"moved_non_canonical_work","verify_aging_trace_structure_final","verify_aging_trace_structure_final.m","cleanup action=MOVED; reason=NON_CANONICAL"
"moved_non_canonical_work","verify_matlab_environment","verify_matlab_environment.m","cleanup action=MOVED; reason=NON_CANONICAL"
"moved_non_canonical_work","work_completion_and_handoff","WORK_COMPLETION_AND_HANDOFF.md","cleanup action=MOVED; reason=NON_CANONICAL"
"outputs_without_current_code","aging_alpha_closure","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_alpha_closure_residual_audit","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_audit","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_centered_temperature_slices","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_cleanup","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_cleanup_log","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_clock_ratio_bundle","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_clock_ratio_lower_support_audit_bundle","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_clock_ratio_temperature_scaling_bundle","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_clock_ratio_temperature_support_audit_bundle","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_collapse_test","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_component_clock","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_dataset_build","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_dataset_package","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_deltam_map","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_dmdt_heatmap","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_effective_rank_vs_tp","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_geometry","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_geometry_review","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_hermetic_closure","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_hermetic_closure_residuals","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_kappa1","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_kappa1_kappa2","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_kappa1_kappa2_collapse","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_kappa1_loocv","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_kappa1_prediction","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_kappa2","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_kappa2_residuals","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_log_scaling","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_map_heatmap","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_meta_audit_latest_results","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_meta_audit_model_ranking","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_meta_audit_result_inventory","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_meta_audit_verdict","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_mode_observable","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_model_comparison_strict","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_normalized_dip_shape","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_observable","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_observable_audit","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_observable_dataset","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_observable_identification_audit_review","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_observable_point_aggregation","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_observable_recommendation_table","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_observable_score","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_observable_trajectory_dip_depth","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_observable_trajectory_dip_sigma","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_observable_trajectory_dip_t0","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_observable_trajectory_fm_abs","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_observable_trajectory_fm_step_mag","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_pooled_svd_singular_spectrum","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_prediction","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_profiles_normalized_tp06","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_profiles_normalized_tp14","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_profiles_normalized_tp18","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_profiles_normalized_tp22","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_profiles_normalized_tp26","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_profiles_raw_tp06","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_profiles_raw_tp14","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_profiles_raw_tp18","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_profiles_raw_tp22","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_profiles_raw_tp26","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_profiles_scaled_collapse_tp26","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_rank_vs_tp","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_rank1_reconstruction_tp26","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_rank1_scaling_coefficients_tp26","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_relaxation_confusion_audit","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_residual_map_tp26","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_run_review","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_shape_variation_vs_tp","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_stabilization_complete","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_structure_execution_handoff","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_structured_run_verification","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_svd_singular_spectrum","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_temperature_slices","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_tp","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_tp_observable_metrics","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_tp_rank","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_tp_sweep","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_trace_structure_delivery","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_verification_final","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","aging_waittime_slices","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","alpha_decomposition","(multiple)","tables/reports exist but script not found in active inventory"
"outputs_without_current_code","alpha_from_pt","(multiple)","tables/reports exist but script not found in active inventory"
