"run_dir","manifest_exists","manifest_valid","required_outputs_defined","required_outputs_missing_count","run_status","invalid_reason"
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_225559_aging_time_rescaling_collapse","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_225842_aging_component_clock_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_225857_aging_timescale_extraction","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_230511_aging_time_rescaling_collapse","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_232904_aging_time_rescaling_collapse","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_233337_aging_time_rescaling_collapse","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_233710_aging_time_rescaling_collapse","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_13_003251_aging_fm_using_dip_clock","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_13_003818_aging_fm_using_dip_clock","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_13_004253_aging_fm_using_dip_clock","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_13_005134_aging_fm_using_dip_clock","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_13_005805_aging_fm_using_extracted_dip_tau","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_13_010148_aging_fm_using_extracted_dip_tau","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_13_011143_aging_fm_timescale_analysis","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_13_012211_aging_fm_timescale_analysis","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_13_013634_aging_fm_timescale_analysis","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_070731_tri_scaling_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_070929_tri_scaling_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_071151_tri_scaling_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_071722_tri_scaling_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_073402_TRI_cross_temperature_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_073850_TRI_clock_consistency_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_074027_TRI_clock_consistency_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_074415_TRI_clock_consistency_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_074613_aging_clock_ratio_analysis","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_074701_TRI_clock_consistency_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_075006_TRI_clock_consistency_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_130940_clock_ratio_temperature_support_audit","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_131220_clock_ratio_temperature_support_audit","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_131833_clock_ratio_temperature_support_audit","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_132250_clock_ratio_temperature_support_audit","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_132559_clock_ratio_temperature_support_audit","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_133454_clock_ratio_temperature_support_audit","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_14_152820_clock_ratio_lower_support_audit","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_16_023652_aging_clock_ratio_temperature_scaling","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_2026_03_22_001750_r_observable_export","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_legacy_baseline_tests","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_legacy_debug_runs","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_legacy_decomposition","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_legacy_decomposition_stability","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_legacy_diagnostics_misc","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_legacy_separability","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_legacy_svd_pca","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\aging\runs\run_TRI_collapse_diagnostics","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_analysis\runs\run_legacy_cross_analysis","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_10_205157_relaxation_switching_knee_comparison","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_10_205502_relaxation_switching_knee_comparison","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_10_205656_relaxation_switching_knee_comparison","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_10_220218_ridge_relaxation_comparison","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_10_225732_ridge_crossover_vs_relaxation","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_10_233449_simple_switching_vs_relaxation_search","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_025420_relaxation_switching_motion_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_084425_relaxation_switching_motion_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_092014_barrier_landscape_reconstruction","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_092333_barrier_landscape_reconstruction","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_093235_barrier_landscape_reconstruction","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_093251_switching_barrier_projection","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_094519_switching_barrier_projection","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_095852_barrier_landscape_reconstruction","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_100042_unified_barrier_mechanism","NO","MISSING","NO","0","INVALID","MANIFEST_MISSING"
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_100529_unified_barrier_mechanism","NO","MISSING","NO","0","INVALID","MANIFEST_MISSING"
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_100634_switching_barrier_projection","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_100941_switching_barrier_projection","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_101123_switching_barrier_projection","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_102520_barrier_landscape_reconstruction","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_111154_barrier_landscape_interpretation_review","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_111513_barrier_landscape_interpretation_review","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_111757_barrier_landscape_interpretation_review","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_203011_existing_results_state_map","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_203011_existing_results_state_map+","NO","MISSING","NO","0","INVALID","MANIFEST_MISSING"
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_213115_parallel_analysis_coordination","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_213115_parallel_analysis_coordination+","NO","MISSING","NO","0","INVALID","MANIFEST_MISSING"
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_215040_relaxation_aging_canonical_comparison","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_215444_switching_collapse_kernel_analysis","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_215525_relaxation_aging_canonical_comparison","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_215533_switching_collapse_kernel_analysis","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_215958_relaxation_aging_canonical_comparison","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_220110_unified_crossover_map","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_220436_switching_collapse_kernel_analysis","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_220453_relaxation_tau_time_window_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_220607_switching_collapse_kernel_analysis","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_220719_switching_collapse_kernel_analysis","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_220838_switching_collapse_kernel_analysis","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_220904_relaxation_aging_canonical_comparison","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_221432_relaxation_tau_time_window_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_221600_unified_crossover_map","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_222040_switching_collapse_kernel_analysis","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_222321_relaxation_aging_canonical_comparison","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_222321_relaxation_tau_time_window_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_222612_switching_collapse_kernel_analysis","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_223108_switching_collapse_kernel_analysis","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_223145_relaxation_aging_canonical_comparison","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_223355_switching_collapse_kernel_analysis","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_223549_relaxation_tau_time_window_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_223610_unified_crossover_map","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_224153_switching_collapse_kernel_analysis","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_224713_relaxation_aging_canonical_comparison","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_225249_unified_crossover_map","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_230812_relaxation_tau_time_window_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_231731_relaxation_tau_time_window_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_232459_relaxation_tau_time_window_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_235727_switching_collapse_asymmetry_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_235752_switching_collapse_asymmetry_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_004447_switching_analysis_audit","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_004513_switching_analysis_audit","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_004703_switching_relaxation_observable_comparis","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_004907_switching_relaxation_observable_comparis","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_012249_switching_relaxation_amplitude_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_012407_switching_relaxation_amplitude_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_012410_switching_relaxation_amplitude_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_012602_switching_relaxation_amplitude_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_014828_switching_ridge_linear_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_015017_switching_ridge_linear_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_074720_unified_dynamical_crossover_synthesis","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_074905_unified_dynamical_crossover_synthesis","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_075103_unified_dynamical_crossover_synthesis","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_081213_relaxation_switching_observable_scan","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_081243_relaxation_switching_observable_scan","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_084004_common_dynamical_subspace","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_001549_switching_width_relaxation_correlation","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_002324_switching_width_relaxation_correlation","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_002809_switching_width_relaxation_correlation","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_011259_switching_width_dynamics_analysis","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_020134_switching_composite_observable_scan","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_020519_switching_composite_observable_scan","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_021053_switching_composite_observable_scan","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_022413_switching_composite_observable_scan","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_071713_switching_composite_observable_scan","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_072517_ridge_motion_relaxation_analysis","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_074018_aging_fm_switching_sector_link","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_075458_aging_fm_switching_sector_link","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_082430_switching_relaxation_bridge_robustness_a","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_082753_switching_relaxation_bridge_robustness_a","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_090347_relaxation_switching_bridge_visualizatio","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_111242_motion_activity_comparison","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_111257_barrier_observable_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_111303_activation_coordinate_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_112143_barrier_observable_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_115111_AX_functional_relation_analysis","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_115401_AX_functional_relation_analysis","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_121414_AX_power_law_exponent_summary","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_121740_aging_timescale_bridge","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_122404_aging_timescale_bridge","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_123230_AX_scaling_temperature_robustness","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_153214_switching_joule_heating_null_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_153844_switching_joule_heating_null_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_154252_switching_joule_heating_null_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_13_160239_switching_joule_heating_null_test","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_14_063231_switching_dynamical_susceptibility","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_14_111741_aging_switching_clock_bridge","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_14_121504_switching_susceptibility_ridge_motion_te","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_14_121511_switching_chi_shift_shape_decomposition","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_14_121519_switching_dyn_susc_robustness_audit","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_14_122017_switching_susceptibility_ridge_motion_te","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_14_131154_aging_dip_switching_shape_link","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_14_131230_switching_shape_sector_vs_collapse_asymm","YES","MISSING","NO","0","VALID",""
"C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_14_131833_aging_dip_switching_shape_link","YES","MISSING","NO","0","VALID",""
