"file_path","line_number","loader_type","run_dir","explicit_run_id","pipeline_status","classification"
"analysis/barrier_landscape_interpretation_review.m","127","readtable","fullfile(source.timeModeRunDir, 'tables', 'barrier_scaling_metrics.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/barrier_landscape_interpretation_review.m","141","readtable","fullfile(source.timelawRunDir, 'tables', 'time_fit_results.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/barrier_landscape_interpretation_review.m","128","readtable","fullfile(source.timeModeRunDir, 'tables', 'time_mode_fits.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/barrier_observable_test.m","155","readtable","fullfile(runDir, 'tables', 'temperature_observables.csv')","NO","CANONICAL","SAFE"
"analysis/barrier_observable_test.m","135","readtable","fullfile(runDir, 'tables', 'switching_full_scaling_parameters.csv')","NO","CANONICAL","SAFE"
"analysis/common_dynamical_subspace_analysis.m","53","readtable","fullfile(source.switchRunDir,'observable_matrix.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/common_dynamical_subspace_analysis.m","48","readtable","fullfile(source.agingRunDir,'tables','observable_matrix.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/common_dynamical_subspace_analysis.m","47","readtable","fullfile(source.relaxRunDir,'tables','temperature_observables.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/cross_experiment_observables.m","16","load_observables","results/*/runs/*/observables.csv (CANONICAL-only filter)","NO","CANONICAL","SAFE"
"analysis/finalize_relaxation_aging_run.m","13","readtable","fullfile(runDir, 'tables', 'source_run_manifest.csv')","NO","CANONICAL","SAFE"
"analysis/finalize_relaxation_aging_run.m","14","readtable","fullfile(runDir, 'tables', 'relaxation_aging_observable_alignment.csv')","NO","CANONICAL","SAFE"
"analysis/finalize_relaxation_aging_run.m","11","readtable","fullfile(runDir, 'tables', 'normalized_overlay_metrics.csv')","NO","CANONICAL","SAFE"
"analysis/finalize_relaxation_aging_run.m","12","readtable","fullfile(runDir, 'tables', 'peak_window_summary.csv')","NO","CANONICAL","SAFE"
"analysis/get_canonical_X.m","12","readtable","fullfile(opts.repoRoot, 'results', 'switching', 'runs', opts.runName, 'observables.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/knowledge/load_run_evidence.m","27","readtable","fullfile(repoRoot, 'analysis', 'knowledge', 'run_registry.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/motion_activity_comparison.m","152","readtable","fullfile(runDir, 'tables', 'composite_observables_table.csv')","NO","CANONICAL","SAFE"
"analysis/motion_activity_comparison.m","140","readtable","fullfile(runDir, 'tables', 'switching_full_scaling_parameters.csv')","NO","CANONICAL","SAFE"
"analysis/motion_activity_comparison.m","132","readtable","fullfile(runDir, 'tables', 'temperature_observables.csv')","NO","CANONICAL","SAFE"
"analysis/query/list_all_runs.m","15","readtable","fullfile(repoRoot, 'analysis', 'knowledge', 'run_registry.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/query/query_system.m","35","readtable","fullfile(repoRoot, 'analysis', 'knowledge', 'run_registry.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/relaxation_aging_canonical_comparison.m","151","readtable","fullfile(source.agingObservableRunDir, 'tables', 'svd_mode_coefficients.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/relaxation_aging_canonical_comparison.m","152","readtable","fullfile(source.agingAuditRunDir, 'tables', 'aging_observable_recommendation_table.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/relaxation_aging_canonical_comparison.m","150","readtable","fullfile(source.agingObservableRunDir, 'tables', 'observable_matrix.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/relaxation_aging_canonical_comparison.m","136","readtable","fullfile(runDir, 'tables', 'observables_relaxation.csv')","NO","CANONICAL","SAFE"
"analysis/relaxation_aging_canonical_comparison.m","137","readtable","fullfile(runDir, 'tables', 'temperature_observables.csv')","NO","CANONICAL","SAFE"
"analysis/relaxation_switching_bridge_visualization.m","140","readtable","fullfile(runDir, 'tables', 'composite_observables_table.csv')","NO","CANONICAL","SAFE"
"analysis/relaxation_switching_bridge_visualization.m","132","readtable","fullfile(runDir, 'tables', 'temperature_observables.csv')","NO","CANONICAL","SAFE"
"analysis/relaxation_switching_bridge_visualization.m","121","readtable","fullfile(runDir, 'tables', 'switching_full_scaling_parameters.csv')","NO","CANONICAL","SAFE"
"analysis/relaxation_switching_knee_comparison.m","229","readtable","fullfile(switchRunDir, 'observable_matrix.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/relaxation_switching_knee_comparison.m","230","readtable","fullfile(switchRunDir, 'observables.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/relaxation_switching_knee_comparison.m","228","load","fullfile(switchRunDir, 'switching_alignment_core_data.mat')","NO","UNKNOWN","UNKNOWN"
"analysis/relaxation_switching_knee_comparison.m","200","readtable","fullfile(relaxRunDir, 'tables', 'observables_relaxation.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/relaxation_switching_knee_comparison.m","201","readtable","fullfile(relaxRunDir, 'tables', 'temperature_observables.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/relaxation_switching_motion_test.m","195","readtable","fullfile(runDir, 'tables', 'temperature_observables.csv')","NO","CANONICAL","SAFE"
"analysis/relaxation_switching_motion_test.m","196","readtable","fullfile(runDir, 'tables', 'observables_relaxation.csv')","NO","CANONICAL","SAFE"
"analysis/relaxation_switching_motion_test.m","207","readtable","fullfile(runDir, 'observable_matrix.csv')","NO","CANONICAL","SAFE"
"analysis/relaxation_switching_motion_test.m","162","readtable","fullfile(runDir, 'tables', 'temperature_observables.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/relaxation_switching_motion_test.m","163","readtable","fullfile(runDir, 'tables', 'observables_relaxation.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/relaxation_switching_motion_test.m","181","readtable","fullfile(runDir, 'observable_matrix.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/relaxation_tau_time_window_test.m","214","readtable","fullfile(sources.relax.legacySurveyRunDir, 'tables', 'fit_observable_stability_by_temp.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/relaxation_tau_time_window_test.m","213","readtable","fullfile(sources.relax.betaAuditRunDir, 'tables', 'global_vs_local_beta_model_comparison.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/relaxation_tau_time_window_test.m","212","readtable","fullfile(sources.relax.betaAuditRunDir, 'tables', 'beta_T_stability_summary.csv'))","NO","UNKNOWN","UNKNOWN"
"analysis/relaxation_tau_time_window_test.m","356","readtable","fullfile(sources.switching.switchRunDir, 'alignment_audit', 'switching_alignment_observables_vs_T.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/relaxation_tau_time_window_test.m","297","readtable","fullfile(sources.aging.shapeRunDir, 'tables', 'aging_shape_variation_vs_Tp.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/relaxation_tau_time_window_test.m","215","readtable","fullfile(sources.relax.legacySurveyRunDir, 'tables', 'fit_observables_raw.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/relaxation_tau_time_window_test.m","208","readtable","fullfile(sources.relax.timelawRunDir, 'tables', 'time_fit_results.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/relaxation_tau_time_window_test.m","207","readtable","fullfile(sources.relax.stabilityRunDir, 'tables', 'observables_relaxation.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/relaxation_tau_time_window_test.m","206","readtable","fullfile(sources.relax.stabilityRunDir, 'tables', 'temperature_observables.csv'))","NO","UNKNOWN","UNKNOWN"
"analysis/relaxation_tau_time_window_test.m","211","readtable","fullfile(sources.relax.timeModeRunDir, 'tables', 'barrier_scaling_metrics.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/relaxation_tau_time_window_test.m","210","readtable","fullfile(sources.relax.timeModeRunDir, 'tables', 'collapse_metrics.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/relaxation_tau_time_window_test.m","209","readtable","fullfile(sources.relax.timeModeRunDir, 'tables', 'time_mode_fits.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/relaxation_temperature_scaling_test.m","40","readtable","fullfile(repoRoot, 'results', 'relaxation', 'runs', ...","NO","UNKNOWN","UNKNOWN"
"analysis/ridge_crossover_vs_relaxation.m","73","readtable","fullfile(runDir, 'observable_matrix.csv')","NO","CANONICAL","SAFE"
"analysis/ridge_crossover_vs_relaxation.m","74","load","fullfile(runDir, 'switching_alignment_core_data.mat')","NO","CANONICAL","SAFE"
"analysis/ridge_crossover_vs_relaxation.m","59","readtable","fullfile(runDir, 'tables', 'observables_relaxation.csv')","NO","CANONICAL","SAFE"
"analysis/ridge_crossover_vs_relaxation.m","60","readtable","fullfile(runDir, 'tables', 'temperature_observables.csv')","NO","CANONICAL","SAFE"
"analysis/ridge_motion_relaxation_analysis.m","397","readtable","fullfile(runDir, 'tables', 'observables_relaxation.csv')","NO","CANONICAL","SAFE"
"analysis/ridge_motion_relaxation_analysis.m","396","readtable","fullfile(runDir, 'tables', 'temperature_observables.csv')","NO","CANONICAL","SAFE"
"analysis/ridge_motion_relaxation_analysis.m","384","readtable","fullfile(runDir, 'tables', 'switching_full_scaling_parameters.csv')","NO","CANONICAL","SAFE"
"analysis/ridge_relaxation_comparison.m","126","readtable","fullfile(switchRunDir, 'observable_matrix.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/ridge_relaxation_comparison.m","127","readtable","fullfile(switchRunDir, 'observables.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/ridge_relaxation_comparison.m","102","readtable","fullfile(relaxRunDir, 'tables', 'observables_relaxation.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/ridge_relaxation_comparison.m","103","readtable","fullfile(relaxRunDir, 'tables', 'temperature_observables.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/run_alpha_decomposition_agent21a.m","246","readtable","ptMatrixPath","NO","UNKNOWN","UNKNOWN"
"analysis/run_alpha_from_pt_agent20b.m","263","readtable","ptMatrixPath","NO","UNKNOWN","UNKNOWN"
"analysis/run_alpha_from_pt_agent20b.m","33","readtable","fullfile(ptRunDir, 'tables', 'PT_summary.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/run_alpha_structure_agent19f.m","62","load","fullfile(repoRoot, 'results', 'switching', 'runs', decCfg.alignmentRunId, ...","NO","UNKNOWN","UNKNOWN"
"analysis/run_alpha_structure_agent19f.m","59","readtable","fullfile(repoRoot, 'results', 'switching', 'runs', decCfg.fullScalingRunId, ...","NO","UNKNOWN","UNKNOWN"
"analysis/run_alpha_with_kappa1_agent21c.m","260","readtable","ptMatrixPath","NO","UNKNOWN","UNKNOWN"
"analysis/run_alpha_with_kappa1_agent21c.m","28","readtable","fullfile(ptRunDir, 'tables', 'PT_summary.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/run_alternative_coordinate_search.m","58","readtable","fullfile(repoRoot, 'results', 'switching', 'runs', ...","NO","UNKNOWN","UNKNOWN"
"analysis/run_alternative_coordinate_search.m","52","readtable","fullfile(repoRoot, 'results', 'switching', 'runs', ...","NO","UNKNOWN","UNKNOWN"
"analysis/run_alternative_coordinate_search.m","51","readtable","fullfile(repoRoot, 'results', 'cross_experiment', 'runs', ...","NO","UNKNOWN","UNKNOWN"
"analysis/run_deformation_closure_agent19e.m","59","load","fullfile(repoRoot, 'results', 'switching', 'runs', decCfg.alignmentRunId, ...","NO","UNKNOWN","UNKNOWN"
"analysis/run_deformation_closure_agent19e.m","56","readtable","fullfile(repoRoot, 'results', 'switching', 'runs', decCfg.fullScalingRunId, ...","NO","UNKNOWN","UNKNOWN"
"analysis/run_effective_collective_state_test.m","23","readtable","fullfile(repoRoot, 'results', 'switching', 'runs', ...","NO","UNKNOWN","UNKNOWN"
"analysis/run_elastic_mode_phi_test.m","15","readtable","fullfile(rootDir, 'results', 'switching', 'runs', ...","NO","UNKNOWN","UNKNOWN"
"analysis/run_kappa1_pt_vs_speak_test.m","50","readtable","fullfile(kappaRunDir, 'tables', 'kappa_vs_T.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/run_kappa1_pt_vs_speak_test.m","19","readtable","fullfile(kappaRunDir, 'tables', 'residual_decomposition_sources.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/run_local_shift_agent19g.m","180","load","fullfile(repoRoot, 'results', 'switching', 'runs', decCfg.alignmentRunId, ...","NO","UNKNOWN","UNKNOWN"
"analysis/run_nonlinear_response_agent19h.m","65","load","fullfile(repoRoot, 'results', 'switching', 'runs', decCfg.alignmentRunId, ...","NO","UNKNOWN","UNKNOWN"
"analysis/run_nonlinear_response_agent19h.m","62","readtable","fullfile(repoRoot, 'results', 'switching', 'runs', decCfg.fullScalingRunId, ...","NO","UNKNOWN","UNKNOWN"
"analysis/run_phi2_reconciliation_audit.m","45","readtable","fullfile(repoRoot, 'results', 'switching', 'runs', ...","NO","UNKNOWN","UNKNOWN"
"analysis/run_pt_to_phi_prediction.m","35","readtable","fullfile(repoRoot, 'results', 'switching', 'runs', ...","NO","UNKNOWN","UNKNOWN"
"analysis/run_pt_to_phi_prediction.m","29","readtable","fullfile(repoRoot, 'results', 'switching', 'runs', ...","NO","UNKNOWN","UNKNOWN"
"analysis/run_pt_to_phi_prediction.m","28","readtable","fullfile(repoRoot, 'results', 'cross_experiment', 'runs', ...","NO","UNKNOWN","UNKNOWN"
"analysis/simple_switching_observable_search_vs_relaxation.m","131","readtable","fullfile(switchRunDir, 'observables.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/simple_switching_observable_search_vs_relaxation.m","132","load","fullfile(switchRunDir, 'switching_alignment_core_data.mat')","NO","UNKNOWN","UNKNOWN"
"analysis/simple_switching_observable_search_vs_relaxation.m","130","readtable","fullfile(switchRunDir, 'observable_matrix.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/simple_switching_observable_search_vs_relaxation.m","106","readtable","fullfile(relaxRunDir, 'tables', 'observables_relaxation.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/simple_switching_observable_search_vs_relaxation.m","107","readtable","fullfile(relaxRunDir, 'tables', 'temperature_observables.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/switching_barrier_projection.m","86","readtable","fullfile(runDir, 'observable_matrix.csv')","NO","CANONICAL","SAFE"
"analysis/switching_barrier_projection.m","75","readtable","fullfile(runDir, 'tables', 'observables_relaxation.csv')","NO","CANONICAL","SAFE"
"analysis/switching_barrier_projection.m","74","readtable","fullfile(runDir, 'tables', 'temperature_observables.csv')","NO","CANONICAL","SAFE"
"analysis/switching_chi_shift_shape_decomposition.m","225","readtable","fullfile(char(switchRunDir), 'alignment_audit', 'switching_alignment_observables_vs_T.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/switching_chi_shift_shape_decomposition.m","214","readtable","fullfile(char(switchRunDir), 'observable_matrix.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/switching_chi_shift_shape_decomposition.m","79","readtable","fullfile(char(source.relaxRunDir), 'tables', 'temperature_observables.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/switching_composite_observable_scan.m","184","readtable","fullfile(runDir, 'tables', 'observables_relaxation.csv')","NO","CANONICAL","SAFE"
"analysis/switching_composite_observable_scan.m","198","readtable","fullfile(runDir, 'tables', 'relaxation_switching_motion_table.csv')","NO","CANONICAL","SAFE"
"analysis/switching_composite_observable_scan.m","164","readtable","fullfile(runDir, 'tables', 'switching_full_scaling_parameters.csv')","NO","CANONICAL","SAFE"
"analysis/switching_composite_observable_scan.m","183","readtable","fullfile(runDir, 'tables', 'temperature_observables.csv')","NO","CANONICAL","SAFE"
"analysis/switching_dynamical_susceptibility.m","385","readtable","fullfile(runDir, 'tables', 'temperature_observables.csv')","NO","CANONICAL","SAFE"
"analysis/switching_dynamical_susceptibility.m","371","readtable","fullfile(runDir, 'tables', 'temperature_observables.csv')","NO","CANONICAL","SAFE"
"analysis/switching_joule_heating_null_test.m","262","readtable","fullfile(runDir, 'tables', 'temperature_observables.csv')","NO","CANONICAL","SAFE"
"analysis/switching_observable_summary.m","15","load_observables","results/*/runs/*/observables.csv (CANONICAL-only filter)","NO","CANONICAL","SAFE"
"analysis/switching_relaxation_bridge_robustness_audit.m","187","readtable","fullfile(runDir, 'tables', 'composite_observables_table.csv')","NO","CANONICAL","SAFE"
"analysis/switching_relaxation_bridge_robustness_audit.m","197","readtable","fullfile(runDir, 'tables', 'relaxation_switching_motion_table.csv')","NO","CANONICAL","SAFE"
"analysis/switching_relaxation_bridge_robustness_audit.m","162","readtable","fullfile(runDir, 'tables', 'switching_full_scaling_parameters.csv')","NO","CANONICAL","SAFE"
"analysis/switching_relaxation_bridge_robustness_audit.m","176","readtable","fullfile(runDir, 'tables', 'temperature_observables.csv')","NO","CANONICAL","SAFE"
"analysis/switching_relaxation_observable_comparison.m","145","load","fullfile(runDir, 'switching_alignment_core_data.mat')","NO","CANONICAL","SAFE"
"analysis/switching_relaxation_observable_comparison.m","158","readtable","fullfile(runDir, 'tables', 'relaxation_switching_motion_table.csv')","NO","CANONICAL","SAFE"
"analysis/switching_relaxation_observable_comparison.m","144","readtable","fullfile(runDir, 'observable_matrix.csv')","NO","CANONICAL","SAFE"
"analysis/switching_relaxation_observable_comparison.m","132","readtable","fullfile(runDir, 'tables', 'temperature_observables.csv')","NO","CANONICAL","SAFE"
"analysis/switching_relaxation_observable_comparison.m","133","readtable","fullfile(runDir, 'tables', 'observables_relaxation.csv')","NO","CANONICAL","SAFE"
"analysis/switching_ridge_motion_decomposition.m","167","readtable","fullfile(runDir, 'tables', 'switching_full_scaling_parameters.csv')","NO","CANONICAL","SAFE"
"analysis/switching_width_dynamics_analysis.m","184","readtable","fullfile(runDir, 'tables', 'relaxation_switching_motion_table.csv')","NO","CANONICAL","SAFE"
"analysis/switching_width_dynamics_analysis.m","197","readtable","fullfile(runDir, 'tables', 'correlation_results.csv')","NO","CANONICAL","SAFE"
"analysis/switching_width_dynamics_analysis.m","170","readtable","fullfile(runDir, 'tables', 'observables_relaxation.csv')","NO","CANONICAL","SAFE"
"analysis/switching_width_dynamics_analysis.m","152","readtable","fullfile(runDir, 'tables', 'switching_full_scaling_parameters.csv')","NO","CANONICAL","SAFE"
"analysis/switching_width_dynamics_analysis.m","169","readtable","fullfile(runDir, 'tables', 'temperature_observables.csv')","NO","CANONICAL","SAFE"
"analysis/switching_width_relaxation_correlation.m","146","readtable","fullfile(runDir, 'tables', 'observables_relaxation.csv')","NO","CANONICAL","SAFE"
"analysis/switching_width_relaxation_correlation.m","145","readtable","fullfile(runDir, 'tables', 'temperature_observables.csv')","NO","CANONICAL","SAFE"
"analysis/switching_width_relaxation_correlation.m","122","readtable","fullfile(runDir, 'tables', 'switching_full_scaling_parameters.csv')","NO","CANONICAL","SAFE"
"analysis/unified_dynamical_crossover_synthesis.m","155","readtable","fullfile(auditRunDir, 'tables', 'aging_observable_recommendation_table.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/unified_dynamical_crossover_synthesis.m","207","readtable","fullfile(switchRunDir, 'observable_matrix.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/unified_dynamical_crossover_synthesis.m","208","readtable","fullfile(switchCompareRunDir, 'tables', 'switching_relaxation_observable_curves.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/unified_dynamical_crossover_synthesis.m","154","readtable","fullfile(auditRunDir, 'tables', 'aging_tp_rank_summary.csv')","NO","UNKNOWN","UNKNOWN"
"analysis/unified_dynamical_crossover_synthesis.m","142","readtable","fullfile(runDir, 'tables', 'temperature_observables.csv')","NO","CANONICAL","SAFE"
"analysis/unified_dynamical_crossover_synthesis.m","143","readtable","fullfile(runDir, 'tables', 'observables_relaxation.csv')","NO","CANONICAL","SAFE"
