"run_name","run_path","req1_execution_status_success","execution_status_value","req2_run_manifest_exists","req3_script_path_valid","script_path","script_path_resolved","req4_config_snapshot_exists","req5_at_least_one_csv","req6_report_md_exists","req7_figures_or_manifest","classification"
"run_2026_03_28_021928_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_021928_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_023120_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_023120_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_023631_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_023631_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_024543_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_024543_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_025552_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_025552_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_091403_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_091403_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_091544_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_091544_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_091634_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_091634_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_091755_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_091755_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_125333_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_125333_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_125438_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_125438_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_125827_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_125827_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_131759_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_131759_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_133122_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_133122_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_134041_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_134041_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_134352_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_134352_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_134740_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_134740_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_154331_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_154331_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_154651_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_154651_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_154704_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_154704_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_154824_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_154824_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_155254_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_155254_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_155351_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_155351_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_163153_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_163153_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_225256_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_225256_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_225857_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_225857_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_230238_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_230238_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_230251_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_230251_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_230456_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_230456_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_230808_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_230808_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_28_231351_minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_231351_minimal_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
"run_2026_03_29_173600_phi2_kappa2_canonical_residual_mode","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_29_173600_phi2_kappa2_canonical_residual_mode","NO","","YES","YES","C:\Dev\matlab-functions\Aging\utils\createRunContext.m","C:\Dev\matlab-functions\Aging\utils\createRunContext.m","YES","YES","NO","YES","NOT_CANONICAL"
"run_2026_03_29_173743_phi2_kappa2_canonical_residual_mode","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_29_173743_phi2_kappa2_canonical_residual_mode","NO","","YES","YES","C:\Dev\matlab-functions\Aging\utils\createRunContext.m","C:\Dev\matlab-functions\Aging\utils\createRunContext.m","YES","YES","NO","YES","NOT_CANONICAL"
"run_2026_03_29_174042_phi2_kappa2_canonical_residual_mode","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_29_174042_phi2_kappa2_canonical_residual_mode","NO","","YES","YES","C:\Dev\matlab-functions\Aging\utils\createRunContext.m","C:\Dev\matlab-functions\Aging\utils\createRunContext.m","YES","YES","NO","YES","NOT_CANONICAL"
"run_2026_03_29_213341_parameter_robustness_stage1_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_29_213341_parameter_robustness_stage1_canonical","NO","","YES","NO","","","YES","YES","YES","YES","NOT_CANONICAL"
