"file_path","line_number","loader_type","code"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_identification_audit.m","166","readtable","svdTbl = readtable(fullfile(runPath, 'tables', 'svd_singular_values.csv'));"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_identification_audit.m","167","readtable","coeffTbl = readtable(fullfile(runPath, 'tables', 'svd_mode_coefficients.csv'), 'TextType', 'string');"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_identification_audit.m","168","readtable","corrTbl = readtable(fullfile(runPath, 'tables', 'observable_mode_correlations.csv'), 'TextType', 'string');"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_identification_audit.m","169","readtable","mapTbl = readtable(fullfile(runPath, 'tables', 'DeltaM_map.csv'));"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_identification_audit.m","170","readtable","taxisTbl = readtable(fullfile(runPath, 'tables', 'T_axis.csv'));"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_identification_audit.m","171","readtable","twTbl = readtable(fullfile(runPath, 'tables', 'tw_axis.csv'), 'TextType', 'string');"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_mode_correlation.m","37","readtable","svdTbl = readtable(svdPath);"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_mode_correlation.m","38","readtable","decompRaw = readtable(decompPath);"
"C:\Dev\matlab-functions\Aging\analysis\aging_observable_mode_correlation.m","40","readtable","fmAux = readtable(fmAuxPath);"
"C:\Dev\matlab-functions\Aging\analysis\aging_shape_collapse_analysis.m","127","readtable","Ttbl = readtable(fullfile(runDir, 'tables', 'T_axis.csv'));"
"C:\Dev\matlab-functions\Aging\analysis\aging_shape_collapse_analysis.m","128","readtable","twTbl = readtable(fullfile(runDir, 'tables', 'tw_axis.csv'));"
"C:\Dev\matlab-functions\Aging\analysis\aging_shape_collapse_analysis.m","129","readtable","mapTbl = readtable(fullfile(runDir, 'tables', 'DeltaM_map.csv'));"
"C:\Dev\matlab-functions\Aging\analysis\aging_shape_collapse_analysis.m","130","readtable","sTbl = readtable(fullfile(runDir, 'tables', 'svd_singular_values.csv'));"
"C:\Dev\matlab-functions\Aging\analysis\aging_time_rescaling_collapse.m","36","readtable","dataTbl = readtable(cfg.datasetPath, 'TextType', 'string', 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_clock_consistency_test.m","195","readtable","tTbl = readtable(fullfile(runDir, 'tables', 'T_axis.csv'), 'TextType', 'string', 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_clock_consistency_test.m","196","readtable","twTbl = readtable(fullfile(runDir, 'tables', 'tw_axis.csv'), 'TextType', 'string', 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_clock_consistency_test.m","197","readtable","mapTbl = readtable(fullfile(runDir, 'tables', 'DeltaM_map.csv'), 'TextType', 'string', 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_clock_consistency_test.m","265","readtable","tauTbl = readtable(pathStr, 'TextType', 'string', 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_cross_temperature_test.m","235","readtable","tTbl = readtable(fullfile(runDir, 'tables', 'T_axis.csv'));"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_cross_temperature_test.m","236","readtable","twTbl = readtable(fullfile(runDir, 'tables', 'tw_axis.csv'));"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_cross_temperature_test.m","237","readtable","mapTbl = readtable(fullfile(runDir, 'tables', 'DeltaM_map.csv'));"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_cross_temperature_test.m","293","readtable","tauTbl = readtable(pathStr, 'TextType', 'string', 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_scaling_test.m","208","readtable","tTbl = readtable(fullfile(runDir, 'tables', 'T_axis.csv'));"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_scaling_test.m","209","readtable","twTbl = readtable(fullfile(runDir, 'tables', 'tw_axis.csv'));"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_scaling_test.m","210","readtable","mapTbl = readtable(fullfile(runDir, 'tables', 'DeltaM_map.csv'));"
"C:\Dev\matlab-functions\Aging\analysis\aging_tri_scaling_test.m","306","readtable","tauTbl = readtable(pathStr, 'TextType', 'string', 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\Aging\diagnostics\tri_collapse_diagnostics.m","128","readtable","tTbl = readtable(fullfile(runDir, 'tables', 'T_axis.csv'));"
"C:\Dev\matlab-functions\Aging\diagnostics\tri_collapse_diagnostics.m","129","readtable","twTbl = readtable(fullfile(runDir, 'tables', 'tw_axis.csv'));"
"C:\Dev\matlab-functions\Aging\diagnostics\tri_collapse_diagnostics.m","130","readtable","mapTbl = readtable(fullfile(runDir, 'tables', 'DeltaM_map.csv'));"
"C:\Dev\matlab-functions\Aging\diagnostics\tri_collapse_diagnostics.m","131","readtable","svdTbl = readtable(fullfile(runDir, 'tables', 'svd_singular_values.csv'));"
"C:\Dev\matlab-functions\Aging\pipeline\runPhaseC_leaveOneOut.m","12","load","S = load(baselineMatPath);"
"C:\Dev\matlab-functions\analysis\activation_coordinate_test.m","125","readtable","tbl = readtable(fullfile(runDir, 'tables', 'temperature_observables.csv'));"
"C:\Dev\matlab-functions\analysis\activation_coordinate_test.m","133","readtable","tbl = readtable(fullfile(runDir, 'tables', 'switching_full_scaling_parameters.csv'));"
"C:\Dev\matlab-functions\analysis\aging_dip_switching_shape_link.m","144","readtable","datasetTbl = readtable(char(source.agingDatasetPath), 'VariableNamingRule', 'preserve', 'Delimiter', ',');"
"C:\Dev\matlab-functions\analysis\aging_dip_switching_shape_link.m","145","readtable","coeffTbl = readtable(char(source.agingCoeffPath), 'VariableNamingRule', 'preserve', 'Delimiter', ',');"
"C:\Dev\matlab-functions\analysis\aging_dip_switching_shape_link.m","146","readtable","tauTbl = readtable(char(source.agingTauPath), 'VariableNamingRule', 'preserve', 'Delimiter', ',');"
"C:\Dev\matlab-functions\analysis\aging_dip_switching_shape_link.m","192","readtable","tbl = readtable(char(source.switchingChiPath), 'VariableNamingRule', 'preserve', 'Delimiter', ',');"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","148","readtable","aging.dataset = standardizeVariableNames(readtable(fullfile(source.agingDatasetRunDir, 'tables', 'aging_observable_dataset.csv'), 'VariableNamingRule', 'preserve', 'Delimiter', ','));"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","149","readtable","aging.fmTau = standardizeVariableNames(makeNumericColumns(readtable(fullfile(source.fmTauRunDir, 'tables', 'tau_FM_vs_Tp.csv'), 'VariableNamingRule', 'preserve', 'Delimiter', ',')));"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","150","readtable","aging.dipTau = standardizeVariableNames(makeNumericColumns(readtable(fullfile(source.dipTauRunDir, 'tables', 'tau_vs_Tp.csv'), 'VariableNamingRule', 'preserve', 'Delimiter', ',')));"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","159","readtable","switching.canonical = standardizeVariableNames(makeNumericColumns(readtable(fullfile(source.switchRunDir, 'observable_matrix.csv'), 'VariableNamingRule', 'preserve', 'Delimiter', ',')));"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","160","readtable","switching.motion = standardizeVariableNames(makeNumericColumns(readtable(fullfile(source.switchMotionRunDir, 'tables', 'relaxation_switching_motion_table.csv'), 'VariableNamingRule', 'preserve', 'Delimiter', ',')));"
"C:\Dev\matlab-functions\analysis\aging_fm_switching_sector_link.m","161","readtable","switching.fullScaling = standardizeVariableNames(makeNumericColumns(readtable(fullfile(source.switchFullScalingRunDir, 'tables', 'switching_full_scaling_parameters.csv'), 'VariableNamingRule', 'preserve', 'Delimiter', ',')));"
"C:\Dev\matlab-functions\analysis\aging_switching_clock_bridge.m","139","readtable","tbl = readtable(pathStr, 'TextType', 'string', 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\analysis\aging_switching_clock_bridge.m","149","readtable","tbl = readtable(pathStr, 'TextType', 'string', 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\analysis\aging_timescale_bridge.m","185","readtable","relaxTbl = readtable(fullfile(source.relaxRunDir, 'tables', 'temperature_observables.csv'), 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\analysis\aging_timescale_bridge.m","186","readtable","compTbl = readtable(fullfile(source.switchCompositeRunDir, 'tables', 'composite_observables_table.csv'), 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\analysis\aging_timescale_bridge.m","187","readtable","dipTbl = readtable(fullfile(source.dipTauRunDir, 'tables', 'tau_vs_Tp.csv'), 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\analysis\aging_timescale_bridge.m","188","readtable","fmTbl = readtable(fullfile(source.fmTauRunDir, 'tables', 'tau_FM_vs_Tp.csv'), 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\analysis\ax_functional_relation_analysis.m","156","readtable","tbl = readtable(fullfile(runDir, 'tables', 'temperature_observables.csv'));"
"C:\Dev\matlab-functions\analysis\ax_functional_relation_analysis.m","164","readtable","tbl = readtable(fullfile(runDir, 'tables', 'switching_geometry_observables.csv'));"
"C:\Dev\matlab-functions\analysis\ax_scaling_temperature_robustness.m","117","readtable","tbl = readtable(csvPath);"
"C:\Dev\matlab-functions\analysis\ax_scaling_temperature_robustness.m","129","readtable","paramTbl = readtable(parameterPath, 'TextType', 'string');"
"C:\Dev\matlab-functions\analysis\ax_scaling_temperature_robustness.m","130","readtable","modelTbl = readtable(modelPath, 'TextType', 'string');"
"C:\Dev\matlab-functions\analysis\barrier_landscape_interpretation_review.m","120","readtable","svdTbl = readtable(fullfile(source.svdRunDir, 'tables', 'reconstruction_error_summary.csv'));"
"C:\Dev\matlab-functions\analysis\barrier_landscape_interpretation_review.m","126","readtable","collapseTbl = readtable(fullfile(source.timeModeRunDir, 'tables', 'collapse_metrics.csv'));"
"C:\Dev\matlab-functions\analysis\barrier_landscape_interpretation_review.m","127","readtable","barrierScaleTbl = readtable(fullfile(source.timeModeRunDir, 'tables', 'barrier_scaling_metrics.csv'));"
"C:\Dev\matlab-functions\analysis\barrier_landscape_interpretation_review.m","128","readtable","fitTbl = readtable(fullfile(source.timeModeRunDir, 'tables', 'time_mode_fits.csv'));"
"C:\Dev\matlab-functions\analysis\barrier_landscape_interpretation_review.m","141","readtable","fitResults = readtable(fullfile(source.timelawRunDir, 'tables', 'time_fit_results.csv'));"
"C:\Dev\matlab-functions\analysis\barrier_landscape_interpretation_review.m","152","readtable","obsTbl = readtable(fullfile(source.stabilityRunDir, 'tables', 'observables_relaxation.csv'));"
"C:\Dev\matlab-functions\analysis\barrier_landscape_interpretation_review.m","162","readtable","coordTbl = readtable(fullfile(source.coordinateRunDir, 'tables', 'coordinates_relaxation.csv'));"
"C:\Dev\matlab-functions\analysis\barrier_landscape_interpretation_review.m","172","readtable","axisTbl = readtable(fullfile(barrierRunDir, 'tables', 'barrier_energy_axis.csv'));"
"C:\Dev\matlab-functions\analysis\barrier_landscape_interpretation_review.m","173","readtable","refTbl = readtable(fullfile(barrierRunDir, 'tables', 'effective_barrier_distribution.csv'));"
"C:\Dev\matlab-functions\analysis\barrier_landscape_interpretation_review.m","174","readtable","scanTbl = readtable(fullfile(barrierRunDir, 'tables', 'barrier_distribution_tau0_scan.csv'));"
"C:\Dev\matlab-functions\analysis\barrier_landscape_reconstruction.m","159","readtable","tempTbl = readtable(source.tempObsPath);"
"C:\Dev\matlab-functions\analysis\barrier_landscape_reconstruction.m","160","readtable","obsTbl = readtable(source.obsPath);"
"C:\Dev\matlab-functions\analysis\barrier_observable_test.m","135","readtable","tbl = readtable(fullfile(runDir, 'tables', 'switching_full_scaling_parameters.csv'));"
"C:\Dev\matlab-functions\analysis\barrier_observable_test.m","155","readtable","tbl = readtable(fullfile(runDir, 'tables', 'temperature_observables.csv'));"
"C:\Dev\matlab-functions\analysis\common_dynamical_subspace_analysis.m","47","readtable","relaxTbl = readtable(fullfile(source.relaxRunDir,'tables','temperature_observables.csv'),'VariableNamingRule','preserve'); relaxMeta = readtable(fullfile(source.relaxRunDir,'tables','observables_relaxation.csv'),'VariableNamingRule','preserve'); data.relax.T = relaxTbl.T(:); data.relax.A_T = relaxTbl.A_T(:); data.relax.peakT = relaxMeta.Relax_T_peak(1);"
"C:\Dev\matlab-functions\analysis\common_dynamical_subspace_analysis.m","48","readtable","agingMatrix = readtable(fullfile(source.agingRunDir,'tables','observable_matrix.csv'),'VariableNamingRule','preserve'); agingCoeff = readtable(fullfile(source.agingRunDir,'tables','svd_mode_coefficients.csv'),'VariableNamingRule','preserve'); agingAudit = readtable(fullfile(source.agingAuditRunDir,'tables','aging_observable_recommendation_table.csv'),'VariableNamingRule','preserve');"
"C:\Dev\matlab-functions\analysis\common_dynamical_subspace_analysis.m","53","readtable","switchTbl = readtable(fullfile(source.switchRunDir,'observable_matrix.csv'),'VariableNamingRule','preserve'); motionTbl = readtable(fullfile(source.switchMotionRunDir,'tables','relaxation_switching_motion_table.csv'),'VariableNamingRule','preserve'); motionMask = logical(motionTbl.comparison_mask(:));"
"C:\Dev\matlab-functions\analysis\creep_activation_scaling.m","92","readtable","dipTbl = readtable(source.dipPath, 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\analysis\creep_activation_scaling.m","93","readtable","fmTbl = readtable(source.fmPath, 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\analysis\creep_activation_scaling.m","94","readtable","relaxTbl = readtable(source.relaxPath, 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\analysis\creep_activation_scaling.m","95","readtable","relaxGlobalTbl = readtable(source.relaxGlobalPath, 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\analysis\cross_experiment_observables.m","16","load_observables","allObs = load_observables(resultsRoot);"
"C:\Dev\matlab-functions\analysis\effective_observables_catalog_run.m","233","readtable","params = readtable(source.switchingFullScalingPath);"
"C:\Dev\matlab-functions\analysis\effective_observables_catalog_run.m","236","readtable","sus = readtable(source.switchingSusceptibilityPath);"
"C:\Dev\matlab-functions\analysis\effective_observables_catalog_run.m","239","load","core = load(source.switchingAlignmentCorePath, 'temps', 'currents', 'Smap');"
"C:\Dev\matlab-functions\analysis\effective_observables_catalog_run.m","309","readtable","relaxStable = readtable(source.relaxationStabilityPath);"
"C:\Dev\matlab-functions\analysis\effective_observables_catalog_run.m","314","readtable","timelaw = readtable(source.relaxationTimelawPath);"
"C:\Dev\matlab-functions\analysis\effective_observables_catalog_run.m","449","readtable","relaxStable = readtable(source.relaxationStabilityPath);"
"C:\Dev\matlab-functions\analysis\effective_observables_catalog_run.m","450","readtable","switchEff = readtable(source.switchingEffectivePath);"
"C:\Dev\matlab-functions\analysis\effective_observables_catalog_run.m","451","readtable","clockTbl = readtable(source.agingClockRatioPath);"
"C:\Dev\matlab-functions\analysis\effective_observables_catalog_run.m","452","readtable","susTbl = readtable(source.switchingSusceptibilityPath);"
"C:\Dev\matlab-functions\analysis\finalize_relaxation_aging_run.m","11","readtable","metrics = readtable(fullfile(runDir, 'tables', 'normalized_overlay_metrics.csv'), 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\analysis\finalize_relaxation_aging_run.m","12","readtable","windows = readtable(fullfile(runDir, 'tables', 'peak_window_summary.csv'), 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\analysis\finalize_relaxation_aging_run.m","13","readtable","manifest = readtable(fullfile(runDir, 'tables', 'source_run_manifest.csv'), 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\analysis\finalize_relaxation_aging_run.m","14","readtable","alignment = readtable(fullfile(runDir, 'tables', 'relaxation_aging_observable_alignment.csv'), 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\analysis\get_canonical_X.m","12","readtable","tbl = readtable(obsPath, 'VariableNamingRule', 'preserve', 'TextType', 'string');"
"C:\Dev\matlab-functions\analysis\motion_activity_comparison.m","132","readtable","tbl = readtable(fullfile(runDir, 'tables', 'temperature_observables.csv'));"
"C:\Dev\matlab-functions\analysis\motion_activity_comparison.m","140","readtable","tbl = readtable(fullfile(runDir, 'tables', 'switching_full_scaling_parameters.csv'));"
"C:\Dev\matlab-functions\analysis\motion_activity_comparison.m","152","readtable","tbl = readtable(fullfile(runDir, 'tables', 'composite_observables_table.csv'));"
"C:\Dev\matlab-functions\analysis\observable_basis_sufficiency_robustness_audit.m","20","readtable","catalogTbl = readtable(input.catalogPath, 'TextType', 'string');"
"C:\Dev\matlab-functions\analysis\observable_basis_sufficiency_test.m","20","readtable","catalogTbl = readtable(input.catalogPath, 'TextType', 'string');"
"C:\Dev\matlab-functions\analysis\observable_basis_sufficiency_test.m","21","readtable","minimalTbl = readtable(input.minimalSetPath, 'TextType', 'string');"
"C:\Dev\matlab-functions\analysis\observable_catalog_completion.m","229","readtable","tCandidate = readtable(candidateFile, 'TextType', 'string');"
"C:\Dev\matlab-functions\analysis\observable_physics_completeness_audit.m","20","readtable","minimalTbl = readtable(input.minimalSetPath, 'TextType', 'string');"
"C:\Dev\matlab-functions\analysis\observable_physics_completeness_audit.m","21","readtable","roleTbl = readtable(input.roleClassPath, 'TextType', 'string');"
"C:\Dev\matlab-functions\analysis\observable_physics_completeness_audit.m","22","readtable","catalogTbl = readtable(input.catalogPath, 'TextType', 'string');"
"C:\Dev\matlab-functions\analysis\observable_physics_completeness_audit.m","23","readtable","summaryTbl = readtable(input.summaryPath, 'TextType', 'string');"
"C:\Dev\matlab-functions\analysis\observable_physics_reduction.m","20","readtable","catalogTbl = readtable(catalogPath, 'TextType', 'string');"
"C:\Dev\matlab-functions\analysis\observable_physics_reduction.m","23","readtable","summaryTbl = readtable(summaryPath, 'TextType', 'string');"
"C:\Dev\matlab-functions\analysis\phase_diagram_synthesis.m","35","readtable","cat = readtable(catalogPath, 'TextType', 'string');"
"C:\Dev\matlab-functions\analysis\R_X_reconciliation_analysis.m","20","readtable","catalogTbl = readtable(input.catalogPath, 'TextType', 'string');"
"C:\Dev\matlab-functions\analysis\R_X_reconciliation_analysis.m","21","readtable","robustSummary = readtable(input.robustSummaryPath, 'TextType', 'string');"
"C:\Dev\matlab-functions\analysis\R_X_reconciliation_analysis.m","22","readtable","robustResults = readtable(input.robustResultsPath, 'TextType', 'string');"
"C:\Dev\matlab-functions\analysis\R_X_reconciliation_analysis.m","81","readtable","btab = readtable(input.bridgeCorrelationPath, 'TextType', 'string');"
"C:\Dev\matlab-functions\analysis\relaxation_aging_canonical_comparison.m","136","readtable","obsTbl = readtable(fullfile(runDir, 'tables', 'observables_relaxation.csv'), 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\analysis\relaxation_aging_canonical_comparison.m","137","readtable","tempTbl = readtable(fullfile(runDir, 'tables', 'temperature_observables.csv'), 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\analysis\relaxation_aging_canonical_comparison.m","150","readtable","matrixTbl = readtable(fullfile(source.agingObservableRunDir, 'tables', 'observable_matrix.csv'), 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\analysis\relaxation_aging_canonical_comparison.m","151","readtable","coeffTbl = readtable(fullfile(source.agingObservableRunDir, 'tables', 'svd_mode_coefficients.csv'), 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\analysis\relaxation_aging_canonical_comparison.m","152","readtable","auditTbl = readtable(fullfile(source.agingAuditRunDir, 'tables', 'aging_observable_recommendation_table.csv'), 'VariableNamingRule', 'preserve');"
"C:\Dev\matlab-functions\analysis\relaxation_switching_bridge_visualization.m","121","readtable","tbl = readtable(fullfile(runDir, 'tables', 'switching_full_scaling_parameters.csv'));"
"C:\Dev\matlab-functions\analysis\relaxation_switching_bridge_visualization.m","132","readtable","tbl = readtable(fullfile(runDir, 'tables', 'temperature_observables.csv'));"
"C:\Dev\matlab-functions\analysis\relaxation_switching_bridge_visualization.m","140","readtable","tbl = readtable(fullfile(runDir, 'tables', 'composite_observables_table.csv'));"
"C:\Dev\matlab-functions\analysis\relaxation_switching_knee_comparison.m","200","readtable","obsTbl = readtable(fullfile(relaxRunDir, 'tables', 'observables_relaxation.csv'));"
"C:\Dev\matlab-functions\analysis\relaxation_switching_knee_comparison.m","201","readtable","tempTbl = readtable(fullfile(relaxRunDir, 'tables', 'temperature_observables.csv'));"
"C:\Dev\matlab-functions\analysis\relaxation_switching_knee_comparison.m","228","load","core = load(fullfile(switchRunDir, 'switching_alignment_core_data.mat'));"
"C:\Dev\matlab-functions\analysis\relaxation_switching_knee_comparison.m","229","readtable","obsWide = readtable(fullfile(switchRunDir, 'observable_matrix.csv'));"
"C:\Dev\matlab-functions\analysis\relaxation_switching_knee_comparison.m","230","readtable","obsLong = readtable(fullfile(switchRunDir, 'observables.csv'));"
"C:\Dev\matlab-functions\analysis\relaxation_switching_knee_comparison.m","249","readtable","switching.curvatureTbl = readtable(char(mechMetricsPath));"
"C:\Dev\matlab-functions\analysis\relaxation_switching_motion_test.m","162","readtable","tempTbl = readtable(tempPath);"
"C:\Dev\matlab-functions\analysis\relaxation_switching_motion_test.m","163","readtable","obsTbl = readtable(obsPath);"
"C:\Dev\matlab-functions\analysis\relaxation_switching_motion_test.m","181","readtable","matrixTbl = readtable(matrixPath);"
"C:\Dev\matlab-functions\analysis\relaxation_switching_motion_test.m","195","readtable","tempTbl = readtable(fullfile(runDir, 'tables', 'temperature_observables.csv'));"
"C:\Dev\matlab-functions\analysis\relaxation_switching_motion_test.m","196","readtable","obsTbl = readtable(fullfile(runDir, 'tables', 'observables_relaxation.csv'));"
"C:\Dev\matlab-functions\analysis\relaxation_switching_motion_test.m","207","readtable","tbl = readtable(fullfile(runDir, 'observable_matrix.csv'));"
"C:\Dev\matlab-functions\analysis\relaxation_tau_time_window_test.m","199","readtable","timeGridTbl = readtable(sources.relax.timeGridPath);"
"C:\Dev\matlab-functions\analysis\relaxation_tau_time_window_test.m","206","readtable","tempObs = sortrows(readtable(fullfile(sources.relax.stabilityRunDir, 'tables', 'temperature_observables.csv')), 'T');"
"C:\Dev\matlab-functions\analysis\relaxation_tau_time_window_test.m","207","readtable","obs = readtable(fullfile(sources.relax.stabilityRunDir, 'tables', 'observables_relaxation.csv'));"
"C:\Dev\matlab-functions\analysis\relaxation_tau_time_window_test.m","208","readtable","timelaw = readtable(fullfile(sources.relax.timelawRunDir, 'tables', 'time_fit_results.csv'));"
"C:\Dev\matlab-functions\analysis\relaxation_tau_time_window_test.m","209","readtable","timeModeFits = readtable(fullfile(sources.relax.timeModeRunDir, 'tables', 'time_mode_fits.csv'));"
"C:\Dev\matlab-functions\analysis\relaxation_tau_time_window_test.m","210","readtable","collapseMetrics = readtable(fullfile(sources.relax.timeModeRunDir, 'tables', 'collapse_metrics.csv'));"
"C:\Dev\matlab-functions\analysis\relaxation_tau_time_window_test.m","211","readtable","barrierMetrics = readtable(fullfile(sources.relax.timeModeRunDir, 'tables', 'barrier_scaling_metrics.csv'));"
"C:\Dev\matlab-functions\analysis\relaxation_tau_time_window_test.m","212","readtable","betaStability = sortrows(readtable(fullfile(sources.relax.betaAuditRunDir, 'tables', 'beta_T_stability_summary.csv')), 'T');"
"C:\Dev\matlab-functions\analysis\relaxation_tau_time_window_test.m","213","readtable","betaModelComp = readtable(fullfile(sources.relax.betaAuditRunDir, 'tables', 'global_vs_local_beta_model_comparison.csv'));"
"C:\Dev\matlab-functions\analysis\relaxation_tau_time_window_test.m","214","readtable","legacyStability = readtable(fullfile(sources.relax.legacySurveyRunDir, 'tables', 'fit_observable_stability_by_temp.csv'));"
"C:\Dev\matlab-functions\analysis\relaxation_tau_time_window_test.m","215","readtable","legacyRaw = readtable(fullfile(sources.relax.legacySurveyRunDir, 'tables', 'fit_observables_raw.csv'));"
"C:\Dev\matlab-functions\analysis\relaxation_tau_time_window_test.m","297","readtable","shapeTbl = readtable(shapePath, opts);"
"C:\Dev\matlab-functions\analysis\relaxation_tau_time_window_test.m","345","readtable","obsTbl = readtable(sources.switching.observablesPath);"
"C:\Dev\matlab-functions\analysis\relaxation_tau_time_window_test.m","356","readtable","obsTbl = readtable(fallbackPath);"
"C:\Dev\matlab-functions\analysis\relaxation_tau_time_window_test.m","411","readtable","switching.savedCharacteristicTemps = readtable(sources.switching.characteristicPath);"
"C:\Dev\matlab-functions\analysis\relaxation_temperature_scaling_test.m","40","readtable","tbl = readtable(csvPath);"
"C:\Dev\matlab-functions\analysis\ridge_crossover_vs_relaxation.m","59","readtable","obs = readtable(fullfile(runDir, 'tables', 'observables_relaxation.csv'));"
"C:\Dev\matlab-functions\analysis\ridge_crossover_vs_relaxation.m","60","readtable","tbl = readtable(fullfile(runDir, 'tables', 'temperature_observables.csv'));"
"C:\Dev\matlab-functions\analysis\ridge_crossover_vs_relaxation.m","73","readtable","obs = readtable(fullfile(runDir, 'observable_matrix.csv'));"
"C:\Dev\matlab-functions\analysis\ridge_crossover_vs_relaxation.m","74","load","core = load(fullfile(runDir, 'switching_alignment_core_data.mat'));"
"C:\Dev\matlab-functions\analysis\ridge_motion_relaxation_analysis.m","384","readtable","tbl = readtable(fullfile(runDir, 'tables', 'switching_full_scaling_parameters.csv'));"
"C:\Dev\matlab-functions\analysis\ridge_motion_relaxation_analysis.m","396","readtable","tempTbl = readtable(fullfile(runDir, 'tables', 'temperature_observables.csv'));"
"C:\Dev\matlab-functions\analysis\ridge_motion_relaxation_analysis.m","397","readtable","obsTbl = readtable(fullfile(runDir, 'tables', 'observables_relaxation.csv'));"
