"run_id","run_dir","experiment","run_status","manifest_exists"
"run_2026_03_11_030129_aging_shape_collapse_analysis_01","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_11_030129_aging_shape_collapse_analysis_01","aging","MISSING","YES"
"run_2026_03_11_082451_aging_shape_collapse_analysis","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_11_082451_aging_shape_collapse_analysis","aging","MISSING","YES"
"run_2026_03_11_084425_relaxation_switching_motion_test","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_084425_relaxation_switching_motion_test","cross_experiment","MISSING","YES"
"run_2026_03_11_092014_barrier_landscape_reconstruction","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_092014_barrier_landscape_reconstruction","cross_experiment","MISSING","YES"
"run_2026_03_11_092333_barrier_landscape_reconstruction","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_092333_barrier_landscape_reconstruction","cross_experiment","MISSING","YES"
"run_2026_03_11_093235_barrier_landscape_reconstruction","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_093235_barrier_landscape_reconstruction","cross_experiment","MISSING","YES"
"run_2026_03_11_093251_switching_barrier_projection","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_093251_switching_barrier_projection","cross_experiment","MISSING","YES"
"run_2026_03_11_094519_switching_barrier_projection","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_094519_switching_barrier_projection","cross_experiment","MISSING","YES"
"run_2026_03_11_095852_barrier_landscape_reconstruction","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_095852_barrier_landscape_reconstruction","cross_experiment","MISSING","YES"
"run_2026_03_11_100042_unified_barrier_mechanism","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_100042_unified_barrier_mechanism","cross_experiment","MISSING","NO"
"run_2026_03_11_100529_unified_barrier_mechanism","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_100529_unified_barrier_mechanism","cross_experiment","MISSING","NO"
"run_2026_03_11_100634_switching_barrier_projection","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_100634_switching_barrier_projection","cross_experiment","MISSING","YES"
"run_2026_03_11_100941_switching_barrier_projection","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_100941_switching_barrier_projection","cross_experiment","MISSING","YES"
"run_2026_03_11_101123_switching_barrier_projection","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_101123_switching_barrier_projection","cross_experiment","MISSING","YES"
"run_2026_03_11_102520_barrier_landscape_reconstruction","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_102520_barrier_landscape_reconstruction","cross_experiment","MISSING","YES"
"run_2026_03_11_111154_barrier_landscape_interpretation_review","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_111154_barrier_landscape_interpretation_review","cross_experiment","MISSING","YES"
"run_2026_03_11_111513_barrier_landscape_interpretation_review","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_111513_barrier_landscape_interpretation_review","cross_experiment","MISSING","YES"
"run_2026_03_11_111757_barrier_landscape_interpretation_review","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_111757_barrier_landscape_interpretation_review","cross_experiment","MISSING","YES"
"run_2026_03_11_142636_beta_T_audit","C:\Dev\matlab-functions\results\relaxation\runs\run_2026_03_11_142636_beta_T_audit","relaxation","MISSING","YES"
"run_2026_03_11_143034_beta_T_audit","C:\Dev\matlab-functions\results\relaxation\runs\run_2026_03_11_143034_beta_T_audit","relaxation","MISSING","YES"
"run_2026_03_11_143323_beta_T_audit","C:\Dev\matlab-functions\results\relaxation\runs\run_2026_03_11_143323_beta_T_audit","relaxation","MISSING","YES"
"run_2026_03_11_195951_beta_T_audit","C:\Dev\matlab-functions\results\relaxation\runs\run_2026_03_11_195951_beta_T_audit","relaxation","MISSING","YES"
"run_2026_03_11_203011_existing_results_state_map","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_203011_existing_results_state_map","cross_experiment","MISSING","YES"
"run_2026_03_11_203011_existing_results_state_map+","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_203011_existing_results_state_map+","cross_experiment","MISSING","NO"
"run_2026_03_11_213115_parallel_analysis_coordination","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_213115_parallel_analysis_coordination","cross_experiment","MISSING","YES"
"run_2026_03_11_213115_parallel_analysis_coordination+","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_213115_parallel_analysis_coordination+","cross_experiment","MISSING","NO"
"run_2026_03_11_215040_relaxation_aging_canonical_comparison","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_215040_relaxation_aging_canonical_comparison","cross_experiment","MISSING","YES"
"run_2026_03_11_215444_switching_collapse_kernel_analysis","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_215444_switching_collapse_kernel_analysis","cross_experiment","MISSING","YES"
"run_2026_03_11_215525_relaxation_aging_canonical_comparison","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_215525_relaxation_aging_canonical_comparison","cross_experiment","MISSING","YES"
"run_2026_03_11_215533_switching_collapse_kernel_analysis","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_215533_switching_collapse_kernel_analysis","cross_experiment","MISSING","YES"
"run_2026_03_11_215958_relaxation_aging_canonical_comparison","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_215958_relaxation_aging_canonical_comparison","cross_experiment","MISSING","YES"
"run_2026_03_11_220110_unified_crossover_map","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_220110_unified_crossover_map","cross_experiment","MISSING","YES"
"run_2026_03_11_220436_switching_collapse_kernel_analysis","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_220436_switching_collapse_kernel_analysis","cross_experiment","MISSING","YES"
"run_2026_03_11_220453_relaxation_tau_time_window_test","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_220453_relaxation_tau_time_window_test","cross_experiment","MISSING","YES"
"run_2026_03_11_220607_switching_collapse_kernel_analysis","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_220607_switching_collapse_kernel_analysis","cross_experiment","MISSING","YES"
"run_2026_03_11_220719_switching_collapse_kernel_analysis","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_220719_switching_collapse_kernel_analysis","cross_experiment","MISSING","YES"
"run_2026_03_11_220838_switching_collapse_kernel_analysis","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_220838_switching_collapse_kernel_analysis","cross_experiment","MISSING","YES"
"run_2026_03_11_220904_relaxation_aging_canonical_comparison","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_220904_relaxation_aging_canonical_comparison","cross_experiment","MISSING","YES"
"run_2026_03_11_221432_relaxation_tau_time_window_test","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_221432_relaxation_tau_time_window_test","cross_experiment","MISSING","YES"
"run_2026_03_11_221600_unified_crossover_map","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_221600_unified_crossover_map","cross_experiment","MISSING","YES"
"run_2026_03_11_222040_switching_collapse_kernel_analysis","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_222040_switching_collapse_kernel_analysis","cross_experiment","MISSING","YES"
"run_2026_03_11_222321_relaxation_aging_canonical_comparison","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_222321_relaxation_aging_canonical_comparison","cross_experiment","MISSING","YES"
"run_2026_03_11_222321_relaxation_tau_time_window_test","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_222321_relaxation_tau_time_window_test","cross_experiment","MISSING","YES"
"run_2026_03_11_222612_switching_collapse_kernel_analysis","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_222612_switching_collapse_kernel_analysis","cross_experiment","MISSING","YES"
"run_2026_03_11_223108_switching_collapse_kernel_analysis","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_223108_switching_collapse_kernel_analysis","cross_experiment","MISSING","YES"
"run_2026_03_11_223145_relaxation_aging_canonical_comparison","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_223145_relaxation_aging_canonical_comparison","cross_experiment","MISSING","YES"
"run_2026_03_11_223355_switching_collapse_kernel_analysis","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_223355_switching_collapse_kernel_analysis","cross_experiment","MISSING","YES"
"run_2026_03_11_223549_relaxation_tau_time_window_test","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_223549_relaxation_tau_time_window_test","cross_experiment","MISSING","YES"
"run_2026_03_11_223610_unified_crossover_map","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_223610_unified_crossover_map","cross_experiment","MISSING","YES"
"run_2026_03_11_224153_switching_collapse_kernel_analysis","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_224153_switching_collapse_kernel_analysis","cross_experiment","MISSING","YES"
"run_2026_03_11_224713_relaxation_aging_canonical_comparison","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_224713_relaxation_aging_canonical_comparison","cross_experiment","MISSING","YES"
"run_2026_03_11_225249_unified_crossover_map","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_225249_unified_crossover_map","cross_experiment","MISSING","YES"
"run_2026_03_11_230812_relaxation_tau_time_window_test","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_230812_relaxation_tau_time_window_test","cross_experiment","MISSING","YES"
"run_2026_03_11_231731_relaxation_tau_time_window_test","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_231731_relaxation_tau_time_window_test","cross_experiment","MISSING","YES"
"run_2026_03_11_232459_relaxation_tau_time_window_test","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_232459_relaxation_tau_time_window_test","cross_experiment","MISSING","YES"
"run_2026_03_11_235727_switching_collapse_asymmetry_test","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_235727_switching_collapse_asymmetry_test","cross_experiment","MISSING","YES"
"run_2026_03_11_235752_switching_collapse_asymmetry_test","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_11_235752_switching_collapse_asymmetry_test","cross_experiment","MISSING","YES"
"run_2026_03_12_004447_switching_analysis_audit","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_004447_switching_analysis_audit","cross_experiment","MISSING","YES"
"run_2026_03_12_004513_switching_analysis_audit","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_004513_switching_analysis_audit","cross_experiment","MISSING","YES"
"run_2026_03_12_004703_switching_relaxation_observable_comparis","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_004703_switching_relaxation_observable_comparis","cross_experiment","MISSING","YES"
"run_2026_03_12_004907_switching_relaxation_observable_comparis","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_004907_switching_relaxation_observable_comparis","cross_experiment","MISSING","YES"
"run_2026_03_12_012249_switching_relaxation_amplitude_test","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_012249_switching_relaxation_amplitude_test","cross_experiment","MISSING","YES"
"run_2026_03_12_012407_switching_relaxation_amplitude_test","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_012407_switching_relaxation_amplitude_test","cross_experiment","MISSING","YES"
"run_2026_03_12_012410_switching_relaxation_amplitude_test","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_012410_switching_relaxation_amplitude_test","cross_experiment","MISSING","YES"
"run_2026_03_12_012602_switching_relaxation_amplitude_test","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_012602_switching_relaxation_amplitude_test","cross_experiment","MISSING","YES"
"run_2026_03_12_014828_switching_ridge_linear_test","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_014828_switching_ridge_linear_test","cross_experiment","MISSING","YES"
"run_2026_03_12_015017_switching_ridge_linear_test","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_015017_switching_ridge_linear_test","cross_experiment","MISSING","YES"
"run_2026_03_12_074720_unified_dynamical_crossover_synthesis","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_074720_unified_dynamical_crossover_synthesis","cross_experiment","MISSING","YES"
"run_2026_03_12_074905_unified_dynamical_crossover_synthesis","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_074905_unified_dynamical_crossover_synthesis","cross_experiment","MISSING","YES"
"run_2026_03_12_075103_unified_dynamical_crossover_synthesis","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_075103_unified_dynamical_crossover_synthesis","cross_experiment","MISSING","YES"
"run_2026_03_12_081213_relaxation_switching_observable_scan","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_081213_relaxation_switching_observable_scan","cross_experiment","MISSING","YES"
"run_2026_03_12_081243_relaxation_switching_observable_scan","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_081243_relaxation_switching_observable_scan","cross_experiment","MISSING","YES"
"run_2026_03_12_084004_common_dynamical_subspace","C:\Dev\matlab-functions\results\cross_experiment\runs\run_2026_03_12_084004_common_dynamical_subspace","cross_experiment","MISSING","YES"
"run_2026_03_12_201404_run_review_audit","C:\Dev\matlab-functions\results\review\runs\run_2026_03_12_201404_run_review_audit","review","MISSING","NO"
"run_2026_03_12_201446_run_review_audit","C:\Dev\matlab-functions\results\review\runs\run_2026_03_12_201446_run_review_audit","review","MISSING","YES"
"run_2026_03_12_201625_run_review_audit","C:\Dev\matlab-functions\results\review\runs\run_2026_03_12_201625_run_review_audit","review","MISSING","YES"
"run_2026_03_12_211204_aging_dataset_build","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_211204_aging_dataset_build","aging","MISSING","YES"
"run_2026_03_12_213819_aging_log_time_scaling_test","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_213819_aging_log_time_scaling_test","aging","MISSING","YES"
"run_2026_03_12_213923_aging_component_clock_test","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_213923_aging_component_clock_test","aging","MISSING","YES"
"run_2026_03_12_213929_aging_timescale_extraction","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_213929_aging_timescale_extraction","aging","MISSING","YES"
"run_2026_03_12_214012_aging_log_time_scaling_test","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_214012_aging_log_time_scaling_test","aging","MISSING","YES"
"run_2026_03_12_214126_aging_timescale_extraction","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_214126_aging_timescale_extraction","aging","MISSING","YES"
"run_2026_03_12_214127_aging_component_clock_test","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_214127_aging_component_clock_test","aging","MISSING","YES"
"run_2026_03_12_222238_aging_time_rescaling_collapse","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_222238_aging_time_rescaling_collapse","aging","MISSING","YES"
"run_2026_03_12_223427_aging_timescale_extraction","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_223427_aging_timescale_extraction","aging","MISSING","YES"
"run_2026_03_12_223709_aging_timescale_extraction","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_223709_aging_timescale_extraction","aging","MISSING","YES"
"run_2026_03_12_223712_aging_log_time_scaling_test","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_223712_aging_log_time_scaling_test","aging","MISSING","YES"
"run_2026_03_12_223741_aging_component_clock_test","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_223741_aging_component_clock_test","aging","MISSING","YES"
"run_2026_03_12_224309_aging_time_rescaling_collapse","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_224309_aging_time_rescaling_collapse","aging","MISSING","YES"
"run_2026_03_12_224808_aging_timescale_extraction","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_224808_aging_timescale_extraction","aging","MISSING","YES"
"run_2026_03_12_225058_aging_component_clock_test","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_225058_aging_component_clock_test","aging","MISSING","YES"
"run_2026_03_12_225559_aging_time_rescaling_collapse","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_225559_aging_time_rescaling_collapse","aging","MISSING","YES"
"run_2026_03_12_225842_aging_component_clock_test","C:\Dev\matlab-functions\results\aging\runs\run_2026_03_12_225842_aging_component_clock_test","aging","MISSING","YES"
