"run_id","label","run_dir","csv_outputs_exist","error_logs_found","execution_status_before","execution_status_after","execution_status_action","report_action","manifest_type","script_path_before","script_path_after","manifest_action","figures_manifest_action","run_outcome","review_reason"
"run_2026_03_28_021928_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_021928_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_023120_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_023120_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_023631_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_023631_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_024543_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_024543_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_025552_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_025552_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_091403_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_091403_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_091544_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_091544_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_091634_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_091634_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_091755_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_091755_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_125333_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_125333_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_125438_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_125438_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_125827_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_125827_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_131759_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_131759_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_133122_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_133122_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_134041_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_134041_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_134352_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_134352_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_134740_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_134740_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_154331_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_154331_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_154651_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_154651_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_154704_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_154704_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_154824_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_154824_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_155254_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_155254_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_155351_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_155351_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_163153_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_163153_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_225256_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_225256_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_225857_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_225857_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_230238_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_230238_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_230251_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_230251_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_230456_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_230456_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_230808_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_230808_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_28_231351_minimal_canonical","minimal_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_28_231351_minimal_canonical","YES","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\Switching\analysis\run_minimal_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_29_173600_phi2_kappa2_canonical_residual_mode","phi2_kappa2_canonical_residual_mode","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_29_173600_phi2_kappa2_canonical_residual_mode","YES","NO","SUCCESS","SUCCESS","UNCHANGED","GENERATED","OBJECT","C:\Dev\matlab-functions\Aging\utils\createRunContext.m","C:\Dev\matlab-functions\Switching\analysis\run_phi2_kappa2_canonical_residual_mode.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_29_173743_phi2_kappa2_canonical_residual_mode","phi2_kappa2_canonical_residual_mode","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_29_173743_phi2_kappa2_canonical_residual_mode","YES","NO","SUCCESS","SUCCESS","UNCHANGED","GENERATED","OBJECT","C:\Dev\matlab-functions\Aging\utils\createRunContext.m","C:\Dev\matlab-functions\Switching\analysis\run_phi2_kappa2_canonical_residual_mode.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_29_174042_phi2_kappa2_canonical_residual_mode","phi2_kappa2_canonical_residual_mode","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_29_174042_phi2_kappa2_canonical_residual_mode","YES","NO","SUCCESS","SUCCESS","UNCHANGED","GENERATED","OBJECT","C:\Dev\matlab-functions\Aging\utils\createRunContext.m","C:\Dev\matlab-functions\Switching\analysis\run_phi2_kappa2_canonical_residual_mode.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
"run_2026_03_29_213341_parameter_robustness_stage1_canonical","parameter_robustness_stage1_canonical","C:\Dev\matlab-functions\results\switching\runs\run_2026_03_29_213341_parameter_robustness_stage1_canonical","NO","NO","SUCCESS","SUCCESS","UNCHANGED","UNCHANGED","OBJECT","","C:\Dev\matlab-functions\run_parameter_robustness_stage1_canonical.m","SCRIPT_PATH_UPDATED","UNCHANGED","FIXED",""
