"script_path","uses_template_style","has_run_context","has_required_outputs","has_rethrow","compliant"
"Aging/test_verification.m","NO","NO","NO","NO","NO"
"Aging/tests/pipeline_smoke_test.m","NO","NO","NO","YES","NO"
"Aging/tests/prl_validation_Jmodel.m","NO","NO","NO","NO","NO"
"Aging/tests/switching_stability/diagnostic.m","NO","NO","NO","NO","NO"
"Aging/tests/switching_stability/legacy_root/simple_test.m","NO","NO","NO","NO","NO"
"Aging/tests/switching_stability/legacy_root/test_tp_exclusion_simple.m","NO","NO","NO","NO","NO"
"Aging/tests/switching_stability/minimal_diary_test.m","NO","NO","NO","NO","NO"
"Aging/tests/switching_stability/minimal_verify.m","NO","NO","NO","NO","NO"
"Aging/tests/switching_stability/run_diagnostic_wrapped.m","NO","NO","NO","NO","NO"
"Aging/tests/switching_stability/test_stage7_robustness.m","NO","NO","NO","NO","NO"
"Aging/tests/switching_stability/test_stage8_import.m","NO","NO","NO","NO","NO"
"Aging/tests/switching_stability/verify_tp_exclusion_patch.m","NO","NO","NO","NO","NO"
"Aging/tests/test_canonical_two_time_layer.m","NO","NO","NO","YES","NO"
"Aging/tests/testDipBaselinePR.m","NO","NO","NO","NO","NO"
"Aging/tests/verify_stage4_refactor.m","NO","NO","NO","NO","NO"
"Aging/utils/build_p0_from_data.m","NO","NO","NO","NO","NO"
"Aging/utils/construct_canonical_clock.m","NO","NO","NO","NO","NO"
"Aging/utils/cost_step_gauss.m","NO","NO","NO","NO","NO"
"Aging/utils/createRunContext.m","NO","YES","NO","NO","NO"
"Aging/utils/dbg.m","NO","NO","NO","NO","NO"
"Aging/utils/dbgExtractPhysicsContext.m","NO","NO","NO","NO","NO"
"Aging/utils/dbgFigure.m","NO","NO","NO","NO","NO"
"Aging/utils/dbgInitDiagnostics.m","NO","NO","NO","NO","NO"
"Aging/utils/dbgSaveFig.m","NO","NO","NO","NO","NO"
"Aging/utils/dbgSummaryPhysics.m","NO","NO","NO","NO","NO"
"Aging/utils/dbgSummaryTable.m","NO","NO","NO","NO","NO"
"Aging/utils/debugAgingDiagnostics.m","NO","NO","NO","NO","NO"
"Aging/utils/debugPlotGeometry.m","NO","NO","NO","NO","NO"
"Aging/utils/debugPlotSwitchingReconstruction.m","NO","NO","NO","NO","NO"
"Aging/utils/estimateRobustBaseline.m","NO","NO","NO","NO","NO"
"Aging/utils/getPauseRuns.m","NO","NO","NO","NO","NO"
"Aging/utils/getResultsDir.m","NO","NO","NO","NO","NO"
"Aging/utils/getValidSwitchTp.m","NO","NO","NO","NO","NO"
"Aging/utils/safeCorr.m","NO","NO","NO","NO","NO"
"Aging/utils/setDefault.m","NO","NO","NO","NO","NO"
"Aging/verification/verifyOnRealData.m","NO","NO","NO","NO","NO"
"Aging/verification/verifyRobustBaseline_RealData.m","NO","NO","NO","NO","NO"
"Aging/verification/verifyRobustBaseline_RealData_Main.m","NO","NO","NO","NO","NO"
"Aging/verification/verifyRobustBaseline_Simple.m","NO","NO","NO","NO","NO"
"Aging/verification/verifyRobustBaseline_WithLogging.m","NO","NO","NO","NO","NO"
"analysis/_agent24a_exec.m","NO","NO","NO","NO","NO"
"analysis/activation_coordinate_test.m","NO","YES","NO","NO","NO"
"analysis/aging_dip_switching_shape_link.m","NO","YES","NO","NO","NO"
"analysis/aging_fm_switching_sector_link.m","NO","YES","NO","NO","NO"
"analysis/aging_switching_clock_bridge.m","NO","YES","NO","NO","NO"
"analysis/aging_timescale_bridge.m","NO","YES","NO","NO","NO"
"analysis/ax_functional_relation_analysis.m","NO","YES","NO","NO","NO"
"analysis/ax_scaling_temperature_robustness.m","NO","YES","NO","NO","NO"
"analysis/barrier_landscape_interpretation_review.m","NO","YES","NO","NO","NO"
"analysis/barrier_landscape_reconstruction.m","NO","YES","NO","NO","NO"
"analysis/barrier_observable_test.m","NO","YES","NO","NO","NO"
"analysis/common_dynamical_subspace_analysis.m","NO","YES","NO","NO","NO"
"analysis/creep_activation_scaling.m","NO","YES","NO","NO","NO"
"analysis/cross_experiment_observables.m","NO","NO","NO","NO","NO"
"analysis/effective_observables_catalog_run.m","NO","YES","NO","NO","NO"
"analysis/export_deformation_closure_figs.m","NO","NO","NO","NO","NO"
"analysis/finalize_relaxation_aging_run.m","NO","NO","NO","NO","NO"
"analysis/get_canonical_X.m","NO","NO","NO","NO","NO"
"analysis/helpers/resolve_R_variable.m","NO","NO","NO","NO","NO"
"analysis/knowledge/load_run_evidence.m","NO","NO","NO","NO","NO"
"analysis/motion_activity_comparison.m","NO","YES","NO","NO","NO"
"analysis/observable_basis_sufficiency_robustness_audit.m","NO","YES","NO","NO","NO"
"analysis/observable_basis_sufficiency_test.m","NO","YES","NO","NO","NO"
"analysis/observable_catalog_completion.m","NO","YES","NO","NO","NO"
"analysis/observable_naming_update.m","NO","YES","NO","NO","NO"
"analysis/observable_physics_completeness_audit.m","NO","YES","NO","NO","NO"
"analysis/observable_physics_reduction.m","NO","YES","NO","NO","NO"
"analysis/phase_diagram_synthesis.m","NO","YES","NO","NO","NO"
"analysis/query/list_all_runs.m","NO","NO","NO","NO","NO"
"analysis/query/query_system.m","NO","NO","NO","NO","NO"
"analysis/query/start_query.m","NO","NO","NO","NO","NO"
"analysis/R_X_reconciliation_analysis.m","NO","YES","NO","NO","NO"
"analysis/relaxation_aging_canonical_comparison.m","NO","YES","NO","NO","NO"
"analysis/relaxation_switching_bridge_visualization.m","NO","YES","NO","NO","NO"
"analysis/relaxation_switching_knee_comparison.m","NO","YES","NO","NO","NO"
"analysis/relaxation_switching_motion_test.m","NO","YES","NO","NO","NO"
"analysis/relaxation_tau_time_window_test.m","NO","YES","NO","NO","NO"
"analysis/relaxation_temperature_scaling_test.m","NO","YES","NO","NO","NO"
"analysis/ridge_crossover_vs_relaxation.m","NO","YES","NO","NO","NO"
"analysis/ridge_motion_relaxation_analysis.m","NO","YES","NO","NO","NO"
"analysis/ridge_relaxation_comparison.m","NO","YES","NO","NO","NO"
"analysis/run_A_prediction_from_switching_agent24a.m","NO","YES","NO","NO","NO"
"analysis/run_agent24h_figures.m","NO","NO","NO","NO","NO"
"analysis/run_aging_alpha_closure_agent24f.m","NO","YES","NO","NO","NO"
"analysis/run_aging_hermetic_closure_agent24i.m","NO","YES","NO","NO","NO"
"analysis/run_aging_kappa1_prediction_agent24d.m","NO","YES","NO","NO","NO"
"analysis/run_aging_kappa2_agent24g.m","NO","YES","NO","NO","NO"
"analysis/run_aging_prediction_agent24b.m","NO","YES","NO","NO","NO"
"analysis/run_aging_R_vs_collective_state_agent23a.m","NO","YES","NO","NO","NO"
"analysis/run_aging_vs_trajectory_agent23b.m","NO","YES","NO","NO","NO"
"analysis/run_alpha_decomposition_agent21a.m","NO","NO","NO","NO","NO"
"analysis/run_alpha_from_pt_agent20b.m","NO","NO","NO","NO","NO"
"analysis/run_alpha_res_collective_state_agent22b.m","NO","YES","NO","NO","NO"
"analysis/run_alpha_res_cross_experiment_correlation.m","NO","NO","NO","NO","NO"
"analysis/run_alpha_res_origin_test.m","NO","NO","NO","NO","NO"
"analysis/run_alpha_res_physics_agent21b.m","NO","NO","NO","NO","NO"
"analysis/run_alpha_res_smoothed_state_agent22e.m","NO","NO","NO","NO","NO"
"analysis/run_alpha_res_trajectory_agent22d.m","NO","YES","NO","NO","NO"
"analysis/run_alpha_res_transition_agent22a.m","NO","NO","NO","NO","NO"
"analysis/run_alpha_structure_agent19f.m","NO","NO","NO","NO","NO"
"analysis/run_alpha_with_kappa1_agent21c.m","NO","NO","NO","NO","NO"
"analysis/run_alternative_coordinate_search.m","NO","NO","NO","NO","NO"
"analysis/run_barrier_relaxation_mechanism_closure.m","NO","YES","NO","NO","NO"
"analysis/run_barrier_to_relaxation_mechanism.m","NO","YES","NO","NO","NO"
"analysis/run_deformation_closure_agent19e.m","NO","NO","NO","NO","NO"
"analysis/run_effective_collective_state_test.m","NO","NO","NO","NO","NO"
"analysis/run_elastic_mode_phi_test.m","NO","NO","NO","NO","NO"
"analysis/run_full_prediction_trajectory_agent23c.m","NO","NO","NO","NO","NO"
"analysis/run_kappa1_from_pt_agent20a.m","NO","NO","NO","NO","NO"
"analysis/run_kappa1_pt_vs_speak_test.m","NO","YES","NO","NO","NO"
"analysis/run_kappa1_simplification_test.m","NO","NO","NO","NO","NO"
"analysis/run_kappa2_state_vs_geometry_test.m","NO","NO","NO","NO","NO"
"analysis/run_local_shift_agent19g.m","NO","NO","NO","NO","NO"
"analysis/run_mode_coupling_agent_e.m","NO","NO","NO","NO","NO"
"analysis/run_nonlinear_response_agent19h.m","NO","NO","NO","NO","NO"
"analysis/run_perturbative_closure_test.m","NO","NO","NO","NO","NO"
"analysis/run_phi2_reconciliation_audit.m","NO","NO","NO","NO","NO"
"analysis/run_pt_to_phi_prediction.m","NO","YES","NO","NO","NO"
"analysis/run_R_variable_disambiguation.m","NO","NO","NO","NO","NO"
"analysis/run_residual_shape_consistency.m","NO","NO","NO","NO","NO"
"analysis/run_temperature_boundary_audit.m","NO","NO","NO","NO","NO"
"analysis/run_transition_driver_comparison.m","NO","NO","NO","NO","NO"
"analysis/run_unified_barrier_mechanism.m","NO","YES","NO","NO","NO"
"analysis/simple_switching_observable_search_vs_relaxation.m","NO","YES","NO","NO","NO"
"analysis/switching_a1_amplitude_response_test.m","NO","YES","NO","NO","NO"
"analysis/switching_a1_integral_consistency_test.m","NO","YES","NO","NO","NO"
"analysis/switching_a1_model_scan.m","NO","YES","NO","NO","NO"
"analysis/switching_a1_single_derivative_scan.m","NO","YES","NO","NO","NO"
"analysis/switching_a1_static_vs_dynamic_test.m","NO","YES","NO","NO","NO"
"analysis/switching_a1_vs_dX_test.m","NO","YES","NO","NO","NO"
"analysis/switching_a1_vs_geometry_deformation_test.m","NO","YES","NO","NO","NO"
"analysis/switching_a1_vs_logdS_test.m","NO","YES","NO","NO","NO"
"analysis/switching_a1_vs_mobility_test.m","NO","YES","NO","NO","NO"
"analysis/switching_activation_signature_test.m","NO","YES","NO","NO","NO"
"analysis/switching_barrier_distribution_from_map.m","NO","YES","NO","NO","NO"
"analysis/switching_barrier_projection.m","NO","YES","NO","NO","NO"
"analysis/switching_chi_shift_shape_decomposition.m","NO","YES","NO","NO","NO"
"analysis/switching_composite_observable_scan.m","NO","YES","NO","NO","NO"
"analysis/switching_creep_barrier_analysis.m","NO","YES","NO","NO","NO"
"analysis/switching_creep_scaling_test.m","NO","YES","NO","NO","NO"
"analysis/switching_dynamical_susceptibility.m","NO","NO","NO","NO","NO"
"analysis/switching_joule_heating_null_test.m","NO","YES","NO","NO","NO"
"analysis/switching_observable_summary.m","NO","NO","NO","NO","NO"
"analysis/switching_relaxation_bridge_robustness_audit.m","NO","YES","NO","NO","NO"
"analysis/switching_relaxation_observable_comparison.m","NO","YES","NO","NO","NO"
"analysis/switching_ridge_motion_decomposition.m","NO","YES","NO","NO","NO"
"analysis/switching_ridge_temperature_susceptibility_test.m","NO","YES","NO","NO","NO"
"analysis/switching_shape_sector_vs_collapse_asymmetry.m","NO","YES","NO","NO","NO"
"analysis/switching_susceptibility_ridge_motion_test.m","NO","YES","NO","NO","NO"
"analysis/switching_threshold_residual_structure_test.m","NO","YES","NO","NO","NO"
"analysis/switching_width_dynamics_analysis.m","NO","YES","NO","NO","NO"
"analysis/switching_width_relaxation_correlation.m","NO","YES","NO","NO","NO"
"analysis/switching_width_roughness_competition_test.m","NO","YES","NO","NO","NO"
"analysis/unified_crossover_map.m","NO","YES","NO","NO","NO"
"analysis/unified_dynamical_crossover_synthesis.m","NO","YES","NO","NO","NO"
"ARPES ver1/plot_arpes_intensity_map.m","NO","NO","NO","NO","NO"
"ARPES ver1/run_arpes_dual.m","NO","NO","NO","NO","NO"
"ARPES ver1/run_arpes_json.m","NO","NO","NO","NO","NO"
"docs/templates/matlab_run_template.m","YES","YES","YES","YES","YES"
"FieldSweep ver3/FieldSweep_main.m","NO","NO","NO","NO","NO"
"FieldSweep ver3/parse_TB_from_FS_filename.m","NO","NO","NO","NO","NO"
"Fitting ver1/detect_fold_by_folding.m","NO","NO","NO","NO","NO"
"Fitting ver1/estimate_fold_fourier_ls.m","NO","NO","NO","NO","NO"
"Fitting ver1/extrema_from_fold.m","NO","NO","NO","NO","NO"
"Fitting ver1/extrema_from_fold_local.m","NO","NO","NO","NO","NO"
"Fitting ver1/extrema_from_fold_robust.m","NO","NO","NO","NO","NO"
"Fitting ver1/extrema_from_model.m","NO","NO","NO","NO","NO"
"Fitting ver1/fit_folded.m","NO","NO","NO","NO","NO"
"Fitting ver1/fit_script.m","NO","NO","NO","NO","NO"
"Fitting ver1/fit_script_sin1.m","NO","NO","NO","NO","NO"
"Fitting ver1/fit_script_sin2.m","NO","NO","NO","NO","NO"
"Fitting ver1/fit_script_sin3.m","NO","NO","NO","NO","NO"
"Fitting ver1/fit_script_sin3_with_amp_force.m","NO","NO","NO","NO","NO"
"Fitting ver1/fit_script_sin4.m","NO","NO","NO","NO","NO"
"Fitting ver1/fit_script_sin5.m","NO","NO","NO","NO","NO"
"Fitting ver1/fit_script_ver_sinN.m","NO","NO","NO","NO","NO"
"Fitting ver1/fit_sin3_smooth_step.m","NO","NO","NO","NO","NO"
"Fitting ver1/fit_sin4_pure_sin.m","NO","NO","NO","NO","NO"
"Fitting ver1/fit_sine_and_logistic.m","NO","NO","NO","NO","NO"
"Fitting ver1/fit_sine_from_legend.m","NO","NO","NO","NO","NO"
"Fitting ver1/fit_sinxsin.m","NO","NO","NO","NO","NO"
"Fitting ver1/fitSin2Folding.m","NO","NO","NO","NO","NO"
"Fitting ver1/fitSineAllCurvesFromOpenFigure.m","NO","NO","NO","NO","NO"
"Fitting ver1/fold_and_bin.m","NO","NO","NO","NO","NO"
"Fitting ver1/folding_quality.m","NO","NO","NO","NO","NO"
"Fitting ver1/foldingQuality_fractionalVariance.m","NO","NO","NO","NO","NO"
"Fitting ver1/foldingQuality_partialFourier.m","NO","NO","NO","NO","NO"
"Fitting ver1/foldingQuality_relativeNoise.m","NO","NO","NO","NO","NO"
"Fitting ver1/foldingQuality_stability.m","NO","NO","NO","NO","NO"
"Fitting ver1/fourier_model.m","NO","NO","NO","NO","NO"
"Fitting ver1/New/fitTwoSineFixedB.m","NO","NO","NO","NO","NO"
"Fitting ver1/TwoSinMult.m","NO","NO","NO","NO","NO"
"General ver2/allowLatexTicks.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/addGradientTempArrowExact.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/addGradientTempArrowPRL.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/addTemperatureArrowPRL.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/applyFontSizeByRole_v2.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/applySmartLayout_v2.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/combineOpenFiguresToPanels.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/combineOpenFiguresToPanels_v2.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/CommonFormatting/cleanChannelLabel.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/CommonFormatting/formatAllFigures.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/CommonFormatting/formatPaperPreset.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/CommonFormatting/formatThreeFiguresForPaper.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/CommonFormatting/latexColorbarHorizontal.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/CommonFormatting/postFormatAllFigures.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/CommonFormatting/stripChannelNumber.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/convertCartesianFigureToPolar.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/CtrlGUI/applyColormapToFigures.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/CtrlGUI/applyToSingleFigure.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/CtrlGUI/getSliceIndices.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/CtrlGUI/makeCustomColormap.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/CtrlGUI/name2rgb.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/PRB_style.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/publicationCore/alignAxisLabelsPublication.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/publicationCore/measureMaxYTickLabelWidthPx.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/publicationCore/normalizeAxesMargins.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/publicationCore/normalizeAxesMarginsUnified.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/refLineGUI/addRefLine.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/refLineGUI/replaceConstantLinesWithRegularLines.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/renderCombinedLegendOverlay.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/renderCombinedLegendOverlayInParent.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/shiftAxesRight.m","NO","NO","NO","NO","NO"
"General ver2/appearanceControl/shiftTilesRight.m","NO","NO","NO","NO","NO"
"General ver2/apply_channel_signs_by_preset.m","NO","NO","NO","NO","NO"
"General ver2/build_channels.m","NO","NO","NO","NO","NO"
"General ver2/choose_plane.m","NO","NO","NO","NO","NO"
"General ver2/chooseAutoScalePower.m","NO","NO","NO","NO","NO"
"General ver2/close_all_except_ui_figures.m","NO","NO","NO","NO","NO"
"General ver2/detect_measurement_type.m","NO","NO","NO","NO","NO"
"General ver2/extract_appended_flag.m","NO","NO","NO","NO","NO"
"General ver2/extract_current_I.m","NO","NO","NO","NO","NO"
"General ver2/extract_growth_FIB.m","NO","NO","NO","NO","NO"
"General ver2/extract_plane_mode.m","NO","NO","NO","NO","NO"
"General ver2/extract_preset_from_filename.m","NO","NO","NO","NO","NO"
"General ver2/figureSaving/quickSaveFigsPPT_simple.m","NO","NO","NO","NO","NO"
"General ver2/figureSaving/sanitizeFilename.m","NO","NO","NO","NO","NO"
"General ver2/figureSaving/save_figs.m","NO","NO","NO","NO","NO"
"General ver2/figureSaving/save_figs_and_JPEG.m","NO","NO","NO","NO","NO"
"General ver2/figureSaving/save_figs_and_JPEG_with_new_folder.m","NO","NO","NO","NO","NO"
"General ver2/figureSaving/save_figs_with_new_folder.m","NO","NO","NO","NO","NO"
"General ver2/figureSaving/save_JPEG.m","NO","NO","NO","NO","NO"
"General ver2/figureSaving/save_JPEG_with_new_folder.m","NO","NO","NO","NO","NO"
"General ver2/figureSaving/save_PDF.m","NO","NO","NO","NO","NO"
"General ver2/figureSaving/save_PDF_with_new_folder.m","NO","NO","NO","NO","NO"
"General ver2/figureSaving/save_PNG.m","NO","NO","NO","NO","NO"
"General ver2/figureSaving/save_PNG_with_new_folder.m","NO","NO","NO","NO","NO"
"General ver2/filter_channels.m","NO","NO","NO","NO","NO"
"General ver2/flip_L1X_in_folder.m","NO","NO","NO","NO","NO"
"General ver2/forceLatexFigure.m","NO","NO","NO","NO","NO"
"General ver2/forcePositiveAllXData.m","NO","NO","NO","NO","NO"
"General ver2/get_enabled_keys.m","NO","NO","NO","NO","NO"
"General ver2/getScalingFactor.m","NO","NO","NO","NO","NO"
"General ver2/keep_enabled.m","NO","NO","NO","NO","NO"
"General ver2/loadAllColormaps.m","NO","NO","NO","NO","NO"
"General ver2/localGetMapped.m","NO","NO","NO","NO","NO"
"General ver2/merge_labels.m","NO","NO","NO","NO","NO"
"General ver2/moveLineToRightAndStretchY.m","NO","NO","NO","NO","NO"
