"run_id","experiment","run_rel_path","tables_csv","reports_md","snapshot_source_run_path","snapshot_runpack_path","snapshot_analysis_ids","snapshot_report_ids","snapshot_has_entry","resolution_method"
"run_2026_03_10_133938_time_mode_analysis","relaxation","results\relaxation\runs\run_2026_03_10_133938_time_mode_analysis","tables/barrier_scaling_metrics.csv;tables/collapse_metrics.csv;tables/time_mode_fits.csv","reports/relaxation_time_mode_analysis.md","","","","","0",""
"run_2026_03_10_142409_geometry_observables","relaxation","results\relaxation\runs\run_2026_03_10_142409_geometry_observables","tables/svd_spectrum.csv;tables/svd_spectrum_S.csv","","","","","","0",""
"run_2026_03_10_143118_geometry_observables","relaxation","results\relaxation\runs\run_2026_03_10_143118_geometry_observables","tables/reconstruction_error_summary.csv;tables/svd_spectrum.csv;tables/svd_spectrum_S.csv","reports/relaxation_svd_audit.md","","","","","0",""
"run_2026_03_10_143906_timelaw_observables","relaxation","results\relaxation\runs\run_2026_03_10_143906_timelaw_observables","tables/time_fit_residuals.csv;tables/time_fit_results.csv","reports/relaxation_timelaw_observables.md","","","","","0",""
"run_2026_03_10_145239_geometry_visualization","aging","results\aging\runs\run_2026_03_10_145239_geometry_visualization","","","","","","","0",""
"run_2026_03_10_150549_geometry_observables","relaxation","results\relaxation\runs\run_2026_03_10_150549_geometry_observables","tables/deltaM_first_five_singular_values.csv;tables/deltaM_mode_profiles.csv;tables/deltaM_reconstruction_metrics.csv;tables/reconstruction_error_summary.csv;tables/svd_spectrum.csv;tables/svd_spectrum_S.csv","reports/relaxation_svd_audit.md","","","","","0",""
"run_2026_03_10_150549_geometry_visualization","aging","results\aging\runs\run_2026_03_10_150549_geometry_visualization","","","","","","","0",""
"run_2026_03_10_151424_geometry_observables","relaxation","results\relaxation\runs\run_2026_03_10_151424_geometry_observables","tables/deltaM_first_five_singular_values.csv;tables/deltaM_mode_profiles.csv;tables/deltaM_reconstruction_metrics.csv;tables/S_first_five_singular_values.csv","reports/relaxation_geometry_observables.md","","","","","0",""
"run_2026_03_10_171522_observable_mode_correlation","aging","results\aging\runs\run_2026_03_10_171522_observable_mode_correlation","tables/observable_mode_correlations.csv;tables/observable_mode_joined_table.csv","reports/observable_mode_correlation_report.md","","","","","0",""
"run_2026_03_10_175048_relaxation_observable_stability_audit","relaxation","results\relaxation\runs\run_2026_03_10_175048_relaxation_observable_stability_audit","tables/observables_relaxation.csv;tables/stability_report.csv;tables/stability_scenarios.csv;tables/temperature_observables.csv","reports/relaxation_observable_stability_report.md","","","","","0",""
"run_2026_03_10_200643_observable_mode_correlation","aging","results\aging\runs\run_2026_03_10_200643_observable_mode_correlation","tables/observable_matrix.csv;tables/observable_mode_correlations.csv;tables/svd_mode_coefficients.csv;tables/svd_singular_values.csv","reports/observable_mode_correlation_report.md","","","","","0",""
"run_2026_03_10_205157_relaxation_switching_knee_comparison","cross_experiment","results\cross_experiment\runs\run_2026_03_10_205157_relaxation_switching_knee_comparison","tables/relaxation_switching_comparison.csv;tables/relaxation_window_metrics.csv;tables/switching_transition_metrics_vs_T.csv;tables/switching_transition_summary.csv","","","","","","0",""
"run_2026_03_10_205502_relaxation_switching_knee_comparison","cross_experiment","results\cross_experiment\runs\run_2026_03_10_205502_relaxation_switching_knee_comparison","tables/relaxation_switching_comparison.csv;tables/relaxation_window_metrics.csv;tables/switching_transition_metrics_vs_T.csv;tables/switching_transition_summary.csv","","","","","","0",""
"run_2026_03_10_205656_relaxation_switching_knee_comparison","cross_experiment","results\cross_experiment\runs\run_2026_03_10_205656_relaxation_switching_knee_comparison","tables/relaxation_switching_comparison.csv;tables/relaxation_window_metrics.csv;tables/switching_transition_metrics_vs_T.csv;tables/switching_transition_summary.csv","reports/relaxation_switching_knee_comparison_report.md","","","","","0",""
"run_2026_03_10_215702_tp_27_structured_export","aging","results\aging\runs\run_2026_03_10_215702_tp_27_structured_export","","","","","","","0",""
"run_2026_03_10_220156_tp_27_structured_export","aging","results\aging\runs\run_2026_03_10_220156_tp_27_structured_export","","","","","","","0",""
"run_2026_03_10_220218_ridge_relaxation_comparison","cross_experiment","results\cross_experiment\runs\run_2026_03_10_220218_ridge_relaxation_comparison","tables/ridge_relaxation_comparison.csv;tables/ridge_relaxation_summary.csv","reports/ridge_relaxation_comparison_report.md","","","","","0",""
"run_2026_03_10_220738_tp_30_structured_export","aging","results\aging\runs\run_2026_03_10_220738_tp_30_structured_export","tables/DeltaM_map.csv;tables/observable_matrix.csv;tables/observable_mode_correlations.csv;tables/svd_mode_coefficients.csv;tables/svd_singular_values.csv;tables/svd_U.csv;tables/svd_V.csv;tables/T_axis.csv;tables/tw_axis.csv","reports/aging_observable_summary.md","","","","","0",""
"run_2026_03_10_222534_MG119_3sec","aging","results\aging\runs\run_2026_03_10_222534_MG119_3sec","","","","","","","0",""
"run_2026_03_10_222604_MG119_36sec","aging","results\aging\runs\run_2026_03_10_222604_MG119_36sec","","","","","","","0",""
"run_2026_03_10_222613_MG119_6min","aging","results\aging\runs\run_2026_03_10_222613_MG119_6min","","","","","","","0",""
"run_2026_03_10_222624_MG119_60min","aging","results\aging\runs\run_2026_03_10_222624_MG119_60min","","","","","","","0",""
"run_2026_03_10_223913_tp_6_structured_export","aging","results\aging\runs\run_2026_03_10_223913_tp_6_structured_export","tables/DeltaM_map.csv;tables/observable_matrix.csv;tables/observable_mode_correlations.csv;tables/svd_mode_coefficients.csv;tables/svd_singular_values.csv;tables/svd_U.csv;tables/svd_V.csv;tables/T_axis.csv;tables/tw_axis.csv","reports/aging_observable_summary.md","","","","","0",""
"run_2026_03_10_224229_tp_10_structured_export","aging","results\aging\runs\run_2026_03_10_224229_tp_10_structured_export","tables/DeltaM_map.csv;tables/observable_matrix.csv;tables/observable_mode_correlations.csv;tables/svd_mode_coefficients.csv;tables/svd_singular_values.csv;tables/svd_U.csv;tables/svd_V.csv;tables/T_axis.csv;tables/tw_axis.csv","reports/aging_observable_summary.md","","","","","0",""
"run_2026_03_10_225135_tp_14_structured_export","aging","results\aging\runs\run_2026_03_10_225135_tp_14_structured_export","tables/DeltaM_map.csv;tables/observable_matrix.csv;tables/observable_mode_correlations.csv;tables/svd_mode_coefficients.csv;tables/svd_singular_values.csv;tables/svd_U.csv;tables/svd_V.csv;tables/T_axis.csv;tables/tw_axis.csv","reports/aging_observable_summary.md","","","","","0",""
"run_2026_03_10_225732_ridge_crossover_vs_relaxation","cross_experiment","results\cross_experiment\runs\run_2026_03_10_225732_ridge_crossover_vs_relaxation","tables/ridge_crossover_metrics_vs_T.csv;tables/ridge_crossover_summary.csv;tables/ridge_relaxation_correlation_table.csv","reports/ridge_crossover_vs_relaxation_report.md","","","","","0",""
"run_2026_03_10_225902_tp_18_structured_export","aging","results\aging\runs\run_2026_03_10_225902_tp_18_structured_export","tables/DeltaM_map.csv;tables/observable_matrix.csv;tables/observable_mode_correlations.csv;tables/svd_mode_coefficients.csv;tables/svd_singular_values.csv;tables/svd_U.csv;tables/svd_V.csv;tables/T_axis.csv;tables/tw_axis.csv","reports/aging_observable_summary.md","","","","","0",""
"run_2026_03_10_231114_tp_22_structured_export","aging","results\aging\runs\run_2026_03_10_231114_tp_22_structured_export","tables/DeltaM_map.csv;tables/observable_matrix.csv;tables/observable_mode_correlations.csv;tables/svd_mode_coefficients.csv;tables/svd_singular_values.csv;tables/svd_U.csv;tables/svd_V.csv;tables/T_axis.csv;tables/tw_axis.csv","reports/aging_observable_summary.md","","","","","0",""
"run_2026_03_10_231719_tp_26_structured_export","aging","results\aging\runs\run_2026_03_10_231719_tp_26_structured_export","tables/DeltaM_map.csv;tables/observable_matrix.csv;tables/observable_mode_correlations.csv;tables/svd_mode_coefficients.csv;tables/svd_singular_values.csv;tables/svd_U.csv;tables/svd_V.csv;tables/T_axis.csv;tables/tw_axis.csv","reports/aging_observable_summary.md","","","","","0",""
"run_2026_03_10_232934_tp_34_structured_export","aging","results\aging\runs\run_2026_03_10_232934_tp_34_structured_export","tables/DeltaM_map.csv;tables/observable_matrix.csv;tables/observable_mode_correlations.csv;tables/svd_mode_coefficients.csv;tables/svd_singular_values.csv;tables/svd_U.csv;tables/svd_V.csv;tables/T_axis.csv;tables/tw_axis.csv","reports/aging_observable_summary.md","","","","","0",""
"run_2026_03_10_233449_simple_switching_vs_relaxation_search","cross_experiment","results\cross_experiment\runs\run_2026_03_10_233449_simple_switching_vs_relaxation_search","tables/candidate_definition_table.csv;tables/candidate_observables_vs_T.csv;tables/candidate_vs_relaxation_summary.csv","reports/simple_switching_observable_search_report.md","","","","","0",""
"run_2026_03_10_235137_tp_sweep_summary","aging","results\aging\runs\run_2026_03_10_235137_tp_sweep_summary","tables/aging_tp_summary.csv","reports/aging_tp_sweep_summary.md","","","","","0",""
"run_2026_03_11_011643_observable_identification_audit","aging","results\aging\runs\run_2026_03_11_011643_observable_identification_audit","tables/aging_mode_observable_summary.csv;tables/aging_observable_audit_summary.csv;tables/aging_observable_point_aggregation.csv;tables/aging_observable_recommendation_table.csv;tables/aging_structured_run_verification.csv;tables/aging_tp_observable_metrics.csv;tables/aging_tp_rank_summary.csv","reports/aging_observable_identification_audit.md","","","","","0",""
"run_2026_03_11_025420_relaxation_switching_motion_test","cross_experiment","results\cross_experiment\runs\run_2026_03_11_025420_relaxation_switching_motion_test","tables/relaxation_switching_correlations.csv;tables/relaxation_switching_feature_summary.csv;tables/relaxation_switching_motion_table.csv","reports/relaxation_switching_motion_analysis.md","","","","","0",""
"run_2026_03_11_030129_aging_shape_collapse_analysis","aging","results\aging\runs\run_2026_03_11_030129_aging_shape_collapse_analysis","","","","","","","0",""
"run_2026_03_11_030129_aging_shape_collapse_analysis_01","aging","results\aging\runs\run_2026_03_11_030129_aging_shape_collapse_analysis_01","","","","","","","0",""
"run_2026_03_11_082451_aging_shape_collapse_analysis","aging","results\aging\runs\run_2026_03_11_082451_aging_shape_collapse_analysis","tables/aging_rank1_scaling_coefficients_Tp26.csv;tables/aging_shape_variation_vs_Tp.csv","reports/aging_shape_collapse_analysis.md","","","","","0",""
"run_2026_03_11_084425_relaxation_switching_motion_test","cross_experiment","results\cross_experiment\runs\run_2026_03_11_084425_relaxation_switching_motion_test","tables/relaxation_switching_correlations.csv;tables/relaxation_switching_feature_summary.csv;tables/relaxation_switching_motion_table.csv","reports/relaxation_switching_motion_analysis.md","","","","","0",""
"run_2026_03_11_092014_barrier_landscape_reconstruction","cross_experiment","results\cross_experiment\runs\run_2026_03_11_092014_barrier_landscape_reconstruction","","","","","","","0",""
"run_2026_03_11_092333_barrier_landscape_reconstruction","cross_experiment","results\cross_experiment\runs\run_2026_03_11_092333_barrier_landscape_reconstruction","tables/barrier_distribution_tau0_scan.csv;tables/barrier_energy_axis.csv;tables/effective_barrier_distribution.csv","","","","","","0",""
"run_2026_03_11_093235_barrier_landscape_reconstruction","cross_experiment","results\cross_experiment\runs\run_2026_03_11_093235_barrier_landscape_reconstruction","tables/barrier_distribution_tau0_scan.csv;tables/barrier_energy_axis.csv;tables/effective_barrier_distribution.csv","","","","","","0",""
"run_2026_03_11_093251_switching_barrier_projection","cross_experiment","results\cross_experiment\runs\run_2026_03_11_093251_switching_barrier_projection","tables/switching_barrier_alignment_metrics.csv;tables/switching_barrier_projection.csv","reports/switching_barrier_projection_report.md","","","","","0",""
"run_2026_03_11_094519_switching_barrier_projection","cross_experiment","results\cross_experiment\runs\run_2026_03_11_094519_switching_barrier_projection","tables/switching_barrier_alignment_metrics.csv;tables/switching_barrier_projection.csv","reports/switching_barrier_projection_report.md","","","","","0",""
"run_2026_03_11_095852_barrier_landscape_reconstruction","cross_experiment","results\cross_experiment\runs\run_2026_03_11_095852_barrier_landscape_reconstruction","tables/barrier_distribution_tau0_scan.csv;tables/barrier_energy_axis.csv;tables/effective_barrier_distribution.csv","","","","","","0",""
"run_2026_03_11_100042_unified_barrier_mechanism","cross_experiment","results\cross_experiment\runs\run_2026_03_11_100042_unified_barrier_mechanism","tables/barrier_region_classification.csv;tables/observable_barrier_projections.csv","reports/unified_barrier_landscape_report.md","","","","","0",""
"run_2026_03_11_100529_unified_barrier_mechanism","cross_experiment","results\cross_experiment\runs\run_2026_03_11_100529_unified_barrier_mechanism","tables/barrier_region_classification.csv;tables/observable_barrier_projections.csv","reports/unified_barrier_landscape_report.md","","","","","0",""
"run_2026_03_11_100634_switching_barrier_projection","cross_experiment","results\cross_experiment\runs\run_2026_03_11_100634_switching_barrier_projection","tables/switching_barrier_alignment_metrics.csv;tables/switching_barrier_projection.csv","reports/switching_barrier_projection_report.md","","","","","0",""
"run_2026_03_11_100941_switching_barrier_projection","cross_experiment","results\cross_experiment\runs\run_2026_03_11_100941_switching_barrier_projection","tables/switching_barrier_alignment_metrics.csv;tables/switching_barrier_projection.csv","reports/switching_barrier_projection_report.md","","","","","0",""
"run_2026_03_11_101123_switching_barrier_projection","cross_experiment","results\cross_experiment\runs\run_2026_03_11_101123_switching_barrier_projection","tables/switching_barrier_alignment_metrics.csv;tables/switching_barrier_projection.csv","reports/switching_barrier_projection_report.md;reports/switching_barrier_projection_report_revised.md","","","","","0",""
"run_2026_03_11_102520_barrier_landscape_reconstruction","cross_experiment","results\cross_experiment\runs\run_2026_03_11_102520_barrier_landscape_reconstruction","tables/barrier_distribution_tau0_scan.csv;tables/barrier_energy_axis.csv;tables/effective_barrier_distribution.csv","reports/barrier_landscape_reconstruction_report.md","","","","","0",""
"run_2026_03_11_111154_barrier_landscape_interpretation_review","cross_experiment","results\cross_experiment\runs\run_2026_03_11_111154_barrier_landscape_interpretation_review","","","","","","","0",""
"run_2026_03_11_111513_barrier_landscape_interpretation_review","cross_experiment","results\cross_experiment\runs\run_2026_03_11_111513_barrier_landscape_interpretation_review","","","","","","","0",""
"run_2026_03_11_111757_barrier_landscape_interpretation_review","cross_experiment","results\cross_experiment\runs\run_2026_03_11_111757_barrier_landscape_interpretation_review","tables/prior_relaxation_diagnostics_summary.csv","reports/barrier_landscape_reconstruction_revised_report.md","","","","","0",""
"run_2026_03_11_142636_beta_T_audit","relaxation","results\relaxation\runs\run_2026_03_11_142636_beta_T_audit","","","","","","","0",""
"run_2026_03_11_143034_beta_T_audit","relaxation","results\relaxation\runs\run_2026_03_11_143034_beta_T_audit","","","","","","","0",""
"run_2026_03_11_143323_beta_T_audit","relaxation","results\relaxation\runs\run_2026_03_11_143323_beta_T_audit","tables/beta_T_fits.csv;tables/beta_T_stability_summary.csv;tables/beta_T_vs_relaxation_features.csv;tables/global_vs_local_beta_model_comparison.csv","reports/beta_T_audit_report.md","","","","","0",""
"run_2026_03_11_195951_beta_T_audit","relaxation","results\relaxation\runs\run_2026_03_11_195951_beta_T_audit","tables/beta_T_fits.csv;tables/beta_T_stability_summary.csv;tables/beta_T_vs_relaxation_features.csv;tables/global_vs_local_beta_model_comparison.csv","reports/beta_T_audit_report.md","","","","","0",""
"run_2026_03_11_203011_existing_results_state_map","cross_experiment","results\cross_experiment\runs\run_2026_03_11_203011_existing_results_state_map","tables/file_run_index.csv;tables/question_status.csv;tables/repository_state_summary.csv","reports/existing_results_state_map.md","","","","","0",""
"run_2026_03_11_203011_existing_results_state_map+","cross_experiment","results\cross_experiment\runs\run_2026_03_11_203011_existing_results_state_map+","","","","","","","0",""
"run_2026_03_11_213115_parallel_analysis_coordination","cross_experiment","results\cross_experiment\runs\run_2026_03_11_213115_parallel_analysis_coordination","tables/existing_vs_missing_matrix.csv;tables/parallel_task_plan.csv;tables/suggested_run_labels.csv","reports/parallel_analysis_coordination.md","","","","","0",""
"run_2026_03_11_213115_parallel_analysis_coordination+","cross_experiment","results\cross_experiment\runs\run_2026_03_11_213115_parallel_analysis_coordination+","","","","","","","0",""
"run_2026_03_11_215040_relaxation_aging_canonical_comparison","cross_experiment","results\cross_experiment\runs\run_2026_03_11_215040_relaxation_aging_canonical_comparison","","","","","","","0",""
"run_2026_03_11_215444_switching_collapse_kernel_analysis","cross_experiment","results\cross_experiment\runs\run_2026_03_11_215444_switching_collapse_kernel_analysis","","","","","","","0",""
"run_2026_03_11_215525_relaxation_aging_canonical_comparison","cross_experiment","results\cross_experiment\runs\run_2026_03_11_215525_relaxation_aging_canonical_comparison","","","","","","","0",""
"run_2026_03_11_215533_switching_collapse_kernel_analysis","cross_experiment","results\cross_experiment\runs\run_2026_03_11_215533_switching_collapse_kernel_analysis","","","","","","","0",""
"run_2026_03_11_215958_relaxation_aging_canonical_comparison","cross_experiment","results\cross_experiment\runs\run_2026_03_11_215958_relaxation_aging_canonical_comparison","","","","","","","0",""
"run_2026_03_11_220110_unified_crossover_map","cross_experiment","results\cross_experiment\runs\run_2026_03_11_220110_unified_crossover_map","tables/crossover_peak_summary.csv;tables/crossover_window_overlap_summary.csv;tables/source_run_manifest.csv;tables/unified_crossover_observables.csv","","","","","","0",""
"run_2026_03_11_220436_switching_collapse_kernel_analysis","cross_experiment","results\cross_experiment\runs\run_2026_03_11_220436_switching_collapse_kernel_analysis","","","","","","","0",""
"run_2026_03_11_220453_relaxation_tau_time_window_test","cross_experiment","results\cross_experiment\runs\run_2026_03_11_220453_relaxation_tau_time_window_test","","","","","","","0",""
"run_2026_03_11_220607_switching_collapse_kernel_analysis","cross_experiment","results\cross_experiment\runs\run_2026_03_11_220607_switching_collapse_kernel_analysis","","","","","","","0",""
"run_2026_03_11_220719_switching_collapse_kernel_analysis","cross_experiment","results\cross_experiment\runs\run_2026_03_11_220719_switching_collapse_kernel_analysis","tables/collapse_kernel_reference.csv;tables/collapse_observables.csv;tables/collapse_quality_summary.csv;tables/per_temperature_collapse_metrics.csv;tables/relaxation_alignment_summary.csv","","","","","","0",""
"run_2026_03_11_220838_switching_collapse_kernel_analysis","cross_experiment","results\cross_experiment\runs\run_2026_03_11_220838_switching_collapse_kernel_analysis","tables/collapse_kernel_reference.csv;tables/collapse_observables.csv;tables/collapse_quality_summary.csv;tables/per_temperature_collapse_metrics.csv;tables/relaxation_alignment_summary.csv","","","","","","0",""
"run_2026_03_11_220904_relaxation_aging_canonical_comparison","cross_experiment","results\cross_experiment\runs\run_2026_03_11_220904_relaxation_aging_canonical_comparison","","","","","","","0",""
"run_2026_03_11_221432_relaxation_tau_time_window_test","cross_experiment","results\cross_experiment\runs\run_2026_03_11_221432_relaxation_tau_time_window_test","","","","","","","0",""
"run_2026_03_11_221600_unified_crossover_map","cross_experiment","results\cross_experiment\runs\run_2026_03_11_221600_unified_crossover_map","tables/crossover_peak_summary.csv;tables/crossover_window_overlap_summary.csv;tables/source_run_manifest.csv;tables/unified_crossover_observables.csv","","","","","","0",""
"run_2026_03_11_222040_switching_collapse_kernel_analysis","cross_experiment","results\cross_experiment\runs\run_2026_03_11_222040_switching_collapse_kernel_analysis","tables/collapse_kernel_reference.csv;tables/collapse_observables.csv;tables/collapse_quality_summary.csv;tables/per_temperature_collapse_metrics.csv;tables/relaxation_alignment_summary.csv","","","","","","0",""
"run_2026_03_11_222321_relaxation_aging_canonical_comparison","cross_experiment","results\cross_experiment\runs\run_2026_03_11_222321_relaxation_aging_canonical_comparison","","","","","","","0",""
"run_2026_03_11_222321_relaxation_tau_time_window_test","cross_experiment","results\cross_experiment\runs\run_2026_03_11_222321_relaxation_tau_time_window_test","","","","","","","0",""
"run_2026_03_11_222612_switching_collapse_kernel_analysis","cross_experiment","results\cross_experiment\runs\run_2026_03_11_222612_switching_collapse_kernel_analysis","tables/collapse_kernel_reference.csv;tables/collapse_observables.csv;tables/collapse_quality_summary.csv;tables/per_temperature_collapse_metrics.csv;tables/relaxation_alignment_summary.csv","","","","","","0",""
"run_2026_03_11_223108_switching_collapse_kernel_analysis","cross_experiment","results\cross_experiment\runs\run_2026_03_11_223108_switching_collapse_kernel_analysis","tables/collapse_kernel_reference.csv;tables/collapse_observables.csv;tables/collapse_quality_summary.csv;tables/per_temperature_collapse_metrics.csv;tables/relaxation_alignment_summary.csv","reports/switching_collapse_analysis.md","","","","","0",""
"run_2026_03_11_223145_relaxation_aging_canonical_comparison","cross_experiment","results\cross_experiment\runs\run_2026_03_11_223145_relaxation_aging_canonical_comparison","tables/normalized_overlay_metrics.csv;tables/peak_window_summary.csv;tables/relaxation_aging_observable_alignment.csv;tables/source_run_manifest.csv","reports/relaxation_aging_canonical_comparison.md","","","","","0",""
"run_2026_03_11_223355_switching_collapse_kernel_analysis","cross_experiment","results\cross_experiment\runs\run_2026_03_11_223355_switching_collapse_kernel_analysis","tables/collapse_kernel_reference.csv;tables/collapse_observables.csv;tables/collapse_quality_summary.csv;tables/per_temperature_collapse_metrics.csv;tables/relaxation_alignment_summary.csv","reports/switching_collapse_analysis.md","","","","","0",""
"run_2026_03_11_223549_relaxation_tau_time_window_test","cross_experiment","results\cross_experiment\runs\run_2026_03_11_223549_relaxation_tau_time_window_test","tables/fit_quality_summary.csv;tables/tau_model_comparison.csv;tables/tau_vs_temperature.csv;tables/time_window_alignment_summary.csv","reports/relaxation_tau_time_window_test.md","","","","","0",""
"run_2026_03_11_223610_unified_crossover_map","cross_experiment","results\cross_experiment\runs\run_2026_03_11_223610_unified_crossover_map","tables/crossover_peak_summary.csv;tables/crossover_window_overlap_summary.csv;tables/source_run_manifest.csv;tables/unified_crossover_observables.csv","","","","","","0",""
"run_2026_03_11_224153_switching_collapse_kernel_analysis","cross_experiment","results\cross_experiment\runs\run_2026_03_11_224153_switching_collapse_kernel_analysis","tables/collapse_kernel_reference.csv;tables/collapse_observables.csv;tables/collapse_quality_summary.csv;tables/per_temperature_collapse_metrics.csv;tables/relaxation_alignment_summary.csv","reports/switching_collapse_analysis.md","","","","","0",""
