"function_name","count","locations"
"computeWindows","3","Aging\diagnostics\diagnose_decomposition_audit_waittimes.m:305 ; Aging\diagnostics\diagnose_decomposition_audit_waittimes_clean.m:246 ; Aging\diagnostics\diagnose_FM_construction_audit.m:410"
"patchWindow","3","Aging\diagnostics\diagnose_decomposition_audit_waittimes.m:363 ; Aging\diagnostics\diagnose_decomposition_audit_waittimes_clean.m:293 ; Aging\diagnostics\diagnose_FM_construction_audit.m:519"
"removeShortRuns","2","Relaxation ver3\diagnostics\validate_relaxation_band_boundaries.m:573 ; Relaxation ver3\diagnostics\visualize_relaxation_band_maps.m:293"
"evaluatePair","2","Switching\analysis\switching_observable_basis_test.m:321 ; Switching\analysis\switching_second_structural_observable_search.m:490"
"firstNonEmptyTable","2","zfAMR ver11\firstNonEmptyTable.m:1 ; zfAMR ver11\plots\plot_zfAMR.m:172"
"plotTimeCuts","2","Relaxation ver3\diagnostics\relaxation_corrected_geometry_analysis.m:484 ; Relaxation ver3\diagnostics\render_relaxation_derivative_interpretable.m:342"
"plotTemperatureCuts","2","Relaxation ver3\diagnostics\render_relaxation_derivative_interpretable.m:474 ; Switching\analysis\switching_alignment_audit.m:2530"
"computeAIC","2","Relaxation ver3\diagnostics\survey_relaxation_observables.m:448 ; Relaxation ver3\fitRelaxationModel.m:69"
"applyDivergingColormap","2","Switching\analysis\switching_alignment_audit.m:2608 ; Switching\analysis\switching_shape_rank_analysis.m:458"
"initCorrRow","2","Switching\analysis\switching_mode23_analysis.m:453 ; Switching\analysis\switching_observable_basis_test.m:472"
"zscoreFinite","2","Switching\analysis\switching_mechanism_followup.m:568 ; Switching\analysis\switching_second_coordinate_duel.m:610"
"emptyGeomRow","2","Relaxation ver3\diagnostics\relaxation_corrected_geometry_analysis.m:398 ; Relaxation ver3\diagnostics\survey_relaxation_observables.m:217"
"merge_adjacent_blocks","2","zfAMR ver11\parsing\extract_cooling_segments.m:103 ; zfAMR ver11\parsing\extract_warming_segments.m:111"
"resolve_channels","2","zfAMR ver11\parsing\resolve_channels.m:1 ; zfAMR ver11\plots\plot_fcAMR_polar.m:112"
"safe_move","2","Tools ver1\organize_switching_files.m:112 ; Tools ver1\organize_zfAMR_files.m:91"
"wrapTo180","2","zfAMR ver11\analysis\analyze_physical_fourier.m:200 ; zfAMR ver11\analysis\plot_harmonic_locking.m:163"
"select_angles","2","zfAMR ver11\parsing\select_angles.m:1 ; zfAMR ver11\plots\interactive_plot_warming_cooling.m:76"
"clean_and_clip_blocks","2","zfAMR ver11\plots\plot_extracted_cooling_segments.m:200 ; zfAMR ver11\plots\plot_extracted_warming_segments.m:239"
"uncheckAll","2","zfAMR ver11\plots\plot_resistivity_cooling_segments.m:187 ; zfAMR ver11\plots\plot_resistivity_warming_segments.m:207"
"enumerate_blocks_from_tables","2","zfAMR ver11\plots\plot_extracted_cooling_segments.m:120 ; zfAMR ver11\plots\plot_extracted_warming_segments.m:132"
"collect_angle_keys_from_tables","2","zfAMR ver11\plots\plot_extracted_cooling_segments.m:171 ; zfAMR ver11\plots\plot_extracted_warming_segments.m:204"
"mkGeoRow","2","Switching\analysis\switching_observable_basis_test.m:528 ; Switching\analysis\switching_second_structural_observable_search.m:663"
"plotScatterWithFit","2","Switching\analysis\switching_observable_basis_test.m:539 ; Switching\analysis\switching_second_structural_observable_search.m:676"
"initPairRow","2","Switching\analysis\switching_observable_basis_test.m:485 ; Switching\analysis\switching_second_structural_observable_search.m:614"
"mkPairRow","2","Switching\analysis\switching_observable_basis_test.m:501 ; Switching\analysis\switching_second_structural_observable_search.m:632"
"plot_resistivity_diff","2","zfAMR ver11\plots\plot_resistivity_diff.m:1 ; zfAMR ver11\plots\plot_resistivity_diff_polar.m:1"
"initMetricRow","2","Switching\analysis\switching_second_coordinate_duel.m:626 ; Switching\analysis\switching_XI_Xshape_analysis.m:470"
"checkAll","2","zfAMR ver11\plots\plot_resistivity_cooling_segments.m:198 ; zfAMR ver11\plots\plot_resistivity_warming_segments.m:218"
"plot_zfAMR","2","zfAMR ver11\plots\plot_resistivity_deviation.m:1 ; zfAMR ver11\plots\plot_zfAMR.m:1"
"corrAndLinR2","2","Switching\analysis\switching_second_coordinate_duel.m:537 ; Switching\analysis\switching_second_structural_observable_search.m:477"
"printDiagnosticsBlock","2","Aging old\pipeline\stage8_globalJfit_shiftGating.m:349 ; Aging\pipeline\stage8_globalJfit_shiftGating.m:349"
"plotDiagnostics","2","Aging old\pipeline\stage8_globalJfit_shiftGating.m:452 ; Aging\pipeline\stage8_globalJfit_shiftGating.m:452"
"computeAllModels","2","Aging old\pipeline\stage8_globalJfit_shiftGating.m:323 ; Aging\pipeline\stage8_globalJfit_shiftGating.m:323"
"globalJObjectiveRaw","2","Aging old\pipeline\stage8_globalJfit_shiftGating.m:274 ; Aging\pipeline\stage8_globalJfit_shiftGating.m:274"
"computeModelForJ","2","Aging old\pipeline\stage8_globalJfit_shiftGating.m:296 ; Aging\pipeline\stage8_globalJfit_shiftGating.m:296"
"costMeanField","2","Aging\fitAFM_FM_MeanField_and_DipGaussian.m:199 ; Aging\fitAFM_FM_MeanField_and_DipLorentzian.m:236"
"load_arpes_json","2","ARPES ver1\run_arpes_dual.m:194 ; ARPES ver1\run_arpes_json.m:93"
"meanFieldModel","2","Aging\fitAFM_FM_MeanField_and_DipGaussian.m:193 ; Aging\fitAFM_FM_MeanField_and_DipLorentzian.m:225"
"plotAgingMemory","2","Aging\plotAgingMemory.m:1 ; Aging\plots\plotAgingMemory.m:1"
"compareAgainstBaseline","2","Aging\tests\verify_stage4_refactor.m:92 ; Switching\analysis\switching_observable_stability_survey.m:338"
"globalJObjective","2","Aging old\pipeline\stage8_globalJfit_shiftGating.m:243 ; Aging\pipeline\stage8_globalJfit_shiftGating.m:243"
"formatTwLabel","2","Aging\analysis\aging_geometry_visualization.m:563 ; Relaxation ver3\aging_geometry_visualization.m:520"
"inWindow","2","Aging\diagnostics\diagnose_decomposition_audit_waittimes.m:344 ; Aging\diagnostics\diagnose_FM_construction_audit.m:449"
"mapValueToColormap","2","Aging\analysis\aging_geometry_visualization.m:548 ; Relaxation ver3\aging_geometry_visualization.m:505"
"extractRawPauseRuns","2","Aging\analysis\aging_geometry_visualization.m:444 ; Relaxation ver3\aging_geometry_visualization.m:393"
"extractTwSeconds","2","Aging\analysis\aging_geometry_visualization.m:505 ; Relaxation ver3\aging_geometry_visualization.m:454"
"stage8_globalJfit_shiftGating","2","Aging old\pipeline\stage8_globalJfit_shiftGating.m:1 ; Aging\pipeline\stage8_globalJfit_shiftGating.m:1"
"firstField","2","Aging old\pipeline\stage8_globalJfit_shiftGating.m:215 ; Aging\pipeline\stage8_globalJfit_shiftGating.m:215"
"fitLinearModel","2","Aging\diagnostics\diagnose_switching_regime_features.m:231 ; Switching\analysis\switching_mode23_analysis.m:408"
"tf","2","Aging\diagnostics\diagnose_deltaM_svd_pca.m:597 ; Aging\diagnostics\diagnose_mode1_separability.m:451"
"writeText","2","Aging\diagnostics\diagnose_deltaM_svd_pca.m:605 ; Aging\diagnostics\diagnose_mode1_separability.m:459"
"fitTwoSineFixedB","2","Fitting ver1\New\fitTwoSineFixedB.m:1 ; PS ver4\fitTwoSineFixedB.m:1"
"clean_after_normalization","2","PS ver4\clean_after_normalization.m:1 ; Resistivity ver6\clean_after_normalization.m:1"
"sg_safe","2","PS ver4\clean_after_normalization.m:44 ; PS ver4\remove_outliers.m:67"
"iif","2","GUIs\test_improvements.m:119 ; GUIs\test_layout_fixes.m:197"
"i_getStringField","2","GUIs\FCS_applyColormap.m:53 ; GUIs\FCS_export.m:987"
"printShapeOrder","2","GUIs\test_compose_annotation_zorder.m:119 ; GUIs\test_compose_annotation_zorder_direct.m:94"
"cleanAligned","2","Relaxation ver3\diagnostics\analyze_relaxation_derivative_smoothing.m:323 ; Relaxation ver3\diagnostics\relaxation_corrected_geometry_analysis.m:304"
"detectRelaxStart","2","Relaxation ver3\diagnostics\analyze_relaxation_derivative_smoothing.m:341 ; Relaxation ver3\diagnostics\relaxation_corrected_geometry_analysis.m:332"
"emptyCurveStruct","2","Relaxation ver3\diagnostics\analyze_relaxation_derivative_smoothing.m:319 ; Relaxation ver3\diagnostics\relaxation_corrected_geometry_analysis.m:393"
"safeDiv","2","Relaxation ver3\diagnostics\analyze_relaxation_derivative_smoothing.m:305 ; Relaxation ver3\diagnostics\relaxation_corrected_geometry_analysis.m:407"
"emptyRawRow","2","Relaxation ver3\diagnostics\analyze_relaxation_derivative_smoothing.m:313 ; Relaxation ver3\diagnostics\relaxation_corrected_geometry_analysis.m:386"
"i_validateFigHandles","2","GUIs\FCS_applyAxisPolicy.m:50 ; GUIs\FCS_applyLegend.m:68"
"i_findUIAxes","2","General ver2\appearanceControl\publicationCore\normalizeAxesMargins.m:358 ; General ver2\appearanceControl\publicationCore\normalizeAxesMarginsUnified.m:605"
"i_isPrimaryPlotAxes","2","General ver2\appearanceControl\publicationCore\normalizeAxesMargins.m:371 ; General ver2\appearanceControl\publicationCore\normalizeAxesMarginsUnified.m:618"
"i_hasTiledLayout","2","General ver2\appearanceControl\publicationCore\normalizeAxesMargins.m:344 ; General ver2\appearanceControl\publicationCore\normalizeAxesMarginsUnified.m:591"
"i_normalizeFigureInput","2","General ver2\appearanceControl\publicationCore\normalizeAxesMargins.m:288 ; General ver2\appearanceControl\publicationCore\normalizeAxesMarginsUnified.m:537"
"i_preflightFigures","2","General ver2\appearanceControl\publicationCore\normalizeAxesMargins.m:322 ; General ver2\appearanceControl\publicationCore\normalizeAxesMarginsUnified.m:569"
"CtrlGUI","2","GUIs\CtrlGUI.m:1 ; GUIs\tests\legacy\CtrlGUI.m:1"
"FinalFigureFormatterGUI","2","GUIs\FinalFigureFormatterGUI.m:1 ; GUIs\tests\legacy\FinalFigureFormatterGUI.m:1"
"closeSafe","2","GUIs\tests\legacy\_single_fig_smoke.m:18 ; GUIs\tests\legacy\ANALYZE_FIG_QUALITY.m:241"
"i_hasPlottableChildren","2","General ver2\appearanceControl\publicationCore\normalizeAxesMargins.m:412 ; General ver2\appearanceControl\publicationCore\normalizeAxesMarginsUnified.m:659"
"i_parseOptions","2","General ver2\appearanceControl\applyFontSizeByRole_v2.m:22 ; GUIs\FCS_applyFontSize.m:18"
