object_name,object_kind,definition_text,mathematical_definition_if_available,input_signal,background_or_baseline_definition,reference_level_or_subtraction_rule,window_definition,smoothing_policy,fit_model_if_any,sign_convention,normalization,extraction_rule,units_if_known,grain,join_keys,producer_script,producer_function,source_artifact_or_doc,definition_status,ambiguity_risk,allowed_use,notes
dip_area,processed_observable,Lowercase alias risk same as Dip_area legacy overload,Dip_area mirrors selected area in stage5,Dip_area_fit or direct,N/A,N/A,N/A,N/A,Gaussian fit unless cfg direct,N/A,stage5 assignment,arbitrary,per_Tp,waitK,Aging/pipeline/stage5_fitFMGaussian.m,stage5_fitFMGaussian,stage5_fitFMGaussian.m,PARTIAL,MEDIUM,legacy_reference_only,Prefer Dip_area_selected
AFM_amp,decomposition_component,Dip height mean of sharp residual in window,mean of dipVals in dip_window,dM_sharp in mask,dM_smooth removed,N/A,Tp plus minus dip_window_K,N/A,N/A,N/A,N/A,height branch dipMetric,arbitrary,per_curve,waitK,Aging/models/analyzeAFM_FM_components.m,analyzeAFM_FM_components,same,EXPLICIT,MEDIUM,decomposition_component,Feeds Dip_depth fallback
AFM_area,decomposition_component,Dip integrated rectified sharp area,trapz on max0 dM_sharp in window,dM_sharp T,dM_smooth removed,N/A,dip_window,N/A,N/A,rectified nonnegative area branch,N/A,area branch dipMetric,arbitrary,per_curve,waitK,Aging/models/analyzeAFM_FM_components.m,analyzeAFM_FM_components,same,EXPLICIT,MEDIUM,decomposition_component,Not RMS canonical
AFM_RMS,decomposition_component,RMS of sharp dip in window,sqrt mean dipVals squared,dM_sharp in mask,dM_smooth removed,N/A,dip_window,N/A,N/A,N/A,N/A,RMS branch,arbitrary,per_curve,waitK,Aging/models/analyzeAFM_FM_components.m,analyzeAFM_FM_components,same,EXPLICIT,LOW,decomposition_component,Header canonical direct AFM
AFM_like,summary_object,Track A summary vector from selected dip area,Dip_area_selected per cfg height area switch,Dip_area_selected or Dip_A,Dip_area_selected from fit or direct per cfg,N/A,per pause Tp list,N/A,Gaussian or extrema path,N/A,summary selection,arbitrary_mu_B_scale,per_Tp,waitK,Aging/pipeline/stage6_extractMetrics.m,stage6_extractMetrics,docs/aging_measurement_definition_freeze.md,EXPLICIT,HIGH,diagnostic_only,Forbidden as tau_input without adapter
Dip_area,fit_object,Legacy overloaded pause field equals selected after stage5,Dip_area equals selectedDipArea assignment,Dip_area_fit Dip_area_direct per dipAreaSource,N/A,N/A,per pause,N/A,fit unless cfg direct,N/A,stage5 loop,arbitrary,per_Tp,waitK,Aging/pipeline/stage5_fitFMGaussian.m,stage5_fitFMGaussian,same,PARTIAL,HIGH,legacy_reference_only,Comments warn overload
Dip_area_selected,fit_object,Explicit selected dip area for summaries,chosen from fit or direct with fallback rules,Dip_area_fit Dip_area_direct,N/A,N/A,per pause,N/A,fit family,N/A,selection block,arbitrary,per_Tp,waitK,Aging/pipeline/stage5_fitFMGaussian.m,stage5_fitFMGaussian,same,EXPLICIT,MEDIUM,decomposition_component,Feeds AFM_like
FM_step,decomposition_component,Umbrella for plateau step metrics FM_step_raw FM_step_A,plateau difference definitions vary by path,plateaus left right,N/A,N/A,plateau windows,N/A,core or robust,N/A,signed step,arbitrary,per_curve,waitK,multiple functions,multiple,headers,AMBIGUOUS,MEDIUM,diagnostic_only,Disambiguate FM_step_raw vs FM_step_A
FM_step_raw,decomposition_component,Preferred signed plateau step from bases,difference of plateau levels per convention,baseline plateaus,dip excluded plateaus,N/A,FM_buffer dip_window,N/A,N/A,signed,N/A,computeFMFromBases path,arbitrary,per_curve,waitK,Aging/models/analyzeAFM_FM_components.m,analyzeAFM_FM_components,same,EXPLICIT,MEDIUM,decomposition_component,Preferred for FM_signed
FM_signed,decomposition_component,Signed FM scalar on pauseRuns,from FM_step_raw or FM_step_mag fallback,FM_step_raw FM_step_mag,N/A,N/A,N/A,N/A,N/A,signed,N/A,stage4 orchestrator,arbitrary,per_curve,waitK,Aging/pipeline/stage4_analyzeAFM_FM.m,stage4_analyzeAFM_FM,same,EXPLICIT,LOW,decomposition_component,Not in five-column CSV
FM_abs,processed_observable,Magnitude abs of FM_signed when finite,abs FM_signed,FM_signed,N/A,N/A,N/A,N/A,N/A,ABS_ONLY,N/A,stage4 orchestrator,arbitrary,per_curve,waitK,Aging/pipeline/stage4_analyzeAFM_FM.m,stage4_analyzeAFM_FM,same,EXPLICIT,LOW,tau_input_candidate,Sign lost
FM_step_mag,decomposition_component,Misleading name stores signed raw same as FM_step_raw in direct path,copy FM_step_raw assignment,FM_step_raw,N/A,N/A,N/A,N/A,N/A,signed not magnitude,N/A,analyzeAFM_FM_components assign,arbitrary,per_curve,waitK,Aging/models/analyzeAFM_FM_components.m,analyzeAFM_FM_components,docs/aging_measurement_definition_freeze.md,EXPLICIT,HIGH,diagnostic_only,Wide matrix only narrow strips
FM_like,summary_object,Track A summary equals FM_E default path,FM_E tanh window RMS style,FM_E,N/A,N/A,per pause,N/A,tanh fit in stage5,N/A,fit magnitude,N/A,stage6_extractMetrics,arbitrary,per_Tp,waitK,Aging/pipeline/stage6_extractMetrics.m,stage6_extractMetrics,docs/aging_measurement_definition_freeze.md,EXPLICIT,HIGH,diagnostic_only,Not FM_abs
FM_E,fit_object,Tanh step fit energy metric from Gaussian dip fitter output,from fitFMstep_plus_GaussianDip,windowed deltaM trace,N/A,N/A,fit window in callee,nonlinear fit,N/A,fit magnitude,N/A,stage5_fitFMGaussian,arbitrary,per_Tp,waitK,Aging/pipeline/stage5_fitFMGaussian.m,stage5_fitFMGaussian,same,INFERRED,MEDIUM,decomposition_component,Feeds FM_like
smooth_component,processed_signal,Alias for DeltaM_smooth conceptually,same as DeltaM_smooth,deltaM,N/A,N/A,N/A,sgolay,N/A,N/A,N/A,same as DeltaM_smooth,arbitrary,per_curve,waitK,Aging/models/analyzeAFM_FM_components.m,analyzeAFM_FM_components,router doc,EXPLICIT,LOW,decomposition_component,Human synonym
sharp_component,processed_signal,Alias for sharp residual family,dM_sharp or dip_signed per context,deltaM,N/A,N/A,N/A,N/A,N/A,context dependent,N/A,router plus code,arbitrary,per_curve,waitK,mixed,mixed,docs/aging_observable_branch_router.md,AMBIGUOUS,MEDIUM,diagnostic_only,Specify which sharp
tau_dip,tau_output,Abstract per-Tp dip timescale from curve fits,buildTauTable multi columns,Dip_depth vs tw,N/A,N/A,N/A,multi logistic stretched half_range,N/A,N/A,curve collapse,seconds,per_Tp,Tp,Aging/analysis/aging_timescale_extraction.m,buildTauTable,tau_vs_Tp.csv,PARTIAL,HIGH,tau_output,Not a pause field
tau_FM,tau_output,Abstract per-Tp FM timescale from FM_abs curves,buildFmTauTable,FM_abs vs tw,N/A,N/A,N/A,multi,N/A,N/A,curve collapse,seconds,per_Tp,Tp,Aging/analysis/aging_fm_timescale_analysis.m,buildFmTauTable,tau_FM_vs_Tp.csv,PARTIAL,HIGH,tau_output,Auxiliary dip tau paths in script
tau_vs_Tp,tau_output,CSV file basename for dip tau table,multiple tau columns per Tp,Dip_depth dataset,N/A,N/A,N/A,multi,N/A,N/A,groupby Tp fit,seconds,per_Tp,Tp,Aging/analysis/aging_timescale_extraction.m,aging_timescale_extraction,tau_vs_Tp.csv,EXPLICIT,MEDIUM,tau_output,Artifact not field
tau_FM_vs_Tp,tau_output,CSV file basename for FM tau table,same structure FM domain,FM_abs dataset,N/A,N/A,N/A,multi,N/A,N/A,groupby Tp fit,seconds,per_Tp,Tp,Aging/analysis/aging_fm_timescale_analysis.m,aging_fm_timescale_analysis,tau_FM_vs_Tp.csv,EXPLICIT,MEDIUM,tau_output,Artifact not field
tau_effective_seconds,tau_output,Legacy consensus alias column per F7G,consensus among methods in buildTauTable,tau method columns,N/A,N/A,N/A,multi,N/A,N/A,picker,N/A,seconds,per_Tp,Tp,tau writers,buildTauTable,tau CSVs,AMBIGUOUS,HIGH,tau_output,Needs metadata domain
R_age,ratio_output,Scalar ratio tau_FM over tau_dip style,from merged tau tables,prior tau CSVs,N/A,N/A,temperature union,N/A,N/A,N/A,merge_via_loadTauTable,dimensionless,per_Tp,Tp,Aging/analysis/aging_clock_ratio_analysis.m,aging_clock_ratio_analysis,table_clock_ratio.csv,EXPLICIT,MEDIUM,ratio_output,Downstream only
Tp,key,Pause temperature coordinate,Kelvin pause index,experiment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,waitK on pauseRuns,K,per_Tp,waitK dataset,multiple,multiple,aging_observable_dataset contract,EXPLICIT,LOW,key,Renamed from Tp_K in consolidation
tw,key,Wait time within pause,seconds wait label,timing experiment,N/A,N/A,N/A,N/A,N/A,N/A,N/A,dataset column,s,per_Tp_tw,Tp tw,multiple,multiple,same,EXPLICIT,LOW,key,Renamed from tw_seconds
pauseRun,diagnostic,Struct element holding one pause temperature run bundle,struct with T_common DeltaM waitK fields,pipeline state,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Main_Aging path,N/A,per_curve,waitK,Aging pipeline,Main_Aging inferred,router doc,INFERRED,LOW,diagnostic_only,Container not scalar
source_run,key,Opaque provenance grouping string per freeze,manifest plus sample dataset composite,manifest row fields,N/A,N/A,N/A,N/A,N/A,N/A,N/A,consolidation policy,string,per_Tp_tw,Tp tw source_run,Aging/analysis/run_aging_observable_dataset_consolidation.m,run_aging_observable_dataset_consolidation,docs/aging_measurement_definition_freeze.md,EXPLICIT,MEDIUM,key,Reader groups curves
five-column observable dataset,dataset,Contract CSV aging_observable_dataset schema,five named columns only,Tp tw Dip_depth FM_abs source_run,N/A,N/A,N/A,N/A,N/A,FM_abs ABS_ONLY,N/A,thin consolidation,arbitrary,per_Tp_tw,Tp tw source_run,Aging/analysis/run_aging_observable_dataset_consolidation.m,run_aging_observable_dataset_consolidation,same,EXPLICIT,MEDIUM,tau_input_candidate,No FM_signed column
F7X bridge component,bridge_component,F7W long schema row for one component stream,value metadata flags,consolidation or future sources,N/A,N/A,N/A,N/A,N/A,per schema sign_convention,N/A,F7X bridge generator,arbitrary,per_Tp_tw,bridge_row_id Tp tw,tables/aging aging_F7X bridge tables,F7X export job,aging_F7X_bridge_component_long.csv,EXPLICIT,LOW,bridge_only,Not new physics observable
stage4 direct component,diagnostic,Survey label for outputs of analyzeAFM_FM_components path,direct decomposition family,deltaM on T,smooth plus dip narrative,dip_signed AFM metrics FM step,N/A,sgolay and windows,N/A,mixed,N/A,category,N/A,per_curve,waitK,Aging/models/analyzeAFM_FM_components.m,analyzeAFM_FM_components,F7X2 survey,EXPLICIT,MEDIUM,diagnostic_only,Requires cfg snapshot for variant
stage4 derivative component,diagnostic,Survey label for analyzeAFM_FM_derivative outputs,derivative-assisted reuses direct per header,T dM DeltaM_signed,N/A,N/A,N/A,derivative ops,N/A,signed per router,N/A,category,N/A,per_curve,waitK,Aging/models/analyzeAFM_FM_derivative.m,analyzeAFM_FM_derivative,router doc,PARTIAL,HIGH,diagnostic_only,Field list not fully enumerated
stage4 extrema-smoothed component,diagnostic,Survey label for extrema on smoothed DeltaM,movmean then extrema,DeltaM trace,movmean smooth,N/A,N/A,movmean window 11,N/A,magnitude extrema,N/A,extrema file,arbitrary,per_curve,waitK,Aging/models/analyzeAFM_FM_extrema_smoothed.m,analyzeAFM_FM_extrema_smoothed,header,PARTIAL,MEDIUM,diagnostic_only,Partial read
stage5 fit object,fit_object,Survey label for Gaussian dip tanh step fit metrics,Dip_A Dip_sigma FM_E Dip_area_fit family,windowed traces,N/A,N/A,fit window in callee,nonlinear fit,N/A,fit magnitudes,N/A,fitFMstep_plus_GaussianDip,arbitrary,per_Tp,waitK,Aging/pipeline/stage5_fitFMGaussian.m,stage5_fitFMGaussian,header,INFERRED,MEDIUM,decomposition_component,Callee not fully audited
stage6 summary object,summary_object,Survey label for AFM_like FM_like vectors,per stage6_extractMetrics selection rules,stage5 or extrema fields,N/A,N/A,per pause list,N/A,depends on mode,N/A,summary vectors,arbitrary,per_Tp,waitK,Aging/pipeline/stage6_extractMetrics.m,stage6_extractMetrics,header,EXPLICIT,MEDIUM,diagnostic_only,Grain PER_TP_SUMMARY_ONLY
