Tp,tw,source_run_TrackB,raw_signed_fm_value,raw_signed_sign,raw_signed_finite,sidecar_signed_value,sidecar_signed_sign,sidecar_finite,source_artifact,source_column,contract_valid_in_F1b,contract_valid_reason
26,360,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_6min,8.86181574951173e-07,POS,YES,NaN,NA,NO,tables/aging/aggregate_structured_export_aging_Tp_tw_2026_04_26_085033/tables/observable_matrix.csv,FM_step_mag,YES,FOUND_IN_F1B_SIGNED_EXPORT
26,3600,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_60min,2.07427201171414e-06,POS,YES,NaN,NA,NO,tables/aging/aggregate_structured_export_aging_Tp_tw_2026_04_26_085033/tables/observable_matrix.csv,FM_step_mag,YES,FOUND_IN_F1B_SIGNED_EXPORT
30,3,,NaN,NA,NO,NaN,NA,NO,tables/aging/aggregate_structured_export_aging_Tp_tw_2026_04_26_085033/tables/observable_matrix.csv,FM_step_mag,NO,MISSING_FROM_BROADER_INVENTORY
30,36,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec,8.44001163675723e-07,POS,YES,NaN,NA,NO,tables/aging/aggregate_structured_export_aging_Tp_tw_2026_04_26_085033/tables/observable_matrix.csv,FM_step_mag,NO,NOT_IN_F1B_SIGNED_EXPORT
30,360,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_6min,9.80804986271369e-07,POS,YES,NaN,NA,NO,tables/aging/aggregate_structured_export_aging_Tp_tw_2026_04_26_085033/tables/observable_matrix.csv,FM_step_mag,YES,FOUND_IN_F1B_SIGNED_EXPORT
30,3600,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_60min,2.0014423840081e-06,POS,YES,NaN,NA,NO,tables/aging/aggregate_structured_export_aging_Tp_tw_2026_04_26_085033/tables/observable_matrix.csv,FM_step_mag,YES,FOUND_IN_F1B_SIGNED_EXPORT
34,3,,NaN,NA,NO,NaN,NA,NO,tables/aging/aggregate_structured_export_aging_Tp_tw_2026_04_26_085033/tables/observable_matrix.csv,FM_step_mag,NO,MISSING_FROM_BROADER_INVENTORY
34,36,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_36sec,8.58403730646882e-08,POS,YES,NaN,NA,NO,tables/aging/aggregate_structured_export_aging_Tp_tw_2026_04_26_085033/tables/observable_matrix.csv,FM_step_mag,NO,NOT_IN_F1B_SIGNED_EXPORT
34,360,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_6min,-4.6750098273508e-07,NEG,YES,NaN,NA,NO,tables/aging/aggregate_structured_export_aging_Tp_tw_2026_04_26_085033/tables/observable_matrix.csv,FM_step_mag,NO,NOT_IN_F1B_SIGNED_EXPORT
34,3600,aggregate_structured_export_aging_Tp_tw_2026_04_26_085033|MG119|MG119_60min,2.59975231893718e-07,POS,YES,NaN,NA,NO,tables/aging/aggregate_structured_export_aging_Tp_tw_2026_04_26_085033/tables/observable_matrix.csv,FM_step_mag,NO,NOT_IN_F1B_SIGNED_EXPORT
