rule_id,rule_group,contract_rule,applies_to_objects_terms,required_qualifiers,allowed_use,forbidden_use,basis_artifact_or_code,contract_status,risk_if_violated,notes
R-EXT-001,extrema_route,extrema_smoothed uses movmean11 on DeltaM then max min scalars not sgolay direct smooth,AFM_extrema_smoothed FM_extrema_smoothed,stage4_extrema,stage6 extrema branch summaries only with extrema token,alias to Dip_depth or DeltaM_smooth,same,LOCKED_WITH_QUALIFIER,MEDIUM,""
R-FIT-001,fit_stage,agingMetricMode fit is not equivalent to stage5 fit object semantics per switch and Main order,agingMetricMode fit FM_E Dip_area_selected,stage4_vs_stage5 tokens,disambiguation in docs tables contracts,collapsing cfg fit with Gaussian fit outputs,switch Main stage5 stage6,LOCKED,HIGH,""
R-FIT-002,fit_stage,stage5 fit internal formulas contract-limited to interface fields until callee audit completes,FM_E fit_curve etc,stage5_interface_PARTIAL,cite stage5_fitFMGaussian outputs only as listed,deriving closed-form contract from undocumented callee,stage5_fitFMGaussian.m,PARTIAL,MEDIUM,"F7X4 callee gap"
R-ST6-001,fit_stage,stage6 AFM_like FM_like are summary vectors from Dip_area_selected FM_E or extrema substitutes not consolidation Dip_depth FM_abs,AFM_like FM_like,stage6_Track_A,summary figures diagnostics,default tau_input without adapter,stage6_extractMetrics.m freeze,LOCKED_WITH_QUALIFIER,HIGH,""
R-DS-001,object_definition,five_column dataset contract columns Tp tw Dip_depth FM_abs source_run only per Stage D,aging_observable_dataset.csv,Track_B_consolidation_reader,reader smoke tau curve input when lineage ok,adding FM_signed as contract column without new stage,freeze csv,LOCKED,MEDIUM,""
R-BRI-001,bridge,F7X bridge components are bridge export lineage objects not canonical physics observables,C_DIP_DEPTH_B C_FM_ABS_B STREAM_*,bridge_only plus branch_family,bridge tables audits pairing gates,physics claims from bridge id alone,F7W F7X reports,LOCKED_WITH_QUALIFIER,HIGH,""
R-TAU-001,tau_metadata,Tau output rows require tau_domain tau_method input_object producer_script grain units lineage_status minimum set before contract references,tau_vs_Tp tau_FM_vs_Tp columns,tau_metadata_bundle,tau analysis ratio gated downstream,using tau cell as decomposition field,aging_timescale_extraction F7G pattern,LOCKED_WITH_QUALIFIER,BLOCKING,""
R-TAU-002,tau_metadata,tau_effective_seconds requires tau_domain tau_method input_object producer_script grain units tau_consensus_methods or equivalent disclosure,tau_effective_seconds,full tau_effective_bundle,legacy column with metadata,standalone primary tau without bundle,F7X4 G5 builders,LOCKED_WITH_QUALIFIER,BLOCKING,""
R-RAT-001,ratio_downstream,ratio outputs including R_age are downstream from prior tau tables not raw observables,R_age table_clock_ratio,tau_pair_lineage,comparative analysis when gates pass,deriving ratio from pauseRuns DeltaM,aging_clock_ratio_analysis.m,LOCKED,HIGH,""
R-TRK-001,branch_qualifier,Track A and Track B are governance route labels insufficient as sole semantic identifiers,Track A Track B,pair with object list and stage,router tables contracts,using Track label alone in machine id,F7J router,LOCKED_WITH_QUALIFIER,MEDIUM,""
R-EXC-001,exclusion,fitFMstep_plus_GaussianDip internal numeric kernel excluded from LOCKED until dedicated audit,Gaussian kernel details,EXCLUDED_PENDING_AUDIT,none in LOCKED rules,locking undocumented formula,callee not opened F7X4,EXCLUDED,LOW,""
