bridge_row_id,branch_family,decomposition_path_id,component_id,component_role,Tp,tw,value,value_units,sign_convention,signed_value_available,absolute_value_used,scalar_type,grid_type,fit_direct_class,producer,source_artifact,source_run,lineage_status,metadata_status,eligible_for_tau,eligible_for_fit_direct_comparison,eligible_for_ratio_robustness,blocked_reason,notes
F7X_L_00012,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_FM_ABS_B,FM,10,36,"",arbitrary,ABS_ONLY,FALSE,TRUE,AMPLITUDE,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,DEGRADED,PARTIAL,NO,NO,MISSING_NUMERIC_VALUE_IN_SOURCE,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00013,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_DIP_DEPTH_B,AFM_DIP,10,360,"1.16197537325971e-06",arbitrary,UNKNOWN,FALSE,FALSE,DEPTH,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00014,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_FM_ABS_B,FM,10,360,"",arbitrary,ABS_ONLY,FALSE,TRUE,AMPLITUDE,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,DEGRADED,PARTIAL,NO,NO,MISSING_NUMERIC_VALUE_IN_SOURCE,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00015,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_DIP_DEPTH_B,AFM_DIP,10,3600,"2.83966127861751e-07",arbitrary,UNKNOWN,FALSE,FALSE,DEPTH,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00016,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_FM_ABS_B,FM,10,3600,"",arbitrary,ABS_ONLY,FALSE,TRUE,AMPLITUDE,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,DEGRADED,PARTIAL,NO,NO,MISSING_NUMERIC_VALUE_IN_SOURCE,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00017,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_DIP_DEPTH_B,AFM_DIP,14,3,"1.68514898616842e-07",arbitrary,UNKNOWN,FALSE,FALSE,DEPTH,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00018,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_FM_ABS_B,FM,14,3,"9.80975321930083e-07",arbitrary,ABS_ONLY,FALSE,TRUE,AMPLITUDE,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00019,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_DIP_DEPTH_B,AFM_DIP,14,36,"6.20484079036192e-07",arbitrary,UNKNOWN,FALSE,FALSE,DEPTH,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00020,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_FM_ABS_B,FM,14,36,"1.82340905309218e-06",arbitrary,ABS_ONLY,FALSE,TRUE,AMPLITUDE,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00021,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_DIP_DEPTH_B,AFM_DIP,14,360,"1.24173149370819e-06",arbitrary,UNKNOWN,FALSE,FALSE,DEPTH,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00022,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_FM_ABS_B,FM,14,360,"6.40037056358776e-07",arbitrary,ABS_ONLY,FALSE,TRUE,AMPLITUDE,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00023,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_DIP_DEPTH_B,AFM_DIP,14,3600,"1.0978873658713e-06",arbitrary,UNKNOWN,FALSE,FALSE,DEPTH,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00024,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_FM_ABS_B,FM,14,3600,"2.04702904491693e-06",arbitrary,ABS_ONLY,FALSE,TRUE,AMPLITUDE,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00025,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_DIP_DEPTH_B,AFM_DIP,18,3,"5.95766185946248e-07",arbitrary,UNKNOWN,FALSE,FALSE,DEPTH,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00026,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_FM_ABS_B,FM,18,3,"5.93349215287068e-07",arbitrary,ABS_ONLY,FALSE,TRUE,AMPLITUDE,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00027,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_DIP_DEPTH_B,AFM_DIP,18,36,"7.12536133636716e-07",arbitrary,UNKNOWN,FALSE,FALSE,DEPTH,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00028,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_FM_ABS_B,FM,18,36,"1.78979578802416e-07",arbitrary,ABS_ONLY,FALSE,TRUE,AMPLITUDE,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00029,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_DIP_DEPTH_B,AFM_DIP,18,360,"1.34081583618714e-06",arbitrary,UNKNOWN,FALSE,FALSE,DEPTH,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00030,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_FM_ABS_B,FM,18,360,"2.13307781340364e-06",arbitrary,ABS_ONLY,FALSE,TRUE,AMPLITUDE,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00031,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_DIP_DEPTH_B,AFM_DIP,18,3600,"1.36750526463645e-06",arbitrary,UNKNOWN,FALSE,FALSE,DEPTH,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00032,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_FM_ABS_B,FM,18,3600,"8.77517129158269e-08",arbitrary,ABS_ONLY,FALSE,TRUE,AMPLITUDE,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00033,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_DIP_DEPTH_B,AFM_DIP,22,3,"3.80446314275027e-07",arbitrary,UNKNOWN,FALSE,FALSE,DEPTH,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00034,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_FM_ABS_B,FM,22,3,"1.94428480485198e-07",arbitrary,ABS_ONLY,FALSE,TRUE,AMPLITUDE,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00035,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_DIP_DEPTH_B,AFM_DIP,22,36,"5.49537925202047e-07",arbitrary,UNKNOWN,FALSE,FALSE,DEPTH,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00036,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_FM_ABS_B,FM,22,36,"3.47345541082714e-07",arbitrary,ABS_ONLY,FALSE,TRUE,AMPLITUDE,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00037,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_DIP_DEPTH_B,AFM_DIP,22,360,"1.50004958614111e-06",arbitrary,UNKNOWN,FALSE,FALSE,DEPTH,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00038,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_FM_ABS_B,FM,22,360,"7.08380502820365e-08",arbitrary,ABS_ONLY,FALSE,TRUE,AMPLITUDE,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00039,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_DIP_DEPTH_B,AFM_DIP,22,3600,"1.93959353454284e-06",arbitrary,UNKNOWN,FALSE,FALSE,DEPTH,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00040,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_FM_ABS_B,FM,22,3600,"1.27269122876671e-06",arbitrary,ABS_ONLY,FALSE,TRUE,AMPLITUDE,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00041,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_DIP_DEPTH_B,AFM_DIP,26,3,"2.31246381575899e-07",arbitrary,UNKNOWN,FALSE,FALSE,DEPTH,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00042,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_FM_ABS_B,FM,26,3,"6.01447161069129e-07",arbitrary,ABS_ONLY,FALSE,TRUE,AMPLITUDE,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00043,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_DIP_DEPTH_B,AFM_DIP,26,36,"1.03691245288129e-06",arbitrary,UNKNOWN,FALSE,FALSE,DEPTH,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00044,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_FM_ABS_B,FM,26,36,"7.32640312217379e-07",arbitrary,ABS_ONLY,FALSE,TRUE,AMPLITUDE,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00045,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_DIP_DEPTH_B,AFM_DIP,26,360,"9.62591417199795e-07",arbitrary,UNKNOWN,FALSE,FALSE,DEPTH,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00046,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_FM_ABS_B,FM,26,360,"8.86181574951173e-07",arbitrary,ABS_ONLY,FALSE,TRUE,AMPLITUDE,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
F7X_L_00047,TRACK_B_CONSOLIDATION,PATH_CONSOL_RUN_2026_03_12_211204,C_DIP_DEPTH_B,AFM_DIP,26,3600,"9.10407833455717e-07",arbitrary,UNKNOWN,FALSE,FALSE,DEPTH,TW_CURVE_PER_TP,CONSOL_EXPORT,run_aging_observable_dataset_consolidation.m,results_old/aging/runs/run_2026_03_12_211204_aging_dataset_build/tables/aging_observable_dataset.csv,run_2026_03_12_211204_aging_dataset_build,PARTIAL,OK,PARTIAL,NO,NO,,"upstream_row_source_run=run_2026_03_11_011643_observable_identification_audit"
