Tp,tw,archived_structured_export_run,current_source_run_dir,Dip_archived,Dip_current,Dip_rel_diff,FM_archived,FM_current,FM_rel_diff,primary_divergence_layer,secondary_layers,evidence
14,360,run_2026_03_10_225135_tp_14_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083859_tp_14_structured_export,1.24173149370819e-06,-8.9536837772524e-08,-1.07210644026201,6.40037056358776e-07,6.40037056358776e-07,0,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
14,3600,run_2026_03_10_225135_tp_14_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_083859_tp_14_structured_export,1.0978873658713e-06,1.95420344888055e-07,-0.822003284705835,2.04702904491693e-06,2.04702904491693e-06,0,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
18,3,run_2026_03_10_225902_tp_18_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084011_tp_18_structured_export,5.95766185946248e-07,4.77448542053708e-07,-0.198597447595347,5.93349215287068e-07,5.93349215287068e-07,0,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
18,36,run_2026_03_10_225902_tp_18_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084011_tp_18_structured_export,7.12536133636716e-07,5.32426690783185e-07,-0.252772363885982,1.78979578802416e-07,1.78979578802416e-07,0,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
18,360,run_2026_03_10_225902_tp_18_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084011_tp_18_structured_export,1.34081583618714e-06,2.35916177149297e-07,-0.824050275375499,2.13307781340364e-06,2.13307781340364e-06,0,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
18,3600,run_2026_03_10_225902_tp_18_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084011_tp_18_structured_export,1.36750526463645e-06,7.45154109451268e-07,-0.455099641134203,8.77517129158269e-08,8.77517129158269e-08,0,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
22,3,run_2026_03_10_231114_tp_22_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084121_tp_22_structured_export,3.80446314275027e-07,6.20564085409436e-07,0.631147581471446,1.94428480485198e-07,1.94428480485198e-07,0,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
22,36,run_2026_03_10_231114_tp_22_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084121_tp_22_structured_export,5.49537925202047e-07,4.83865039296096e-07,-0.119505648098455,3.47345541082714e-07,3.47345541082714e-07,0,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
22,360,run_2026_03_10_231114_tp_22_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084121_tp_22_structured_export,1.50004958614111e-06,2.79803042621795e-07,-0.813470804427479,7.08380502820365e-08,7.08380502820365e-08,0,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
22,3600,run_2026_03_10_231114_tp_22_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084121_tp_22_structured_export,1.93959353454284e-06,8.86583711594106e-07,-0.542902316488144,1.27269122876671e-06,1.27269122876671e-06,0,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
26,3,run_2026_03_10_231719_tp_26_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084231_tp_26_structured_export,2.31246381575899e-07,7.94121124071608e-07,2.4340910273269,6.01447161069129e-07,6.01447161069129e-07,0,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
26,36,run_2026_03_10_231719_tp_26_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084231_tp_26_structured_export,1.03691245288129e-06,5.19789946401978e-07,-0.498713758372149,7.32640312217379e-07,7.32640312217379e-07,0,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
26,360,run_2026_03_10_231719_tp_26_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084231_tp_26_structured_export,9.62591417199795e-07,7.89415049547935e-07,-0.179906411544407,8.86181574951173e-07,8.86181574951173e-07,0,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
26,3600,run_2026_03_10_231719_tp_26_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084231_tp_26_structured_export,9.10407833455717e-07,1.58953335101602e-06,0.745957462802671,2.07427201171414e-06,2.07427201171414e-06,0,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
30,36,run_2026_03_10_220738_tp_30_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084448_tp_30_structured_export,4.21027830298926e-07,9.87530105806022e-07,1.34552215967501,8.44001163675723e-07,8.44001163675723e-07,0,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
30,360,run_2026_03_10_220738_tp_30_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084448_tp_30_structured_export,2.99637872939464e-08,1.2628102068089e-06,41.1445458286251,9.80804986271369e-07,9.80804986271369e-07,0,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
30,3600,run_2026_03_10_220738_tp_30_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084448_tp_30_structured_export,2.7918195620328e-07,1.52008292659831e-06,4.44477496780449,2.0014423840081e-06,2.0014423840081e-06,0,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
34,36,run_2026_03_10_232934_tp_34_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084542_tp_34_structured_export,6.51060570905961e-07,3.18578938210271e-07,-0.510676959338878,8.58403730646882e-08,8.58403730646882e-08,0,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
34,360,run_2026_03_10_232934_tp_34_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084542_tp_34_structured_export,4.7383411729457e-08,1.17648694772181e-06,23.8290890161972,4.6750098273508e-07,4.6750098273508e-07,0,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
34,3600,run_2026_03_10_232934_tp_34_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084542_tp_34_structured_export,4.65142859872535e-07,8.10297930946692e-07,0.742040996111907,2.59975231893718e-07,2.59975231893718e-07,0,SOURCE_TRACE_SELECTION_CHANGED,STRUCTURED_EXPORT_CODE_CHANGED;STAGE4_DECOMPOSITION_CHANGED;MODEL_COMPONENT_EXTRACTION_CHANGED,FM stable while Dip shifts; source run IDs are March vs April
