Tp,tw,archived_source_run,archived_structured_export_run,current_source_run_dir,current_sample,current_dataset,Dip_archived,Dip_current,Dip_f6j_olddef_current,Dip_abs_diff,Dip_rel_diff,Dip_log10_ratio,FM_archived,FM_current,FM_f6j_olddef_current,FM_abs_diff,FM_rel_diff,source_trace_match_status,row_alignment_status
18,3,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_225902_tp_18_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084011_tp_18_structured_export,MG119,MG119_3sec,5.95766185946248e-07,4.77448542053708e-07,4.77448542053708e-07,1.1831764389254e-07,-0.198597447595347,-0.0961492787070488,5.93349215287068e-07,5.93349215287068e-07,5.93349215287068e-07,0,0,NO,Tp_tw_overlapping
18,36,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_225902_tp_18_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084011_tp_18_structured_export,MG119,MG119_36sec,7.12536133636716e-07,5.32426690783185e-07,5.32426690783185e-07,1.80109442853531e-07,-0.252772363885982,-0.126547074157692,1.78979578802416e-07,1.78979578802416e-07,1.78979578802416e-07,0,0,NO,Tp_tw_overlapping
18,360,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_225902_tp_18_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084011_tp_18_structured_export,MG119,MG119_6min,1.34081583618714e-06,2.35916177149297e-07,2.35916177149297e-07,1.10489965903784e-06,-0.824050275375499,-0.754611408534123,2.13307781340364e-06,2.13307781340364e-06,2.13307781340364e-06,0,0,NO,Tp_tw_overlapping
18,3600,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_225902_tp_18_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084011_tp_18_structured_export,MG119,MG119_60min,1.36750526463645e-06,7.45154109451268e-07,7.45154109451268e-07,6.22351155185182e-07,-0.455099641134203,-0.263682906073898,8.77517129158269e-08,8.77517129158269e-08,8.77517129158269e-08,0,0,NO,Tp_tw_overlapping
22,3,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_231114_tp_22_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084121_tp_22_structured_export,MG119,MG119_3sec,3.80446314275027e-07,6.20564085409436e-07,6.20564085409436e-07,2.40117771134409e-07,0.631147581471446,0.212493256514882,1.94428480485198e-07,1.94428480485198e-07,1.94428480485198e-07,0,0,NO,Tp_tw_overlapping
22,36,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_231114_tp_22_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084121_tp_22_structured_export,MG119,MG119_36sec,5.49537925202047e-07,4.83865039296096e-07,4.83865039296096e-07,6.5672885905951e-08,-0.119505648098455,-0.0552734255523088,3.47345541082714e-07,3.47345541082714e-07,3.47345541082714e-07,0,0,NO,Tp_tw_overlapping
22,360,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_231114_tp_22_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084121_tp_22_structured_export,MG119,MG119_6min,1.50004958614111e-06,2.79803042621795e-07,2.79803042621795e-07,1.22024654351932e-06,-0.813470804427479,-0.729253182709483,7.08380502820365e-08,7.08380502820365e-08,7.08380502820365e-08,0,0,NO,Tp_tw_overlapping
22,3600,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_231114_tp_22_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084121_tp_22_structured_export,MG119,MG119_60min,1.93959353454284e-06,8.86583711594106e-07,8.86583711594106e-07,1.05300982294873e-06,-0.542902316488144,-0.339990979630747,1.27269122876671e-06,1.27269122876671e-06,1.27269122876671e-06,0,0,NO,Tp_tw_overlapping
26,3,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_231719_tp_26_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084231_tp_26_structured_export,MG119,MG119_3sec,2.31246381575899e-07,7.94121124071608e-07,7.94121124071608e-07,5.62874742495709e-07,2.4340910273269,0.535811802805627,6.01447161069129e-07,6.01447161069129e-07,6.01447161069129e-07,0,0,NO,Tp_tw_overlapping
26,36,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_231719_tp_26_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084231_tp_26_structured_export,MG119,MG119_36sec,1.03691245288129e-06,5.19789946401978e-07,5.19789946401978e-07,5.17122506479312e-07,-0.498713758372149,-0.299914214930336,7.32640312217379e-07,7.32640312217379e-07,7.32640312217379e-07,0,0,NO,Tp_tw_overlapping
26,360,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_231719_tp_26_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084231_tp_26_structured_export,MG119,MG119_6min,9.62591417199795e-07,7.89415049547935e-07,7.89415049547935e-07,1.7317636765186e-07,-0.179906411544407,-0.086136583432673,8.86181574951173e-07,8.86181574951173e-07,8.86181574951173e-07,0,0,NO,Tp_tw_overlapping
26,3600,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_231719_tp_26_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084231_tp_26_structured_export,MG119,MG119_60min,9.10407833455717e-07,1.58953335101602e-06,1.58953335101602e-06,6.79125517560303e-07,0.745957462802671,0.24203365867361,2.07427201171414e-06,2.07427201171414e-06,2.07427201171414e-06,0,0,NO,Tp_tw_overlapping
30,36,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_220738_tp_30_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084448_tp_30_structured_export,MG119,MG119_36sec,4.21027830298926e-07,9.87530105806022e-07,9.87530105806022e-07,5.66502275507096e-07,1.34552215967501,0.370239540365299,8.44001163675723e-07,8.44001163675723e-07,8.44001163675723e-07,0,0,NO,Tp_tw_overlapping
30,360,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_220738_tp_30_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084448_tp_30_structured_export,MG119,MG119_6min,2.99637872939464e-08,1.2628102068089e-06,1.2628102068089e-06,1.23284641951495e-06,41.1445458286251,1.62474137801653,9.80804986271369e-07,9.80804986271369e-07,9.80804986271369e-07,0,0,NO,Tp_tw_overlapping
30,3600,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_220738_tp_30_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084448_tp_30_structured_export,MG119,MG119_60min,2.7918195620328e-07,1.52008292659831e-06,1.52008292659831e-06,1.24090097039503e-06,4.44477496780449,0.735979935099999,2.0014423840081e-06,2.0014423840081e-06,2.0014423840081e-06,0,0,NO,Tp_tw_overlapping
34,36,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_232934_tp_34_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084542_tp_34_structured_export,MG119,MG119_36sec,6.51060570905961e-07,3.18578938210271e-07,3.18578938210271e-07,3.3248163269569e-07,-0.510676959338878,-0.310404334216772,8.58403730646882e-08,8.58403730646882e-08,8.58403730646882e-08,0,0,NO,Tp_tw_overlapping
34,360,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_232934_tp_34_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084542_tp_34_structured_export,MG119,MG119_6min,4.7383411729457e-08,1.17648694772181e-06,1.17648694772181e-06,1.12910353599235e-06,23.8290890161972,1.39496078550315,4.6750098273508e-07,4.6750098273508e-07,4.6750098273508e-07,0,0,NO,Tp_tw_overlapping
34,3600,run_2026_03_11_011643_observable_identification_audit,run_2026_03_10_232934_tp_34_structured_export,C:\Dev\matlab-functions\results\aging\runs\run_2026_04_26_084542_tp_34_structured_export,MG119,MG119_60min,4.65142859872535e-07,8.10297930946692e-07,8.10297930946692e-07,3.45155071074157e-07,0.742040996111907,0.241058371208774,2.59975231893718e-07,2.59975231893718e-07,2.59975231893718e-07,0,0,NO,Tp_tw_overlapping
