"FILE","CLASSIFICATION","REASON","EXECUTION_REACHABLE"
"Switching/analysis/run_phi2_second_order_deformation_test.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_phi2_shape_physics_test.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_phi_asymmetry_link.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_phi_even_deformation_test.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_phi_physical_identification.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_phi_physical_structure_test.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_phi_pt_independence_test.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_phi_pt_restricted_deformation.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_phi_pt_restricted_deformation_5_1.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_phi_pt_restricted_deformation_stable.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_phi_temperature_derivative_test.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_prediction_falsification_test.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_pt_deformation_mode_test.m","NON_CANONICAL","NOT_REFERENCED_OUT_OF_SCOPE_PIPELINE","NO"
"Switching/analysis/run_pt_energy_extraction_robustness_audit.m","NON_CANONICAL","NOT_REFERENCED_OUT_OF_SCOPE_PIPELINE","NO"
"Switching/analysis/run_PT_kappa_relaxation_mapping.m","NON_CANONICAL","NOT_REFERENCED_OUT_OF_SCOPE_PIPELINE","NO"
"Switching/analysis/run_PT_to_relaxation_mapping.m","NON_CANONICAL","NOT_REFERENCED_OUT_OF_SCOPE_PIPELINE","NO"
"Switching/analysis/run_pt_width_spread_observable_analysis.m","NON_CANONICAL","NOT_REFERENCED_OUT_OF_SCOPE_PIPELINE","NO"
"Switching/analysis/run_relaxation_deep_search.m","NON_CANONICAL","NOT_REFERENCED_OUT_OF_SCOPE_PIPELINE","NO"
"Switching/analysis/run_relaxation_extraction_from_known_runs.m","NON_CANONICAL","NOT_REFERENCED_OUT_OF_SCOPE_PIPELINE","NO"
"Switching/analysis/run_relaxation_outlier_audit.m","NON_CANONICAL","NOT_REFERENCED_OUT_OF_SCOPE_PIPELINE","NO"
"Switching/analysis/run_relaxation_outlier_audit_no_toolbox.m","NON_CANONICAL","NOT_REFERENCED_OUT_OF_SCOPE_PIPELINE","NO"
"Switching/analysis/run_residual_decomposition_22k_failure_audit.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_residual_rank2_audit.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_residual_sector_robustness.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_residual_temperature_structure_test.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_switching_canonical.m","CANONICAL","IN_CALL_GRAPH","YES"
"Switching/analysis/run_switching_peak_jump_audit.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_tail_ablation_test.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_trajectory_geometry_aging_test.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_validate_relaxation_dataset.m","NON_CANONICAL","NOT_REFERENCED_OUT_OF_SCOPE_PIPELINE","NO"
"Switching/analysis/run_width_decomposition_test.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_width_interaction_closure_test.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/run_width_interaction_closure_test_v2.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/sanitizeMD.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/spearmanCorrelation.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/switching_a1_vs_curvature_test.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/switching_alignment_audit.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/switching_dynamic_shape_geometry_match_analysis.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/switching_dynamic_shape_mode_analysis.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/switching_effective_observables.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/switching_energy_mapping_analysis.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/switching_energy_scale_collapse_filtered.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/switching_full_scaling_collapse.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/switching_full_scaling_collapse_figure_repair.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/switching_geometry_diagnostics.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/switching_mechanism_followup.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/switching_mechanism_survey.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/switching_mode23_analysis.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/switching_observable_basis_test.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/switching_observable_stability_survey.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/switching_residual_collapse_verification_analysis.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/switching_residual_decomposition_analysis.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/switching_ridge_curvature_analysis.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/switching_ridge_susceptibility_analysis.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/switching_ridge_susceptibility_test.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/switching_second_coordinate_duel.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/switching_second_structural_observable_search.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/switching_shape_rank_analysis.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/switching_translation_mode_test.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/switching_XI_Xshape_analysis.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/tiedRankLocal.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/toDoubleColumn.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/yesno.m","NON_CANONICAL","NOT_REFERENCED","NO"
"Switching/analysis/experimental/run_switching_physical_baseline_model.m","NON_CANONICAL","EXPERIMENTAL","NO"
"Switching/analysis/experimental/run_switching_raw_baseline_correction_and_comparison.m","NON_CANONICAL","EXPERIMENTAL","NO"
