FILE,PRIOR_STATUS,FILE_TYPE,IN_BOUNDARY,FINAL_RESOLUTION,RESOLUTION_CONFIDENCE,GOVERNANCE_VALUE,RUNTIME_RISK_IF_REVERTED,REASON,EVIDENCE_BASIS
Switching/analysis/run_minimal_canonical.m,MANUAL_REVIEW_REQUIRED,NONCANONICAL_SWITCHING,NO,REVERT,MEDIUM,NONE,NONE,"Name suggests canonical overlap but not the authoritative entrypoint; not in closure list—revert to HEAD with MEDIUM confidence due to naming ambiguity.","canonical_boundary_truth.csv; switching_canonical_entrypoint policy in docs."
Switching/analysis/run_parameter_robustness_switching_canonical.m,MANUAL_REVIEW_REQUIRED,NONCANONICAL_SWITCHING,NO,REVERT,HIGH,NONE,NONE,"Robustness script outside closure—revert to HEAD.","canonical_boundary_truth.csv."
Switching/analysis/run_phi1_observable_phi2_driver_test.m,MANUAL_REVIEW_REQUIRED,NONCANONICAL_SWITCHING,NO,REVERT,HIGH,NONE,NONE,"Outside traced closure—revert to HEAD.","canonical_boundary_truth.csv."
Switching/analysis/run_phi1_phi2_observable_closure_fixed.m,MANUAL_REVIEW_REQUIRED,NONCANONICAL_SWITCHING,NO,REVERT,HIGH,NONE,NONE,"Outside traced closure—revert to HEAD.","canonical_boundary_truth.csv."
Switching/analysis/run_phi1_phi2_observable_closure_test.m,MANUAL_REVIEW_REQUIRED,NONCANONICAL_SWITCHING,NO,REVERT,HIGH,NONE,NONE,"Outside traced closure—revert to HEAD.","canonical_boundary_truth.csv."
Switching/analysis/run_phi2_deformation_structure_test.m,MANUAL_REVIEW_REQUIRED,NONCANONICAL_SWITCHING,NO,REVERT,HIGH,NONE,NONE,"Outside traced closure—revert to HEAD.","canonical_boundary_truth.csv."
Switching/analysis/run_phi2_extended_deformation_basis_test.m,MANUAL_REVIEW_REQUIRED,NONCANONICAL_SWITCHING,NO,REVERT,HIGH,NONE,NONE,"Outside traced closure—revert to HEAD.","canonical_boundary_truth.csv."
Switching/analysis/run_phi2_kappa2_canonical_residual_mode.m,MANUAL_REVIEW_REQUIRED,NONCANONICAL_SWITCHING,NO,REVERT,HIGH,NONE,NONE,"Outside traced closure—revert to HEAD.","canonical_boundary_truth.csv."
Switching/analysis/run_phi2_second_order_deformation_test.m,MANUAL_REVIEW_REQUIRED,NONCANONICAL_SWITCHING,NO,REVERT,HIGH,NONE,NONE,"Outside traced closure—revert to HEAD.","canonical_boundary_truth.csv."
Switching/analysis/run_phi2_shape_physics_test.m,MANUAL_REVIEW_REQUIRED,NONCANONICAL_SWITCHING,NO,REVERT,HIGH,NONE,NONE,"Outside traced closure—revert to HEAD.","canonical_boundary_truth.csv."
Switching/analysis/run_width_interaction_closure_test_v2.m,MANUAL_REVIEW_REQUIRED,NONCANONICAL_SWITCHING,NO,REVERT,HIGH,NONE,NONE,"Outside traced closure—revert to HEAD.","canonical_boundary_truth.csv."
Switching/analysis/switching_a1_vs_curvature_test.m,MANUAL_REVIEW_REQUIRED,NONCANONICAL_SWITCHING,NO,REVERT,HIGH,NONE,NONE,"Outside traced closure—revert to HEAD (introduced in e1506a4; aligns scope to boundary).","canonical_boundary_truth.csv; git history note in breach inventory."
Switching/analysis/switching_full_scaling_collapse.m,MANUAL_REVIEW_REQUIRED,NONCANONICAL_SWITCHING,NO,REVERT,HIGH,NONE,NONE,"Outside traced closure—revert to HEAD.","canonical_boundary_truth.csv."
Switching/analysis/switching_ridge_susceptibility_test.m,MANUAL_REVIEW_REQUIRED,NONCANONICAL_SWITCHING,NO,REVERT,HIGH,NONE,NONE,"Outside traced closure—revert to HEAD.","canonical_boundary_truth.csv."
tables/CANONICAL_ANALYSIS_COMPLETE.txt,MANUAL_REVIEW_REQUIRED,GOVERNANCE_TABLE,UNCERTAIN,DEFER_PRESERVE,MEDIUM,HIGH,LOW,"Tracked file shows deletion in breach inventory; restoring vs accepting deletion is retention policy—defer preserve current tree state until explicit governance decision.","boundary_breach_inventory.csv; rollback_decision_table.csv."
tables/phi_kappa_canonical_verdict.csv,MANUAL_REVIEW_REQUIRED,GOVERNANCE_TABLE,UNCERTAIN,DEFER_PRESERVE,MEDIUM,HIGH,LOW,"Same as other deleted governance CSVs—do not auto-restore from HEAD without audit.","boundary_breach_inventory.csv."
tables/phi_kappa_stability_canonical_status.csv,MANUAL_REVIEW_REQUIRED,GOVERNANCE_TABLE,UNCERTAIN,DEFER_PRESERVE,MEDIUM,HIGH,LOW,"Deleted tracked artifact—defer restore decision.","boundary_breach_inventory.csv."
tables/phi_kappa_stability_canonical_summary.csv,MANUAL_REVIEW_REQUIRED,GOVERNANCE_TABLE,UNCERTAIN,DEFER_PRESERVE,MEDIUM,HIGH,LOW,"Deleted tracked artifact—defer restore decision.","boundary_breach_inventory.csv."
tables/runtime_execution_markers_fallback.txt,MANUAL_REVIEW_REQUIRED,GOVERNANCE_TABLE,UNCERTAIN,DEFER_PRESERVE,HIGH,MEDIUM,LOW,"Operational evidence of write_execution_marker fallback per canonical_boundary_violations_truth.csv—preserve as audit signal; do not delete or overwrite in blind rollback.","canonical_boundary_violations_truth.csv."
tools/classify_run_status.m,MANUAL_REVIEW_REQUIRED,OTHER,NO,DEFER_PRESERVE,MEDIUM,MEDIUM,MEDIUM,"Infra helper outside MATLAB closure; dependency graph for automation not verified—unsafe to REVERT without mapping—defer.","rollback_decision_table.csv; canonical_boundary_truth.csv."
tools/enforce_canonical_phi1_source.m,MANUAL_REVIEW_REQUIRED,OTHER,NO,DEFER_PRESERVE,MEDIUM,MEDIUM,MEDIUM,"Governance-adjacent tooling name; could affect enforcement scripts—defer until dependency audit.","rollback_decision_table.csv."
tools/ensure_dir.m,MANUAL_REVIEW_REQUIRED,OTHER,NO,DEFER_PRESERVE,MEDIUM,LOW,MEDIUM,"Shared utility; widespread use risk if reverted incorrectly—defer.","rollback_decision_table.csv."
tools/get_run_status_value.m,MANUAL_REVIEW_REQUIRED,OTHER,NO,DEFER_PRESERVE,MEDIUM,MEDIUM,MEDIUM,"Status plumbing—defer pending infra audit.","rollback_decision_table.csv."
tools/getLatestRun.m,MANUAL_REVIEW_REQUIRED,OTHER,NO,DEFER_PRESERVE,MEDIUM,MEDIUM,MEDIUM,"Results discovery helper; may affect runners—defer.","rollback_decision_table.csv."
tools/load_observables.m,MANUAL_REVIEW_REQUIRED,OTHER,NO,DEFER_PRESERVE,MEDIUM,MEDIUM,MEDIUM,"Loader helper—defer.","rollback_decision_table.csv."
tools/load_run.m,MANUAL_REVIEW_REQUIRED,OTHER,NO,DEFER_PRESERVE,MEDIUM,MEDIUM,MEDIUM,"Loader helper—defer.","rollback_decision_table.csv."
tools/resolve_results_input_dir.m,MANUAL_REVIEW_REQUIRED,OTHER,NO,DEFER_PRESERVE,MEDIUM,MEDIUM,MEDIUM,"Path resolution for results—defer; nontrivial for automation.","rollback_decision_table.csv."
tools/run_artifact_path.m,MANUAL_REVIEW_REQUIRED,OTHER,NO,DEFER_PRESERVE,MEDIUM,MEDIUM,MEDIUM,"Artifact path helper—defer.","rollback_decision_table.csv."
tools/switching_canonical_control_scan.ps1,MANUAL_REVIEW_REQUIRED,OTHER,NO,DEFER_PRESERVE,MEDIUM,HIGH,MEDIUM,"Policy scan script—preserve until scan strategy consolidated with switching_noncanonical_scripts.csv governance.","rollback_decision_table.csv."
tools/switching_canonical_run_closure.m,MANUAL_REVIEW_REQUIRED,OTHER,NO,DEFER_PRESERVE,MEDIUM,HIGH,MEDIUM,"Canonical closure helper outside MATLAB runtime closure—defer.","rollback_decision_table.csv."
tables/ (bulk: tracked legacy artifact deletions ~150+ paths),MANUAL_REVIEW_REQUIRED,OTHER,NO,DEFER_PRESERVE,LOW,HIGH,HIGH,"Aggregate retention decision; cannot deterministic REVERT batch without explicit file list and policy—defer preserve decision to dedicated artifact recovery step.","controlled_partial_rollback_execution.md; boundary_breach_inventory.md."
