"FILE","CHANGE_DETECTED","CHANGE_CONFIDENCE","FILE_TYPE","IN_BOUNDARY","CHANGE_SCOPE_VERDICT","RECOMMENDED_ACTION","REASON","EVIDENCE_BASIS"
"Switching/analysis/analyze_phi_kappa_canonical_space.m","YES","HIGH","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW","Secondary analysis script; not canonical closure.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching/analysis/debug_fix_o2_pipeline.m","YES","HIGH","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW","Secondary analysis script; not canonical closure.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching/analysis/experimental/run_switching_physical_baseline_model.m","YES","HIGH","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW","Secondary analysis script; not canonical closure.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching/analysis/experimental/run_switching_raw_baseline_correction_and_comparison.m","YES","HIGH","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW","Secondary analysis script; not canonical closure.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching/analysis/run_alpha_observable_search.m","YES","HIGH","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW","Secondary analysis script; not canonical closure.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching/analysis/run_alpha_physical_validity_test.m","YES","HIGH","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW","Secondary analysis script; not canonical closure.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching/analysis/run_kappa2_opening_test.m","YES","HIGH","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW","Secondary analysis script; not canonical closure.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching/analysis/run_kappa2_operational_signature_test.m","YES","HIGH","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW","Secondary analysis script; not canonical closure.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching/analysis/run_minimal_canonical.m","YES","HIGH","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW","Secondary analysis script; not canonical closure.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching/analysis/run_parameter_robustness_switching_canonical.m","YES","HIGH","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW","Secondary analysis script; not canonical closure.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching/analysis/run_phi1_observable_phi2_driver_test.m","YES","HIGH","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW","Secondary analysis script; not canonical closure.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching/analysis/run_phi1_phi2_observable_closure_fixed.m","YES","HIGH","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW","Secondary analysis script; not canonical closure.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching/analysis/run_phi1_phi2_observable_closure_test.m","YES","HIGH","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW","Secondary analysis script; not canonical closure.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching/analysis/run_phi2_deformation_structure_test.m","YES","HIGH","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW","Secondary analysis script; not canonical closure.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching/analysis/run_phi2_extended_deformation_basis_test.m","YES","HIGH","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW","Secondary analysis script; not canonical closure.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching/analysis/run_phi2_kappa2_canonical_residual_mode.m","YES","HIGH","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW","Secondary analysis script; not canonical closure.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching/analysis/run_phi2_second_order_deformation_test.m","YES","HIGH","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW","Secondary analysis script; not canonical closure.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching/analysis/run_phi2_shape_physics_test.m","YES","HIGH","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW","Secondary analysis script; not canonical closure.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching/analysis/run_PT_kappa_relaxation_mapping.m","YES","HIGH","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","REVERT","Relaxation or PT-relaxation script under Switching tree; scope excludes Relaxation drift.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching/analysis/run_PT_to_relaxation_mapping.m","YES","HIGH","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","REVERT","Relaxation or PT-relaxation script under Switching tree; scope excludes Relaxation drift.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching/analysis/run_relaxation_deep_search.m","YES","HIGH","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","REVERT","Relaxation or PT-relaxation script under Switching tree; scope excludes Relaxation drift.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching/analysis/run_relaxation_extraction_from_known_runs.m","YES","HIGH","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","REVERT","Relaxation or PT-relaxation script under Switching tree; scope excludes Relaxation drift.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching/analysis/run_relaxation_outlier_audit.m","YES","HIGH","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","REVERT","Relaxation or PT-relaxation script under Switching tree; scope excludes Relaxation drift.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching/analysis/run_switching_canonical.m","YES","HIGH","CANONICAL_CORE","YES","IN_SCOPE_ALLOWED","KEEP","Authoritative Switching canonical entrypoint.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching/analysis/run_width_interaction_closure_test_v2.m","YES","HIGH","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW","Secondary analysis script; not canonical closure.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching/analysis/switching_a1_vs_curvature_test.m","YES","HIGH","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW","Secondary analysis script; not canonical closure.","git status=A; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching/analysis/switching_full_scaling_collapse.m","YES","HIGH","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW","Secondary analysis script; not canonical closure.","git status=M; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"Switching/analysis/switching_ridge_susceptibility_test.m","YES","HIGH","NONCANONICAL_SWITCHING","NO","OUT_OF_SCOPE","MANUAL_REVIEW","Secondary analysis script; not canonical closure.","git status=A; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/_switching_file_kinds.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/agent_runs_log.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/agent_warnings_log.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/canonical_access_audit.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/CANONICAL_ANALYSIS_COMPLETE.txt","YES","MEDIUM","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=D; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/canonical_boundary_truth.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/canonical_boundary_violations.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/canonical_boundary_violations_truth.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/canonical_call_graph.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/canonical_system_definition.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/execution_reliability_audit.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/infra_derivation_map.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/infra_duplication_conflicts.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/infra_source_of_truth_coverage.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/infra_source_of_truth_definition.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/infra_source_of_truth_map.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/out_of_plan_artifacts_registry.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/phase1_artifact_fix_audit.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/phase1_execution_audit.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/phi_kappa_canonical_verdict.csv","YES","MEDIUM","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=D; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/phi_kappa_stability_canonical_status.csv","YES","MEDIUM","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=D; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/phi_kappa_stability_canonical_summary.csv","YES","MEDIUM","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=D; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/preflight_agent_robustness.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/preflight_control_layer_check.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/preflight_docs_consistency.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/preflight_execution_check.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/preflight_failure_modes.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/preflight_isolation_check.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/preflight_leakage_report.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/preflight_leakage_report_after.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/preflight_source_of_truth_check.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/probe_test.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/run_context_diagnosis.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/run_fingerprint.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/runtime_classification.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/runtime_execution_markers_fallback.txt","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/switching_aging_utils_audit.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/switching_analysis_canonical_final.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/switching_analysis_conflicts.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/switching_analysis_deduplicated.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/switching_analysis_duplicates.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/switching_analysis_full_classification.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/switching_analysis_gaps.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/switching_analysis_inventory.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/switching_analysis_inventory_grouped.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/switching_analysis_progress_survey.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/switching_analysis_repair_difficulty.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/switching_analysis_repair_summary.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/switching_analysis_system_map.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/switching_canonical_analysis_clean.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/switching_canonical_analysis_map.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/switching_canonical_boundary_and_runs.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
"tables/switching_canonical_component_classification.csv","YES","HIGH","GOVERNANCE_TABLE","UNCERTAIN","IN_SCOPE_ALLOWED","KEEP","Registry or audit table for canonical or switching policy.","git status=??; Authoritative boundary: tables/canonical_boundary_truth.csv; reports/canonical_boundary_truth.md."
