"analysis_id","file_path","type","run_id","system_status","duplicate_group_id","has_artifacts","notes"
"entity_052","Switching/analysis/run_prediction_falsification_test.m","script","","UNKNOWN","","NO",""
"entity_053","Switching/analysis/run_pt_deformation_mode_test.m","script","","UNKNOWN","","NO",""
"entity_054","Switching/analysis/run_pt_energy_extraction_robustness_audit.m","script","","UNKNOWN","","NO",""
"entity_055","Switching/analysis/run_PT_kappa_relaxation_mapping.m","script","","UNKNOWN","","NO",""
"entity_056","Switching/analysis/run_PT_to_relaxation_mapping.m","script","","UNKNOWN","","NO",""
"entity_057","Switching/analysis/run_pt_width_spread_observable_analysis.m","script","","UNKNOWN","","NO",""
"entity_058","Switching/analysis/run_relaxation_deep_search.m","script","","UNKNOWN","","NO",""
"entity_059","Switching/analysis/run_relaxation_extraction_from_known_runs.m","script","","UNKNOWN","","NO",""
"entity_060","Switching/analysis/run_relaxation_outlier_audit.m","script","","UNKNOWN","","NO",""
"entity_061","Switching/analysis/run_relaxation_outlier_audit_no_toolbox.m","script","","UNKNOWN","","NO",""
"entity_062","Switching/analysis/run_residual_decomposition_22k_failure_audit.m","script","","UNKNOWN","","NO",""
"entity_063","Switching/analysis/run_residual_rank2_audit.m","script","","UNKNOWN","","NO",""
"entity_064","Switching/analysis/run_residual_sector_robustness.m","script","","UNKNOWN","","NO",""
"entity_065","Switching/analysis/run_residual_temperature_structure_test.m","script","","UNKNOWN","","NO",""
"entity_066","Switching/analysis/run_switching_canonical.m","script","","CANONICAL_CANDIDATE","DG1","YES",""
"entity_067","Switching/analysis/run_switching_peak_jump_audit.m","script","","UNKNOWN","","NO",""
"entity_068","Switching/analysis/run_tail_ablation_test.m","script","","UNKNOWN","","NO",""
"entity_069","Switching/analysis/run_trajectory_geometry_aging_test.m","script","","UNKNOWN","","NO",""
"entity_070","Switching/analysis/run_validate_relaxation_dataset.m","script","","UNKNOWN","","NO",""
"entity_071","Switching/analysis/run_width_decomposition_test.m","script","","UNKNOWN","","NO",""
"entity_072","Switching/analysis/run_width_interaction_closure_test.m","script","","UNKNOWN","DG5","NO",""
"entity_073","Switching/analysis/run_width_interaction_closure_test_v2.m","script","","UNKNOWN","DG5","NO",""
"entity_074","Switching/analysis/sanitizeMD.m","script","","UNKNOWN","","NO",""
"entity_075","Switching/analysis/spearmanCorrelation.m","script","","UNKNOWN","","NO",""
"entity_076","Switching/analysis/switching_a1_vs_curvature_test.m","script","","UNKNOWN","","NO",""
"entity_077","Switching/analysis/switching_alignment_audit.m","script","","UNKNOWN","","NO",""
"entity_078","Switching/analysis/switching_dynamic_shape_geometry_match_analysis.m","script","","UNKNOWN","","NO",""
"entity_079","Switching/analysis/switching_dynamic_shape_mode_analysis.m","script","","UNKNOWN","","NO",""
"entity_080","Switching/analysis/switching_effective_observables.m","script","","UNKNOWN","","NO",""
"entity_081","Switching/analysis/switching_energy_mapping_analysis.m","script","","UNKNOWN","","NO",""
"entity_082","Switching/analysis/switching_energy_scale_collapse_filtered.m","script","","UNKNOWN","","NO",""
"entity_083","Switching/analysis/switching_full_scaling_collapse.m","script","","UNKNOWN","","NO",""
"entity_084","Switching/analysis/switching_full_scaling_collapse_figure_repair.m","script","","UNKNOWN","","NO",""
"entity_085","Switching/analysis/switching_geometry_diagnostics.m","script","","UNKNOWN","","NO",""
"entity_086","Switching/analysis/switching_mechanism_followup.m","script","","UNKNOWN","","NO",""
"entity_087","Switching/analysis/switching_mechanism_survey.m","script","","UNKNOWN","","NO",""
"entity_088","Switching/analysis/switching_mode23_analysis.m","script","","UNKNOWN","","NO",""
"entity_089","Switching/analysis/switching_observable_basis_test.m","script","","UNKNOWN","","NO",""
"entity_090","Switching/analysis/switching_observable_stability_survey.m","script","","UNKNOWN","","NO",""
"entity_091","Switching/analysis/switching_residual_collapse_verification_analysis.m","script","","UNKNOWN","","NO",""
"entity_092","Switching/analysis/switching_residual_decomposition_analysis.m","script","","UNKNOWN","","NO",""
"entity_093","Switching/analysis/switching_ridge_curvature_analysis.m","script","","UNKNOWN","","NO",""
"entity_094","Switching/analysis/switching_ridge_susceptibility_analysis.m","script","","UNKNOWN","","NO",""
"entity_095","Switching/analysis/switching_ridge_susceptibility_test.m","script","","UNKNOWN","","NO",""
"entity_096","Switching/analysis/switching_second_coordinate_duel.m","script","","UNKNOWN","","NO",""
"entity_097","Switching/analysis/switching_second_structural_observable_search.m","script","","UNKNOWN","","NO",""
"entity_098","Switching/analysis/switching_shape_rank_analysis.m","script","","UNKNOWN","","NO",""
"entity_099","Switching/analysis/switching_translation_mode_test.m","script","","UNKNOWN","","NO",""
"entity_100","Switching/analysis/switching_XI_Xshape_analysis.m","script","","UNKNOWN","","NO",""
"entity_101","Switching/analysis/tiedRankLocal.m","script","","UNKNOWN","","NO",""
"entity_102","Switching/analysis/toDoubleColumn.m","script","","UNKNOWN","","NO",""
"entity_103","Switching/analysis/yesno.m","script","","UNKNOWN","","NO",""
"entity_104","tables/_switching_file_kinds.csv","table","","UNKNOWN","","YES",""
"entity_105","tables/switching_aging_utils_audit.csv","table","","UNKNOWN","","YES",""
"entity_106","tables/switching_aging_utils_status.csv","table","","UNKNOWN","","YES",""
"entity_107","tables/switching_analysis_canonical_final.csv","table","","UNKNOWN","","YES",""
"entity_108","tables/switching_analysis_canonical_status.csv","table","","UNKNOWN","","YES",""
"entity_109","tables/switching_analysis_canonicalization_final_status.csv","table","","UNKNOWN","","YES",""
"entity_110","tables/switching_analysis_classification_status.csv","table","","UNKNOWN","","YES",""
"entity_111","tables/switching_analysis_deduplicated.csv","table","","UNKNOWN","","YES",""
"entity_112","tables/switching_analysis_duplicates.csv","table","","UNKNOWN","","YES",""
"entity_113","tables/switching_analysis_full_classification.csv","table","","UNKNOWN","","YES",""
"entity_114","tables/switching_analysis_gaps.csv","table","","UNKNOWN","","YES",""
"entity_115","tables/switching_analysis_inventory.csv","table","","UNKNOWN","DG6","YES",""
"entity_116","tables/switching_analysis_inventory_grouped.csv","table","","UNKNOWN","DG6","YES",""
"entity_117","tables/switching_analysis_progress_status.csv","table","","UNKNOWN","","YES",""
"entity_118","tables/switching_analysis_progress_survey.csv","table","","UNKNOWN","DG6","YES",""
"entity_119","tables/switching_analysis_repair_difficulty.csv","table","","UNKNOWN","","YES",""
"entity_120","tables/switching_analysis_repair_summary.csv","table","","UNKNOWN","","YES",""
"entity_121","tables/switching_canonical_analysis_map.csv","table","","UNKNOWN","","YES",""
"entity_122","tables/switching_canonical_boundary_and_runs.csv","table","","UNKNOWN","DG7","YES","Repo-root table may mirror run-scoped canonicalization output under results/switching/runs; compare before use."
"entity_123","tables/switching_canonical_component_classification.csv","table","","UNKNOWN","","YES",""
"entity_124","tables/switching_canonical_connectivity.csv","table","","UNKNOWN","","YES",""
"entity_125","tables/switching_canonical_connectivity_status.csv","table","","UNKNOWN","","YES",""
"entity_126","tables/switching_canonical_core_vs_substrate.csv","table","","UNKNOWN","","YES",""
"entity_127","tables/switching_canonical_definition_audit.csv","table","","UNKNOWN","DG7","YES","Repo-root table may mirror run-scoped canonicalization output under results/switching/runs; compare before use."
"entity_128","tables/switching_canonical_definition_extraction.csv","table","","UNKNOWN","DG2","YES",""
"entity_129","tables/switching_canonical_dependencies.csv","table","","UNKNOWN","","YES",""
"entity_130","tables/switching_canonical_duplicates.csv","table","","UNKNOWN","","YES",""
"entity_131","tables/switching_canonical_entrypoint.csv","table","","CANONICAL_CANDIDATE","","YES",""
"entity_132","tables/switching_canonical_entrypoint_candidates.csv","table","","CANONICAL_CANDIDATE","","YES",""
"entity_133","tables/switching_canonical_entrypoint_status.csv","table","","CANONICAL_CANDIDATE","","YES",""
"entity_134","tables/switching_canonical_equivalence.csv","table","","UNKNOWN","","YES",""
"entity_135","tables/switching_canonical_identity.csv","table","","UNKNOWN","","YES",""
"entity_136","tables/switching_canonical_policy.csv","table","","UNKNOWN","","YES",""
"entity_137","tables/switching_canonical_risk_flags.csv","table","","UNKNOWN","","YES",""
"entity_138","tables/switching_canonical_robustness_contract.csv","table","","UNKNOWN","","YES",""
"entity_139","tables/switching_canonical_run_closure.csv","table","","UNKNOWN","","YES",""
"entity_140","tables/switching_canonical_run_closure_status.csv","table","","UNKNOWN","","YES",""
"entity_141","tables/switching_canonical_unknowns_resolution.csv","table","","UNKNOWN","","YES",""
"entity_142","tables/switching_collapse_status.csv","table","","UNKNOWN","DG3","YES",""
"entity_143","tables/switching_collapse_verification.csv","table","","UNKNOWN","DG3","YES",""
"entity_144","tables/switching_core_analysis_coverage.csv","table","","UNKNOWN","DG7","YES","Repo-root table may mirror run-scoped canonicalization output under results/switching/runs; compare before use."
"entity_145","tables/switching_entrypoint_lock_status.csv","table","","UNKNOWN","","YES",""
"entity_146","tables/switching_infrastructure_final_status.csv","table","","UNKNOWN","","YES",""
"entity_147","tables/switching_invalid_runs.csv","table","","UNKNOWN","","YES",""
"entity_148","tables/switching_layer1_robustness_evidence.csv","table","","UNKNOWN","DG4","YES",""
"entity_149","tables/switching_layer1_robustness_reconciliation.csv","table","","UNKNOWN","DG4","YES",""
"entity_150","tables/switching_layer1_robustness_reconciliation_status.csv","table","","UNKNOWN","","YES",""
"entity_151","tables/switching_layer1_robustness_status.csv","table","","UNKNOWN","","YES",""
"entity_152","tables/switching_layer1_robustness_verdicts.csv","table","","UNKNOWN","DG4","YES",""
"entity_153","tables/switching_noncanonical_scripts.csv","table","","UNKNOWN","","YES",""
"entity_154","tables/switching_parameter_robustness_update_audit.csv","table","","UNKNOWN","","YES",""
"entity_155","tables/switching_replay_plan.csv","table","","UNKNOWN","","YES",""
"entity_156","tables/switching_replay_reconciliation.csv","table","","UNKNOWN","","YES",""
"entity_157","tables/switching_robustness_definition_recovery.csv","table","","UNKNOWN","","YES",""
"entity_158","tables/switching_robustness_execution_trace.csv","table","","UNKNOWN","","YES",""
"entity_159","tables/switching_robustness_rerun_readiness.csv","table","","UNKNOWN","","YES",""
"entity_160","tables/switching_robustness_root_validation.csv","table","","UNKNOWN","","YES",""
"entity_161","tables/switching_robustness_unblock_plan.csv","table","","UNKNOWN","","YES",""
"entity_162","tables/switching_run_trust_classification.csv","table","","CANONICAL_CONFIRMED","","YES",""
"entity_163","tables/switching_scaling_canonical_test.csv","table","","UNKNOWN","DG7","YES","Repo-root table may mirror run-scoped canonicalization output under results/switching/runs; compare before use."
"entity_164","tables/switching_scaling_metrics_summary.csv","table","","UNKNOWN","DG7","YES","Repo-root table may mirror run-scoped canonicalization output under results/switching/runs; compare before use."
"entity_165","reports/run_switching_canonical_fix.md","report","","UNKNOWN","","YES",""
"entity_166","reports/switching_aging_utils_audit.md","report","","UNKNOWN","","YES",""
"entity_167","reports/switching_analysis_classification.md","report","","UNKNOWN","","YES",""
"entity_168","reports/switching_analysis_inventory.md","report","","UNKNOWN","DG6","YES",""
"entity_169","reports/switching_analysis_progress_survey.md","report","","UNKNOWN","DG6","YES",""
"entity_170","reports/switching_analysis_repair_difficulty.md","report","","UNKNOWN","","YES",""
"entity_171","reports/switching_backfill.md","report","","UNKNOWN","","YES",""
"entity_172","reports/switching_canonical_boundary_definition.md","report","","UNKNOWN","","YES",""
"entity_173","reports/switching_canonical_compliance_audit.md","report","","UNKNOWN","","YES",""
"entity_174","reports/switching_canonical_component_classification.md","report","","UNKNOWN","","YES",""
"entity_175","reports/switching_canonical_connectivity.md","report","","UNKNOWN","","YES",""
"entity_176","reports/switching_canonical_connectivity_closure.md","report","","UNKNOWN","","YES",""
"entity_177","reports/switching_canonical_definition_audit.md","report","","UNKNOWN","","YES",""
"entity_178","reports/switching_canonical_definition_extraction.md","report","","UNKNOWN","","YES",""
"entity_179","reports/switching_canonical_entrypoint_audit.md","report","","UNKNOWN","","YES",""
"entity_180","reports/switching_canonical_final.md","report","","UNKNOWN","","YES",""
"entity_181","reports/switching_canonical_identity_realignment.md","report","","UNKNOWN","","YES",""
"entity_182","reports/switching_canonical_robustness_contract.md","report","","UNKNOWN","","YES",""
"entity_183","reports/switching_canonical_run_closure.md","report","","UNKNOWN","","YES",""
"entity_184","reports/switching_canonicalization_execution.md","report","","UNKNOWN","","YES",""
"entity_185","reports/switching_collapse_interpretation.md","report","","UNKNOWN","DG3","YES",""
"entity_186","reports/switching_collapse_verification.md","report","","UNKNOWN","DG3","YES",""
"entity_187","reports/switching_core_analysis_coverage.md","report","","UNKNOWN","","YES",""
"entity_188","reports/switching_infrastructure_closure.md","report","","UNKNOWN","","YES",""
"entity_189","reports/switching_intra_measurement_robustness_report.md","report","","UNKNOWN","","YES",""
"entity_190","reports/switching_layer1_robustness_audit.md","report","","UNKNOWN","DG4","YES",""
"entity_191","reports/switching_layer1_robustness_definition.md","report","","UNKNOWN","","YES",""
"entity_192","reports/switching_layer1_robustness_reconciliation.md","report","","UNKNOWN","DG4","YES",""
"entity_193","reports/switching_measurement_robustness_report.md","report","","UNKNOWN","","YES",""
"entity_194","reports/switching_migration_pilot.md","report","","UNKNOWN","","YES",""
"entity_195","reports/switching_migration_pilot.md.PARTIAL_DO_NOT_USE","report","","UNKNOWN","","YES",""
"entity_196","reports/switching_migration_pilot_v2.md","report","","UNKNOWN","","YES",""
"entity_197","reports/switching_migration_pilot_v2.md.PARTIAL_DO_NOT_USE","report","","UNKNOWN","","YES",""
"entity_198","reports/switching_parameter_robustness_update_audit.md","report","","UNKNOWN","","YES",""
"entity_199","reports/switching_pipeline_stability.md","report","","UNKNOWN","","YES",""
"entity_200","reports/switching_pipeline_stability_post_enforcement.md","report","","UNKNOWN","","YES",""
"entity_201","reports/switching_raw_baseline_correction_report.md","report","","UNKNOWN","","YES",""
"entity_202","reports/switching_replay_guard_rules.md","report","","UNKNOWN","","YES",""
"entity_203","reports/switching_replay_plan.md","report","","UNKNOWN","","YES",""
"entity_204","reports/switching_replay_reconciliation.md","report","","UNKNOWN","","YES",""
"entity_205","reports/switching_robustness_definition_recovery.md","report","","UNKNOWN","","YES",""
"entity_206","reports/switching_robustness_execution_trace.md","report","","UNKNOWN","","YES",""
"entity_207","reports/switching_robustness_rerun_readiness.md","report","","UNKNOWN","","YES",""
"entity_208","reports/switching_robustness_root_validation.md","report","","UNKNOWN","","YES",""
"entity_209","reports/switching_robustness_unblock_plan.md","report","","UNKNOWN","","YES",""
"entity_210","reports/switching_scaling_canonical_test.md","report","","UNKNOWN","","YES",""
"entity_211","reports/switching_script_inventory.md","report","","UNKNOWN","","YES",""
"entity_212","results/switching/runs/run_2026_04_02_213133_minimal_canonical/config_snapshot.m","script","run_2026_04_02_213133_minimal_canonical","UNKNOWN","","YES",""
"entity_213","results/switching/runs/run_2026_04_02_213133_minimal_canonical/execution_status.csv","table","run_2026_04_02_213133_minimal_canonical","UNKNOWN","","YES",""
"entity_214","results/switching/runs/run_2026_04_02_213133_minimal_canonical/log.txt","report","run_2026_04_02_213133_minimal_canonical","UNKNOWN","","YES",""
"entity_215","results/switching/runs/run_2026_04_02_213133_minimal_canonical/minimal_data.csv","table","run_2026_04_02_213133_minimal_canonical","UNKNOWN","","YES",""
"entity_216","results/switching/runs/run_2026_04_02_213133_minimal_canonical/minimal_report.md","report","run_2026_04_02_213133_minimal_canonical","UNKNOWN","","YES",""
"entity_217","results/switching/runs/run_2026_04_02_213133_minimal_canonical/run_manifest.json","table","run_2026_04_02_213133_minimal_canonical","UNKNOWN","","YES",""
"entity_218","results/switching/runs/run_2026_04_02_213133_minimal_canonical/run_notes.txt","report","run_2026_04_02_213133_minimal_canonical","UNKNOWN","","YES",""
"entity_219","results/switching/runs/run_2026_04_02_213133_minimal_canonical/run_status.csv","table","run_2026_04_02_213133_minimal_canonical","UNKNOWN","","YES",""
"entity_220","results/switching/runs/run_2026_04_02_213408_phi_kappa_canonical_space_analysis/config_snapshot.m","script","run_2026_04_02_213408_phi_kappa_canonical_space_analysis","UNKNOWN","","YES",""
"entity_221","results/switching/runs/run_2026_04_02_213408_phi_kappa_canonical_space_analysis/log.txt","report","run_2026_04_02_213408_phi_kappa_canonical_space_analysis","UNKNOWN","","YES",""
"entity_222","results/switching/runs/run_2026_04_02_213408_phi_kappa_canonical_space_analysis/run_manifest.json","table","run_2026_04_02_213408_phi_kappa_canonical_space_analysis","UNKNOWN","","YES",""
"entity_223","results/switching/runs/run_2026_04_02_213408_phi_kappa_canonical_space_analysis/run_notes.txt","report","run_2026_04_02_213408_phi_kappa_canonical_space_analysis","UNKNOWN","","YES",""
"entity_224","results/switching/runs/run_2026_04_02_213408_phi_kappa_canonical_space_analysis/run_status.csv","table","run_2026_04_02_213408_phi_kappa_canonical_space_analysis","UNKNOWN","","YES",""
"entity_225","results/switching/runs/run_2026_04_02_234844_switching_canonical/config_snapshot.m","script","run_2026_04_02_234844_switching_canonical","UNKNOWN","","YES",""
"entity_226","results/switching/runs/run_2026_04_02_234844_switching_canonical/execution_probe.csv","table","run_2026_04_02_234844_switching_canonical","UNKNOWN","","YES",""
"entity_227","results/switching/runs/run_2026_04_02_234844_switching_canonical/execution_probe_status.csv","table","run_2026_04_02_234844_switching_canonical","UNKNOWN","","YES",""
"entity_228","results/switching/runs/run_2026_04_02_234844_switching_canonical/execution_probe_top.txt","report","run_2026_04_02_234844_switching_canonical","UNKNOWN","","YES",""
"entity_229","results/switching/runs/run_2026_04_02_234844_switching_canonical/execution_status.csv","table","run_2026_04_02_234844_switching_canonical","UNKNOWN","","YES",""
"entity_230","results/switching/runs/run_2026_04_02_234844_switching_canonical/log.txt","report","run_2026_04_02_234844_switching_canonical","UNKNOWN","","YES",""
"entity_231","results/switching/runs/run_2026_04_02_234844_switching_canonical/reports/run_switching_canonical_implementation.md","report","run_2026_04_02_234844_switching_canonical","UNKNOWN","","YES",""
"entity_232","results/switching/runs/run_2026_04_02_234844_switching_canonical/reports/run_switching_canonical_report.md","report","run_2026_04_02_234844_switching_canonical","UNKNOWN","","YES",""
"entity_233","results/switching/runs/run_2026_04_02_234844_switching_canonical/run_manifest.json","table","run_2026_04_02_234844_switching_canonical","UNKNOWN","","YES",""
"entity_234","results/switching/runs/run_2026_04_02_234844_switching_canonical/run_notes.txt","report","run_2026_04_02_234844_switching_canonical","UNKNOWN","","YES",""
"entity_235","results/switching/runs/run_2026_04_02_234844_switching_canonical/run_status.csv","table","run_2026_04_02_234844_switching_canonical","UNKNOWN","","YES",""
"entity_236","results/switching/runs/run_2026_04_02_234844_switching_canonical/tables/run_switching_canonical_implementation_status.csv","table","run_2026_04_02_234844_switching_canonical","UNKNOWN","","YES",""
"entity_237","results/switching/runs/run_2026_04_02_234844_switching_canonical/tables/switching_canonical_observables.csv","table","run_2026_04_02_234844_switching_canonical","UNKNOWN","","YES",""
"entity_238","results/switching/runs/run_2026_04_02_234844_switching_canonical/tables/switching_canonical_phi1.csv","table","run_2026_04_02_234844_switching_canonical","UNKNOWN","","YES",""
"entity_239","results/switching/runs/run_2026_04_02_234844_switching_canonical/tables/switching_canonical_S_long.csv","table","run_2026_04_02_234844_switching_canonical","UNKNOWN","","YES",""
"entity_240","results/switching/runs/run_2026_04_02_234844_switching_canonical/tables/switching_canonical_validation.csv","table","run_2026_04_02_234844_switching_canonical","UNKNOWN","","YES",""
"entity_241","results/switching/runs/run_2026_04_03_000008_switching_canonical/config_snapshot.m","script","run_2026_04_03_000008_switching_canonical","UNKNOWN","","YES",""
"entity_242","results/switching/runs/run_2026_04_03_000008_switching_canonical/execution_probe.csv","table","run_2026_04_03_000008_switching_canonical","UNKNOWN","","YES",""
"entity_243","results/switching/runs/run_2026_04_03_000008_switching_canonical/execution_probe_status.csv","table","run_2026_04_03_000008_switching_canonical","UNKNOWN","","YES",""
"entity_244","results/switching/runs/run_2026_04_03_000008_switching_canonical/execution_probe_top.txt","report","run_2026_04_03_000008_switching_canonical","UNKNOWN","","YES",""
"entity_245","results/switching/runs/run_2026_04_03_000008_switching_canonical/execution_status.csv","table","run_2026_04_03_000008_switching_canonical","UNKNOWN","","YES",""
"entity_246","results/switching/runs/run_2026_04_03_000008_switching_canonical/log.txt","report","run_2026_04_03_000008_switching_canonical","UNKNOWN","","YES",""
"entity_247","results/switching/runs/run_2026_04_03_000008_switching_canonical/reports/run_switching_canonical_implementation.md","report","run_2026_04_03_000008_switching_canonical","UNKNOWN","","YES",""
"entity_248","results/switching/runs/run_2026_04_03_000008_switching_canonical/reports/run_switching_canonical_report.md","report","run_2026_04_03_000008_switching_canonical","UNKNOWN","","YES",""
"entity_249","results/switching/runs/run_2026_04_03_000008_switching_canonical/run_manifest.json","table","run_2026_04_03_000008_switching_canonical","UNKNOWN","","YES",""
"entity_250","results/switching/runs/run_2026_04_03_000008_switching_canonical/run_notes.txt","report","run_2026_04_03_000008_switching_canonical","UNKNOWN","","YES",""
"entity_251","results/switching/runs/run_2026_04_03_000008_switching_canonical/run_status.csv","table","run_2026_04_03_000008_switching_canonical","UNKNOWN","","YES",""
"entity_252","results/switching/runs/run_2026_04_03_000008_switching_canonical/tables/run_switching_canonical_implementation_status.csv","table","run_2026_04_03_000008_switching_canonical","UNKNOWN","","YES",""
"entity_253","results/switching/runs/run_2026_04_03_000008_switching_canonical/tables/switching_canonical_observables.csv","table","run_2026_04_03_000008_switching_canonical","UNKNOWN","","YES",""
"entity_254","results/switching/runs/run_2026_04_03_000008_switching_canonical/tables/switching_canonical_phi1.csv","table","run_2026_04_03_000008_switching_canonical","UNKNOWN","","YES",""
"entity_255","results/switching/runs/run_2026_04_03_000008_switching_canonical/tables/switching_canonical_S_long.csv","table","run_2026_04_03_000008_switching_canonical","UNKNOWN","","YES",""
"entity_256","results/switching/runs/run_2026_04_03_000008_switching_canonical/tables/switching_canonical_validation.csv","table","run_2026_04_03_000008_switching_canonical","UNKNOWN","","YES",""
"entity_257","results/switching/runs/run_2026_04_03_000147_switching_canonical/config_snapshot.m","script","run_2026_04_03_000147_switching_canonical","UNKNOWN","","YES",""
"entity_258","results/switching/runs/run_2026_04_03_000147_switching_canonical/execution_probe.csv","table","run_2026_04_03_000147_switching_canonical","UNKNOWN","","YES",""
"entity_259","results/switching/runs/run_2026_04_03_000147_switching_canonical/execution_probe_status.csv","table","run_2026_04_03_000147_switching_canonical","UNKNOWN","","YES",""
"entity_260","results/switching/runs/run_2026_04_03_000147_switching_canonical/execution_probe_top.txt","report","run_2026_04_03_000147_switching_canonical","UNKNOWN","","YES",""
"entity_261","results/switching/runs/run_2026_04_03_000147_switching_canonical/execution_status.csv","table","run_2026_04_03_000147_switching_canonical","CANONICAL_CONFIRMED","","YES",""
"entity_262","results/switching/runs/run_2026_04_03_000147_switching_canonical/log.txt","report","run_2026_04_03_000147_switching_canonical","UNKNOWN","","YES",""
"entity_263","results/switching/runs/run_2026_04_03_000147_switching_canonical/reports/run_switching_canonical_implementation.md","report","run_2026_04_03_000147_switching_canonical","UNKNOWN","","YES",""
