"entrypoint","path","classification","uses_run_context","writes_execution_status","produces_run_dir","trust_level","notes"
"run_phi2_reconciliation_audit","analysis/run_phi2_reconciliation_audit.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_pt_to_phi_prediction","analysis/run_pt_to_phi_prediction.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_residual_shape_consistency","analysis/run_residual_shape_consistency.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_R_variable_disambiguation","analysis/run_R_variable_disambiguation.m","UNKNOWN","NO","YES","NO","PARTIAL",""
"run_temperature_boundary_audit","analysis/run_temperature_boundary_audit.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_transition_driver_comparison","analysis/run_transition_driver_comparison.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_unified_barrier_mechanism","analysis/run_unified_barrier_mechanism.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_arpes_dual","ARPES ver1/run_arpes_dual.m","UNKNOWN","NO","NO","NO","UNTRUSTED",""
"run_arpes_json","ARPES ver1/run_arpes_json.m","UNKNOWN","NO","NO","NO","UNTRUSTED",""
"RUN_URGENT_VALIDATION","GUIs/tests/legacy/RUN_URGENT_VALIDATION.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_aging_trace_structure_canonical","junk/aging_trace_structure_attempt/run_aging_trace_structure_canonical.m","UNKNOWN","YES","NO","YES","UNTRUSTED","Non-canonical tree location."
"run_aging_trace_structure_canonical_exec","junk/aging_trace_structure_attempt/run_aging_trace_structure_canonical_exec.m","UNKNOWN","YES","NO","YES","UNTRUSTED","Non-canonical tree location."
"run_aging_trace_structure_canonical_final","junk/aging_trace_structure_attempt/run_aging_trace_structure_canonical_final.m","UNKNOWN","YES","NO","YES","UNTRUSTED","Non-canonical tree location."
"run_aging_trace_structure_canonical_wrapper","junk/aging_trace_structure_attempt/run_aging_trace_structure_canonical_wrapper.m","UNKNOWN","NO","NO","NO","UNTRUSTED","Non-canonical tree location."
"run_relaxation_canonical","Relaxation ver3/run_relaxation_canonical.m","UNKNOWN","YES","YES","YES","PARTIAL","Script uses createRunContext; no relaxation entrypoint registry file observed under tables/."
"run_relaxation_canonical_script","Relaxation ver3/run_relaxation_canonical_script.m","UNKNOWN","NO","NO","NO","UNTRUSTED",""
"run_relaxation_perturbation_demo","Relaxation ver3/run_relaxation_perturbation_demo.m","UNKNOWN","YES","YES","YES","PARTIAL",""
"run_relaxation_beta_T_audit","Relaxation ver3/diagnostics/run_relaxation_beta_T_audit.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_relaxation_coordinate_audit","Relaxation ver3/diagnostics/run_relaxation_coordinate_audit.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_relaxation_coordinate_extraction","Relaxation ver3/diagnostics/run_relaxation_coordinate_extraction.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_relaxation_derivative_smoothing_run","Relaxation ver3/diagnostics/run_relaxation_derivative_smoothing_run.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_relaxation_geometry_observables","Relaxation ver3/diagnostics/run_relaxation_geometry_observables.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_relaxation_measurement_focused_t0_norm_window_script","Relaxation ver3/diagnostics/run_relaxation_measurement_focused_t0_norm_window_script.m","UNKNOWN","YES","YES","YES","PARTIAL",""
"run_relaxation_measurement_robustness_audit_script","Relaxation ver3/diagnostics/run_relaxation_measurement_robustness_audit_script.m","UNKNOWN","YES","YES","YES","PARTIAL",""
"run_relaxation_observable_stability_audit","Relaxation ver3/diagnostics/run_relaxation_observable_stability_audit.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_relaxation_svd_audit","Relaxation ver3/diagnostics/run_relaxation_svd_audit.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_relaxation_timelaw_observables","Relaxation ver3/diagnostics/run_relaxation_timelaw_observables.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_relaxation_time_mode_analysis","Relaxation ver3/diagnostics/run_relaxation_time_mode_analysis.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_temperature_regime_analysis","results_old/cross_experiment/runs/run_2026_03_25_041503_temperature_regime_analysis/run_temperature_regime_analysis.m","UNKNOWN","NO","NO","NO","UNTRUSTED","Non-canonical tree location."
"run_adversarial_observable_search","scripts/run_adversarial_observable_search.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_aging_collapse_kappa1_kappa2","Switching/analysis/run_aging_collapse_kappa1_kappa2.m","UNKNOWN","NO","NO","NO","UNTRUSTED",""
"run_aging_kappa_comparison","Switching/analysis/run_aging_kappa_comparison.m","UNKNOWN","NO","NO","NO","UNTRUSTED",""
"run_aging_nonlinear_law_test","Switching/analysis/run_aging_nonlinear_law_test.m","UNKNOWN","NO","YES","NO","PARTIAL",""
"run_alpha_observable_search","Switching/analysis/run_alpha_observable_search.m","UNKNOWN","NO","YES","NO","PARTIAL",""
"run_alpha_physical_validity_test","Switching/analysis/run_alpha_physical_validity_test.m","UNKNOWN","NO","YES","NO","PARTIAL",""
"run_asymmetric_spread_analysis","Switching/analysis/run_asymmetric_spread_analysis.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_build_relaxation_dataset","Switching/analysis/run_build_relaxation_dataset.m","UNKNOWN","NO","YES","NO","PARTIAL",""
"run_build_relaxation_dataset_from_pipeline","Switching/analysis/run_build_relaxation_dataset_from_pipeline.m","UNKNOWN","NO","YES","YES","PARTIAL",""
"run_collapse_failure_mode_test","Switching/analysis/run_collapse_failure_mode_test.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_extract_tau_from_relaxation","Switching/analysis/run_extract_tau_from_relaxation.m","UNKNOWN","NO","YES","NO","PARTIAL",""
"run_kappa2_kww_shape_test","Switching/analysis/run_kappa2_kww_shape_test.m","UNKNOWN","NO","YES","NO","PARTIAL",""
"run_kappa2_opening_test","Switching/analysis/run_kappa2_opening_test.m","UNKNOWN","NO","YES","YES","PARTIAL",""
"run_kappa2_operational_signature_test","Switching/analysis/run_kappa2_operational_signature_test.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_kappa2_physical_necessity","Switching/analysis/run_kappa2_physical_necessity.m","UNKNOWN","NO","YES","NO","PARTIAL",""
"run_minimal_canonical","Switching/analysis/run_minimal_canonical.m","NON_CANONICAL","YES","YES","YES","PARTIAL",""
"run_parameter_robustness_switching_canonical","Switching/analysis/run_parameter_robustness_switching_canonical.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_phi1_observable_phi2_driver_test","Switching/analysis/run_phi1_observable_phi2_driver_test.m","UNKNOWN","NO","NO","NO","UNTRUSTED",""
"run_phi1_phi2_observable_closure_fixed","Switching/analysis/run_phi1_phi2_observable_closure_fixed.m","UNKNOWN","NO","YES","NO","PARTIAL",""
"run_phi1_phi2_observable_closure_test","Switching/analysis/run_phi1_phi2_observable_closure_test.m","UNKNOWN","NO","NO","NO","UNTRUSTED",""
"run_phi2_deformation_structure_test","Switching/analysis/run_phi2_deformation_structure_test.m","UNKNOWN","NO","NO","NO","UNTRUSTED",""
"run_phi2_extended_deformation_basis_test","Switching/analysis/run_phi2_extended_deformation_basis_test.m","UNKNOWN","NO","YES","NO","PARTIAL",""
"run_phi2_kappa2_canonical_residual_mode","Switching/analysis/run_phi2_kappa2_canonical_residual_mode.m","UNKNOWN","NO","NO","NO","UNTRUSTED",""
"run_phi2_second_order_deformation_test","Switching/analysis/run_phi2_second_order_deformation_test.m","UNKNOWN","NO","YES","NO","PARTIAL",""
"run_phi2_shape_physics_test","Switching/analysis/run_phi2_shape_physics_test.m","UNKNOWN","NO","NO","NO","UNTRUSTED",""
"run_phi_asymmetry_link","Switching/analysis/run_phi_asymmetry_link.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_phi_even_deformation_test","Switching/analysis/run_phi_even_deformation_test.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_phi_physical_identification","Switching/analysis/run_phi_physical_identification.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_phi_physical_structure_test","Switching/analysis/run_phi_physical_structure_test.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_phi_pt_independence_test","Switching/analysis/run_phi_pt_independence_test.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_phi_pt_restricted_deformation","Switching/analysis/run_phi_pt_restricted_deformation.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_phi_pt_restricted_deformation_5_1","Switching/analysis/run_phi_pt_restricted_deformation_5_1.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_phi_pt_restricted_deformation_stable","Switching/analysis/run_phi_pt_restricted_deformation_stable.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_phi_temperature_derivative_test","Switching/analysis/run_phi_temperature_derivative_test.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_prediction_falsification_test","Switching/analysis/run_prediction_falsification_test.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_pt_deformation_mode_test","Switching/analysis/run_pt_deformation_mode_test.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_pt_energy_extraction_robustness_audit","Switching/analysis/run_pt_energy_extraction_robustness_audit.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_PT_kappa_relaxation_mapping","Switching/analysis/run_PT_kappa_relaxation_mapping.m","UNKNOWN","NO","YES","NO","PARTIAL",""
"run_PT_to_relaxation_mapping","Switching/analysis/run_PT_to_relaxation_mapping.m","UNKNOWN","NO","YES","NO","PARTIAL",""
"run_pt_width_spread_observable_analysis","Switching/analysis/run_pt_width_spread_observable_analysis.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_relaxation_deep_search","Switching/analysis/run_relaxation_deep_search.m","UNKNOWN","NO","NO","NO","UNTRUSTED",""
"run_relaxation_extraction_from_known_runs","Switching/analysis/run_relaxation_extraction_from_known_runs.m","UNKNOWN","NO","YES","YES","PARTIAL",""
"run_relaxation_outlier_audit","Switching/analysis/run_relaxation_outlier_audit.m","UNKNOWN","NO","YES","NO","PARTIAL",""
"run_relaxation_outlier_audit_no_toolbox","Switching/analysis/run_relaxation_outlier_audit_no_toolbox.m","UNKNOWN","NO","YES","NO","PARTIAL",""
"run_residual_decomposition_22k_failure_audit","Switching/analysis/run_residual_decomposition_22k_failure_audit.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_residual_rank2_audit","Switching/analysis/run_residual_rank2_audit.m","UNKNOWN","NO","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_residual_sector_robustness","Switching/analysis/run_residual_sector_robustness.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_residual_temperature_structure_test","Switching/analysis/run_residual_temperature_structure_test.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_switching_canonical","Switching/analysis/run_switching_canonical.m","CANONICAL","YES","YES","YES","TRUSTED","Sole path in tables/switching_canonical_entrypoint.csv; invokes Switching ver12 backend via addpath."
"run_switching_peak_jump_audit","Switching/analysis/run_switching_peak_jump_audit.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_tail_ablation_test","Switching/analysis/run_tail_ablation_test.m","UNKNOWN","YES","NO","YES","PARTIAL","First line declares function (not bare script)."
"run_trajectory_geometry_aging_test","Switching/analysis/run_trajectory_geometry_aging_test.m","UNKNOWN","NO","NO","NO","UNTRUSTED",""
"run_validate_relaxation_dataset","Switching/analysis/run_validate_relaxation_dataset.m","UNKNOWN","NO","YES","NO","PARTIAL",""
"run_width_decomposition_test","Switching/analysis/run_width_decomposition_test.m","UNKNOWN","NO","NO","NO","UNTRUSTED",""
"run_width_interaction_closure_test","Switching/analysis/run_width_interaction_closure_test.m","UNKNOWN","NO","YES","NO","PARTIAL",""
"run_width_interaction_closure_test_v2","Switching/analysis/run_width_interaction_closure_test_v2.m","UNKNOWN","NO","YES","NO","PARTIAL",""
"run_switching_physical_baseline_model","Switching/analysis/experimental/run_switching_physical_baseline_model.m","UNKNOWN","YES","YES","YES","PARTIAL",""
"run_switching_raw_baseline_correction_and_comparison","Switching/analysis/experimental/run_switching_raw_baseline_correction_and_comparison.m","UNKNOWN","YES","YES","YES","PARTIAL",""
"run_canonical_probe","tmp/run_canonical_probe.m","UNKNOWN","YES","NO","NO","UNTRUSTED","Non-canonical tree location."
"run_canonical_reconstruction_loto","tmp/run_canonical_reconstruction_loto.m","UNKNOWN","YES","YES","NO","UNTRUSTED","Non-canonical tree location."
"run_switching_a1_vs_logdS_debug","tmp/run_switching_a1_vs_logdS_debug.m","UNKNOWN","NO","NO","NO","UNTRUSTED","Non-canonical tree location."
"run_artifact_path","tools/run_artifact_path.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script). Helper function; path builder only."
"run_kappa2_phen_audit","tools/run_kappa2_phen_audit.m","UNKNOWN","NO","NO","NO","UNTRUSTED",""
"run_phi1_curvature_generator_test","tools/run_phi1_curvature_generator_test.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_phi1_from_pt_shape_test","tools/run_phi1_from_pt_shape_test.m","UNKNOWN","NO","NO","NO","UNTRUSTED","First line declares function (not bare script)."
"run_validation_suite","tools/figure_repair/run_validation_suite.m","UNKNOWN","NO","NO","YES","UNTRUSTED","First line declares function (not bare script)."
"ACHC_main","AC HC MagLab ver8/ACHC_main.m","NON_CANONICAL","NO","NO","NO","UNTRUSTED","Backend *_main.m; no matches for createRunContext/execution_status/run_dir in file (observed)."
"verifyRobustBaseline_RealData_Main","Aging/verification/verifyRobustBaseline_RealData_Main.m","NON_CANONICAL","NO","NO","NO","UNTRUSTED","Backend *_main.m; no matches for createRunContext/execution_status/run_dir in file (observed)."
"FieldSweep_main","FieldSweep ver3/FieldSweep_main.m","NON_CANONICAL","NO","NO","NO","UNTRUSTED","Backend *_main.m; no matches for createRunContext/execution_status/run_dir in file (observed)."
"HC_main","HC ver1/HC_main.m","NON_CANONICAL","NO","NO","NO","UNTRUSTED","Backend *_main.m; no matches for createRunContext/execution_status/run_dir in file (observed)."
"MH_main","MH ver1/MH_main.m","NON_CANONICAL","NO","NO","NO","UNTRUSTED","Backend *_main.m; no matches for createRunContext/execution_status/run_dir in file (observed)."
"MT_main","MT ver2/MT_main.m","NON_CANONICAL","NO","NO","NO","UNTRUSTED","Backend *_main.m; no matches for createRunContext/execution_status/run_dir in file (observed)."
"PS_main","PS ver4/PS_main.m","NON_CANONICAL","NO","NO","NO","UNTRUSTED","Backend *_main.m; no matches for createRunContext/execution_status/run_dir in file (observed)."
"ACHC_RH_main","Resistivity MagLab ver1/ACHC_RH_main.m","NON_CANONICAL","NO","NO","NO","UNTRUSTED","Backend *_main.m; no matches for createRunContext/execution_status/run_dir in file (observed)."
"Resistivity_main","Resistivity ver6/Resistivity_main.m","NON_CANONICAL","NO","NO","NO","UNTRUSTED","Backend *_main.m; no matches for createRunContext/execution_status/run_dir in file (observed)."
"Switching_main","Switching ver12/main/Switching_main.m","NON_CANONICAL","NO","NO","NO","UNTRUSTED","Backend *_main.m; no matches for createRunContext/execution_status/run_dir in file (observed)."
"zfAMR_main","zfAMR ver11/main/zfAMR_main.m","NON_CANONICAL","NO","NO","NO","UNTRUSTED","Backend *_main.m; no matches for createRunContext/execution_status/run_dir in file (observed)."
