artifact_path,artifact_type,matched_terms,already_in_authoritative_index,already_in_quarantine_index,already_in_high_risk_hardening,declared_namespace,inferred_namespace,namespace_status,evidence_status,uses_canonical_S_long,uses_S_percent,uses_S_model_pt_percent,uses_CDF_pt,uses_PT_pdf,uses_old_run_ids,uses_results_old,mentions_phi_kappa,mentions_backbone,mentions_collapse_or_X,looks_final_or_publication,is_stale_or_superseded,ambiguity_level,risk_level,ambiguity_reason,recommended_action
reports/maintenance/switching_source_of_truth_owner_decision_audit.md,report_md,canonical;resolver,NO,NO,NO,partial,CANON_MIXED,ambiguous,MAINTENANCE_AUDIT,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,MEDIUM,MEDIUM,Predates authoritative artifact index,AD_NAMESPACE_NOTE
reports/maintenance/switching_identity_resolver_patch_design_review.md,report_md,canonical;identity,NO,NO,NO,infra,resolver,clear,TECH_MAINTENANCE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,LOW,Resolver mechanics not evidence,NO_ACTION
docs/switching_analysis_map.md,governance_md,canonical;PTCDF;backbone,NO,NO,NO,multi,multi,clear,REFERENCE,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NONE,NONE,Primary narrative contract,NO_ACTION
docs/canonical_switching_system.md,docs_md,canonical,NO,NO,NO,legacy_title,CANON_MIXED,ambiguous,HISTORICAL_DOC,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,UNKNOWN,MEDIUM,Title implies single system,NO_ACTION
scripts/run_switching_old_fig_forensic_and_canonical_replot.m,matlab_script,old;canonical;replay,NO,NO,NO,see script,DIAGNOSTIC_FORENSIC,missing,FORENSIC_REPLAY,YES,YES,VARIES,VARIES,VARIES,YES,YES,NO,NO,NO,NO,NO,MEDIUM,MEDIUM,Old vs canonical replot conflation,ADD_WARNING_HEADER
scripts/run_switching_phase5B_residual_absorption_test.ps1,powershell_script,canonical;residual;CDF_pt,NO,NO,NO,DIAGNOSTIC,EXPERIMENTAL,clear,DIAGNOSTIC_TEST,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,MEDIUM,MEDIUM,Phase5B overlap with canonical Phi1 — documented in script output,AD_NAMESPACE_NOTE
scripts/run_switching_corrected_old_authoritative_builder.ps1,powershell_script,corrected_old;authoritative,YES,YES,NO,CORRECTED_CANONICAL_OLD_ANALYSIS,clear,AUTHORITATIVE_BUILDER,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NONE,LOW,Production builder wrapper,NO_ACTION
Switching/analysis/run_switching_canonical_reconstruction_visualization.m,matlab_script,canonical;reconstruction,NO,NO,NO,not reviewed,CANON_FIGURE_REPLAY,missing,FIGURE_REPLAY,YES,YES,VARIES,VARIES,VARIES,NO,NO,NO,NO,NO,NO,NO,MEDIUM,MEDIUM,Not in prior hardening pass,ADD_WARNING_HEADER
Switching/analysis/run_switching_canonical_map_backbone_residual_visualization.m,matlab_script,canonical;backbone;residual,NO,NO,NO,not reviewed,CANON_FIGURE_REPLAY,missing,VISUALIZATION,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,NO,HIGH,MEDIUM,Filename implies backbone authority — verify columns,ADD_WARNING_HEADER
Switching/analysis/run_switching_limited_claim_readiness.m,matlab_script,claim;manuscript,NO,NO,NO,not reviewed,DIAGNOSTIC_FORENSIC,missing,CLAIM_GATE,NO,NO,VARIES,VARIES,VARIES,NO,NO,NO,NO,NO,YES,NO,MEDIUM,MEDIUM,"Publication-adjacent" naming,NEEDS_HUMAN_REVIEW
tables/switching_geocanon_repo_inventory.csv,data_csv,geocanon;inventory,NO,NO,NO,registry,DIAGNOSTIC,ambiguous,INVENTORY_TABLE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,LOW,CSV body not human-headered,ADD_TO_HISTORICAL_DIAGNOSTIC_INVENTORY
tables/switching_misleading_or_dangerous_artifacts.csv,data_csv,quarantine;misleading,YES,YES,YES,QUARANTINED_MISLEADING,clear,REGISTRY,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NONE,LOW,Central quarantine list,INDEX_ONLY
figures/switching/canonical/switching_corrected_old_residual_map.png,figure_png,corrected_old;residual,YES,YES,NO,QUARANTINED_MISLEADING,clear,QUARANTINED_PNG,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NONE,HIGH,PNG cannot embed text,INDEX_ONLY
results/switching/runs/run_2026_04_24_233348_switching_canonical/tables/switching_canonical_S_long.csv,data_csv,canonical;S_long;PT_pdf,PARTIAL,NO,NO,mixed,CANON_GEN+EXPERIMENTAL,mismatch,MIXED_PRODUCER_OUTPUT,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,NONE,HIGH,Column-namespace split required,INDEX_ONLY
results_old/switching/runs/run_2026_03_24_212033_switching_barrier_distribution_from_map/tables/PT_matrix.csv,data_csv,legacy;PT,YES,NO,NO,OLD_BARRIER_PT,clear,TEMPLATE_REFERENCE,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NONE,LOW,Legacy PT route — builder provenance,INDEX_ONLY
Switching/analysis/run_phi2_extended_deformation_basis_test.m,matlab_script,Phi2;deformation,NO,NO,NO,not reviewed,OLD_RESIDUAL_DECOMP,missing,PHYSICS_TEST,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,MEDIUM,MEDIUM,Calls decomposition — not in hardening pass,NEEDS_HUMAN_REVIEW
Switching/diagnostics/run_switching_cdf_backbone_repair_aggressiveness_audit.m,matlab_script,backbone;CDF,NO,NO,NO,comment,CORRECTED namespace noted in file,ambiguous,AUDIT_SCRIPT,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,LOW,MEDIUM,Long audit — namespace in prose?,NEEDS_HUMAN_REVIEW
tables/switching_phase4B_collapse_candidate_design_inventory.csv,data_csv,collapse;legacy,NO,NO,NO,inventory,OLD_FULL_SCALING,ambiguous,DESIGN_INVENTORY,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,YES,NO,NO,LOW,LOW,Phase-gated design table,ADD_TO_HISTORICAL_DIAGNOSTIC_INVENTORY
tables/switching_publication_figure_gate.csv,data_csv,publication,NO,NO,NO,policy,PUBLICATION_GATE,clear,GATE_TABLE,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NONE,LOW,Publication policy rows,INDEX_ONLY
tables/switching_module_deep_inventory.csv,data_csv,switching;inventory,NO,NO,NO,inventory,MIXED,missing,MODULE_SCAN,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,LOW,LOW,Large inventory — use with current_state,NO_ACTION
scripts/run_switching_old_analysis_canonical_adoption_plan.ps1,powershell_script,old;canonical;adoption,NO,NO,NO,planning,ADOPTION_PLAN,ambiguous,GOVERNANCE_PLAN,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,MEDIUM,MEDIUM,Old→canonical migration language,AD_NAMESPACE_NOTE
docs/decisions/switching_main_narrative_namespace_decision.md,governance_md,canonical;manuscript,NO,NO,NO,CORRECTED+CANON_GEN,clear,BINDING_DECISION,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NONE,NONE,Decision record,NO_ACTION
reports/switching_high_risk_artifact_header_hardening.md,report_md,governance,NO,NO,YES,audit,REFERENCE,clear,AUDIT_REPORT,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NONE,NONE,Prior pass record,NO_ACTION
scripts/run_switching_old_fig_forensic_and_canonical_replot.m,matlab_script,old;canonical;replay,NO,NO,NO,see header,DIAGNOSTIC_FORENSIC,clear,FORENSIC_REPLAY,YES,YES,VARIES,VARIES,VARIES,YES,YES,NO,NO,NO,NO,NO,MEDIUM,MEDIUM,Legacy vs canonical replot,ADD_WARNING_HEADER
Switching/analysis/run_switching_canonical_map_backbone_residual_visualization.m,matlab_script,canonical;backbone;residual,NO,NO,NO,see header,CANON_FIGURE_REPLAY,clear,VISUALIZATION,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,NO,NO,HIGH,MEDIUM,Strong filename — header added this sweep,ADD_WARNING_HEADER
Switching/analysis/run_switching_canonical_reconstruction_visualization.m,matlab_script,canonical;reconstruction,NO,NO,NO,see header,CANON_FIGURE_REPLAY,clear,FIGURE_REPLAY,YES,YES,VARIES,VARIES,VARIES,NO,NO,YES,YES,NO,NO,NO,MEDIUM,MEDIUM,Reconstruction compare visualization,ADD_WARNING_HEADER
