artifact_path,artifact_type,risk_source,risk_level,namespace_id,evidence_status,header_needed,header_added,header_type,editable_safely,edit_action,safe_use,unsafe_use,current_state_pointer_added,notes
Switching/analysis/run_switching_canonical.m,matlab_script,mixed_producer,HIGH,CANON_GEN_SOURCE + EXPERIMENTAL + DIAGNOSTIC_MODE,MIXED_OUTPUT_RUN,YES,YES,COMMENT_BLOCK,YES,COMMENT_HEADER_ADDED,S_percent + splitter views; diagnostic cols labeled,PT/CDF/phi as CORRECTED authority,YES,
reports/switching_canonical_output_separation_design.md,governance_md,high_risk_list,HIGH,multi,DOCUMENTATION,YES,YES,MARKDOWN_BLOCKQUOTE,YES,MARKDOWN_WARNING_ADDED,structural split + appendix supersession,ignore column-namespace reality,YES,
reports/switching_quarantine_index.md,governance_md,quarantine_visibility,MEDIUM,QUARANTINED_MISLEADING,REGISTRY_AND_POLICY,YES,YES,MARKDOWN_BLOCKQUOTE,YES,MARKDOWN_WARNING_ADDED,visible quarantine policy,PNG filenames as proof,YES,
reports/switching_corrected_old_authoritative_builder.md,governance_md,authoritative_positive,LOW,CORRECTED_CANONICAL_OLD_ANALYSIS,AUTHORITATIVE_FOR_CORRECTED_OLD_PATH,YES,YES,MARKDOWN_BLOCKQUOTE,YES,MARKDOWN_WARNING_ADDED,cite listed tables + artifact index,mix with quarantined diagnostic PNG chains,YES,Positive-evidence framing with UNSAFE_USE guardrails
docs/switching_governance_persistence_manifest.md,governance_md,high_risk_list,HIGH,multi,CURRENT (superseded earlier pass),NO,YES,N/A,YES,NO_ACTION_ALREADY_CLEAR,facts 6–8 remediated in prior task,new edits deferred to avoid duplication,YES,Already updated 2026-04-29; no duplicate header block added
tables/switching_analysis_classification_status.csv,governance_csv,high_risk_list,HIGH,N/A,stale_row_snapshot,YES,NO,N/A,NO,INDEX_ONLY,interpret via SUPERSESSION rows + current pointer,direct row overwrite forbidden here,NO,Handled by supersession rows + external docs
tables/switching_canonical_output_separation_status.csv,governance_csv,high_risk_list,HIGH,N/A,stale_row_snapshot,YES,NO,N/A,NO,INDEX_ONLY,same,same,NO,
tables/switching_misleading_or_dangerous_artifacts.csv,governance_csv,high_risk_list,MEDIUM,QUARANTINED_MISLEADING,registry,YES,NO,N/A,NO,INDEX_ONLY,use with reports/switching_quarantine_index.md,inline free-text header unsafe for CSV,NO,
figures/switching/canonical/switching_corrected_old_backbone_map.png,figure_png,high_risk_list,HIGH,QUARANTINED_MISLEADING,visual_contamination,YES,NO,N/A,NO,INDEX_ONLY,see quarantine index + artifact index,citation as authoritative backbone,NO,PNG binary — visibility via index only
tables/switching_missing_reconstruction_tasks.csv,governance_csv,verification_audit,MEDIUM,N/A,archival_program_ids,YES,NO,N/A,NO,INDEX_ONLY,use switching_missing_reconstruction_tasks_aligned.csv for TASK_002A/B vocabulary,direct edit skipped,NO,
reports/switching_corrected_canonical_current_state.md,governance_md,entrypoint,LOW,N/A,n/a,NO,YES,N/A,YES,NO_ACTION_ALREADY_CLEAR,already the pointer target,n/a,YES,self-referential start-here doc
