artifact,reason_for_quarantine,misread_as,actual_namespace,safe_use,unsafe_use,warning_visible_in_artifact,required_next_action
figures/switching/canonical/switching_corrected_old_kappa1_vs_T.png,mixed amplitude path,corrected-old kappa1,QUARANTINED_MISLEADING,same,same,NO embedded,
figures/switching/canonical/switching_corrected_old_mode1_reconstruction_map.png,ad hoc chain,authoritative mode1,QUARANTINED_MISLEADING,same,same,NO embedded,
figures/switching/canonical/switching_corrected_old_residual_after_mode1_map.png,ad hoc chain,authoritative remainder,QUARANTINED_MISLEADING,same,same,NO embedded,
figures/switching/canonical/switching_corrected_old_residual_cuts_before_after_mode1.png,ad hoc comparison,authoritative cuts,QUARANTINED_MISLEADING,same,same,NO embedded,
figures/switching/canonical/switching_corrected_old_*.fig,if present,authoritative companion,QUARANTINED_MISLEADING per naming rule,Archive,same,UNKNOWN,
figures/switching/canonical/switching_canonical_fixed_T_current_cuts_raw_S.png,scope boundary,corrected-old risk vs canonical S,CANON_GEN figure family — separate classification,Canonical measured-S claims with proper namespace,Treat as contaminated corrected-old,NO — classify per provenance,See figure inventory governance
figures/switching/canonical/switching_canonical_X_components_panel*.png,scope boundary,X gauge vs corrected-old,CANON_FIGURE_REPLAY / gauge family per inventory,Gauge-only narrative with namespace,Collapse/decomposition claim without bridge,NO,
figures/switching/canonical/switching_canonical_primary_collapse*.png,scope boundary,collapse vs decomposition,OLD_FULL_SCALING / CANON_COLLAPSE_FAMILY context per script,Cited with correct family id,Universal backbone claim,NO,
reports/switching_corrected_old_replay_inventory_and_phi1_visual_sanity.md (if generated),registry_placeholder_report,narrative ambiguity when materialized,QUARANTINED_MISLEADING / diagnostic framing per misleading table,Read only with banner if file appears — treat as hazard until regenerated under governance,Treat as manuscript binding proof,NO — file often absent,"When/if inventory script writes this path prepend markdown warning block from template"
scripts/run_switching_phase5B_residual_absorption_test.ps1,diagnostic_overlap_canonical_modes,residual absorption vs canonical Phi1 geometry,EXPERIMENTAL_PTCDF_DIAGNOSTIC / DIAGNOSTIC_COMPARE,CDF_pt-grid PCA overlap studies labeled diagnostic,Phase 5C primary manuscript claims without canonical mode citation,NO — script output prose,"Covered at category level by switching_analysis_map Phase5B notes; listed here for discoverability"
category_uncatalogued_switching_scripts,broad_ambiguity_sweep_residual_bucket,authoritative manuscript evidence,mixed — use backbone family tree per script,Use switching_broad_artifact_ambiguity_sweep.md + script headers,Assuming any run_switching_canonical_* is CORRECTED authority,N/A — category pointer,"Final micro-pass: remaining scripts either header-tagged or explicitly LOW/audit class in sweep table"
