"order","artifact_path","recommended_command","why_required","safe_to_run","module_scope"
"16","reports/switching_corrected_old_authoritative_artifact_index.md","git add -f ""reports/switching_corrected_old_authoritative_artifact_index.md""","Switching governance narrative document","YES","SWITCHING_ONLY"
"17","tables/switching_backbone_family_tree.csv","git add -f ""tables/switching_backbone_family_tree.csv""","Switching governance status or registry table","YES","SWITCHING_ONLY"
"18","reports/switching_backbone_family_tree.md","git add -f ""reports/switching_backbone_family_tree.md""","Switching governance narrative document","YES","SWITCHING_ONLY"
"19","tables/switching_canonical_S_long_column_namespace.csv","git add -f ""tables/switching_canonical_S_long_column_namespace.csv""","Switching governance status or registry table","YES","SWITCHING_ONLY"
"20","reports/switching_canonical_S_long_column_namespace.md","git add -f ""reports/switching_canonical_S_long_column_namespace.md""","Switching governance narrative document","YES","SWITCHING_ONLY"
"21","tables/switching_quarantine_index.csv","git add -f ""tables/switching_quarantine_index.csv""","Switching governance status or registry table","YES","SWITCHING_ONLY"
"22","reports/switching_quarantine_index.md","git add -f ""reports/switching_quarantine_index.md""","Switching governance narrative document","YES","SWITCHING_ONLY"
"23","tables/switching_reconstruction_task_id_alignment.csv","git add -f ""tables/switching_reconstruction_task_id_alignment.csv""","Switching governance status or registry table","YES","SWITCHING_ONLY"
"24","reports/switching_reconstruction_task_id_alignment.md","git add -f ""reports/switching_reconstruction_task_id_alignment.md""","Switching governance narrative document","YES","SWITCHING_ONLY"
"25","tables/switching_namespace_confusion_remediation_status.csv","git add -f ""tables/switching_namespace_confusion_remediation_status.csv""","Switching governance status or registry table","YES","SWITCHING_ONLY"
"26","tables/switching_high_risk_artifact_header_hardening.csv","git add -f ""tables/switching_high_risk_artifact_header_hardening.csv""","Switching governance status or registry table","YES","SWITCHING_ONLY"
"27","reports/switching_high_risk_artifact_header_hardening.md","git add -f ""reports/switching_high_risk_artifact_header_hardening.md""","Switching governance narrative document","YES","SWITCHING_ONLY"
"28","tables/switching_broad_artifact_ambiguity_sweep.csv","git add -f ""tables/switching_broad_artifact_ambiguity_sweep.csv""","Switching governance status or registry table","YES","SWITCHING_ONLY"
"29","reports/switching_broad_artifact_ambiguity_sweep.md","git add -f ""reports/switching_broad_artifact_ambiguity_sweep.md""","Switching governance narrative document","YES","SWITCHING_ONLY"
"30","tables/switching_historical_diagnostic_artifact_inventory.csv","git add -f ""tables/switching_historical_diagnostic_artifact_inventory.csv""","Switching governance status or registry table","YES","SWITCHING_ONLY"
"31","reports/switching_historical_diagnostic_artifact_inventory.md","git add -f ""reports/switching_historical_diagnostic_artifact_inventory.md""","Switching governance narrative document","YES","SWITCHING_ONLY"
"32","tables/switching_final_governance_micro_pass.csv","git add -f ""tables/switching_final_governance_micro_pass.csv""","Switching governance status or registry table","YES","SWITCHING_ONLY"
"33","reports/switching_final_governance_micro_pass.md","git add -f ""reports/switching_final_governance_micro_pass.md""","Switching governance narrative document","YES","SWITCHING_ONLY"
"34","tables/switching_final_governance_micro_pass_status.csv","git add -f ""tables/switching_final_governance_micro_pass_status.csv""","Switching governance status or registry table","YES","SWITCHING_ONLY"
"35","tables/switching_full_integrity_clarity_audit_artifact_lineage_commit_visibility.csv","git add -f ""tables/switching_full_integrity_clarity_audit_artifact_lineage_commit_visibility.csv""","Prior integrity audit deliverable","YES","SWITCHING_ONLY"
"36","tables/switching_full_integrity_clarity_audit_canonical_isolation.csv","git add -f ""tables/switching_full_integrity_clarity_audit_canonical_isolation.csv""","Prior integrity audit deliverable","YES","SWITCHING_ONLY"
"37","tables/switching_full_integrity_clarity_audit_corrected_old_inputs.csv","git add -f ""tables/switching_full_integrity_clarity_audit_corrected_old_inputs.csv""","Prior integrity audit deliverable","YES","SWITCHING_ONLY"
"38","tables/switching_full_integrity_clarity_audit_current_state.csv","git add -f ""tables/switching_full_integrity_clarity_audit_current_state.csv""","Prior integrity audit deliverable","YES","SWITCHING_ONLY"
"39","tables/switching_full_integrity_clarity_audit_formula_numeric.csv","git add -f ""tables/switching_full_integrity_clarity_audit_formula_numeric.csv""","Prior integrity audit deliverable","YES","SWITCHING_ONLY"
"40","tables/switching_full_integrity_clarity_audit_git_state.csv","git add -f ""tables/switching_full_integrity_clarity_audit_git_state.csv""","Prior integrity audit deliverable","YES","SWITCHING_ONLY"
"41","tables/switching_full_integrity_clarity_audit_ptcdf_quarantine.csv","git add -f ""tables/switching_full_integrity_clarity_audit_ptcdf_quarantine.csv""","Prior integrity audit deliverable","YES","SWITCHING_ONLY"
"42","tables/switching_full_integrity_clarity_audit_recommended_fixes.csv","git add -f ""tables/switching_full_integrity_clarity_audit_recommended_fixes.csv""","Prior integrity audit deliverable","YES","SWITCHING_ONLY"
"43","tables/switching_full_integrity_clarity_audit_risk_register.csv","git add -f ""tables/switching_full_integrity_clarity_audit_risk_register.csv""","Prior integrity audit deliverable","YES","SWITCHING_ONLY"
"44","tables/switching_full_integrity_clarity_audit_status.csv","git add -f ""tables/switching_full_integrity_clarity_audit_status.csv""","Prior integrity audit deliverable","YES","SWITCHING_ONLY"
"45","tables/switching_full_integrity_clarity_audit_status_contradictions.csv","git add -f ""tables/switching_full_integrity_clarity_audit_status_contradictions.csv""","Prior integrity audit deliverable","YES","SWITCHING_ONLY"
"46","reports/switching_full_integrity_clarity_audit.md","git add -f ""reports/switching_full_integrity_clarity_audit.md""","Prior integrity audit deliverable","YES","SWITCHING_ONLY"
"47","tables/switching_p0_tracking_archival_decision_audit.csv","git add -f ""tables/switching_p0_tracking_archival_decision_audit.csv""","P0 tracking audit machine-readable outputs","YES","SWITCHING_ONLY"
"48","tables/switching_p0_tracking_archival_decision_status.csv","git add -f ""tables/switching_p0_tracking_archival_decision_status.csv""","P0 tracking audit machine-readable outputs","YES","SWITCHING_ONLY"
"49","reports/switching_p0_tracking_archival_decision_audit.md","git add -f ""reports/switching_p0_tracking_archival_decision_audit.md""","P0 tracking audit narrative (this report)","YES","SWITCHING_ONLY"
"50","tables/switching_p0_force_add_plan.csv","git add -f ""tables/switching_p0_force_add_plan.csv""","P0 tracking audit machine-readable outputs","YES","SWITCHING_ONLY"
