PHASE,CLAIMED_FAILURE,SOURCE_AUDIT,CLASSIFICATION,IS_BLOCKING_NOW,WHY
3,canonical_call_graph.csv does not enumerate full transitive closure,phase_0_3_revalidation;system_master_plan,DEFINITION_MISMATCH,NO,"Phase 3 is system reality audit; docs acknowledge sampling inside legacy. Full enumeration is not the stated Phase 3 stop condition in patched model."
3,Cross-module law not operationally closed,infrastructure_laws;phase_0_3_revalidation,LATER_PHASE_ITEM,NO,"PART 7 states normative-but-not-operationally-closed until enforcement; evaluating Phase 3 as ""failed"" for this confuses Phase 3 with Phase 4.5+."
3,Scientific outputs not bit-deterministic across environments,phase_0_3_revalidation,DEFINITION_MISMATCH,NO,"Outside execution-trust deterministic scaffolding claim; scope mismatch unless Phase 3 was defined as bitwise reproducibility (it is not in master plan)."
4,Phase 4 marked DONE but execution trust partial (manifest identity; validator NOT_PASS),system_closure;execution_chain_audit,REAL_DEFECT,YES,"Within Phase 4 execution-trust sense, manifest linkage gap is a real remainder; patched model reinterpretation does not erase the manifest defect—only corrects scope expectations (isolation out of Phase 4)."
4,Phase 4 closure read as repo-wide / cross-module readiness,plan_realign;system_master,DOC_DRIFT,NO,"Addressed by system_master_plan Section 3/8; failure is interpretive/documentation—patch narrative, not re-run Phase 0–3."
4,Trust model incomplete (contamination; cross-module),system_closure,LATER_PHASE_ITEM,NO,"Explicitly Phase 4.5+ concerns per authoritative model; not a Phase 4 defect when Phase 4 is scoped to execution trust only."
4.5,CANONICAL_ISOLATION_VERIFIED=NO,canonical_switching_isolation,REAL_DEFECT,YES,"Phase 4.5 ACTIVE and unsatisfied: isolation alignment and false-safety elimination per system_master_plan Section 4."
4.5,Module registry not coextensive with canonical subsystem (Entry A skips assert),canonical_switching_isolation,REAL_DEFECT,YES,"Drives FALSE_SAFETY_RISK; belongs to Phase 4.5 closure work, not Phase 4."
4.5,FALSE_SAFETY_RISK: SUCCESS does not prove module gate ran,canonical_switching_isolation;isolation_feasibility,REAL_DEFECT,YES,"Status artifacts do not record gate; blocks isolation trust until remediated or scope narrowed in docs."
4.5,POLICY_IMPLEMENTABLE=NO (no authoritative modules_used mapping),isolation_feasibility,REAL_DEFECT,YES,"Cross-module policy cannot be mechanically guaranteed with caller-supplied lists only; Phase 4.5 / Phase 5 boundary: needs participation model + enforcement design."
4.5,REGISTRY_RELIABLE=NO (manual CSV; not on SSOT runner path),isolation_feasibility,REAL_DEFECT,YES,"Registry drift and path gap are real for isolation enforcement readiness; distinguish from ""Switching-only run works""."
4.5,ENFORCEMENT_COVERAGE_SUFFICIENT=NO,isolation_feasibility,REAL_DEFECT,YES,"Meets Phase 4.5 ""not satisfied""; bulk of analysis surface ungated."
4.5,CROSS_MODULE_PROTECTION_ACTIVE=YES vs opt-in assert,module_enforcement_status vs isolation_feasibility,DOC_DRIFT,YES,"False safety: status table overstates mechanical protection; fix table or implementation alignment—blocks trustworthy governance reads until reconciled."
4.5,Entry B writes execution_status under run_dir/tables/ vs run root Entry A,canonical_switching_isolation,REAL_DEFECT,NO,"Automation/consumer hazard; fix or document contract. Blocks uniform tooling unless addressed; secondary to narrative/manifest/isolation gates."
4.5,Repo consolidation plan lacks module_canonical_status participation gate,plan_realign,DOC_DRIFT,NO,"Plan narrative gap; FORMALIZATION_BLOCKED_PENDING_PLAN_PATCH—documentation/plan patch, not a MATLAB runtime crash."
META,FORMALIZATION_BLOCKED_PENDING_PLAN_PATCH,plan_realign,DOC_DRIFT,NO,"Consequence of 4.5 + plan gaps; blocks declaring Phase 5 complete system-wide—not a blocker to starting bounded recovery tasks in agreed order."
META,SYSTEM_CLOSED=NO; SAFE_TO_ENTER_PHASE_5=NO,system_closure;system_master,LATER_PHASE_ITEM,NO,"Expected while Phase 4.5 ACTIVE; verdict is consistent with patched model, not an extra failure class."
