artifact_role,artifact_path,namespace_id,evidence_status,allowed_use,forbidden_use,producer_or_source,current_status,notes
namespace_blocked_marker,tables/switching_corrected_old_namespace_blocked_marker.csv,CORRECTED_CANONICAL_OLD_ANALYSIS,AUTHORITATIVE_METADATA,"Fast read: authoritative artifacts exist; build not blocked for recorded package","Ignoring contamination rules in same file context",manual update tied to builder,AVAILABLE,Updated post-authoritative; see supersession report for stale-file confusion.
TASK_001_finite_grid_audit_status,tables/switching_corrected_old_finite_grid_interpolation_status.csv,DIAGNOSTIC_FORENSIC / AUDIT_ONLY,AUTHORITATIVE_AUDIT_RECORD,"Explaining finite support fraction and grid semantics","Treating audit as disproving backbone maps",TASK_001 read-only audit,COMPLETE,
TASK_001_finite_grid_support_by_T,tables/switching_corrected_old_finite_grid_support_by_T.csv,DIAGNOSTIC_FORENSIC / AUDIT_ONLY,AUTHORITATIVE_AUDIT_RECORD,Per-T support diagnostics for corrected-old grid,,TASK_001 audit,COMPLETE,
TASK_001_finite_grid_current_bin_audit,tables/switching_corrected_old_finite_grid_current_bin_audit.csv,DIAGNOSTIC_FORENSIC / AUDIT_ONLY,AUTHORITATIVE_AUDIT_RECORD,50 mA exclusion and bin intersection,,TASK_001 audit,COMPLETE,
TASK_001_finite_grid_x_support_audit,tables/switching_corrected_old_finite_grid_x_support_audit.csv,DIAGNOSTIC_FORENSIC / AUDIT_ONLY,AUTHORITATIVE_AUDIT_RECORD,x-grid hull diagnostics,,TASK_001 audit,COMPLETE,
TASK_001_finite_grid_downstream_risk,tables/switching_corrected_old_finite_grid_downstream_risk.csv,DIAGNOSTIC_FORENSIC / AUDIT_ONLY,AUTHORITATIVE_AUDIT_RECORD,Risk classification from audit,,TASK_001 audit,COMPLETE,
TASK_001_finite_grid_recommended_actions,tables/switching_corrected_old_finite_grid_recommended_actions.csv,DIAGNOSTIC_FORENSIC / AUDIT_ONLY,AUTHORITATIVE_AUDIT_RECORD,Recommended documentation-only follow-ups,,TASK_001 audit,COMPLETE,
TASK_002A_quality_metrics_closure_status,tables/switching_corrected_old_quality_metrics_closure_status.csv,TASK_002A_quality_metrics_closure / CORRECTED_CANONICAL_OLD_ANALYSIS,AUTHORITATIVE_PROCESS_RECORD,"Gate record for quality closure without recomputing maps",,closure driver scripts,COMPLETE,Explicit PROGRAM_TASK_ID_NOTE documents legacy TASK_002 collision; use TASK_002A vocabulary.
TASK_002A_quality_metrics_by_T,tables/switching_corrected_old_quality_metrics_by_T.csv,TASK_002A_quality_metrics_closure,AUTHORITATIVE_AUXILIARY,"Per-T metric breakdown supporting interpretation","Primary manuscript claims without namespace",derived from authoritative tables only,COMPLETE,
TASK_002A_visual_QA_manifest,tables/switching_corrected_old_quality_metrics_visual_QA_manifest.csv,TASK_002A_quality_metrics_closure,AUTHORITATIVE_PROCESS_RECORD,QA figure manifest for diagnostic PNG set,,QA driver,COMPLETE,
TASK_002A_visual_QA_refined_manifest,tables/switching_corrected_old_quality_metrics_visual_QA_refined_manifest.csv,TASK_002A_visual_QA_refinement,PARTIAL_OR_COMPLETE,"Refined QA manifest when refinement script run",,Switching/diagnostics/run_switching_corrected_old_task002_visual_QA_refinement.m,READY_PENDING_USER_RUN,Non-publication diagnostic figures.
TASK_002A_visual_QA_refined_status,tables/switching_corrected_old_quality_metrics_visual_QA_refined_status.csv,TASK_002A_visual_QA_refinement,PARTIAL_OR_COMPLETE,Status rows for refined QA,,same,READY_PENDING_USER_RUN,
TASK_002A_diagnostic_QA_figures_dir,figures/switching/diagnostics/corrected_old_task002_quality_QA/,TASK_002A_quality_metrics_closure,DIAGNOSTIC_QA_FIGURES,"Visual QA from authoritative CSVs only","Publication figure authorization",Switching/diagnostics run_switching_corrected_old_task002_quality_QA_and_closure.m,AVAILABLE,
TASK_002A_diagnostic_QA_figures_refined_dir,figures/switching/diagnostics/corrected_old_task002_quality_QA_refined/,TASK_002A_visual_QA_refinement,DIAGNOSTIC_QA_FIGURES,"Refined PNGs with NaN/support mask emphasis","Publication without publication gate",run_switching_corrected_old_task002_visual_QA_refinement.m,PENDING_IF_NOT_RUN,Safe inputs: source view + authoritative tables per script header.
missing_corrected_old_Phi2_kappa2_authoritative,N/A,CORRECTED_CANONICAL_OLD_ANALYSIS,NOT_RECONSTRUCTED,"Future gated reconstruction only","Presenting PHI2_KAPPA2_HYBRID or CANON_GEN diagnostics as authoritative Phi2/kappa2",n/a,MISSING,See reconstruction program and mode-claim boundary tables.
missing_backbone_parity_bridge_output,TASK_002B_backbone_parity_bridge (program),CORRECTED_CANONICAL_OLD_ANALYSIS / COMPARISON,NOT_COMPLETED,"Future comparison table with explicit namespace labels when bridge task executes","Legacy backbone values promoted without replay namespace",planned reconstruction task,NOT_DONE,TASK_002B maps historical program TASK_002 parity bridge row in switching_missing_reconstruction_tasks.csv.
publication_figures_gate,SAFE_TO_CREATE_PUBLICATION_FIGURES,PUBLICATION_POLICY,PARTIAL,"No publication regeneration until TASK_009/TASK_012 gates","Treating QA PNGs as publication-ready",reconstruction program,NOT_AUTHORIZED_YET,Authoritative science tables exist; publication authorization remains partial.
authoritative_builder_powershell_wrapper,scripts/run_switching_corrected_old_authoritative_builder.ps1,CORRECTED_CANONICAL_OLD_ANALYSIS,PRODUCER_INVOCATION_METADATA,"Documented entry to gated builder when run with authorization — outputs are the authoritative CSV rows above","Treating script existence as proof outputs without switching_corrected_old_authoritative_builder_status.csv",authorized PS1 wrapper,AVAILABLE,Not manuscript evidence by itself; gate record + artifact CSVs are evidence.
mixed_canonical_S_long_per_run,results/switching/runs/<CANONICAL_RUN_ID>/tables/switching_canonical_S_long.csv,CANON_GEN_SOURCE+EXPERIMENTAL_PTCDF_DIAGNOSTIC+DIAGNOSTIC_MODE_ANALYSIS,INDEX_ONLY_MIXED_FILE,"Column-selective reads per reports/switching_canonical_S_long_column_namespace.md; prefer switching_canonical_source_view.csv for clean S","Using file as undifferentiated backbone bundle for CORRECTED_CANONICAL_OLD_ANALYSIS",run_switching_canonical.m per run,AVAILABLE,Authoritative index lists roles not this blob as corrected-old proof; PARTIAL gap closed by explicit classification row.
governance_cross_ref_broad_sweep,reports/switching_broad_artifact_ambiguity_sweep.md,GOVERNANCE,AUDIT_METADATA,"Explains sweep methodology and residual optional follow-ups","Primary manuscript claims",read-only audit 2026-04-29,AVAILABLE,Supplements current_state; not scientific data.
