action_id,current_path,proposed_target_path,classification,reason,risk_level,references_found,requires_code_update,requires_lineage_check,safe_to_move_now,notes
RFP-012,artifact_cleanup_list.md,reports/maintenance/artifact_cleanup_list.md,MOVE_TO_REPORTS_CANDIDATE,Report/status markdown is stored at root instead of reports/.,MEDIUM,NO,NO,YES,NO,
RFP-013,blocking_test_once.log,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",MEDIUM,NO,NO,NO,NO,Do not delete from this audit; confirm local-tooling impact first.
RFP-014,canonical,docs/canonical,MOVE_TO_DOCS_CANDIDATE,Documentation/status content is stored at root instead of docs/.,HIGH,DIRECTORY_NOT_SCANNED,POSSIBLY,YES,NO,First-level directory only; audit did not rewrite internal paths.
RFP-015,canonical_state_freeze.csv,tables/maintenance/canonical_state_freeze.csv,MOVE_TO_TABLES_CANDIDATE,Tabular artifact is stored at root instead of tables/.,MEDIUM,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-016,canonical_state_freeze.md,reports/maintenance/canonical_state_freeze.md,MOVE_TO_REPORTS_CANDIDATE,Report/status markdown is stored at root instead of reports/.,MEDIUM,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-017,canonical_state_freeze_status.csv,tables/maintenance/canonical_state_freeze_status.csv,MOVE_TO_TABLES_CANDIDATE,Tabular artifact is stored at root instead of tables/.,MEDIUM,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-018,cleanup_execution.md,reports/maintenance/cleanup_execution.md,MOVE_TO_REPORTS_CANDIDATE,Report/status markdown is stored at root instead of reports/.,MEDIUM,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-019,CLEANUP_EXECUTION_FINAL_VERIFICATION.md,reports/maintenance/CLEANUP_EXECUTION_FINAL_VERIFICATION.md,MOVE_TO_REPORTS_CANDIDATE,Report/status markdown is stored at root instead of reports/.,MEDIUM,NO,NO,YES,NO,
RFP-020,cleanup_execution_log.csv,tables/maintenance/cleanup_execution_log.csv,MOVE_TO_TABLES_CANDIDATE,Tabular artifact is stored at root instead of tables/.,MEDIUM,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-021,cleanup_execution_status.csv,tables/maintenance/cleanup_execution_status.csv,MOVE_TO_TABLES_CANDIDATE,Tabular artifact is stored at root instead of tables/.,MEDIUM,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-022,cleanup_log.csv,tables/maintenance/cleanup_log.csv,MOVE_TO_TABLES_CANDIDATE,Tabular artifact is stored at root instead of tables/.,MEDIUM,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-023,copy_contour_between_open_figures.m,_legacy/root_declutter/copy_contour_between_open_figures.m,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-024,diag_probe_once.log,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",MEDIUM,NO,NO,NO,YES,Do not delete from this audit; confirm local-tooling impact first. Zero exact-filename references found in scanned text files.
RFP-025,DRIFT_CHECK_FINAL_VERIFICATION.txt,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",MEDIUM,NO,NO,NO,NO,Do not delete from this audit; confirm local-tooling impact first.
RFP-026,DRIFT_CHECK_IMPLEMENTATION_COMPLETE.md,reports/maintenance/DRIFT_CHECK_IMPLEMENTATION_COMPLETE.md,MOVE_TO_REPORTS_CANDIDATE,Report/status markdown is stored at root instead of reports/.,MEDIUM,NO,NO,YES,NO,
RFP-027,execute_artifact_cleanup.ps1,tools/maintenance/execute_artifact_cleanup.ps1,MOVE_TO_TOOLS_CANDIDATE,Maintenance/helper script or local config is mixed into root.,HIGH,YES,YES,NO,NO,Exact filename references were found; path updates would be required.
RFP-028,execution_probe_bottom.txt,results/repository_audit/execution_probe_bottom.txt,MOVE_TO_RESULTS_CANDIDATE,Generated result/log/review artifact is stored at root instead of results/.,MEDIUM,YES,YES,NO,NO,Exact filename references were found; path updates would be required.
RFP-029,execution_probe_top.txt,results/repository_audit/execution_probe_top.txt,MOVE_TO_RESULTS_CANDIDATE,Generated result/log/review artifact is stored at root instead of results/.,MEDIUM,YES,YES,NO,NO,Exact filename references were found; path updates would be required.
RFP-030,EXECUTION_READINESS.md,reports/maintenance/EXECUTION_READINESS.md,MOVE_TO_REPORTS_CANDIDATE,Report/status markdown is stored at root instead of reports/.,MEDIUM,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-031,execution_status.csv,tables/maintenance/execution_status.csv,MOVE_TO_TABLES_CANDIDATE,Tabular artifact is stored at root instead of tables/.,MEDIUM,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-032,final_wrapper_output.log,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",MEDIUM,NO,NO,NO,YES,Do not delete from this audit; confirm local-tooling impact first. Zero exact-filename references found in scanned text files.
RFP-033,GenerateREADME.m,tools/maintenance/GenerateREADME.m,MOVE_TO_TOOLS_CANDIDATE,Maintenance/helper script or local config is mixed into root.,MEDIUM,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-034,INTEGRATION_COMPLETE.md,reports/maintenance/INTEGRATION_COMPLETE.md,MOVE_TO_REPORTS_CANDIDATE,Report/status markdown is stored at root instead of reports/.,MEDIUM,NO,NO,YES,NO,
RFP-035,junk,_legacy/root_declutter/junk,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,DIRECTORY_NOT_SCANNED,POSSIBLY,YES,NO,First-level directory only; audit did not rewrite internal paths.
RFP-036,kappa_physical_interpretation.md,reports/maintenance/kappa_physical_interpretation.md,MOVE_TO_REPORTS_CANDIDATE,Report/status markdown is stored at root instead of reports/.,MEDIUM,NO,NO,YES,NO,
RFP-037,kappa1_proj_v2_run.log,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",MEDIUM,NO,NO,NO,NO,Do not delete from this audit; confirm local-tooling impact first.
RFP-038,kappa2_audit_status.txt,results/repository_audit/kappa2_audit_status.txt,MOVE_TO_RESULTS_CANDIDATE,Generated result/log/review artifact is stored at root instead of results/.,MEDIUM,YES,YES,NO,NO,Exact filename references were found; path updates would be required.
RFP-039,kappa2_build_error.log,results/repository_audit/kappa2_build_error.log,MOVE_TO_RESULTS_CANDIDATE,Generated result/log/review artifact is stored at root instead of results/.,MEDIUM,YES,YES,NO,NO,Exact filename references were found; path updates would be required.
RFP-040,kappa2_build_status.txt,results/repository_audit/kappa2_build_status.txt,MOVE_TO_RESULTS_CANDIDATE,Generated result/log/review artifact is stored at root instead of results/.,MEDIUM,YES,YES,NO,NO,Exact filename references were found; path updates would be required.
RFP-041,kappa2_phen_audit_inputs_status.txt,results/repository_audit/kappa2_phen_audit_inputs_status.txt,MOVE_TO_RESULTS_CANDIDATE,Generated result/log/review artifact is stored at root instead of results/.,MEDIUM,YES,YES,NO,NO,Exact filename references were found; path updates would be required.
RFP-042,kappa2_phen_inputs.mat,results/repository_audit/kappa2_phen_inputs.mat,MOVE_TO_RESULTS_CANDIDATE,Generated result/log/review artifact is stored at root instead of results/.,MEDIUM,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-043,local,tools/maintenance/local,MOVE_TO_TOOLS_CANDIDATE,Maintenance/helper script or local config is mixed into root.,HIGH,DIRECTORY_NOT_SCANNED,POSSIBLY,YES,NO,First-level directory only; audit did not rewrite internal paths.
RFP-044,logs,results/repository_audit/logs,MOVE_TO_RESULTS_CANDIDATE,Generated result/log/review artifact is stored at root instead of results/.,MEDIUM,DIRECTORY_NOT_SCANNED,POSSIBLY,YES,NO,First-level directory only; audit did not rewrite internal paths.
RFP-045,MathWorks,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",MEDIUM,DIRECTORY_NOT_SCANNED,POSSIBLY,YES,NO,First-level directory only; audit did not rewrite internal paths. Do not delete from this audit; confirm local-tooling impact first.
RFP-046,MATLAB_ANALYSIS_SESSION_SUMMARY.md,reports/maintenance/MATLAB_ANALYSIS_SESSION_SUMMARY.md,MOVE_TO_REPORTS_CANDIDATE,Report/status markdown is stored at root instead of reports/.,MEDIUM,NO,NO,YES,NO,
RFP-047,matlab_internal_error_once.log,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",MEDIUM,NO,NO,NO,NO,Do not delete from this audit; confirm local-tooling impact first.
RFP-048,matlab_prefs_agent,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",MEDIUM,DIRECTORY_NOT_SCANNED,POSSIBLY,YES,NO,First-level directory only; audit did not rewrite internal paths. Do not delete from this audit; confirm local-tooling impact first.
RFP-049,matlab_tasklist.txt,results/repository_audit/matlab_tasklist.txt,MOVE_TO_RESULTS_CANDIDATE,Generated result/log/review artifact is stored at root instead of results/.,MEDIUM,YES,YES,NO,NO,Exact filename references were found; path updates would be required.
RFP-050,phi_avalanche_mode_test.md,reports/maintenance/phi_avalanche_mode_test.md,MOVE_TO_REPORTS_CANDIDATE,Report/status markdown is stored at root instead of reports/.,MEDIUM,NO,NO,YES,NO,
RFP-051,phi_memory_mode_test.md,reports/maintenance/phi_memory_mode_test.md,MOVE_TO_REPORTS_CANDIDATE,Report/status markdown is stored at root instead of reports/.,MEDIUM,NO,NO,YES,NO,
RFP-052,probe_full_output.log,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",MEDIUM,NO,NO,NO,YES,Do not delete from this audit; confirm local-tooling impact first. Zero exact-filename references found in scanned text files.
RFP-053,probe_outputs,results/repository_audit/probe_outputs,MOVE_TO_RESULTS_CANDIDATE,Generated result/log/review artifact is stored at root instead of results/.,MEDIUM,DIRECTORY_NOT_SCANNED,POSSIBLY,YES,NO,First-level directory only; audit did not rewrite internal paths.
RFP-054,probe_wrapper_log.txt,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",MEDIUM,NO,NO,NO,YES,Do not delete from this audit; confirm local-tooling impact first. Zero exact-filename references found in scanned text files.
RFP-055,probe_wrapper_log2.txt,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",MEDIUM,NO,NO,NO,YES,Do not delete from this audit; confirm local-tooling impact first. Zero exact-filename references found in scanned text files.
RFP-056,RELAXATION_CANONICAL_AUDIT_READINESS.md,reports/maintenance/RELAXATION_CANONICAL_AUDIT_READINESS.md,MOVE_TO_REPORTS_CANDIDATE,Report/status markdown is stored at root instead of reports/.,MEDIUM,NO,NO,YES,NO,
RFP-057,repo_state_generator.m,tools/maintenance/repo_state_generator.m,MOVE_TO_TOOLS_CANDIDATE,Maintenance/helper script or local config is mixed into root.,MEDIUM,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-058,repo_state_validator.m,tools/maintenance/repo_state_validator.m,MOVE_TO_TOOLS_CANDIDATE,Maintenance/helper script or local config is mixed into root.,MEDIUM,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-059,results_old,_legacy/root_declutter/results_old,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,DIRECTORY_NOT_SCANNED,POSSIBLY,YES,NO,First-level directory only; audit did not rewrite internal paths.
RFP-060,review,results/repository_audit/review,MOVE_TO_RESULTS_CANDIDATE,Generated result/log/review artifact is stored at root instead of results/.,MEDIUM,DIRECTORY_NOT_SCANNED,POSSIBLY,YES,NO,First-level directory only; audit did not rewrite internal paths.
RFP-061,run_a1_integral_consistency_wrapper.m,_legacy/root_declutter/run_a1_integral_consistency_wrapper.m,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-062,run_a1_mobility_wrapper.m,_legacy/root_declutter/run_a1_mobility_wrapper.m,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-063,run_activation_signature_wrapper.m,_legacy/root_declutter/run_activation_signature_wrapper.m,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-064,run_aging_clock_ratio_temperature_scaling_wrapper.m,_legacy/root_declutter/run_aging_clock_ratio_temperature_scaling_wrapper.m,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-065,run_aging_execution_diagnostics.m,Aging/diagnostics/run_aging_execution_diagnostics.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-066,run_aging_extraction_method_survey.m,Aging/diagnostics/run_aging_extraction_method_survey.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,NO,POSSIBLY,YES,NO,"No exact filename references found, but MATLAB bare-name invocation remains possible."
RFP-067,run_aging_extrema_localmean_validation.m,Aging/diagnostics/run_aging_extrema_localmean_validation.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,NO,POSSIBLY,YES,NO,"No exact filename references found, but MATLAB bare-name invocation remains possible."
RFP-068,run_aging_F3b_FM_signed_short_tw_rescue.m,Aging/diagnostics/run_aging_F3b_FM_signed_short_tw_rescue.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,NO,POSSIBLY,YES,NO,"No exact filename references found, but MATLAB bare-name invocation remains possible."
RFP-069,run_aging_F4B_FM_physical_tau_replay.m,Aging/diagnostics/run_aging_F4B_FM_physical_tau_replay.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-070,run_aging_F5_AFM_FM_tau_readiness_audit.m,Aging/diagnostics/run_aging_F5_AFM_FM_tau_readiness_audit.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,NO,POSSIBLY,YES,NO,"No exact filename references found, but MATLAB bare-name invocation remains possible."
RFP-071,run_aging_F6_AFM_FM_tau_comparison.m,Aging/diagnostics/run_aging_F6_AFM_FM_tau_comparison.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,NO,POSSIBLY,YES,NO,"No exact filename references found, but MATLAB bare-name invocation remains possible."
RFP-072,run_aging_F6b_old_canonical_tau_ratio_bridge_audit.m,Aging/diagnostics/run_aging_F6b_old_canonical_tau_ratio_bridge_audit.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,NO,POSSIBLY,YES,NO,"No exact filename references found, but MATLAB bare-name invocation remains possible."
RFP-073,run_aging_F6c_old_time_ratio_forensic_discovery.m,Aging/diagnostics/run_aging_F6c_old_time_ratio_forensic_discovery.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,NO,POSSIBLY,YES,NO,"No exact filename references found, but MATLAB bare-name invocation remains possible."
RFP-074,run_aging_F6d_clock_ratio_output_recovery.m,[delete_candidate_blocked],DELETE_CANDIDATE_BLOCKED,"Looks disposable, but deletion is blocked pending lineage/tooling review.",HIGH,NO,POSSIBLY,YES,NO,"No exact filename references found, but MATLAB bare-name invocation remains possible. Do not delete from this audit; confirm local-tooling impact first."
RFP-075,run_aging_F6e_clock_ratio_safe_replay.m,Aging/diagnostics/run_aging_F6e_clock_ratio_safe_replay.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,NO,POSSIBLY,YES,NO,"No exact filename references found, but MATLAB bare-name invocation remains possible."
RFP-076,run_aging_F6H_prefit_tau_shape_mismatch_audit.m,Aging/diagnostics/run_aging_F6H_prefit_tau_shape_mismatch_audit.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,NO,POSSIBLY,YES,NO,"No exact filename references found, but MATLAB bare-name invocation remains possible."
RFP-077,run_aging_F6I_controlled_tau_definition_test.m,Aging/diagnostics/run_aging_F6I_controlled_tau_definition_test.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,NO,POSSIBLY,YES,NO,"No exact filename references found, but MATLAB bare-name invocation remains possible."
RFP-078,run_aging_F6J_replay_legacy_observables_on_current_pipeline.m,Aging/diagnostics/run_aging_F6J_replay_legacy_observables_on_current_pipeline.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-079,run_aging_F6K_dip_replay_gap_root_cause_audit.m,Aging/diagnostics/run_aging_F6K_dip_replay_gap_root_cause_audit.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,NO,POSSIBLY,YES,NO,"No exact filename references found, but MATLAB bare-name invocation remains possible."
RFP-080,run_aging_F6L_archived_lineage_parity_replay_repair.m,Aging/diagnostics/run_aging_F6L_archived_lineage_parity_replay_repair.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,NO,POSSIBLY,YES,NO,"No exact filename references found, but MATLAB bare-name invocation remains possible."
RFP-081,run_aging_F6L2_30K_tau_nan_gate_audit.m,Aging/diagnostics/run_aging_F6L2_30K_tau_nan_gate_audit.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,NO,POSSIBLY,YES,NO,"No exact filename references found, but MATLAB bare-name invocation remains possible."
RFP-082,run_aging_F6M_archived_current_source_selection_bridge.m,Aging/diagnostics/run_aging_F6M_archived_current_source_selection_bridge.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,NO,POSSIBLY,YES,NO,"No exact filename references found, but MATLAB bare-name invocation remains possible."
RFP-083,run_aging_F6N_direct_archived_source_compatibility_check.m,Aging/diagnostics/run_aging_F6N_direct_archived_source_compatibility_check.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,NO,POSSIBLY,YES,NO,"No exact filename references found, but MATLAB bare-name invocation remains possible."
RFP-084,run_aging_measurement_definition_audit.m,Aging/diagnostics/run_aging_measurement_definition_audit.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-085,run_aging_trace_structure_minimal.m,Aging/diagnostics/run_aging_trace_structure_minimal.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-086,run_amplitude_response_wrapper.m,_legacy/root_declutter/run_amplitude_response_wrapper.m,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-087,run_barrier_distribution_wrapper.m,_legacy/root_declutter/run_barrier_distribution_wrapper.m,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-088,run_cleanup.ps1,tools/maintenance/run_cleanup.ps1,MOVE_TO_TOOLS_CANDIDATE,Maintenance/helper script or local config is mixed into root.,HIGH,YES,YES,NO,NO,Exact filename references were found; path updates would be required.
RFP-089,run_creep_activation_scaling_wrapper.m,_legacy/root_declutter/run_creep_activation_scaling_wrapper.m,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-090,run_dir_pointer.txt,results/repository_audit/run_dir_pointer.txt,MOVE_TO_RESULTS_CANDIDATE,Generated result/log/review artifact is stored at root instead of results/.,MEDIUM,YES,YES,NO,NO,Exact filename references were found; path updates would be required.
RFP-091,run_geometry_deformation_wrapper.m,_legacy/root_declutter/run_geometry_deformation_wrapper.m,LEGACY_QUARANTINE_CANDIDATE,Historical or duplicate content should be isolated before any broader cleanup.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-092,run_kappa1_pt_vs_speak_test.m,Switching/analysis/run_kappa1_pt_vs_speak_test.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-093,run_kappa2_robust_audit.m,Switching/analysis/run_kappa2_robust_audit.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-094,run_minimal_canonical.m,[review_needed],UNKNOWN_NEEDS_REVIEW,Ownership and destination are unclear.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-095,run_parameter_robustness_stage1_canonical.m,runs/run_parameter_robustness_stage1_canonical.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-096,run_parameter_robustness_stage1b_width_kappa.m,Switching/analysis/run_parameter_robustness_stage1b_width_kappa.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-097,run_phase8_1_pilot_batched.m,runs/run_phase8_1_pilot_batched.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-098,run_phase8_2_batched.m,runs/run_phase8_2_batched.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-099,run_phase8_3_task_formalization.m,runs/run_phase8_3_task_formalization.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-100,run_phase8_4_external_task_spec.m,runs/run_phase8_4_external_task_spec.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-101,run_phase8_5_task_selection.m,runs/run_phase8_5_task_selection.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-102,run_phase8_6_external_selection.m,runs/run_phase8_6_external_selection.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-103,run_relaxation_canonical_implementation_check.m,Relaxation ver3/diagnostics/run_relaxation_canonical_implementation_check.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
RFP-104,run_relaxation_canonical_implementation_check_dirty_backup.m,Relaxation ver3/diagnostics/run_relaxation_canonical_implementation_check_dirty_backup.m,MOVE_TO_MODULE_CANDIDATE,Experiment-specific MATLAB script is stored at root instead of module/runs area.,HIGH,YES,YES,YES,NO,Exact filename references were found; path updates would be required.
