"file_path","classification","reason"
"./AC HC MagLab ver8/PlotsACHC.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging old/pipeline/stage8_globalJfit_shiftGating.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/alignDeltaM_y.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/analysis/aging_clock_ratio_analysis.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/analysis/aging_clock_ratio_lower_support_audit.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./Aging/analysis/aging_clock_ratio_temperature_scaling.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/analysis/aging_clock_ratio_temperature_support_audit.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./Aging/analysis/aging_component_clock_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./Aging/analysis/aging_fm_timescale_analysis.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/analysis/aging_fm_using_dip_clock.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/analysis/aging_geometry_visualization.m","UNKNOWN","Insufficient explicit canonical or helper signal from path/name alone"
"./Aging/analysis/aging_log_time_scaling_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./Aging/analysis/aging_observable_identification_audit.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./Aging/analysis/aging_observable_mode_correlation.m","UNKNOWN","Insufficient explicit canonical or helper signal from path/name alone"
"./Aging/analysis/aging_shape_collapse_analysis.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/analysis/aging_structured_results_export.m","UNKNOWN","Insufficient explicit canonical or helper signal from path/name alone"
"./Aging/analysis/aging_structured_results_export_tp12.m","UNKNOWN","Insufficient explicit canonical or helper signal from path/name alone"
"./Aging/analysis/aging_structured_results_export_tp27.m","UNKNOWN","Insufficient explicit canonical or helper signal from path/name alone"
"./Aging/analysis/aging_structured_results_export_tp30.m","UNKNOWN","Insufficient explicit canonical or helper signal from path/name alone"
"./Aging/analysis/aging_time_rescaling_collapse.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/analysis/aging_timescale_extraction.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/analysis/aging_tri_clock_consistency_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./Aging/analysis/aging_tri_cross_temperature_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./Aging/analysis/aging_tri_scaling_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./Aging/analysis/debugAgingStage4.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./Aging/analysis/estimateRobustBaseline.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/analysis/estimateRobustBaseline_canonical.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/analysis/plotDecompositionExamples.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/analysis/quickSanityCheck.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./Aging/analysis/runRobustnessCheck.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/analyzeAgingMemory.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/colorMarkersByTp_activeFigure.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/computeDeltaM.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/convertToMuBperCo.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/diagnostics/auditDecompositionStability.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/diagnostics/diagnose_baseline_subtracted_FM.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/diagnostics/diagnose_decomposition_audit_waittimes.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/diagnostics/diagnose_decomposition_audit_waittimes_clean.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/diagnostics/diagnose_deltaM_shifted_byTp_waittimes.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/diagnostics/diagnose_deltaM_svd_pca.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/diagnostics/diagnose_fit_vs_derivative_audit.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/diagnostics/diagnose_FM_construction_audit.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/diagnostics/diagnose_FM_sign_stability.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/diagnostics/diagnose_highT_basis_comparison.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/diagnostics/diagnose_linear_combo_switching.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/diagnostics/diagnose_mode1_separability.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/diagnostics/diagnose_shifted_basis_fit.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/diagnostics/diagnose_switching_regime_features.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/diagnostics/diagnose_waittime_to_current_mapping.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/diagnostics/tri_collapse_diagnostics.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/docs/canonical_clock_config_template.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/filterAgingMemory.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/fitAFM_FM_MeanField_and_DipGaussian.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/fitAFM_FM_MeanField_and_DipLorentzian.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/getFileList_aging.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/importFiles_aging.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/Main_Aging.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/models/analyzeAFM_FM_components.m","UTILITY","Helper/utility directory (non-entrypoint support code)"
"./Aging/models/analyzeAFM_FM_derivative.m","UTILITY","Helper/utility directory (non-entrypoint support code)"
"./Aging/models/fitFMstep_plus_GaussianDip.m","UTILITY","Helper/utility directory (non-entrypoint support code)"
"./Aging/models/reconstructSwitchingAmplitude.m","UTILITY","Helper/utility directory (non-entrypoint support code)"
"./Aging/parseAgingFilename.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/pipeline/agingConfig.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/pipeline/runPhaseC_leaveOneOut.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/pipeline/stage0_setupPaths.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/pipeline/stage1_loadData.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/pipeline/stage2_preprocess.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/pipeline/stage3_computeDeltaM.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/pipeline/stage4_analyzeAFM_FM.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/pipeline/stage5_fitFMGaussian.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/pipeline/stage6_extractMetrics.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/pipeline/stage7_reconstructSwitching.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/pipeline/stage8_globalJfit_shiftGating.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/pipeline/stage8_plotting.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/pipeline/stage9_export.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/pipeline/stageC2_sweepDipWindow.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/plotAgingMemory.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./Aging/plots/plotAFM_FM_decomposition.m","UTILITY","Helper/utility directory (non-entrypoint support code)"
"./Aging/plots/plotAFM_FM_robustnessCheck.m","UTILITY","Helper/utility directory (non-entrypoint support code)"
"./Aging/plots/plotAFM_FM_summary.m","UTILITY","Helper/utility directory (non-entrypoint support code)"
"./Aging/plots/plotAgingMemory.m","UTILITY","Helper/utility directory (non-entrypoint support code)"
"./Aging/plots/plotAgingMemory_AFM_vs_FM.m","UTILITY","Helper/utility directory (non-entrypoint support code)"
"./Aging/test_debug_infrastructure.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./Aging/test_verification.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./Aging/tests/pipeline_smoke_test.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/tests/prl_validation_Jmodel.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/tests/switching_stability/diagnostic.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/tests/switching_stability/legacy_root/simple_test.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/tests/switching_stability/legacy_root/test_tp_exclusion_simple.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/tests/switching_stability/minimal_diary_test.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/tests/switching_stability/minimal_verify.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/tests/switching_stability/run_diagnostic_wrapped.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/tests/switching_stability/test_stage7_robustness.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/tests/switching_stability/test_stage8_import.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/tests/switching_stability/verify_tp_exclusion_patch.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/tests/test_canonical_two_time_layer.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/tests/testDipBaselinePR.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/tests/verify_stage4_refactor.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/utils/build_p0_from_data.m","UTILITY","Helper/utility directory (non-entrypoint support code)"
"./Aging/utils/construct_canonical_clock.m","UTILITY","Helper/utility directory (non-entrypoint support code)"
"./Aging/utils/cost_step_gauss.m","UTILITY","Helper/utility directory (non-entrypoint support code)"
"./Aging/utils/createRunContext.m","UTILITY","Helper/utility directory (non-entrypoint support code)"
"./Aging/utils/dbg.m","UTILITY","Helper/utility directory (non-entrypoint support code)"
"./Aging/utils/dbgExtractPhysicsContext.m","UTILITY","Helper/utility directory (non-entrypoint support code)"
"./Aging/utils/dbgFigure.m","UTILITY","Helper/utility directory (non-entrypoint support code)"
"./Aging/utils/dbgInitDiagnostics.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./Aging/utils/dbgSaveFig.m","UTILITY","Helper/utility directory (non-entrypoint support code)"
"./Aging/utils/dbgSummaryPhysics.m","UTILITY","Helper/utility directory (non-entrypoint support code)"
"./Aging/utils/dbgSummaryTable.m","UTILITY","Helper/utility directory (non-entrypoint support code)"
"./Aging/utils/debugAgingDiagnostics.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./Aging/utils/debugPlotGeometry.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./Aging/utils/debugPlotSwitchingReconstruction.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./Aging/utils/estimateRobustBaseline.m","UTILITY","Helper/utility directory (non-entrypoint support code)"
"./Aging/utils/getPauseRuns.m","UTILITY","Helper/utility directory (non-entrypoint support code)"
"./Aging/utils/getResultsDir.m","UTILITY","Helper/utility directory (non-entrypoint support code)"
"./Aging/utils/getValidSwitchTp.m","UTILITY","Helper/utility directory (non-entrypoint support code)"
"./Aging/utils/safeCorr.m","UTILITY","Helper/utility directory (non-entrypoint support code)"
"./Aging/utils/setDefault.m","UTILITY","Helper/utility directory (non-entrypoint support code)"
"./Aging/verification/verifyOnRealData.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/verification/verifyRobustBaseline_RealData.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/verification/verifyRobustBaseline_RealData_Main.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/verification/verifyRobustBaseline_Simple.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./Aging/verification/verifyRobustBaseline_WithLogging.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./analysis/_agent24a_exec.m","UNKNOWN","Insufficient explicit canonical or helper signal from path/name alone"
"./analysis/activation_coordinate_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/aging_dip_switching_shape_link.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/aging_fm_switching_sector_link.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/aging_switching_clock_bridge.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/aging_timescale_bridge.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/ax_functional_relation_analysis.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/ax_scaling_temperature_robustness.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/barrier_landscape_interpretation_review.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/barrier_landscape_reconstruction.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/barrier_observable_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/common_dynamical_subspace_analysis.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/creep_activation_scaling.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/cross_experiment_observables.m","UNKNOWN","Insufficient explicit canonical or helper signal from path/name alone"
"./analysis/effective_observables_catalog_run.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/export_deformation_closure_figs.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/finalize_relaxation_aging_run.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/get_canonical_X.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/helpers/resolve_R_variable.m","UTILITY","Helper/utility directory (non-entrypoint support code)"
"./analysis/knowledge/load_run_evidence.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/motion_activity_comparison.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/observable_basis_sufficiency_robustness_audit.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/observable_basis_sufficiency_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/observable_catalog_completion.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/observable_naming_update.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/observable_physics_completeness_audit.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/observable_physics_reduction.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/phase_diagram_synthesis.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/query/list_all_runs.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/query/query_system.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/query/start_query.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/R_X_reconciliation_analysis.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/relaxation_aging_canonical_comparison.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/relaxation_switching_bridge_visualization.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/relaxation_switching_knee_comparison.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/relaxation_switching_motion_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/relaxation_tau_time_window_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/relaxation_temperature_scaling_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/ridge_crossover_vs_relaxation.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/ridge_motion_relaxation_analysis.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/ridge_relaxation_comparison.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/run_A_prediction_from_switching_agent24a.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_agent24h_figures.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_aging_alpha_closure_agent24f.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_aging_hermetic_closure_agent24i.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_aging_kappa1_prediction_agent24d.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_aging_kappa2_agent24g.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_aging_prediction_agent24b.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_aging_R_vs_collective_state_agent23a.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_aging_vs_trajectory_agent23b.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_alpha_decomposition_agent21a.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_alpha_from_pt_agent20b.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_alpha_res_collective_state_agent22b.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_alpha_res_cross_experiment_correlation.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_alpha_res_origin_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/run_alpha_res_physics_agent21b.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_alpha_res_smoothed_state_agent22e.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_alpha_res_trajectory_agent22d.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_alpha_res_transition_agent22a.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_alpha_structure_agent19f.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_alpha_with_kappa1_agent21c.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_alternative_coordinate_search.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_barrier_relaxation_mechanism_closure.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_barrier_to_relaxation_mechanism.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_deformation_closure_agent19e.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_effective_collective_state_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/run_elastic_mode_phi_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/run_full_prediction_trajectory_agent23c.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_kappa1_from_pt_agent20a.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_kappa1_pt_vs_speak_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/run_kappa1_simplification_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/run_kappa2_state_vs_geometry_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/run_local_shift_agent19g.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_mode_coupling_agent_e.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_nonlinear_response_agent19h.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_perturbative_closure_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/run_phi2_reconciliation_audit.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/run_pt_to_phi_prediction.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_R_variable_disambiguation.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_residual_shape_consistency.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_temperature_boundary_audit.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/run_transition_driver_comparison.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/run_unified_barrier_mechanism.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./analysis/simple_switching_observable_search_vs_relaxation.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/switching_a1_amplitude_response_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/switching_a1_integral_consistency_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/switching_a1_model_scan.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/switching_a1_single_derivative_scan.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/switching_a1_static_vs_dynamic_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/switching_a1_vs_dX_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/switching_a1_vs_geometry_deformation_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/switching_a1_vs_logdS_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/switching_a1_vs_mobility_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/switching_activation_signature_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/switching_barrier_distribution_from_map.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/switching_barrier_projection.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/switching_chi_shift_shape_decomposition.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/switching_composite_observable_scan.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/switching_creep_barrier_analysis.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/switching_creep_scaling_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/switching_dynamical_susceptibility.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/switching_joule_heating_null_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/switching_observable_summary.m","UNKNOWN","Insufficient explicit canonical or helper signal from path/name alone"
"./analysis/switching_relaxation_bridge_robustness_audit.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/switching_relaxation_observable_comparison.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/switching_ridge_motion_decomposition.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/switching_ridge_temperature_susceptibility_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/switching_shape_sector_vs_collapse_asymmetry.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/switching_susceptibility_ridge_motion_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/switching_threshold_residual_structure_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/switching_width_dynamics_analysis.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/switching_width_relaxation_correlation.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/switching_width_roughness_competition_test.m","EXPERIMENTAL","Filename indicates validation/debug/audit/experimental intent"
"./analysis/unified_crossover_map.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./analysis/unified_dynamical_crossover_synthesis.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./ARPES ver1/plot_arpes_intensity_map.m","UTILITY","MATLAB function file without canonical entrypoint designation"
"./ARPES ver1/run_arpes_dual.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./ARPES ver1/run_arpes_json.m","UNKNOWN","Runnable script not explicitly declared canonical in repository registry/docs"
"./docs/templates/matlab_run_template.m","EXPERIMENTAL","Path indicates test/diagnostic/temporary/report/documentation context"
"./FieldSweep ver3/FieldSweep_main.m","UNKNOWN","Insufficient explicit canonical or helper signal from path/name alone"
