current_name_or_term,path_or_context,semantic_family_id,recommended_alias,safe_replacement,qualification_required,confidence,notes
backbone,docs,split by family,backbone_object_column_formula_backbone,"Pair namespace_id always",YES,HIGH,"Highest collision English word."
residual,docs,MULTI,residual_S_minus_declared_backbone,"S minus WHAT explicit",YES,HIGH,"Governance 1.5B."
Phi / kappa,docs,MULTI,phi_kappa_plus_namespace_and_file,"CORRECTED vs EXPERIMENTAL vs OLD_RESIDUAL paths",YES,HIGH,"Governance 1.5B."
PTCDF shorthand,tables,EXPERIMENTAL_PTCDF_DIAGNOSTIC,PTCDF_diagnostic_full_label,"Never PTCDF as CORRECTED authority",YES,HIGH,"Unsafe promotion list supersession."
X_eff,gauge scripts,GAUGE_VISUALIZATION_DIAGNOSTIC,X_eff_gauge_specific,X_eff_not_X_canon,YES,HIGH,"R06 map."
geocanon scripts,pattern,GEOCANON_DESCRIPTOR,geocanon_descriptor_runner,ridge_descriptor_not_residual_canon,YES,HIGH,"Policy separation."
replay (physics),docs/switching_pre_replay_contract_reset.md,canonical_replay vs CONTRACT,broad_replay_NO_GO_until_phase2,"Replay labeled CANON_FIGURE_REPLAY vs governed replay drivers",YES,HIGH,"Principle 3 family separation."
switching_analysis_namespace_clean_map.csv,tables,ALL,family_id_crosswalk_machine_table,column_family_maps_to_technical_namespace_ids,YES,HIGH,"Required Phase 2 join key."
switching_pre_replay_registry_contract.csv,tables,ALL,registry_seed_rows_REG001_REG007,semantic_family_id plus lineage per REG00x,YES,HIGH,"REG004 conflicting name flagged."
docs/switching_analysis_map.md,docs,ALL,switching_analysis_map_authoritative_glossary,Formal labels CANON_GEN_SOURCE EXPERIMENTAL etc.,YES,HIGH,"Narrative anchor."
run_switching_canonical_map_spine.ps1,scripts,GOVERNANCE_DOC_AND_PLANNING,PS1_column_semantics_spine_inventory,map_spine_inventory_not_physics_producer,YES,HIGH,"Phase 1.5C."
run_switching_oldX_functional_replay_audit.ps1,scripts,OLD_X_REPLAY_OR_ROBUSTNESS,OldX_Functional_Metrics_Audit_PS1,functional_axis_metrics_audit_no_MATLAB,YES,HIGH,"Untracked in tree snapshot."
run_switching_canonical_paper_figures.ps1,scripts,GOVERNANCE_DOC_AND_PLANNING,paper_figure_orchestration_tier,staged_pipeline_not_submission_claim,YES,HIGH,"Manuscript readiness risk by name."
