blocker_id,path,blocker_type,reason,evidence,required_next_step
BLK-021,cleanup_execution_status.csv,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,CLEANUP_EXECUTION_FINAL_VERIFICATION.md :: ### 2. `cleanup_execution_status.csv`,"Update referencing scripts/docs first, then re-run relocation audit."
BLK-022,cleanup_log.csv,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"source_of_truth_audit.csv :: ""C:\Dev\matlab-functions\tables\aging_cleanup_log.csv"",""NO""","Update referencing scripts/docs first, then re-run relocation audit."
BLK-023,copy_contour_between_open_figures.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,.gitignore :: /copy_contour_between_open_figures.m,"Update referencing scripts/docs first, then re-run relocation audit."
BLK-024,diag_probe_once.log,DELETION_BLOCKED,"Artifact looks disposable, but deletion safety was not proven.",Diagnostic/status/output artifact at root mixes generated state with source.,Confirm artifact is reproducible or disposable before any deletion or relocation.
BLK-025,DRIFT_CHECK_FINAL_VERIFICATION.txt,DELETION_BLOCKED,"Artifact looks disposable, but deletion safety was not proven.",Diagnostic/status/output artifact at root mixes generated state with source.,Confirm artifact is reproducible or disposable before any deletion or relocation.
BLK-026,DRIFT_CHECK_IMPLEMENTATION_COMPLETE.md,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,Markdown status/report artifact at root is better stored under reports/maintenance/.,"Trace ownership, provenance, and runtime usage before moving."
BLK-027,execute_artifact_cleanup.ps1,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,.gitignore :: /execute_artifact_cleanup.ps1,"Update referencing scripts/docs first, then re-run relocation audit."
BLK-028,execution_probe_bottom.txt,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"run_aging_extraction_method_survey.m :: fidBottomProbe = fopen(fullfile(pwd, 'execution_probe_bottom.txt'), 'w');","Update referencing scripts/docs first, then re-run relocation audit."
BLK-029,execution_probe_top.txt,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,blocking_test_once.log :: [MATLAB WRAPPER] ERROR: Missing required entry signal artifact: C:\Dev\matlab-functions\execution_probe_top.txt,"Update referencing scripts/docs first, then re-run relocation audit."
BLK-030,EXECUTION_READINESS.md,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,INTEGRATION_COMPLETE.md :: | `EXECUTION_READINESS.md` | Doc | 250+ | Validation checklist | ✅ Ready |,"Update referencing scripts/docs first, then re-run relocation audit."
BLK-031,execution_status.csv,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"blocking_test_once.log :: [MATLAB RUNNABLE VALIDATOR] WARN = CHECK_DRIFT: ERROR: output mismatch between expected and actual files. Script must write execution_status.csv, at least one CSV, and at least one MD file with no extra unexpected file types.","Update referencing scripts/docs first, then re-run relocation audit."
BLK-032,final_wrapper_output.log,DELETION_BLOCKED,"Artifact looks disposable, but deletion safety was not proven.",Diagnostic/status/output artifact at root mixes generated state with source.,Confirm artifact is reproducible or disposable before any deletion or relocation.
BLK-033,GenerateREADME.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"script_asset_inventory.csv :: ""GenerateREADME.m"",""unknown"",""GenerateREADME.m"",""PARTIAL"",""MEDIUM"",""""","Update referencing scripts/docs first, then re-run relocation audit."
BLK-034,INTEGRATION_COMPLETE.md,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,Markdown status/report artifact at root is better stored under reports/maintenance/.,"Trace ownership, provenance, and runtime usage before moving."
BLK-035,junk,DIRECTORY_OR_LINEAGE_REVIEW,Directory relocation was not reference-scanned in this audit and may have nested dependencies.,"Name/content indicate historical, duplicate, archive, or quarantine storage rather than active root structure.","Inspect internal callers and decide whether directory should stay, be archived, or be decomposed."
BLK-036,kappa_physical_interpretation.md,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,Markdown status/report artifact at root is better stored under reports/maintenance/.,"Trace ownership, provenance, and runtime usage before moving."
BLK-037,kappa1_proj_v2_run.log,DELETION_BLOCKED,"Artifact looks disposable, but deletion safety was not proven.",Diagnostic/status/output artifact at root mixes generated state with source.,Confirm artifact is reproducible or disposable before any deletion or relocation.
BLK-038,kappa2_audit_status.txt,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,.gitignore :: /kappa2_audit_status.txt,"Update referencing scripts/docs first, then re-run relocation audit."
BLK-039,kappa2_build_error.log,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,tools\build_kappa2_phen_inputs.m :: % - On error writes: kappa2_build_error.log,"Update referencing scripts/docs first, then re-run relocation audit."
BLK-040,kappa2_build_status.txt,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,.gitignore :: /kappa2_build_status.txt,"Update referencing scripts/docs first, then re-run relocation audit."
BLK-041,kappa2_phen_audit_inputs_status.txt,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,.gitignore :: /kappa2_phen_audit_inputs_status.txt,"Update referencing scripts/docs first, then re-run relocation audit."
BLK-042,kappa2_phen_inputs.mat,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,.gitignore :: kappa2_phen_inputs.mat,"Update referencing scripts/docs first, then re-run relocation audit."
BLK-043,local,DIRECTORY_OR_LINEAGE_REVIEW,Directory relocation was not reference-scanned in this audit and may have nested dependencies.,Directory stores environment-specific config rather than a documented root zone.,"Inspect internal callers and decide whether directory should stay, be archived, or be decomposed."
BLK-044,logs,DIRECTORY_OR_LINEAGE_REVIEW,Directory relocation was not reference-scanned in this audit and may have nested dependencies.,"Directory contains logs, probes, or review artifacts that align better with results/run outputs than source root.","Inspect internal callers and decide whether directory should stay, be archived, or be decomposed."
BLK-045,MathWorks,DIRECTORY_OR_LINEAGE_REVIEW,Directory relocation was not reference-scanned in this audit and may have nested dependencies.,"Directory contains local prefs, temp probes, or tool-generated state rather than source assets.","Inspect internal callers and decide whether directory should stay, be archived, or be decomposed."
BLK-046,MATLAB_ANALYSIS_SESSION_SUMMARY.md,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,Markdown status/report artifact at root is better stored under reports/maintenance/.,"Trace ownership, provenance, and runtime usage before moving."
BLK-047,matlab_internal_error_once.log,DELETION_BLOCKED,"Artifact looks disposable, but deletion safety was not proven.",Diagnostic/status/output artifact at root mixes generated state with source.,Confirm artifact is reproducible or disposable before any deletion or relocation.
BLK-048,matlab_prefs_agent,DIRECTORY_OR_LINEAGE_REVIEW,Directory relocation was not reference-scanned in this audit and may have nested dependencies.,"Directory contains local prefs, temp probes, or tool-generated state rather than source assets.","Inspect internal callers and decide whether directory should stay, be archived, or be decomposed."
BLK-049,matlab_tasklist.txt,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,.gitignore :: /matlab_tasklist.txt,"Update referencing scripts/docs first, then re-run relocation audit."
BLK-050,phi_avalanche_mode_test.md,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,Markdown status/report artifact at root is better stored under reports/maintenance/.,"Trace ownership, provenance, and runtime usage before moving."
BLK-051,phi_memory_mode_test.md,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,Markdown status/report artifact at root is better stored under reports/maintenance/.,"Trace ownership, provenance, and runtime usage before moving."
BLK-052,probe_full_output.log,DELETION_BLOCKED,"Artifact looks disposable, but deletion safety was not proven.",Diagnostic/status/output artifact at root mixes generated state with source.,Confirm artifact is reproducible or disposable before any deletion or relocation.
BLK-053,probe_outputs,DIRECTORY_OR_LINEAGE_REVIEW,Directory relocation was not reference-scanned in this audit and may have nested dependencies.,"Directory contains logs, probes, or review artifacts that align better with results/run outputs than source root.","Inspect internal callers and decide whether directory should stay, be archived, or be decomposed."
BLK-054,probe_wrapper_log.txt,DELETION_BLOCKED,"Artifact looks disposable, but deletion safety was not proven.",Diagnostic/status/output artifact at root mixes generated state with source.,Confirm artifact is reproducible or disposable before any deletion or relocation.
BLK-055,probe_wrapper_log2.txt,DELETION_BLOCKED,"Artifact looks disposable, but deletion safety was not proven.",Diagnostic/status/output artifact at root mixes generated state with source.,Confirm artifact is reproducible or disposable before any deletion or relocation.
BLK-056,RELAXATION_CANONICAL_AUDIT_READINESS.md,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,Markdown status/report artifact at root is better stored under reports/maintenance/.,"Trace ownership, provenance, and runtime usage before moving."
BLK-057,repo_state_generator.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"script_asset_inventory.csv :: ""repo_state_generator.m"",""unknown"",""REPO_STATE_GENERATOR Incrementally update observable definitions from known runs."",""WORKING"",""SIMPLE"",""expects observables.csv; uses readtable""","Update referencing scripts/docs first, then re-run relocation audit."
BLK-058,repo_state_validator.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"script_asset_inventory.csv :: ""repo_state_validator.m"",""unknown"",""REPO_STATE_VALIDATOR Validate docs/repo_state.json against repository state."",""WORKING"",""MEDIUM"",""expects observables.csv""","Update referencing scripts/docs first, then re-run relocation audit."
BLK-059,results_old,DIRECTORY_OR_LINEAGE_REVIEW,Directory relocation was not reference-scanned in this audit and may have nested dependencies.,"Name/content indicate historical, duplicate, archive, or quarantine storage rather than active root structure.","Inspect internal callers and decide whether directory should stay, be archived, or be decomposed."
BLK-060,review,DIRECTORY_OR_LINEAGE_REVIEW,Directory relocation was not reference-scanned in this audit and may have nested dependencies.,"Directory contains logs, probes, or review artifacts that align better with results/run outputs than source root.","Inspect internal callers and decide whether directory should stay, be archived, or be decomposed."
BLK-061,run_a1_integral_consistency_wrapper.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"script_asset_inventory.csv :: ""run_a1_integral_consistency_wrapper.m"",""infrastructure"",""run_a1_integral_consistency_wrapper.m"",""WORKING"",""SIMPLE"",""""","Update referencing scripts/docs first, then re-run relocation audit."
BLK-062,run_a1_mobility_wrapper.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"script_asset_inventory.csv :: ""run_a1_mobility_wrapper.m"",""infrastructure"",""run_a1_mobility_wrapper"",""WORKING"",""SIMPLE"",""""","Update referencing scripts/docs first, then re-run relocation audit."
BLK-063,run_activation_signature_wrapper.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"script_asset_inventory.csv :: ""run_activation_signature_wrapper.m"",""infrastructure"",""run_activation_signature_wrapper.m"",""WORKING"",""SIMPLE"",""""","Update referencing scripts/docs first, then re-run relocation audit."
BLK-064,run_aging_clock_ratio_temperature_scaling_wrapper.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"script_asset_inventory.csv :: ""run_aging_clock_ratio_temperature_scaling_wrapper.m"",""infrastructure"",""clock ratio temperature scaling wrapper.m"",""WORKING"",""SIMPLE"",""""","Update referencing scripts/docs first, then re-run relocation audit."
BLK-065,run_aging_execution_diagnostics.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"tmp_io_enforcement_scan.json :: ""file"":  ""run_aging_execution_diagnostics.m"",","Update referencing scripts/docs first, then re-run relocation audit."
BLK-066,run_aging_extraction_method_survey.m,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,"Filename pattern and script role suggest diagnostic script; root placement conflicts with documented use of module folders, runs/, or tools/.","Trace ownership, provenance, and runtime usage before moving."
BLK-067,run_aging_extrema_localmean_validation.m,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,"Filename pattern and script role suggest diagnostic script; root placement conflicts with documented use of module folders, runs/, or tools/.","Trace ownership, provenance, and runtime usage before moving."
BLK-068,run_aging_F3b_FM_signed_short_tw_rescue.m,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,"Filename pattern and script role suggest one-off repair script; root placement conflicts with documented use of module folders, runs/, or tools/.","Trace ownership, provenance, and runtime usage before moving."
BLK-069,run_aging_F4B_FM_physical_tau_replay.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"run_aging_F6I_controlled_tau_definition_test.m :: 'Same single-exp objective and R2>=0.6,n>=3 gate as run_aging_F4B_FM_physical_tau_replay.m in Aging/diagnostics/aging_F6I_canonical_exponential_fit.m'}, ...","Update referencing scripts/docs first, then re-run relocation audit."
BLK-070,run_aging_F5_AFM_FM_tau_readiness_audit.m,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,"Filename pattern and script role suggest diagnostic script; root placement conflicts with documented use of module folders, runs/, or tools/.","Trace ownership, provenance, and runtime usage before moving."
BLK-071,run_aging_F6_AFM_FM_tau_comparison.m,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,"Filename pattern and script role suggest unknown; root placement conflicts with documented use of module folders, runs/, or tools/.","Trace ownership, provenance, and runtime usage before moving."
BLK-072,run_aging_F6b_old_canonical_tau_ratio_bridge_audit.m,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,"Filename pattern and script role suggest legacy script; root placement conflicts with documented use of module folders, runs/, or tools/.","Trace ownership, provenance, and runtime usage before moving."
BLK-073,run_aging_F6c_old_time_ratio_forensic_discovery.m,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,"Filename pattern and script role suggest legacy script; root placement conflicts with documented use of module folders, runs/, or tools/.","Trace ownership, provenance, and runtime usage before moving."
BLK-074,run_aging_F6d_clock_ratio_output_recovery.m,DELETION_BLOCKED,"Artifact looks disposable, but deletion safety was not proven.","Filename pattern and script role suggest one-off repair script; root placement conflicts with documented use of module folders, runs/, or tools/.",Confirm artifact is reproducible or disposable before any deletion or relocation.
BLK-075,run_aging_F6e_clock_ratio_safe_replay.m,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,"Filename pattern and script role suggest unknown; root placement conflicts with documented use of module folders, runs/, or tools/.","Trace ownership, provenance, and runtime usage before moving."
BLK-076,run_aging_F6H_prefit_tau_shape_mismatch_audit.m,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,"Filename pattern and script role suggest diagnostic script; root placement conflicts with documented use of module folders, runs/, or tools/.","Trace ownership, provenance, and runtime usage before moving."
BLK-077,run_aging_F6I_controlled_tau_definition_test.m,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,"Filename pattern and script role suggest diagnostic script; root placement conflicts with documented use of module folders, runs/, or tools/.","Trace ownership, provenance, and runtime usage before moving."
BLK-078,run_aging_F6J_replay_legacy_observables_on_current_pipeline.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"run_aging_F6K_dip_replay_gap_root_cause_audit.m :: ""current_replay"", ""F6J_replay_consolidation"", ""run_aging_F6J_replay_legacy_observables_on_current_pipeline.m"", ...","Update referencing scripts/docs first, then re-run relocation audit."
BLK-079,run_aging_F6K_dip_replay_gap_root_cause_audit.m,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,"Filename pattern and script role suggest diagnostic script; root placement conflicts with documented use of module folders, runs/, or tools/.","Trace ownership, provenance, and runtime usage before moving."
BLK-080,run_aging_F6L_archived_lineage_parity_replay_repair.m,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,"Filename pattern and script role suggest one-off repair script; root placement conflicts with documented use of module folders, runs/, or tools/.","Trace ownership, provenance, and runtime usage before moving."
BLK-081,run_aging_F6L2_30K_tau_nan_gate_audit.m,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,"Filename pattern and script role suggest diagnostic script; root placement conflicts with documented use of module folders, runs/, or tools/.","Trace ownership, provenance, and runtime usage before moving."
BLK-082,run_aging_F6M_archived_current_source_selection_bridge.m,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,"Filename pattern and script role suggest one-off repair script; root placement conflicts with documented use of module folders, runs/, or tools/.","Trace ownership, provenance, and runtime usage before moving."
BLK-083,run_aging_F6N_direct_archived_source_compatibility_check.m,LINEAGE_REVIEW_REQUIRED,Scientific or maintenance lineage was not strong enough to approve movement.,"Filename pattern and script role suggest diagnostic script; root placement conflicts with documented use of module folders, runs/, or tools/.","Trace ownership, provenance, and runtime usage before moving."
BLK-084,run_aging_measurement_definition_audit.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"artifact_cleanup_list.md :: **Marker:** run_aging_measurement_definition_audit.m, line block:","Update referencing scripts/docs first, then re-run relocation audit."
BLK-085,run_aging_trace_structure_minimal.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"tmp_io_enforcement_scan.json :: ""file"":  ""run_aging_trace_structure_minimal.m"",","Update referencing scripts/docs first, then re-run relocation audit."
BLK-086,run_amplitude_response_wrapper.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"script_asset_inventory.csv :: ""run_amplitude_response_wrapper.m"",""infrastructure"",""run_amplitude_response_wrapper"",""WORKING"",""SIMPLE"",""""","Update referencing scripts/docs first, then re-run relocation audit."
BLK-087,run_barrier_distribution_wrapper.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"MATLAB_ANALYSIS_SESSION_SUMMARY.md :: - ✗ run_barrier_distribution_wrapper.m - ASCII violation, missing headers, missing run_context","Update referencing scripts/docs first, then re-run relocation audit."
BLK-088,run_cleanup.ps1,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,.gitignore :: /run_cleanup.ps1,"Update referencing scripts/docs first, then re-run relocation audit."
BLK-089,run_creep_activation_scaling_wrapper.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"script_asset_inventory.csv :: ""run_creep_activation_scaling_wrapper.m"",""infrastructure"",""run_creep_activation_scaling_wrapper.m"",""WORKING"",""SIMPLE"",""""","Update referencing scripts/docs first, then re-run relocation audit."
BLK-090,run_dir_pointer.txt,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,.gitignore :: /run_dir_pointer.txt,"Update referencing scripts/docs first, then re-run relocation audit."
BLK-091,run_geometry_deformation_wrapper.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"script_asset_inventory.csv :: ""run_geometry_deformation_wrapper.m"",""infrastructure"",""run_geometry_deformation_wrapper.m"",""BROKEN"",""SIMPLE"",""""","Update referencing scripts/docs first, then re-run relocation audit."
BLK-092,run_kappa1_pt_vs_speak_test.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"script_asset_inventory.csv :: ""analysis/run_kappa1_pt_vs_speak_test.m"",""kappa1"",""run_kappa1_pt_vs_speak_test"",""WORKING"",""MEDIUM"",""uses innerjoin; reads config_snapshot; uses readtable""","Update referencing scripts/docs first, then re-run relocation audit."
BLK-093,run_kappa2_robust_audit.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"script_asset_inventory.csv :: ""run_kappa2_robust_audit.m"",""kappa2"",""run_kappa2_robust_audit.m"",""WORKING"",""MEDIUM"",""uses readtable""","Update referencing scripts/docs first, then re-run relocation audit."
BLK-094,run_minimal_canonical.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,DRIFT_CHECK_FINAL_VERIFICATION.txt :: - Switching/analysis/run_minimal_canonical.m,"Update referencing scripts/docs first, then re-run relocation audit."
BLK-095,run_parameter_robustness_stage1_canonical.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"tmp_io_enforcement_scan.json :: ""file"":  ""run_parameter_robustness_stage1_canonical.m"",","Update referencing scripts/docs first, then re-run relocation audit."
BLK-096,run_parameter_robustness_stage1b_width_kappa.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"tmp_io_enforcement_scan.json :: ""file"":  ""run_parameter_robustness_stage1b_width_kappa.m"",","Update referencing scripts/docs first, then re-run relocation audit."
BLK-097,run_phase8_1_pilot_batched.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"tmp_io_enforcement_scan.json :: ""file"":  ""run_phase8_1_pilot_batched.m"",","Update referencing scripts/docs first, then re-run relocation audit."
BLK-098,run_phase8_2_batched.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"tmp_io_enforcement_scan.json :: ""file"":  ""run_phase8_2_batched.m"",","Update referencing scripts/docs first, then re-run relocation audit."
BLK-099,run_phase8_3_task_formalization.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"tmp_io_enforcement_scan.json :: ""file"":  ""run_phase8_3_task_formalization.m"",","Update referencing scripts/docs first, then re-run relocation audit."
BLK-100,run_phase8_4_external_task_spec.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"tmp_io_enforcement_scan.json :: ""file"":  ""run_phase8_4_external_task_spec.m"",","Update referencing scripts/docs first, then re-run relocation audit."
BLK-101,run_phase8_5_task_selection.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"tmp_io_enforcement_scan.json :: ""file"":  ""run_phase8_5_task_selection.m"",","Update referencing scripts/docs first, then re-run relocation audit."
BLK-102,run_phase8_6_external_selection.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,"tmp_io_enforcement_scan.json :: ""file"":  ""run_phase8_6_external_selection.m"",","Update referencing scripts/docs first, then re-run relocation audit."
BLK-103,run_relaxation_canonical_implementation_check.m,REFERENCE_UPDATE_REQUIRED,Exact filename references were found elsewhere in the repository.,run_relaxation_canonical_implementation_check_dirty_backup.m :: script_abs = 'C:\Dev\matlab-functions\run_relaxation_canonical_implementation_check.m';,"Update referencing scripts/docs first, then re-run relocation audit."
