path,exists,git_status_if_observed,artifact_type,conceptual_group,namespace_if_any,likely_role,source_of_truth_level,notes
tables/switching_analysis_claim_boundary_map.csv,YES,,table,governance/naming/source-of-truth,B09 etc.,Claim boundaries,SUPPORTING_TABLE,
tables/switching_corrected_old_authoritative_artifact_index.csv,YES,,table,old/corrected-old reconstruction,CORRECTED_CANONICAL_OLD_ANALYSIS,Authoritative artifact paths,PRIMARY_HUB,References results and results_old runs
tables/switching_corrected_old_authoritative_builder_status.csv,YES,,table,old/corrected-old reconstruction,,Builder gate status,SUPPORTING_TABLE,Cited in governance manifest
tables/switching_quarantine_index.csv,YES,,table,legacy quarantine,,Machine quarantine rows,QUARANTINE_INDEX,
tables/switching_misleading_or_dangerous_artifacts.csv,YES,,table,legacy quarantine,,Quarantine recommendations,SUPPORTING_TABLE,Cited in governance manifest
tables/switching_phi1_terminology_registry.csv,YES,,table,governance/naming/source-of-truth,,Phi1 wording registry,SUPPORTING_TABLE,
tables/switching_phi1_source_of_truth_pointer.csv,YES,,table,governance/naming/source-of-truth,,Phi1 SoT pointers,SUPPORTING_TABLE,
tables/switching_canonical_output_view_contracts.csv,YES,,table,canonical generation/decomposition,,Mixed-output view contracts,SUPPORTING_TABLE,Cited in run_switching_canonical.m header
tables/switching_*.csv (aggregate 801 files under tables/),YES,,aggregate,validation/status/manifest/fingerprint,many,Phase audits inventories status corpora,DIAGNOSTIC_ARCHIVE,Count from survey: Get-ChildItem tables -Filter switching*.csv = 801
reports/switching_*.md (aggregate corpus under reports/),YES,,aggregate,validation/status/manifest/fingerprint,many,Human-readable audit and phase narratives,DIAGNOSTIC_ARCHIVE,Large set; use current_state as hub
Switching/analysis/,YES,,directory,canonical generation/decomposition,,Primary MATLAB analysis module root,STRUCTURE,Contains run_switching_canonical.m and phase audits
Switching/diagnostics/,YES,,directory,validation/status/manifest/fingerprint,,Diagnostics scripts,STRUCTURE,cdf backbone repair aggressiveness corrected-old QA
Switching/utils/,YES,,directory,canonical generation/decomposition,,Helpers run roots writers,STRUCTURE,switchingCanonicalRunRoot switchingWriteTableBothPaths
Switching/analysis/experimental/,YES,,directory,canonical generation/decomposition,EXPERIMENTAL,Non-canonical experiments per docs,EXPERIMENTAL,
Switching/validation/,NO,,directory,validation/status/manifest/fingerprint,,Expected by some prompts; not present,MISSING_PATH,Validation lives in analysis/diagnostics/reports instead
Switching/analysis/run_switching_canonical.m,YES,,matlab_script,canonical generation/decomposition,"CANON_GEN_SOURCE plus diagnostics columns",Canonical mixed producer entrypoint,PRIMARY_HUB,ASCII governance header lines 4-12
Switching/analysis/run_minimal_canonical.m,YES,,matlab_script,canonical generation/decomposition,,Minimal wiring only,SUPPORTING_SCRIPT,Explicitly not canonical entrypoint per deprecated definition doc
Switching/analysis/run_switching_canonical_collapse_hierarchy.m,YES,,matlab_script,collapse/collapse-failure analysis,CANON_COLLAPSE_FAMILY,Collapse hierarchy consumer,SUPPORTING_SCRIPT,Uses switchingResolveLatestCanonicalTable per maintenance tables
Switching/analysis/run_switching_canonical_collapse_visualization.m,YES,,matlab_script,collapse/collapse-failure analysis,,Collapse visualization,SUPPORTING_SCRIPT,
Switching/analysis/run_switching_phase4B_C01_X_like_panel_orientation_lock.m,YES,,matlab_script,collapse/collapse-failure analysis,phase4B_C01,X-like panel orientation audit,SUPPORTING_SCRIPT,
Switching/analysis/run_switching_phase4B_C02_collapse_like_panel_range_lock.m,YES,,matlab_script,collapse/collapse-failure analysis,phase4B_C02,Collapse-like panel range lock,SUPPORTING_SCRIPT,
Switching/analysis/run_switching_phase4B_C02B_primary_collapse_variant_audit.m,YES,,matlab_script,collapse/collapse-failure analysis,phase4B_C02B,Primary collapse variant audit,SUPPORTING_SCRIPT,
Switching/analysis/run_switching_collapse_subrange_analysis.m,YES,,matlab_script,collapse/collapse-failure analysis,,Subrange collapse analysis,SUPPORTING_SCRIPT,
Switching/analysis/run_switching_corrected_old_builder_readiness_check.m,YES,,matlab_script,old/corrected-old reconstruction,,Builder readiness,SUPPORTING_SCRIPT,
Switching/analysis/run_switching_canonical_state_audit.m,YES,??,matlab_script,validation/status/manifest/fingerprint,,Canonical state audit,Untracked_in_git_snapshot,Appeared as untracked in initial git status
Switching/diagnostics/run_switching_cdf_backbone_repair_aggressiveness_audit.m,YES,??,matlab_script,validation/status/manifest/fingerprint,,CDF repair aggressiveness audit,Untracked_in_git_snapshot,
Switching/diagnostics/run_switching_corrected_old_task002_quality_QA_and_closure.m,YES,,matlab_script,old/corrected-old reconstruction,,Corrected-old QA closure,SUPPORTING_SCRIPT,
Switching/diagnostics/run_switching_corrected_old_task002_visual_QA_refinement.m,YES,,matlab_script,old/corrected-old reconstruction,,Visual QA refinement,SUPPORTING_SCRIPT,
scripts/run_switching_corrected_old_authoritative_builder.ps1,YES,,ps1_script,old/corrected-old reconstruction,,Orchestrates authoritative builder,ORCHESTRATOR,
scripts/run_switching_canonical_output_separation.ps1,YES,,ps1_script,canonical generation/decomposition,,Post-run mixed-output split,ORCHESTRATOR,Referenced from authoritative artifact index
scripts/run_switching_canonical_map_spine.ps1,YES,M,ps1_script,canonical replay,,Map spine runner,ORCHESTRATOR,git status snapshot showed modified tracked
scripts/run_switching_P0_effective_observables_recipe_parity.ps1,YES,,ps1_script,X_eff / effective observables,P0,P0 recipe parity,ORCHESTRATOR,
scripts/run_switching_P0_old_collapse_freeze.ps1,YES,,ps1_script,collapse/collapse-failure analysis,P0,Old collapse freeze,ORCHESTRATOR,
scripts/run_switching_P1_asymmetry_LR_replay.ps1,YES,,ps1_script,canonical replay,P1,P1 asymmetry replay,ORCHESTRATOR,
scripts/run_switching_phase4C_collapse_stress_tests.ps1,YES,,ps1_script,collapse/collapse-failure analysis,phase4C,Collapse stress tests,ORCHESTRATOR,
scripts/run_switching_Xeff_width_validity_atlas.ps1,YES,,ps1_script,X_eff / effective observables,,Xeff width atlas,ORCHESTRATOR,
scripts/run_switching_old_collapse_apples_to_apples.ps1,YES,,ps1_script,old/corrected-old reconstruction,OLD_FULL_SCALING,Legacy collapse comparison replay,ORCHESTRATOR,Cited in namespace decision as example
scripts/run_switching_old_WI_recipe_replay.ps1,YES,,ps1_script,old/corrected-old reconstruction,,Width-interaction recipe replay,ORCHESTRATOR,
scripts/run_switching_oldX_functional_replay_audit.ps1,YES,,ps1_script,old/corrected-old reconstruction,,Old X functional replay audit,ORCHESTRATOR,
scripts/run_switching_semantic_phase3_preflight.py,YES,,python_script,governance/naming/source-of-truth,semantic,Semantic preflight,ORCHESTRATOR,Python present; not executed in survey
scripts/run_switching_canonical_X_panel_orientation_repair.m,YES,??,matlab_script,visualization/publication figures,,X panel orientation repair,Untracked_in_git_snapshot,
scripts/run_switching_stabilized_gauge_figure_replay.m,YES,??,matlab_script,canonical replay,,Stabilized gauge figure replay,Untracked_in_git_snapshot,
run_switching_fixed_T_current_cuts_canonical_replay.m,YES,??,matlab_script,canonical replay,,Root-level canonical replay runner,Untracked_in_git_snapshot,
tools/run_matlab_safe.bat,YES,,tool,validation/status/manifest/fingerprint,,Repo-wide MATLAB wrapper,INFRA_LOCK,Per docs/repo_execution_rules.md
tools/switching_canonical_run_closure.m,YES,,tool,validation/status/manifest/fingerprint,,Canonical run closure helper,SUPPORTING_TOOL,
tools/switching_canonical_control_scan.ps1,YES,,tool,validation/status/manifest/fingerprint,,Control scan script,SUPPORTING_TOOL,
analysis/switching/xy/status.md,YES,,deprecated_stub,governance/naming/source-of-truth,,Deprecated status stub,DEPRECATED_POINTER,References missing canonical/xy_switching
analysis/switching/xx/status.md,YES,,deprecated_stub,governance/naming/source-of-truth,,Deprecated status stub,DEPRECATED_POINTER,
results/switching/,YES,,directory,canonical generation/decomposition,,Canonical run output root,RUN_OUTPUT_REF,Exists on disk per Test-Path
results_old/switching/,YES,,directory,legacy quarantine,OLD_BARRIER_PT etc.,Legacy run outputs,RUN_OUTPUT_REF,Cited in authoritative artifact index
figures/switching/,YES,,directory,visualization/publication figures,,Figure assets directory,STRUCTURE,Some tracked files shown deleted D in git snapshot
figures/switching/phase4B_C01_X_like_panel_orientation_lock.png,YES,D,visualization/publication figures,phase4B,Deleted in working tree per git status,STALE_WORKING_TREE,User snapshot showed D
figures/switching/phase4B_C02_collapse_like_panel_range_lock.png,YES,D,visualization/publication figures,phase4B,Deleted in working tree,STALE_WORKING_TREE,
figures/switching/phase4B_C02_collapse_like_panel_range_lock.fig,YES,D,visualization/publication figures,phase4B,Deleted in working tree,STALE_WORKING_TREE,
reports/maintenance/switching_source_of_truth_owner_decision_audit.md,YES,,maintenance_report,governance/naming/source-of-truth,,Maintenance SoT audit,CROSS_CUT_MAINT,
reports/maintenance/switching_identity_resolver_patch_design_review.md,YES,,maintenance_report,validation/status/manifest/fingerprint,,Identity resolver design,CROSS_CUT_MAINT,
tables/maintenance_switching_identity_resolver_consumers.csv,YES,,table,validation/status/manifest/fingerprint,,Scripts consuming canonical tables,CROSS_CUT_MAINT,
canonical/xy_switching/,NO,,directory,governance/naming/source-of-truth,,Promised hub in deprecated docs,MISSING_PATH,Glob found no canonical/xy_switching in workspace
docs/repo_execution_rules.md,YES,,doc,validation/status/manifest/fingerprint,,MATLAB execution rules for agents,INFRA_LOCK,Survey followed read-only; no runs performed
