component,file_path,block_point_id,trigger_condition,block_stage,block_type,live_execution_path,intended_purpose,protects_layer,necessary_now,overblocking_flag,dead_enforcement_flag,duplicate_enforcement_flag,misleading_enforcement_flag,false_protection_flag,risk_if_removed,risk_if_kept,evidence,recommended_phase,notes
Switching/analysis/run_switching_canonical.m,Switching/analysis/run_switching_canonical.m,RSC-004,Switching_main.m missing under legacy main,IN_MATLAB,HARD_BLOCK,YES,Obtain parent raw directory string,boundary,YES,NO,NO,NO,NO,NO,Cannot locate raw data parent,None,run_switching_canonical.m L117-L120,3.2,
Switching/analysis/run_switching_canonical.m,Switching/analysis/run_switching_canonical.m,RSC-005,regexp dir = ""..."" token empty from Switching_main.m,IN_MATLAB,HARD_BLOCK,YES,Parse configured raw parent path,artifact integrity,YES,NO,NO,NO,NO,NO,Undefined data source,None,run_switching_canonical.m L122-L126,3.2,
Switching/analysis/run_switching_canonical.m,Switching/analysis/run_switching_canonical.m,RSC-006,parentDir not an existing directory,IN_MATLAB,HARD_BLOCK,YES,Ensure data path valid before IO,boundary,YES,NO,NO,NO,NO,NO,Silent bad runs or confusing errors later,None,run_switching_canonical.m L127-L130,3.2,
Switching/analysis/run_switching_canonical.m,Switching/analysis/run_switching_canonical.m,RSC-007,No subfolders matching Temp Dep* under parentDir,IN_MATLAB,HARD_BLOCK,YES,Canonical pipeline expects legacy folder layout,data validity,YES,NO,NO,NO,NO,NO,Empty or wrong dataset layout,None,run_switching_canonical.m L140-L147,3.2,
Switching/analysis/run_switching_canonical.m,Switching/analysis/run_switching_canonical.m,RSC-008,Folder missing Current_mA metadata (isfield + finite),IN_MATLAB,HARD_BLOCK,YES,Require per-folder current for scaling,data validity,YES,NO,NO,NO,NO,NO,Incorrect physics scaling,None,run_switching_canonical.m L164-L166,3.2,
Switching/analysis/run_switching_canonical.m,Switching/analysis/run_switching_canonical.m,RSC-009,Current_mA non-finite or I_A zero after conversion,IN_MATLAB,HARD_BLOCK,YES,Reject unusable current,data validity,YES,NO,NO,NO,NO,NO,Divide-by-zero or NaN propagation,None,run_switching_canonical.m L187-L190,3.2,
Switching/analysis/run_switching_canonical.m,Switching/analysis/run_switching_canonical.m,RSC-010,stability.switching.globalChannel not in {1..4},IN_MATLAB,HARD_BLOCK,YES,Enforce expected channel enum,data validity,YES,NO,NO,NO,NO,NO,Downstream indexing ambiguous,None,run_switching_canonical.m L212-L215,3.2,
Switching/analysis/run_switching_canonical.m,Switching/analysis/run_switching_canonical.m,RSC-011,tableData missing selected channel table,IN_MATLAB,HARD_BLOCK,YES,Require metric table for aggregation,data validity,YES,NO,NO,NO,NO,NO,Cannot build S vectors,None,run_switching_canonical.m L216-L219,3.2,
Switching/analysis/run_switching_canonical.m,Switching/analysis/run_switching_canonical.m,RSC-012,rowsCurrent empty after all folders (no usable samples),IN_MATLAB,HARD_BLOCK,YES,Reject empty derived dataset,data validity,YES,NO,NO,NO,NO,NO,Would emit meaningless SVD/outputs,None,run_switching_canonical.m L251-L253,3.2,
Switching/analysis/run_switching_canonical.m,Switching/analysis/run_switching_canonical.m,RSC-013,totalRawFiles <= 0,IN_MATLAB,HARD_BLOCK,YES,Ensure raw files were discovered,data validity,YES,NO,NO,NO,NO,NO,Contradictory empty pipeline,None,run_switching_canonical.m L254-L256,3.2,
Switching/analysis/run_switching_canonical.m,Switching/analysis/run_switching_canonical.m,RSC-014,tempsRaw or currents empty after grid build,IN_MATLAB,HARD_BLOCK,YES,Require non-empty T/I grid,data validity,YES,NO,NO,NO,NO,NO,Cannot define maps,None,run_switching_canonical.m L267-L269,3.2,
Switching/analysis/run_switching_canonical.m,Switching/analysis/run_switching_canonical.m,RSC-015,assert(~isfile(execution_probe.csv)) after writetable,IN_MATLAB,HARD_BLOCK,YES,Prove run_dir writable (signaling layer),artifact integrity determinism,YES,NO,NO,NO,NO,NO,Broken run_dir or permissions; silent success elsewhere,None,run_switching_canonical.m L89-L94,3.2,
Switching/analysis/run_switching_canonical.m,Switching/analysis/run_switching_canonical.m,RSC-016,fopen report or implementation md returns fid < 0,IN_MATLAB,HARD_BLOCK,YES,Fail hard if reports cannot be written,artifact integrity,YES,NO,NO,NO,NO,NO,Partial outputs without report,None,run_switching_canonical.m L508-L511 L564-L567,3.2,
Switching/analysis/run_switching_canonical.m,Switching/analysis/run_switching_canonical.m,RSC-017,"try/catch: on error rethrow(ME) after FAILED status and alternate run_dir resolution",IN_MATLAB,FAILURE_PATH_IDENTITY_SHIFT,YES,Preserve signaling artifacts and error surfacing,identity artifact integrity,YES,NO,NO,NO,YES,NO,Errors swallowed or no FAILED row,Extra run dirs on failure; identity differs from success path,run_switching_canonical.m L605-L687; system_reality_risks.csv R4,3.2,Not overblocking; ambiguity in which run_dir is authoritative for a crash
Switching/analysis/run_switching_canonical.m,Switching/analysis/run_switching_canonical.m,RSC-018,exist(resolve_preset) && exist(select_preset) && exist(resolveNegP2P) optional branches,IN_MATLAB,CONDITIONAL_NUMERIC_BRANCH,YES,Optional helpers from General ver2 / legacy if on path,determinism,PARTIAL,NO,NO,NO,YES,NO,N/A,Reproducibility shifts if files appear/disappear,run_switching_canonical.m L179-L185 L224-L228; system_reality_risks.csv R5,3.2,Ambiguity not a block; changes truth vs environment
Aging/utils/createRunContext.m,Aging/utils/createRunContext.m,CRC-001,experiment name empty or nargin missing,IN_MATLAB,HARD_BLOCK,YES,Require experiment for results layout,boundary,YES,NO,NO,NO,NO,NO,Invalid results path convention,None,createRunContext.m L14-L16,3.2,
Aging/utils/createRunContext.m,Aging/utils/createRunContext.m,CRC-002,writeManifest: fopen manifest_path fails,IN_MATLAB,HARD_BLOCK,YES,Ensure manifest persisted,artifact integrity identity,YES,NO,NO,NO,NO,NO,Run without fingerprint manifest,None,createRunContext.m L227-L229,3.2,
Aging/utils/createRunContext.m,Aging/utils/createRunContext.m,CRC-003,writeConfigSnapshot: fopen snapshot path fails,IN_MATLAB,HARD_BLOCK,YES,Persist cfg snapshot,artifact integrity,YES,NO,NO,NO,NO,NO,Missing reproducibility artifact,None,createRunContext.m L357-L360,3.2,
Aging/utils/createRunContext.m,Aging/utils/createRunContext.m,CRC-004,writeLogHeader: fopen log_path fails,IN_MATLAB,HARD_BLOCK,YES,Initialize log,artifact integrity,YES,NO,NO,NO,NO,NO,Missing run log,None,createRunContext.m L388-L391,3.2,
Aging/utils/createRunContext.m,Aging/utils/createRunContext.m,CRC-005,run_manifest.json already exists -> warning and return without overwrite,IN_MATLAB,SOFT_SKIP_manifest_write,YES,Preserve existing manifest on collision,artifact integrity,PARTIAL,NO,NO,NO,YES,NO,Rerun could silently keep stale manifest,Stale manifest if folder reused; confusing identity,createRunContext.m L160-L164; system_reality_risks.csv R6,3.2,Not a hard block; identity ambiguity
Aging/utils/createRunContext.m,Aging/utils/createRunContext.m,CRC-006,makeUniqueRunId while exist(run_id dir) increments suffix,IN_MATLAB,DUPLICATE_RUN_PREVENTION,YES,Prevent two runs from same folder name collision,identity,PARTIAL,NO,NO,NO,NO,NO,Colliding parallel runs could clobber,None,createRunContext.m L91-L103,3.2,Does not block; prevents silent overwrite via new id
