analysis_id,analysis_name,script_or_source,artifacts_tables,artifacts_reports,run_id,depends_on_canonical_entrypoint,notes
inv_switching_scaling_canonical_test,switching_scaling_canonical_test,reports/switching_scaling_canonical_test.md cites docs and run ids,tables/switching_scaling_canonical_test.csv;tables/switching_scaling_metrics_summary.csv,reports/switching_scaling_canonical_test.md,,YES,"Report lists switching_canonical_S_long.csv and switching_canonical_observables.csv under run_2026_04_03_000147_switching_canonical; metrics summary path in report."
inv_switching_layer1_robustness_reconciliation,switching_layer1_robustness_reconciliation,UNKNOWN (reconciliation table),tables/switching_layer1_robustness_reconciliation.csv,reports/switching_layer1_robustness_reconciliation.md,,UNKNOWN,"CSV artifact_path column lists report and results paths."
inv_switching_parameter_robustness_update_audit,switching_parameter_robustness_update_audit,UNKNOWN,tables/switching_parameter_robustness_update_audit.csv,reports/switching_parameter_robustness_update_audit.md,,UNKNOWN,
inv_switching_replay_plan,switching_replay_plan,UNKNOWN,tables/switching_replay_plan.csv,reports/switching_replay_plan.md,,UNKNOWN,
inv_switching_replay_reconciliation,switching_replay_reconciliation,UNKNOWN,tables/switching_replay_reconciliation.csv,reports/switching_replay_reconciliation.md,,UNKNOWN,
inv_switching_robustness_definition_recovery,switching_robustness_definition_recovery,UNKNOWN,tables/switching_robustness_definition_recovery.csv,reports/switching_robustness_definition_recovery.md,,UNKNOWN,
inv_switching_robustness_execution_trace,switching_robustness_execution_trace,UNKNOWN,tables/switching_robustness_execution_trace.csv,reports/switching_robustness_execution_trace.md,,UNKNOWN,
inv_switching_robustness_rerun_readiness,switching_robustness_rerun_readiness,UNKNOWN,tables/switching_robustness_rerun_readiness.csv,reports/switching_robustness_rerun_readiness.md,,UNKNOWN,
inv_switching_robustness_root_validation,switching_robustness_root_validation,UNKNOWN,tables/switching_robustness_root_validation.csv,reports/switching_robustness_root_validation.md,,UNKNOWN,
inv_switching_robustness_unblock_plan,switching_robustness_unblock_plan,UNKNOWN,tables/switching_robustness_unblock_plan.csv,reports/switching_robustness_unblock_plan.md,,UNKNOWN,
inv_switching_canonical_boundary_definition,switching_canonical_boundary_definition,UNKNOWN,tables/switching_canonical_boundary_and_runs.csv,reports/switching_canonical_boundary_definition.md,,YES,"Report lists Switching/analysis/run_switching_canonical.m line 11."
inv_switching_collapse_interpretation,switching_collapse_interpretation,UNKNOWN,tables/switching_collapse_status.csv,reports/switching_collapse_interpretation.md,,YES,"Markdown cites run_switching_canonical.m line references."
inv_switching_layer1_robustness_audit,switching_layer1_robustness_audit,UNKNOWN,tables/switching_layer1_robustness_evidence.csv;tables/switching_layer1_robustness_verdicts.csv,reports/switching_layer1_robustness_audit.md,,UNKNOWN,"Report cites paths to evidence and verdicts CSV files."
inv_ver12_canonical_audit,ver12_canonical_audit,UNKNOWN,tables/ver12_canonical_audit.csv,reports/ver12_canonical_audit.md,,UNKNOWN,"CSV source_file column lists Switching ver12 paths."
inv_phase1_execution_audit,phase1_execution_audit,reports/phase1_execution_audit.md lists batch commands,tables/phase1_execution_audit.csv,reports/phase1_execution_audit.md,,YES,"Markdown lists tools/run_matlab_safe.bat with Switching/analysis/run_switching_canonical.m."
inv_switching_canonical_entrypoint_audit,switching_canonical_entrypoint_audit,UNKNOWN,tables/switching_canonical_entrypoint.csv;tables/switching_canonical_entrypoint_candidates.csv;tables/switching_canonical_entrypoint_status.csv,reports/switching_canonical_entrypoint_audit.md,,YES,"Report references tables/switching_canonical_entrypoint_candidates.csv."
