finding_id,severity,category,source_file,source_row_or_line,rule_id,semantic_family_id,message,recommended_action,hard_fail_condition,notes
SW_PF_00021,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_14,SW_LINT_002,,Lint pattern matched (SW_LINT_002) in tables/switching_semantic_taxonomy.csv at row_14.,Declare LEGACY_OLD_TEMPLATE vs CORRECTED_CANONICAL_OLD_ANALYSIS vs replay runner id,,Functional replay audits collapse apples-to-apples PS1 old-X Spearman metrics normalized-X robustness—not unattended broad old-analysis port. Blind promotion of old pipelines without Phase 2 registry Broad unattended old-analysis replay remains NO-GO per pre-replay Phase 1.
SW_PF_00022,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_16,SW_LINT_001,,Lint pattern matched (SW_LINT_001) in tables/switching_semantic_taxonomy.csv at row_16.,Add semantic_family_id plus source_column_class per switching_semantic_taxonomy,,createSwitchingRunContext smoke or forbidden-direct wrappers calling tests—not physics canonical generator. Cite as measured S or backbone science evidence Minimal canonical filename is highest grep false positive.
SW_PF_00023,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_18,SW_LINT_001,,Lint pattern matched (SW_LINT_001) in tables/switching_semantic_taxonomy.csv at row_18.,Add semantic_family_id plus source_column_class per switching_semantic_taxonomy,,Reads switching_canonical_S_long columns to plot backbone residual without rebuilding physics; dual-namespace captions. Imply CORRECTED_CANONICAL_OLD_ANALYSIS authority from filename High collision name backbone plus canonical.
SW_PF_00024,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_19,SW_LINT_009,,Lint pattern matched (SW_LINT_009) in tables/switching_semantic_taxonomy.csv at row_19.,S_tag EXPERIMENTAL_PTCDF_DIAGNOSTIC never CORRECTED backbone without bridge,,Overlay collapse diagnostics using CANON_GEN S_long PT CDF phi support files gated overlays. Independent PT construction primary backbone claim Collapse_canon ambiguous—use overlay diagnostic alias.
SW_PF_00025,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_20,SW_LINT_002,,Lint pattern matched (SW_LINT_002) in tables/switching_semantic_taxonomy.csv at row_20.,Declare LEGACY_OLD_TEMPLATE vs CORRECTED_CANONICAL_OLD_ANALYSIS vs replay runner id,,Scripts that replay quarantine PT/CDF corrected-old-style visuals from mixed S_long without authoritative builder. Manuscript evidence equating to switching_corrected_old_authoritative Distinct from CORRECTED_OLD_AUTH_BUILDER outputs.
SW_PF_00026,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_20,SW_LINT_003,,Lint pattern matched (SW_LINT_003) in tables/switching_semantic_taxonomy.csv at row_20.,Use CORRECTED_CANONICAL_OLD_ANALYSIS namespace_id plus authoritative index row,,Scripts that replay quarantine PT/CDF corrected-old-style visuals from mixed S_long without authoritative builder. Manuscript evidence equating to switching_corrected_old_authoritative Distinct from CORRECTED_OLD_AUTH_BUILDER outputs.
SW_PF_00027,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_21,SW_LINT_002,,Lint pattern matched (SW_LINT_002) in tables/switching_semantic_taxonomy.csv at row_21.,Declare LEGACY_OLD_TEMPLATE vs CORRECTED_CANONICAL_OLD_ANALYSIS vs replay runner id,,Builds corrected-old-shaped CSVs using centered row backbone from S_percent maps only plus low-T SVD; not gated builder. Manuscript authority without builder_status match Internal report template lines still risk MAIN_MANUSCRIPT wording—header warns.
SW_PF_00028,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_21,SW_LINT_003,,Lint pattern matched (SW_LINT_003) in tables/switching_semantic_taxonomy.csv at row_21.,Use CORRECTED_CANONICAL_OLD_ANALYSIS namespace_id plus authoritative index row,,Builds corrected-old-shaped CSVs using centered row backbone from S_percent maps only plus low-T SVD; not gated builder. Manuscript authority without builder_status match Internal report template lines still risk MAIN_MANUSCRIPT wording—header warns.
SW_PF_00029,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_23,SW_LINT_002,,Lint pattern matched (SW_LINT_002) in tables/switching_semantic_taxonomy.csv at row_23.,Declare LEGACY_OLD_TEMPLATE vs CORRECTED_CANONICAL_OLD_ANALYSIS vs replay runner id,,QA closure identities or refined heatmaps on authoritative corrected-old maps only not publication gate. Substitute TASK_002B publication parity without gate Visual refinement explicitly not publication authorized in header.
SW_PF_00030,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_23,SW_LINT_003,,Lint pattern matched (SW_LINT_003) in tables/switching_semantic_taxonomy.csv at row_23.,Use CORRECTED_CANONICAL_OLD_ANALYSIS namespace_id plus authoritative index row,,QA closure identities or refined heatmaps on authoritative corrected-old maps only not publication gate. Substitute TASK_002B publication parity without gate Visual refinement explicitly not publication authorized in header.
SW_PF_00031,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_24,SW_LINT_001,,Lint pattern matched (SW_LINT_001) in tables/switching_semantic_taxonomy.csv at row_24.,Add semantic_family_id plus source_column_class per switching_semantic_taxonomy,,Classification audit using identity-locked canonical run tables plus Stage E chain outputs verdicts. Bypass embargo gates new decomposition claims Canonical in name refers to locked run id not CANON_GEN umbrella.
SW_PF_00032,WARN,lint_text_scan,tables/switching_semantic_taxonomy.csv,row_25,SW_LINT_001,,Lint pattern matched (SW_LINT_001) in tables/switching_semantic_taxonomy.csv at row_25.,Add semantic_family_id plus source_column_class per switching_semantic_taxonomy,,Filter of precomputed stability pairs to canonical variant-pair space only; canonical means allowed pair list not CANON_GEN umbrella. Present as independent producer of global phi kappa modes LOW collision vs CANON_GEN if unqualified in prose.
SW_PF_00033,WARN,lint_text_scan,tables/switching_semantic_alias_map.csv,row_4,SW_LINT_002,,Lint pattern matched (SW_LINT_002) in tables/switching_semantic_alias_map.csv at row_4.,Declare LEGACY_OLD_TEMPLATE vs CORRECTED_CANONICAL_OLD_ANALYSIS vs replay runner id,,PT_pdf CDF_pt S_model_pt_percent Not corrected-old backbone authority.
SW_PF_00034,WARN,lint_text_scan,tables/switching_semantic_alias_map.csv,row_4,SW_LINT_003,,Lint pattern matched (SW_LINT_003) in tables/switching_semantic_alias_map.csv at row_4.,Use CORRECTED_CANONICAL_OLD_ANALYSIS namespace_id plus authoritative index row,,PT_pdf CDF_pt S_model_pt_percent Not corrected-old backbone authority.
SW_PF_00035,WARN,lint_text_scan,tables/switching_semantic_alias_map.csv,row_13,SW_LINT_001,,Lint pattern matched (SW_LINT_001) in tables/switching_semantic_alias_map.csv at row_13.,Add semantic_family_id plus source_column_class per switching_semantic_taxonomy,,run_switching_canonical_map_backbone_residual_visualization.m canonical plus backbone in filename risk.
SW_PF_00036,WARN,lint_text_scan,tables/switching_semantic_alias_map.csv,row_15,SW_LINT_001,,Lint pattern matched (SW_LINT_001) in tables/switching_semantic_alias_map.csv at row_15.,Add semantic_family_id plus source_column_class per switching_semantic_taxonomy,,run_minimal_canonical.m Not physics canonical.
SW_PF_00037,WARN,lint_text_scan,tables/switching_semantic_alias_map.csv,row_22,SW_LINT_001,,Lint pattern matched (SW_LINT_001) in tables/switching_semantic_alias_map.csv at row_22.,Add semantic_family_id plus source_column_class per switching_semantic_taxonomy,,run_switching_old_fig_forensic_and_canonical_replot.m Canonical directory naming for outputs.
SW_PF_00038,WARN,lint_text_scan,tables/switching_semantic_alias_map.csv,row_24,SW_LINT_001,,Lint pattern matched (SW_LINT_001) in tables/switching_semantic_alias_map.csv at row_24.,Add semantic_family_id plus source_column_class per switching_semantic_taxonomy,,run_switching_fixed_T_current_cuts_canonical_replay.m canonical replay in name means source CSV replay.
SW_PF_00039,WARN,lint_text_scan,tables/switching_semantic_alias_map.csv,row_29,SW_LINT_001,,Lint pattern matched (SW_LINT_001) in tables/switching_semantic_alias_map.csv at row_29.,Add semantic_family_id plus source_column_class per switching_semantic_taxonomy,,canonical backbone Forbidden bare per template.
SW_PF_00040,WARN,lint_text_scan,tables/switching_semantic_alias_map.csv,row_29,SW_LINT_004,,Lint pattern matched (SW_LINT_004) in tables/switching_semantic_alias_map.csv at row_29.,Expand backbone_object plus namespace_id SPEAK_cdf vs EXPERIMENTAL vs CORRECTED PT,,canonical backbone Forbidden bare per template.
SW_PF_00041,WARN,lint_text_scan,tables/switching_semantic_forbidden_terms.csv,row_2,SW_LINT_001,,Lint pattern matched (SW_LINT_001) in tables/switching_semantic_forbidden_terms.csv at row_2.,Add semantic_family_id plus source_column_class per switching_semantic_taxonomy,,canonical backbone Could mean PT/CDF rowwise quasi-CDF EXPERIMENTAL OLD_RESIDUAL Speak cdfRow or CORRECTED PT-only backbone Template switching_analysis_namespace_header forbids bare phrase.
SW_PF_00042,WARN,lint_text_scan,tables/switching_semantic_forbidden_terms.csv,row_2,SW_LINT_004,,Lint pattern matched (SW_LINT_004) in tables/switching_semantic_forbidden_terms.csv at row_2.,Expand backbone_object plus namespace_id SPEAK_cdf vs EXPERIMENTAL vs CORRECTED PT,,canonical backbone Could mean PT/CDF rowwise quasi-CDF EXPERIMENTAL OLD_RESIDUAL Speak cdfRow or CORRECTED PT-only backbone Template switching_analysis_namespace_header forbids bare phrase.
SW_PF_00043,WARN,lint_text_scan,tables/switching_semantic_forbidden_terms.csv,row_3,SW_LINT_001,,Lint pattern matched (SW_LINT_001) in tables/switching_semantic_forbidden_terms.csv at row_3.,Add semantic_family_id plus source_column_class per switching_semantic_taxonomy,,canonical Phi Could be switching_canonical_phi1.csv CANON_GEN diag vs corrected_old_authoritative_phi1 vs OLD_RESIDUAL phi_shape Always pair file path + registry row.
SW_PF_00044,WARN,lint_text_scan,tables/switching_semantic_forbidden_terms.csv,row_3,SW_LINT_005,,Lint pattern matched (SW_LINT_005) in tables/switching_semantic_forbidden_terms.csv at row_3.,Cite switching_canonical_phi1.csv vs switching_corrected_old_authoritative_phi1.csv explicitly,,canonical Phi Could be switching_canonical_phi1.csv CANON_GEN diag vs corrected_old_authoritative_phi1 vs OLD_RESIDUAL phi_shape Always pair file path + registry row.
SW_PF_00045,WARN,lint_text_scan,tables/switching_semantic_forbidden_terms.csv,row_4,SW_LINT_001,,Lint pattern matched (SW_LINT_001) in tables/switching_semantic_forbidden_terms.csv at row_4.,Add semantic_family_id plus source_column_class per switching_semantic_taxonomy,,canonical kappa Observable column vs corrected-old kappa1 vs mode amplitude tables Three-way collision surface per governance csv.
SW_PF_00046,WARN,lint_text_scan,tables/switching_semantic_forbidden_terms.csv,row_4,SW_LINT_002,,Lint pattern matched (SW_LINT_002) in tables/switching_semantic_forbidden_terms.csv at row_4.,Declare LEGACY_OLD_TEMPLATE vs CORRECTED_CANONICAL_OLD_ANALYSIS vs replay runner id,,canonical kappa Observable column vs corrected-old kappa1 vs mode amplitude tables Three-way collision surface per governance csv.
SW_PF_00047,WARN,lint_text_scan,tables/switching_semantic_forbidden_terms.csv,row_4,SW_LINT_003,,Lint pattern matched (SW_LINT_003) in tables/switching_semantic_forbidden_terms.csv at row_4.,Use CORRECTED_CANONICAL_OLD_ANALYSIS namespace_id plus authoritative index row,,canonical kappa Observable column vs corrected-old kappa1 vs mode amplitude tables Three-way collision surface per governance csv.
SW_PF_00048,WARN,lint_text_scan,tables/switching_semantic_forbidden_terms.csv,row_4,SW_LINT_005,,Lint pattern matched (SW_LINT_005) in tables/switching_semantic_forbidden_terms.csv at row_4.,Cite switching_canonical_phi1.csv vs switching_corrected_old_authoritative_phi1.csv explicitly,,canonical kappa Observable column vs corrected-old kappa1 vs mode amplitude tables Three-way collision surface per governance csv.
SW_PF_00049,WARN,lint_text_scan,tables/switching_semantic_forbidden_terms.csv,row_5,SW_LINT_001,,Lint pattern matched (SW_LINT_001) in tables/switching_semantic_forbidden_terms.csv at row_5.,Add semantic_family_id plus source_column_class per switching_semantic_taxonomy,,canonical residual Could be residual_percent diagnostic vs DeltaS legacy vs corrected residual maps Require formula string in caption.
SW_PF_00050,WARN,lint_text_scan,tables/switching_semantic_forbidden_terms.csv,row_5,SW_LINT_006,,Lint pattern matched (SW_LINT_006) in tables/switching_semantic_forbidden_terms.csv at row_5.,canonical residual,,canonical residual Could be residual_percent diagnostic vs DeltaS legacy vs corrected residual maps Require formula string in caption.
SW_PF_00051,WARN,lint_text_scan,tables/switching_semantic_forbidden_terms.csv,row_6,SW_LINT_002,,Lint pattern matched (SW_LINT_002) in tables/switching_semantic_forbidden_terms.csv at row_6.,Declare LEGACY_OLD_TEMPLATE vs CORRECTED_CANONICAL_OLD_ANALYSIS vs replay runner id,,old analysis Undifferentiated legacy vs replay vs corrected narrative Phase 1 broad replay NO-GO without contract.
SW_PF_00052,WARN,lint_text_scan,tables/switching_semantic_forbidden_terms.csv,row_7,SW_LINT_002,,Lint pattern matched (SW_LINT_002) in tables/switching_semantic_forbidden_terms.csv at row_7.,Declare LEGACY_OLD_TEMPLATE vs CORRECTED_CANONICAL_OLD_ANALYSIS vs replay runner id,,corrected-old Prose shorthand vs authoritative CSV package vs quarantine scripts Machine fields need CORRECTED_CANONICAL_OLD_ANALYSIS id + artifact index.
SW_PF_00053,WARN,lint_text_scan,tables/switching_semantic_forbidden_terms.csv,row_7,SW_LINT_003,,Lint pattern matched (SW_LINT_003) in tables/switching_semantic_forbidden_terms.csv at row_7.,Use CORRECTED_CANONICAL_OLD_ANALYSIS namespace_id plus authoritative index row,,corrected-old Prose shorthand vs authoritative CSV package vs quarantine scripts Machine fields need CORRECTED_CANONICAL_OLD_ANALYSIS id + artifact index.
SW_PF_00054,WARN,lint_text_scan,tables/switching_semantic_forbidden_terms.csv,row_8,SW_LINT_001,,Lint pattern matched (SW_LINT_001) in tables/switching_semantic_forbidden_terms.csv at row_8.,Add semantic_family_id plus source_column_class per switching_semantic_taxonomy,,final canonical Suggests terminal authority across incompatible namespaces Avoid; use frozen registered artifact row language.
SW_PF_00055,WARN,lint_text_scan,tables/switching_semantic_forbidden_terms.csv,row_9,SW_LINT_007,,Lint pattern matched (SW_LINT_007) in tables/switching_semantic_forbidden_terms.csv at row_9.,Tag staged_figure_candidate vs manuscript_locked tier,,paper figures Suggests submission-ready without evidence tier Alias orchestration tier not submission claim.
SW_PF_00056,WARN,lint_text_scan,tables/switching_semantic_forbidden_terms.csv,row_14,SW_LINT_010,,Lint pattern matched (SW_LINT_010) in tables/switching_semantic_forbidden_terms.csv at row_14.,Separate GEOCANON_DESCRIPTOR from OLD_RESIDUAL_DECOMP backbone claims,,geocanon as residual canon Geometric ridge descriptors mistaken for CDF residual backbone Policy separates canonical_geometric_decomposition from residual family.
SW_PF_00057,WARN,lint_text_scan,tables/switching_semantic_forbidden_terms.csv,row_15,SW_LINT_002,,Lint pattern matched (SW_LINT_002) in tables/switching_semantic_forbidden_terms.csv at row_15.,Declare LEGACY_OLD_TEMPLATE vs CORRECTED_CANONICAL_OLD_ANALYSIS vs replay runner id,,PTCDF as corrected-old authority Experimental columns promoted to manuscript backbone CORRECTED Supersession report unsafe list unchanged.
SW_PF_00058,WARN,lint_text_scan,tables/switching_semantic_forbidden_terms.csv,row_15,SW_LINT_003,,Lint pattern matched (SW_LINT_003) in tables/switching_semantic_forbidden_terms.csv at row_15.,Use CORRECTED_CANONICAL_OLD_ANALYSIS namespace_id plus authoritative index row,,PTCDF as corrected-old authority Experimental columns promoted to manuscript backbone CORRECTED Supersession report unsafe list unchanged.
SW_PF_00059,WARN,lint_text_scan,tables/switching_semantic_forbidden_terms.csv,row_15,SW_LINT_009,,Lint pattern matched (SW_LINT_009) in tables/switching_semantic_forbidden_terms.csv at row_15.,S_tag EXPERIMENTAL_PTCDF_DIAGNOSTIC never CORRECTED backbone without bridge,,PTCDF as corrected-old authority Experimental columns promoted to manuscript backbone CORRECTED Supersession report unsafe list unchanged.
SW_PF_00060,WARN,lint_text_scan,tables/switching_semantic_forbidden_terms.csv,row_16,SW_LINT_001,,Lint pattern matched (SW_LINT_001) in tables/switching_semantic_forbidden_terms.csv at row_16.,Add semantic_family_id plus source_column_class per switching_semantic_taxonomy,,bare canonical / canonical without qualifier Grep hits wrong column family CANON_GEN_MIXED_PRODUCER requires output-split discipline.
SW_PF_00061,WARN,lint_text_scan,tables/switching_semantic_rename_plan.csv,row_7,SW_LINT_001,,Lint pattern matched (SW_LINT_001) in tables/switching_semantic_rename_plan.csv at row_7.,Add semantic_family_id plus source_column_class per switching_semantic_taxonomy,,run_switching_fixed_T_current_cuts_canonical_replay.m Canonical replay wording implies producer authority.
SW_PF_00062,WARN,lint_text_scan,tables/switching_semantic_rename_plan.csv,row_11,SW_LINT_002,,Lint pattern matched (SW_LINT_002) in tables/switching_semantic_rename_plan.csv at row_11.,Declare LEGACY_OLD_TEMPLATE vs CORRECTED_CANONICAL_OLD_ANALYSIS vs replay runner id,,scripts/run_switching_corrected_old_replay_inventory_and_phi1_visual_sanity.m Name risks conflation with authoritative corrected-old.
SW_PF_00063,WARN,lint_text_scan,tables/switching_semantic_rename_plan.csv,row_11,SW_LINT_003,,Lint pattern matched (SW_LINT_003) in tables/switching_semantic_rename_plan.csv at row_11.,Use CORRECTED_CANONICAL_OLD_ANALYSIS namespace_id plus authoritative index row,,scripts/run_switching_corrected_old_replay_inventory_and_phi1_visual_sanity.m Name risks conflation with authoritative corrected-old.
SW_PF_00064,WARN,lint_text_scan,tables/switching_semantic_rename_plan.csv,row_12,SW_LINT_001,,Lint pattern matched (SW_LINT_001) in tables/switching_semantic_rename_plan.csv at row_12.,Add semantic_family_id plus source_column_class per switching_semantic_taxonomy,,scripts/run_switching_old_fig_forensic_and_canonical_replot.m Outputs under canonical figure dir.
SW_PF_00065,WARN,lint_text_scan,tables/switching_semantic_rename_plan.csv,row_17,SW_LINT_001,,Lint pattern matched (SW_LINT_001) in tables/switching_semantic_rename_plan.csv at row_17.,Add semantic_family_id plus source_column_class per switching_semantic_taxonomy,,scripts/run_switching_baseline_X_panel_style_fix.m Cosmetic overwrite canonical filenames.
