"path","file_state","module","phase1_decision","phase3_decision","bundle","risk","recommended_next_action","safe_command_later","reason"
"Switching/analysis/run_switching_canonical_first_figure_anchor.m","modified_tracked","Switching","HOLD_HUMAN_REVIEW","NEEDS_MANUAL_DIFF_REVIEW","canonical_switching_header_governance","medium","Compare header/governance block to intended sweep; per-file keep vs restore.","git diff -- ""Switching/analysis/run_switching_canonical_first_figure_anchor.m""   # or git restore -- ""Switching/analysis/run_switching_canonical_first_figure_anchor.m""","Modified Switching analysis script in governance-header batch."
"Switching/analysis/run_switching_canonical_map_backbone_residual_visualization.m","modified_tracked","Switching","HOLD_HUMAN_REVIEW","NEEDS_MANUAL_DIFF_REVIEW","canonical_switching_header_governance","medium","Compare header/governance block to intended sweep; per-file keep vs restore.","git diff -- ""Switching/analysis/run_switching_canonical_map_backbone_residual_visualization.m""   # or git restore -- ""Switching/analysis/run_switching_canonical_map_backbone_residual_visualization.m""","Modified Switching analysis script in governance-header batch."
"Switching/analysis/run_switching_canonical_map_visualization.m","modified_tracked","Switching","HOLD_HUMAN_REVIEW","NEEDS_MANUAL_DIFF_REVIEW","canonical_switching_header_governance","medium","Compare header/governance block to intended sweep; per-file keep vs restore.","git diff -- ""Switching/analysis/run_switching_canonical_map_visualization.m""   # or git restore -- ""Switching/analysis/run_switching_canonical_map_visualization.m""","Modified Switching analysis script in governance-header batch."
"Switching/analysis/run_switching_canonical_metadata_sidecar_audit.m","modified_tracked","Switching","HOLD_HUMAN_REVIEW","NEEDS_MANUAL_DIFF_REVIEW","canonical_switching_header_governance","medium","Compare header/governance block to intended sweep; per-file keep vs restore.","git diff -- ""Switching/analysis/run_switching_canonical_metadata_sidecar_audit.m""   # or git restore -- ""Switching/analysis/run_switching_canonical_metadata_sidecar_audit.m""","Modified Switching analysis script in governance-header batch."
"Switching/analysis/run_switching_canonical_observable_dictionary_audit.m","modified_tracked","Switching","HOLD_HUMAN_REVIEW","NEEDS_MANUAL_DIFF_REVIEW","canonical_switching_header_governance","medium","Compare header/governance block to intended sweep; per-file keep vs restore.","git diff -- ""Switching/analysis/run_switching_canonical_observable_dictionary_audit.m""   # or git restore -- ""Switching/analysis/run_switching_canonical_observable_dictionary_audit.m""","Modified Switching analysis script in governance-header batch."
"Switching/analysis/run_switching_canonical_ptcdf_collapse_overlay.m","modified_tracked","Switching","HOLD_HUMAN_REVIEW","NEEDS_MANUAL_DIFF_REVIEW","canonical_switching_header_governance","medium","Compare header/governance block to intended sweep; per-file keep vs restore.","git diff -- ""Switching/analysis/run_switching_canonical_ptcdf_collapse_overlay.m""   # or git restore -- ""Switching/analysis/run_switching_canonical_ptcdf_collapse_overlay.m""","Modified Switching analysis script in governance-header batch."
"Switching/analysis/run_switching_canonical_reconstruction_visualization.m","modified_tracked","Switching","HOLD_HUMAN_REVIEW","NEEDS_MANUAL_DIFF_REVIEW","canonical_switching_header_governance","medium","Compare header/governance block to intended sweep; per-file keep vs restore.","git diff -- ""Switching/analysis/run_switching_canonical_reconstruction_visualization.m""   # or git restore -- ""Switching/analysis/run_switching_canonical_reconstruction_visualization.m""","Modified Switching analysis script in governance-header batch."
"Switching/analysis/run_switching_canonical_root_pipeline_isolation.m","modified_tracked","Switching","HOLD_HUMAN_REVIEW","NEEDS_MANUAL_DIFF_REVIEW","canonical_switching_header_governance","medium","Compare header/governance block to intended sweep; per-file keep vs restore.","git diff -- ""Switching/analysis/run_switching_canonical_root_pipeline_isolation.m""   # or git restore -- ""Switching/analysis/run_switching_canonical_root_pipeline_isolation.m""","Modified Switching analysis script in governance-header batch."
"Switching/analysis/run_switching_canonical_transition_highT_diagnostics.m","modified_tracked","Switching","HOLD_HUMAN_REVIEW","NEEDS_MANUAL_DIFF_REVIEW","canonical_switching_header_governance","medium","Compare header/governance block to intended sweep; per-file keep vs restore.","git diff -- ""Switching/analysis/run_switching_canonical_transition_highT_diagnostics.m""   # or git restore -- ""Switching/analysis/run_switching_canonical_transition_highT_diagnostics.m""","Modified Switching analysis script in governance-header batch."
"Switching/analysis/run_switching_collapse_breakdown_analysis.m","modified_tracked","Switching","HOLD_HUMAN_REVIEW","NEEDS_MANUAL_DIFF_REVIEW","canonical_switching_header_governance","medium","Compare header/governance block to intended sweep; per-file keep vs restore.","git diff -- ""Switching/analysis/run_switching_collapse_breakdown_analysis.m""   # or git restore -- ""Switching/analysis/run_switching_collapse_breakdown_analysis.m""","Modified Switching analysis script in governance-header batch."
"Switching/analysis/run_switching_collapse_subrange_analysis.m","modified_tracked","Switching","HOLD_HUMAN_REVIEW","NEEDS_MANUAL_DIFF_REVIEW","canonical_switching_header_governance","medium","Compare header/governance block to intended sweep; per-file keep vs restore.","git diff -- ""Switching/analysis/run_switching_collapse_subrange_analysis.m""   # or git restore -- ""Switching/analysis/run_switching_collapse_subrange_analysis.m""","Modified Switching analysis script in governance-header batch."
"Switching/analysis/run_switching_geocanon_descriptor_audit.m","modified_tracked","Switching","HOLD_HUMAN_REVIEW","NEEDS_MANUAL_DIFF_REVIEW","canonical_switching_header_governance","medium","Compare header/governance block to intended sweep; per-file keep vs restore.","git diff -- ""Switching/analysis/run_switching_geocanon_descriptor_audit.m""   # or git restore -- ""Switching/analysis/run_switching_geocanon_descriptor_audit.m""","Modified Switching analysis script in governance-header batch."
"Switching/analysis/run_switching_mode_hierarchy_synthesis_audit.m","modified_tracked","Switching","HOLD_HUMAN_REVIEW","NEEDS_MANUAL_DIFF_REVIEW","canonical_switching_header_governance","medium","Compare header/governance block to intended sweep; per-file keep vs restore.","git diff -- ""Switching/analysis/run_switching_mode_hierarchy_synthesis_audit.m""   # or git restore -- ""Switching/analysis/run_switching_mode_hierarchy_synthesis_audit.m""","Modified Switching analysis script in governance-header batch."
"Switching/analysis/run_switching_phi1_kappa1_experimental_replay.m","modified_tracked","Switching","HOLD_HUMAN_REVIEW","NEEDS_MANUAL_DIFF_REVIEW","canonical_switching_header_governance","medium","Compare header/governance block to intended sweep; per-file keep vs restore.","git diff -- ""Switching/analysis/run_switching_phi1_kappa1_experimental_replay.m""   # or git restore -- ""Switching/analysis/run_switching_phi1_kappa1_experimental_replay.m""","Modified Switching analysis script in governance-header batch."
"Switching/analysis/run_switching_phi2_replacement_audit.m","modified_tracked","Switching","HOLD_HUMAN_REVIEW","NEEDS_MANUAL_DIFF_REVIEW","canonical_switching_header_governance","medium","Compare header/governance block to intended sweep; per-file keep vs restore.","git diff -- ""Switching/analysis/run_switching_phi2_replacement_audit.m""   # or git restore -- ""Switching/analysis/run_switching_phi2_replacement_audit.m""","Modified Switching analysis script in governance-header batch."
"Switching/analysis/switching_residual_decomposition_analysis.m","modified_tracked","Switching","HOLD_HUMAN_REVIEW","NEEDS_MANUAL_DIFF_REVIEW","canonical_switching_header_governance","medium","Compare header/governance block to intended sweep; per-file keep vs restore.","git diff -- ""Switching/analysis/switching_residual_decomposition_analysis.m""   # or git restore -- ""Switching/analysis/switching_residual_decomposition_analysis.m""","Modified Switching analysis script in governance-header batch."
"docs/switching_governance_persistence_manifest.md","modified_tracked","Switching","HOLD_HUMAN_REVIEW","NEEDS_MANUAL_DIFF_REVIEW","gitignore_and_governance_docs","medium","Confirm manifest edits align with persistence charter.","git diff -- ""docs/switching_governance_persistence_manifest.md""","Governance manifest under docs/."
"figures/switching/diagnostics/switching_gauge_atlas_G001_G254_G014_preview.png","modified_tracked","Switching","ARCHIVE_OR_QUARANTINE_LATER","MOVE_TO_QUARANTINE_LATER","gauge_atlas_visualization","medium","File-system archive copy of binary; then intentional commit or path-specific restore to HEAD.","(copy file to approved archive) then git restore -- ""figures/switching/diagnostics/switching_gauge_atlas_G001_G254_G014_preview.png""   # only after copy if discarding","Tracked diagnostic PNG; retention policy required before discard."
"reports/switching_gauge_atlas_preview.md","modified_tracked","Switching","ARCHIVE_OR_QUARANTINE_LATER","NEEDS_MANUAL_DIFF_REVIEW","gauge_atlas_visualization","medium","Review narrative/table delta vs gauge pipeline intent.","git diff -- ""reports/switching_gauge_atlas_preview.md""","Gauge preview report (Phase1 ARCHIVE track)."
"scripts/run_switching_canonical_map_spine.ps1","modified_tracked","Switching","HOLD_HUMAN_REVIEW","KEEP_FOR_FUTURE_COMMIT","gauge_atlas_visualization","medium","Bundle with gauge CSV/PNG decision in one scoped maintenance commit if approved.","git add -f -- ""scripts/run_switching_canonical_map_spine.ps1""   # explicit path only","Gauge atlas driver scripts."
"scripts/run_switching_gauge_atlas_preview.m","modified_tracked","Switching","HOLD_HUMAN_REVIEW","KEEP_FOR_FUTURE_COMMIT","gauge_atlas_visualization","medium","Bundle with gauge CSV/PNG decision in one scoped maintenance commit if approved.","git add -f -- ""scripts/run_switching_gauge_atlas_preview.m""   # explicit path only","Gauge atlas driver scripts."
"tables/switching_analysis_classification_status.csv","modified_tracked","Switching","HOLD_HUMAN_REVIEW","KEEP_FOR_FUTURE_COMMIT","gauge_atlas_visualization","low","Commit with gauge bundle after confirming metric semantics.","git add -f -- ""tables/switching_analysis_classification_status.csv""   # explicit path only","Gauge-related CSV deltas."
"tables/switching_gauge_atlas_baseline_vs_stabilized.csv","modified_tracked","Switching","HOLD_HUMAN_REVIEW","KEEP_FOR_FUTURE_COMMIT","gauge_atlas_visualization","low","Commit with gauge bundle after confirming metric semantics.","git add -f -- ""tables/switching_gauge_atlas_baseline_vs_stabilized.csv""   # explicit path only","Gauge-related CSV deltas."
"tables/switching_gauge_atlas_preview_status.csv","modified_tracked","Switching","HOLD_HUMAN_REVIEW","KEEP_FOR_FUTURE_COMMIT","gauge_atlas_visualization","low","Commit with gauge bundle after confirming metric semantics.","git add -f -- ""tables/switching_gauge_atlas_preview_status.csv""   # explicit path only","Gauge-related CSV deltas."
"Switching/diagnostics/run_switching_cdf_backbone_repair_aggressiveness_audit.m","untracked","Switching","KEEP_AND_TRACK_LATER","KEEP_FOR_FUTURE_COMMIT","miscellaneous_switching_helpers","medium","Review content; then explicit git add -f in scoped maintenance commit.","git add -f -- ""Switching/diagnostics/run_switching_cdf_backbone_repair_aggressiveness_audit.m""   # after review","Phase1 KEEP_AND_TRACK_LATER helper."
"docs/decisions/switching_main_narrative_namespace_decision.md","untracked","Repo","HOLD_HUMAN_REVIEW","NEEDS_MANUAL_DIFF_REVIEW","gitignore_and_governance_docs","medium","Decide docs vs reports home; then optional explicit add.","git add -f -- ""docs/decisions/switching_main_narrative_namespace_decision.md""   # after policy","Namespace narrative decision memo."
"reports/maintenance/dirty_tree_retention_decision_audit.md","untracked","Maintenance","POST_PHASE1_MAINTENANCE_OUTPUT","KEEP_FOR_FUTURE_COMMIT","governance_and_maintenance_artifacts","low","Stage in a narrow maintenance commit after Phase 4 review (explicit git add -f per path).","git add -f -- ""reports/maintenance/dirty_tree_retention_decision_audit.md""   # after approval only","Phase 1/2 audit deliverable; not in original Phase 1 dirty-tree CSV."
"reports/maintenance/phase2_minimal_cleanup.md","untracked","Maintenance","POST_PHASE1_MAINTENANCE_OUTPUT","KEEP_FOR_FUTURE_COMMIT","governance_and_maintenance_artifacts","low","Stage in a narrow maintenance commit after Phase 4 review (explicit git add -f per path).","git add -f -- ""reports/maintenance/phase2_minimal_cleanup.md""   # after approval only","Phase 1/2 audit deliverable; not in original Phase 1 dirty-tree CSV."
"run_switching_fixed_T_current_cuts_canonical_replay.m","untracked","Switching","KEEP_AND_TRACK_LATER","KEEP_FOR_FUTURE_COMMIT","old_x_old_figure_replay_scripts","medium","Review content; then explicit git add -f in scoped maintenance commit.","git add -f -- ""run_switching_fixed_T_current_cuts_canonical_replay.m""   # after review","Phase1 KEEP_AND_TRACK_LATER helper."
"scripts/run_sw_corr_old_replay_auth.m","untracked","Switching","ARCHIVE_OR_QUARANTINE_LATER","MOVE_TO_QUARANTINE_LATER","corrected_old_replay_and_quarantine_scripts","high","Quarantine registry alignment before track or delete.","(manual: copy to quarantine + update tables/switching_quarantine_index.csv)","Phase1 ARCHIVE; corrected-old / replay-auth forensics naming hazard."
"scripts/run_sw_old_inv_phi1_viz.m","untracked","Switching","ARCHIVE_OR_QUARANTINE_LATER","MOVE_TO_QUARANTINE_LATER","corrected_old_replay_and_quarantine_scripts","high","Quarantine registry alignment before track or delete.","(manual: copy to quarantine + update tables/switching_quarantine_index.csv)","Phase1 ARCHIVE; corrected-old / replay-auth forensics naming hazard."
"scripts/run_switching_baseline_X_panel_style_fix.m","untracked","Switching","KEEP_AND_TRACK_LATER","KEEP_FOR_FUTURE_COMMIT","old_x_old_figure_replay_scripts","medium","Review content; then explicit git add -f in scoped maintenance commit.","git add -f -- ""scripts/run_switching_baseline_X_panel_style_fix.m""   # after review","Phase1 KEEP_AND_TRACK_LATER helper."
"scripts/run_switching_canonical_X_panel_orientation_repair.m","untracked","Switching","KEEP_AND_TRACK_LATER","KEEP_FOR_FUTURE_COMMIT","old_x_old_figure_replay_scripts","medium","Review content; then explicit git add -f in scoped maintenance commit.","git add -f -- ""scripts/run_switching_canonical_X_panel_orientation_repair.m""   # after review","Phase1 KEEP_AND_TRACK_LATER helper."
"scripts/run_switching_corrected_old_replay_inventory_and_phi1_visual_sanity.m","untracked","Switching","ARCHIVE_OR_QUARANTINE_LATER","MOVE_TO_QUARANTINE_LATER","corrected_old_replay_and_quarantine_scripts","high","Quarantine registry alignment before track or delete.","(manual: copy to quarantine + update tables/switching_quarantine_index.csv)","Phase1 ARCHIVE; corrected-old / replay-auth forensics naming hazard."
"scripts/run_switching_gauge_component_numeric_summary.m","untracked","Switching","KEEP_AND_TRACK_LATER","KEEP_FOR_FUTURE_COMMIT","gauge_atlas_visualization","medium","Review content; then explicit git add -f in scoped maintenance commit.","git add -f -- ""scripts/run_switching_gauge_component_numeric_summary.m""   # after review","Phase1 KEEP_AND_TRACK_LATER helper."
"scripts/run_switching_gauge_component_stability_preview.m","untracked","Switching","KEEP_AND_TRACK_LATER","KEEP_FOR_FUTURE_COMMIT","gauge_atlas_visualization","medium","Review content; then explicit git add -f in scoped maintenance commit.","git add -f -- ""scripts/run_switching_gauge_component_stability_preview.m""   # after review","Phase1 KEEP_AND_TRACK_LATER helper."
"scripts/run_switching_normalized_X_robustness.m","untracked","Switching","KEEP_AND_TRACK_LATER","KEEP_FOR_FUTURE_COMMIT","gauge_atlas_visualization","medium","Review content; then explicit git add -f in scoped maintenance commit.","git add -f -- ""scripts/run_switching_normalized_X_robustness.m""   # after review","Phase1 KEEP_AND_TRACK_LATER helper."
"scripts/run_switching_oldX_functional_replay_audit.ps1","untracked","Switching","KEEP_AND_TRACK_LATER","KEEP_FOR_FUTURE_COMMIT","old_x_old_figure_replay_scripts","medium","Review content; then explicit git add -f in scoped maintenance commit.","git add -f -- ""scripts/run_switching_oldX_functional_replay_audit.ps1""   # after review","Phase1 KEEP_AND_TRACK_LATER helper."
"scripts/run_switching_old_fig_forensic_and_canonical_replot.m","untracked","Switching","ARCHIVE_OR_QUARANTINE_LATER","MOVE_TO_QUARANTINE_LATER","old_x_old_figure_replay_scripts","high","Figure replay / style-fix tooling: quarantine or dedicated diagnostics task only.","(manual: copy to quarantine + registry) OR git add -f -- ""scripts/run_switching_old_fig_forensic_and_canonical_replot.m""   # only if explicitly adopting as tracked diagnostics","Phase1 ARCHIVE; figure-adjacent replay tooling."
"scripts/run_switching_stabilized_gauge_figure_replay.m","untracked","Switching","ARCHIVE_OR_QUARANTINE_LATER","MOVE_TO_QUARANTINE_LATER","old_x_old_figure_replay_scripts","high","Figure replay / style-fix tooling: quarantine or dedicated diagnostics task only.","(manual: copy to quarantine + registry) OR git add -f -- ""scripts/run_switching_stabilized_gauge_figure_replay.m""   # only if explicitly adopting as tracked diagnostics","Phase1 ARCHIVE; figure-adjacent replay tooling."
"scripts/run_switching_stabilized_gauge_robustness_summary.m","untracked","Switching","ARCHIVE_OR_QUARANTINE_LATER","MOVE_TO_QUARANTINE_LATER","old_x_old_figure_replay_scripts","high","Figure replay / style-fix tooling: quarantine or dedicated diagnostics task only.","(manual: copy to quarantine + registry) OR git add -f -- ""scripts/run_switching_stabilized_gauge_robustness_summary.m""   # only if explicitly adopting as tracked diagnostics","Phase1 ARCHIVE; figure-adjacent replay tooling."
"scripts/run_switching_stabilized_gauge_xpanel_style_fix.m","untracked","Switching","ARCHIVE_OR_QUARANTINE_LATER","MOVE_TO_QUARANTINE_LATER","old_x_old_figure_replay_scripts","high","Figure replay / style-fix tooling: quarantine or dedicated diagnostics task only.","(manual: copy to quarantine + registry) OR git add -f -- ""scripts/run_switching_stabilized_gauge_xpanel_style_fix.m""   # only if explicitly adopting as tracked diagnostics","Phase1 ARCHIVE; figure-adjacent replay tooling."
"tables/maintenance_phase3_human_review_refinement.csv","untracked","Maintenance","POST_PHASE3_MAINTENANCE_OUTPUT","KEEP_FOR_FUTURE_COMMIT","governance_and_maintenance_artifacts","low","After Phase 4 approval, stage with explicit git add -f (this Phase 3 deliverable).","git add -f -- ""tables/maintenance_phase3_human_review_refinement.csv""   # after approval only","Phase 3 maintenance deliverable generated in this pass."
"reports/maintenance/phase3_human_review_refinement.md","untracked","Maintenance","POST_PHASE3_MAINTENANCE_OUTPUT","KEEP_FOR_FUTURE_COMMIT","governance_and_maintenance_artifacts","low","After Phase 4 approval, stage with explicit git add -f (this Phase 3 deliverable).","git add -f -- ""reports/maintenance/phase3_human_review_refinement.md""   # after approval only","Phase 3 maintenance deliverable generated in this pass."
