path_or_violation_id,item_type,current_state,phase_1_5_evidence_source,in_canonical_runtime_closure,reachability_note,classification_verdict,runtime_truth_impact,blocking_status,required_action_class,rationale
docs/templates/,directory,deferred_preserved,NO,"Templates not on MATLAB path for run.",GOVERNANCE_ONLY,"None unless batch uses template.",NON_BLOCKING,"NO_ACTION","Defer per manual review."
tables/CANONICAL_ANALYSIS_COMPLETE.txt,artifact,deletion_deferred,"boundary_breach_inventory; manual_review_resolution",NO,"Not runtime code.",GOVERNANCE_ONLY,"None.",NON_BLOCKING,"NO_ACTION","Retention decision pending."
tables/phi_kappa_canonical_verdict.csv,artifact,deletion_deferred,NO,NO,"Not closure.",GOVERNANCE_ONLY,"None.",NON_BLOCKING,"NO_ACTION","Governance table state."
tables/phi_kappa_stability_canonical_status.csv,artifact,deletion_deferred,NO,NO,"Not closure.",GOVERNANCE_ONLY,"None.",NON_BLOCKING,"NO_ACTION","Governance table state."
tables/phi_kappa_stability_canonical_summary.csv,artifact,deletion_deferred,NO,NO,"Not closure.",GOVERNANCE_ONLY,"None.",NON_BLOCKING,"NO_ACTION","Governance table state."
tables/runtime_execution_markers_fallback.txt,file,deferred_preserved,NO,"Evidence file.",GOVERNANCE_ONLY,"Observability evidence only.",NON_BLOCKING_BUT_UNSAFE,"NO_ACTION","Preserves evidence of fallback writes; not loaded by canonical MATLAB chain."
tables/ (bulk legacy deletions aggregate),other,deferred_policy,NO,"Not a file.",GOVERNANCE_ONLY,"Repo hygiene.",NON_BLOCKING,"NO_ACTION","Out of runtime closure scope."
tools/classify_run_status.m,deferred_tool,deferred_modified,"manual_review_resolution.csv",NO,"Not imported by closure.",GOVERNANCE_ONLY,"Automation only if invoked.",NON_BLOCKING_BUT_UNSAFE,"RECLASSIFY_ONLY","MEDIUM automation risk; not canonical runtime truth."
tools/enforce_canonical_phi1_source.m,deferred_tool,deferred_modified,NO,NO,"Not in closure.",GOVERNANCE_ONLY,"Optional enforcement.",NON_BLOCKING_BUT_UNSAFE,"RECLASSIFY_ONLY","Governance-adjacent."
tools/ensure_dir.m,deferred_tool,deferred_modified,NO,NO,"Generic utility.",GOVERNANCE_ONLY,"If used by wrappers.",NON_BLOCKING_BUT_UNSAFE,"RECLASSIFY_ONLY","Defer dependency audit."
tools/get_run_status_value.m,deferred_tool,deferred_modified,NO,NO,"Not in closure.",GOVERNANCE_ONLY,"Automation.",NON_BLOCKING_BUT_UNSAFE,"RECLASSIFY_ONLY","Defer."
tools/getLatestRun.m,deferred_tool,deferred_modified,NO,NO,"Not in closure.",GOVERNANCE_ONLY,"Runner helpers.",NON_BLOCKING_BUT_UNSAFE,"RECLASSIFY_ONLY","Defer."
tools/load_observables.m,deferred_tool,deferred_modified,NO,NO,"Not in closure.",GOVERNANCE_ONLY,"Loader.",NON_BLOCKING_BUT_UNSAFE,"RECLASSIFY_ONLY","Defer."
tools/load_run.m,deferred_tool,deferred_modified,NO,NO,"Not in closure.",GOVERNANCE_ONLY,"Loader.",NON_BLOCKING_BUT_UNSAFE,"RECLASSIFY_ONLY","Defer."
tools/resolve_results_input_dir.m,deferred_tool,deferred_modified,NO,NO,"Not in closure.",GOVERNANCE_ONLY,"Path resolution.",NON_BLOCKING_BUT_UNSAFE,"RECLASSIFY_ONLY","Defer."
tools/run_artifact_path.m,deferred_tool,deferred_modified,NO,NO,"Not in closure.",GOVERNANCE_ONLY,"Helper.",NON_BLOCKING_BUT_UNSAFE,"RECLASSIFY_ONLY","Defer."
tools/switching_canonical_control_scan.ps1,deferred_tool,deferred_modified,NO,NO,"PS1 not MATLAB closure.",GOVERNANCE_ONLY,"Scan automation.",NON_BLOCKING_BUT_UNSAFE,"RECLASSIFY_ONLY","Defer."
tools/switching_canonical_run_closure.m,deferred_tool,deferred_modified,NO,"Name suggests closure audit; not in 16-file list.",GOVERNANCE_ONLY,"Not required for run_switching_canonical execution.",NON_BLOCKING_BUT_UNSAFE,"RECLASSIFY_ONLY","Defer; optional audit helper."
