"FILE_ROLE","RISK_TIER","SCRIPT","genpath_Aging","Aging_utils_only","legacy_Switching_ver12","General_ver2_or_Tools","repo_tables","relaxation_results","aging_results","cross_experiment","hardcoded_dev","resolve_results_input_dir","switching_canonical_run_root","getLatestRun","assertModulesCanonical","modules_used_assignment","relaxation_related_name_or_table"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_kappa2_physical_necessity.m","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1"
"ANALYSIS_OR_RUNNER","LOW","Switching/analysis/run_minimal_canonical.m","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","MEDIUM","Switching/analysis/run_parameter_robustness_switching_canonical.m","0","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_phi_asymmetry_link.m","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_phi_even_deformation_test.m","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_phi_physical_identification.m","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_phi_physical_structure_test.m","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_phi_pt_independence_test.m","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","MEDIUM","Switching/analysis/run_phi_pt_restricted_deformation.m","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","LOW","Switching/analysis/run_phi_pt_restricted_deformation_5_1.m","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","LOW","Switching/analysis/run_phi_pt_restricted_deformation_stable.m","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_phi_temperature_derivative_test.m","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_phi1_observable_phi2_driver_test.m","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_phi1_phi2_observable_closure_fixed.m","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_phi1_phi2_observable_closure_test.m","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_phi2_deformation_structure_test.m","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_phi2_extended_deformation_basis_test.m","1","0","0","0","1","0","0","0","1","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_phi2_kappa2_canonical_residual_mode.m","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_phi2_second_order_deformation_test.m","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_phi2_shape_physics_test.m","1","0","0","0","1","0","0","0","1","0","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_prediction_falsification_test.m","1","0","0","0","1","0","0","1","0","0","1","0","0","0","1"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_pt_deformation_mode_test.m","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_pt_energy_extraction_robustness_audit.m","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_PT_kappa_relaxation_mapping.m","0","0","0","0","1","1","0","0","1","0","0","0","0","0","1"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_PT_to_relaxation_mapping.m","0","0","0","0","0","1","0","0","1","0","0","0","0","0","1"
"ANALYSIS_OR_RUNNER","MEDIUM","Switching/analysis/run_pt_width_spread_observable_analysis.m","0","1","0","0","1","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_relaxation_deep_search.m","0","0","0","0","1","1","0","0","1","0","0","0","0","0","1"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_relaxation_extraction_from_known_runs.m","0","0","0","0","1","1","0","0","1","0","0","0","0","0","1"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_relaxation_outlier_audit.m","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_relaxation_outlier_audit_no_toolbox.m","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_residual_decomposition_22k_failure_audit.m","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","MEDIUM","Switching/analysis/run_residual_rank2_audit.m","0","0","0","0","1","0","0","0","0","0","1","0","0","0","1"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_residual_sector_robustness.m","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_residual_temperature_structure_test.m","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_switching_canonical.m","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_switching_peak_jump_audit.m","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_tail_ablation_test.m","0","1","0","0","1","0","0","1","0","0","1","0","0","0","1"
"ANALYSIS_OR_RUNNER","MEDIUM","Switching/analysis/run_trajectory_geometry_aging_test.m","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/run_validate_relaxation_dataset.m","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1"
"ANALYSIS_OR_RUNNER","MEDIUM","Switching/analysis/run_width_decomposition_test.m","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","LOW","Switching/analysis/run_width_interaction_closure_test.m","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","MEDIUM","Switching/analysis/run_width_interaction_closure_test_v2.m","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"HELPER","LOW","Switching/analysis/sanitizeMD.m","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HELPER","LOW","Switching/analysis/spearmanCorrelation.m","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/switching_a1_vs_curvature_test.m","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/switching_alignment_audit.m","1","0","1","0","0","0","0","0","0","0","1","0","0","0","1"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/switching_dynamic_shape_geometry_match_analysis.m","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/switching_dynamic_shape_mode_analysis.m","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/switching_effective_observables.m","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/switching_energy_mapping_analysis.m","1","0","0","0","1","0","0","0","0","0","1","1","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/switching_energy_scale_collapse_filtered.m","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/switching_full_scaling_collapse.m","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/switching_full_scaling_collapse_figure_repair.m","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/switching_geometry_diagnostics.m","1","0","0","0","1","0","0","0","0","0","1","0","0","0","1"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/switching_mechanism_followup.m","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/switching_mechanism_survey.m","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/switching_mode23_analysis.m","1","0","0","0","0","0","0","0","0","1","0","0","0","0","1"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/switching_observable_basis_test.m","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/switching_observable_stability_survey.m","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/switching_residual_collapse_verification_analysis.m","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/switching_residual_decomposition_analysis.m","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/switching_ridge_curvature_analysis.m","1","0","0","0","1","1","0","0","0","0","1","0","0","0","1"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/switching_ridge_susceptibility_analysis.m","1","0","0","0","1","0","0","0","0","0","1","0","0","0","1"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/switching_ridge_susceptibility_test.m","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/switching_second_coordinate_duel.m","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/switching_second_structural_observable_search.m","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/switching_shape_rank_analysis.m","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/switching_translation_mode_test.m","1","0","0","0","1","0","0","0","0","0","1","0","0","0","0"
"ANALYSIS_OR_RUNNER","HIGH","Switching/analysis/switching_XI_Xshape_analysis.m","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"HELPER","LOW","Switching/analysis/tiedRankLocal.m","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HELPER","LOW","Switching/analysis/toDoubleColumn.m","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"HELPER","LOW","Switching/analysis/yesno.m","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
