observable_name,observable_category,source_table,source_columns,aggregation_method,unit,required_quality_gates,readiness_level,allowed_interpretation,forbidden_interpretation
mt_M_clean_max_emu_per_scope,basic_summary,mt_points_derived.csv,M_emu_clean;file_id;segment_id,MAX of M_emu_clean over scope,emu,G01;G02;G03;G04;G07;G11;QG_MIN_POINTS,DIAGNOSTIC_COVERAGE_ONLY,Upper envelope of cleaned moment in scope.,Saturation magnetization without composition and demag model.
mt_M_clean_range_span_emu_per_scope,basic_summary,mt_points_derived.csv,M_emu_clean;file_id;segment_id,MAX(M_emu_clean)-MIN(M_emu_clean) over scope,emu,G01;G02;G03;G04;G07;G11;QG_MIN_POINTS,DIAGNOSTIC_COVERAGE_ONLY,Total swing of cleaned moment over sampled T in scope.,Coercivity; remanence; phase transition amplitude.
mt_M_over_H_min_emu_per_Oe_per_scope,basic_summary,mt_points_derived.csv,M_over_H_emu_per_Oe;H_Oe;file_id;segment_id,MIN of M_over_H over rows with abs(H_Oe)>H_ABS_GT_EPS_Oe and finite M_over_H,emu_per_Oe,G01;G02;G03;G04;G07;G11;QG_FIELD_NONZERO;QG_MIN_POINTS,DIAGNOSTIC_COVERAGE_ONLY,Descriptive bound of M/H proxy where field nonzero.,Linear susceptibility in the thermodynamic limit; demagnetization-corrected chi.
mt_M_over_H_max_emu_per_Oe_per_scope,basic_summary,mt_points_derived.csv,M_over_H_emu_per_Oe;H_Oe;file_id;segment_id,MAX of M_over_H over rows with abs(H_Oe)>H_ABS_GT_EPS_Oe and finite M_over_H,emu_per_Oe,G01;G02;G03;G04;G07;G11;QG_FIELD_NONZERO;QG_MIN_POINTS,DIAGNOSTIC_COVERAGE_ONLY,Descriptive bound of M/H proxy where field nonzero.,Same as mt_M_over_H_min forbidden list.
mt_M_over_H_range_span_emu_per_Oe_per_scope,basic_summary,mt_points_derived.csv,M_over_H_emu_per_Oe;H_Oe;file_id;segment_id,MAX(M_over_H)-MIN(M_over_H) over nonzero-field valid rows,emu_per_Oe,G01;G02;G03;G04;G07;G11;QG_FIELD_NONZERO;QG_MIN_POINTS,DIAGNOSTIC_COVERAGE_ONLY,Spread of M/H proxy where defined.,Field-dependent susceptibility phase transitions; critical scaling.
mt_dM_dT_peak_value_candidate_emu_per_K,transition_shape_candidate,mt_points_derived.csv,dM_dT_emu_per_K;T_K;file_id;segment_id,MAX of abs(dM_dT) over scope (finite values only),emu_per_K,G01;G02;G03;G04;G07;G11;QG_DERIVATIVE_POLICY;QG_MIN_POINTS;QG_TIME_AXIS,CANDIDATE_BLOCKED_PENDING_POLICY,Largest magnitude of declared dM/dT channel in scope as a shape sharpness probe.,True transition sharpness; latent heat; order-parameter divergence.
mt_transition_width_candidate_K,transition_shape_candidate,mt_points_derived.csv,dM_dT_emu_per_K;T_K;file_id;segment_id,FWHM-like width along T of abs(dM_dT) after derivative policy specifies baseline and crossings,K,G01;G02;G03;G04;G07;G11;QG_DERIVATIVE_POLICY;QG_MIN_POINTS;QG_TIME_AXIS,CANDIDATE_BLOCKED_PENDING_POLICY,Heuristic width of a single peak feature in abs(dM/dT) under fixed algorithm.,Correlation length; critical exponent nu; definitive transition width.
mt_transition_midpoint_T_candidate_K,transition_shape_candidate,mt_points_derived.csv,dM_dT_emu_per_K;T_K;file_id;segment_id,Midpoint T between outer crossings at half-max of abs(dM_dT) peak per derivative policy,K,G01;G02;G03;G04;G07;G11;QG_DERIVATIVE_POLICY;QG_MIN_POINTS;QG_TIME_AXIS,CANDIDATE_BLOCKED_PENDING_POLICY,Algorithmic midpoint of a peak feature in abs(dM/dT).,Tc; equilibrium transition temperature; comparison to literature Tc.
mt_T_at_max_abs_dM_dT_candidate_K,transition_shape_candidate,mt_points_derived.csv,dM_dT_emu_per_K;T_K;file_id;segment_id,T_K at row where abs(dM_dT) is maximal breaking ties by lowest row_index,K,G01;G02;G03;G04;G07;G11;QG_DERIVATIVE_POLICY;QG_MIN_POINTS;QG_TIME_AXIS,CANDIDATE_BLOCKED_PENDING_POLICY,Temperature coordinate of steepest modeled slope in the implemented derivative sense.,Kramers-Kronig consistency; dynamic crossover temperature; Tc.
mt_zfc_fcw_M_median_splitting_candidate_emu,zfc_fcc_fcw_placeholder,mt_points_derived.csv,M_emu_clean;T_K;segment_type;file_id,MEDIAN(M)_ZFC minus MEDIAN(M)_FCW evaluated on common T-bin intersection per binning policy (placeholder aggregation),emu,G01;G02;G03;G04;G10;G11;QG_SEGMENT_ANNOTATION;QG_ZFC_FCW_OVERLAP;QG_MIN_POINTS,PLACEHOLDER_DIAGNOSTIC_ONLY,Descriptive difference of location statistics when bins overlap; protocol contrast probe.,Equilibrium bifurcation; supercooling; irreversibility field; any Aging or Relaxation coupling.
mt_hysteresis_like_M_median_difference_candidate_emu,zfc_fcc_fcw_placeholder,mt_points_derived.csv,M_emu_clean;T_K;segment_direction_sign;segment_id;file_id,MEDIAN(M) on increasing-T segments minus MEDIAN(M) on decreasing-T segments on overlapping T support per policy,emu,G01;G02;G03;G04;G10;G11;QG_SEGMENT_ANNOTATION;QG_OVERLAP_RAMP_DIRECTION;QG_MIN_POINTS,PLACEHOLDER_DIAGNOSTIC_ONLY,Descriptive contrast between opposed ramp directions on overlapping T windows.,True hysteresis loop area; first-order transition; metastability without field protocol audit.
mt_segment_pair_T_overlap_fraction_min,zfc_fcc_fcw_placeholder,mt_points_derived.csv,T_K;segment_type;file_id,MIN over required segment-type pairs of overlap_length_K divided by min(span_K) for that pair,1,G01;G02;G03;G04;G10;G11;QG_SEGMENT_ANNOTATION;QG_ZFC_FCW_OVERLAP,PLACEHOLDER_DIAGNOSTIC_ONLY,Scalar gate-friendly overlap metric for comparing segments on temperature axis.,Physical equivalence of compared segments; identical thermal histories.
mt_M_norm_value_per_scope,normalization_dependent,mt_points_derived.csv,M_norm_emu_per_g;sample_mass_g;file_id;segment_id,MEAN of M_norm over rows with finite M_norm and finite positive sample_mass_g,emu_per_g,G01;G02;G03;G04;G07;G11;QG_MASS_PROVENANCE;QG_MIN_POINTS,BLOCKED_PENDING_PROVENANCE,When unblocked by mass gate only: descriptive mass-normalized moment average in scope.,Specific magnetization of a pure phase; comparison to theoretical spin-only moment.
mt_chi_mass_value_per_scope,normalization_dependent,mt_points_derived.csv,chi_mass_emu_per_g_per_Oe;sample_mass_g;H_Oe;file_id;segment_id,MEAN of chi_mass over rows with finite chi_mass finite mass and abs(H_Oe)>H_ABS_GT_EPS_Oe,emu_per_g_per_Oe,G01;G02;G03;G04;G07;G11;QG_MASS_PROVENANCE;QG_FIELD_NONZERO;QG_MIN_POINTS,BLOCKED_PENDING_PROVENANCE,When unblocked only: descriptive average of declared mass-normalized susceptibility proxy.,Linear response susceptibility including demagnetization correction; critical exponent gamma.
