"script_path","category","purpose","status","complexity","dependencies_notes"
"analysis/barrier_observable_test.m","unknown","barrier_observable_test","BROKEN","MEDIUM","expects observables.csv; uses readtable"
"analysis/common_dynamical_subspace_analysis.m","unknown","common dynamical subspace analysis.m","WORKING","SIMPLE","expects observables.csv; reads config_snapshot; uses readtable"
"analysis/creep_activation_scaling.m","unknown","creep_activation_scaling","WORKING","MEDIUM","uses readtable"
"analysis/cross_experiment_observables.m","cross-experiment","cross_experiment_observables","WORKING","SIMPLE","uses innerjoin"
"analysis/effective_observables_catalog_run.m","unknown","effective_observables_catalog_run","BROKEN","MEDIUM","expects observables.csv; uses readtable"
"analysis/export_deformation_closure_figs.m","infrastructure","Reads tables/deformation_closure_metrics.csv and exports repo-root figures.","BROKEN","SIMPLE","uses readtable"
"analysis/finalize_relaxation_aging_run.m","unknown","finalize relaxation aging run.m","BROKEN","SIMPLE","reads config_snapshot; uses readtable"
"analysis/get_canonical_X.m","unknown","GET_CANONICAL_X Load canonical switching X(T) from the fixed run export.","WORKING","SIMPLE","expects observables.csv; uses readtable"
"analysis/knowledge/load_run_evidence.m","infrastructure","load_run_evidence","PARTIAL","SIMPLE","uses readtable"
"analysis/motion_activity_comparison.m","unknown","motion_activity_comparison","WORKING","MEDIUM","expects observables.csv; uses readtable"
"analysis/observable_basis_sufficiency_robustness_audit.m","infrastructure","observable_basis_sufficiency_robustness_audit","BROKEN","MEDIUM","uses readtable"
"analysis/observable_basis_sufficiency_test.m","unknown","observable_basis_sufficiency_test","BROKEN","MEDIUM","uses readtable"
"analysis/observable_catalog_completion.m","unknown","observable_catalog_completion","BROKEN","MEDIUM","expects observables.csv; uses readtable"
"analysis/observable_naming_update.m","unknown","observable_naming_update","BROKEN","COMPLEX",""
"analysis/observable_physics_completeness_audit.m","infrastructure","observable_physics_completeness_audit","BROKEN","MEDIUM","expects observables.csv; uses readtable"
"analysis/observable_physics_reduction.m","unknown","observable_physics_reduction","BROKEN","MEDIUM","uses readtable"
"analysis/phase_diagram_synthesis.m","unknown","phase_diagram_synthesis","WORKING","COMPLEX","uses readtable"
"analysis/query/list_all_runs.m","unknown","list_all_runs","PARTIAL","SIMPLE","uses readtable"
"analysis/query/query_system.m","infrastructure","query_system","PARTIAL","MEDIUM","uses readtable"
"analysis/query/start_query.m","unknown","start_query","PARTIAL","SIMPLE",""
"analysis/R_X_reconciliation_analysis.m","unknown","R_X_reconciliation_analysis","WORKING","MEDIUM","uses readtable"
"analysis/relaxation_aging_canonical_comparison.m","unknown","relaxation_aging_canonical_comparison","BROKEN","MEDIUM","expects observables.csv; uses readtable"
"analysis/relaxation_switching_bridge_visualization.m","unknown","relaxation_switching_bridge_visualization","BROKEN","MEDIUM","expects observables.csv; uses readtable"
"analysis/relaxation_switching_knee_comparison.m","unknown","relaxation_switching_knee_comparison","BROKEN","MEDIUM","expects observables.csv; uses readtable"
"analysis/relaxation_switching_motion_test.m","unknown","relaxation_switching_motion_test","BROKEN","MEDIUM","expects observables.csv; uses readtable"
"analysis/relaxation_tau_time_window_test.m","unknown","relaxation_tau_time_window_test","BROKEN","MEDIUM","expects observables.csv; uses readtable"
"analysis/relaxation_temperature_scaling_test.m","unknown","relaxation_temperature_scaling_test","BROKEN","MEDIUM","expects observables.csv; uses readtable"
"analysis/ridge_crossover_vs_relaxation.m","unknown","ridge crossover relaxation.m","WORKING","MEDIUM","expects observables.csv; reads config_snapshot; uses readtable"
"analysis/ridge_motion_relaxation_analysis.m","unknown","ridge_motion_relaxation_analysis","BROKEN","MEDIUM","expects observables.csv"
"analysis/ridge_relaxation_comparison.m","unknown","ridge_relaxation_comparison","BROKEN","MEDIUM","expects observables.csv; uses readtable"
"analysis/run_A_prediction_from_switching_agent24a.m","unknown","RUN_A_PREDICTION_FROM_SWITCHING_AGENT24A","WORKING","COMPLEX","uses innerjoin; uses readtable"
"analysis/run_agent24h_figures.m","infrastructure","RUN_AGENT24H_FIGURES â€” PNGs for experimental observable replacement survey (Agent 24H).","PARTIAL","MEDIUM","uses readtable"
"analysis/run_aging_alpha_closure_agent24f.m","unknown","RUN_AGING_ALPHA_CLOSURE_AGENT24F  Agent 24F â€” aging closure with alpha-residual term (LOOCV)","BROKEN","MEDIUM","uses innerjoin; uses readtable"
"analysis/run_aging_hermetic_closure_agent24i.m","unknown","RUN_AGING_HERMETIC_CLOSURE_AGENT24I  Agent 24I â€” hermetic closure: interaction / transition / |Î±_res| (LOOCV)","BROKEN","COMPLEX","uses innerjoin; uses readtable"
"analysis/run_aging_kappa1_prediction_agent24d.m","kappa1","RUN_AGING_KAPPA1_PREDICTION_AGENT24D  Agent 24D â€” predict aging R(T) from Îº1 only (LOOCV)","WORKING","COMPLEX","uses innerjoin; uses readtable"
"analysis/run_aging_kappa2_agent24g.m","kappa2","RUN_AGING_KAPPA2_AGENT24G  Agent 24G â€” aging R(T): does Îº2 add beyond spread90_50 + Îº1? (LOOCV)","WORKING","COMPLEX","uses innerjoin; uses readtable"
"analysis/run_aging_prediction_agent24b.m","unknown","RUN_AGING_PREDICTION_AGENT24B  Agent 24B â€” predict aging R(T) from PT + state + trajectory (LOOCV)","WORKING","COMPLEX","uses innerjoin; uses readtable"
"analysis/run_aging_R_vs_collective_state_agent23a.m","unknown","RUN_AGING_R_VS_COLLECTIVE_STATE_AGENT23A  Agent 23A â€” aging R(T) vs collective state (kappa manifold)","WORKING","MEDIUM","uses innerjoin; uses readtable"
"analysis/run_aging_vs_trajectory_agent23b.m","unknown","RUN_AGING_VS_TRAJECTORY_AGENT23B  Agent 23B â€” aging clock ratio R vs Îº trajectory","WORKING","MEDIUM","uses innerjoin; uses readtable"
"analysis/run_alpha_decomposition_agent21a.m","unknown","RUN_ALPHA_DECOMPOSITION_AGENT21A  Agent 21A â€” alpha = alpha_geom + alpha_res (PT geometry)","WORKING","MEDIUM","uses readtable"
"analysis/run_alpha_from_pt_agent20b.m","PT","RUN_ALPHA_FROM_PT_AGENT20B  Agent 20B â€” alpha = kappa2/kappa1 vs PT geometry (low-dim law)","WORKING","MEDIUM","uses readtable"
"analysis/run_alpha_res_collective_state_agent22b.m","unknown","RUN_ALPHA_RES_COLLECTIVE_STATE_AGENT22B  Agent 22B â€” alpha_res vs collective state (kappa manifold)","WORKING","MEDIUM","uses innerjoin; uses readtable"
"analysis/run_alpha_res_cross_experiment_correlation.m","cross-experiment","RUN_ALPHA_RES_CROSS_EXPERIMENT_CORRELATION  Agent A â€” alpha_res cross-experiment correlation","WORKING","MEDIUM","uses innerjoin; uses readtable"
"analysis/run_alpha_res_origin_test.m","unknown","RUN_ALPHA_RES_ORIGIN_TEST  Agent C â€” alpha_res predictability from PT geometry vs switching peaks","WORKING","SIMPLE","uses readtable"
"analysis/run_alpha_res_physics_agent21b.m","unknown","RUN_ALPHA_RES_PHYSICS_AGENT21B  Agent 21B â€” test whether alpha_res tracks physical state.","WORKING","MEDIUM","uses readtable"
"analysis/run_alpha_res_smoothed_state_agent22e.m","unknown","RUN_ALPHA_RES_SMOOTHED_STATE_AGENT22E  Agent 22E â€” smoothed kappa state â†’ predict alpha_res","WORKING","MEDIUM","uses innerjoin; uses readtable"
"analysis/run_alpha_res_trajectory_agent22d.m","unknown","RUN_ALPHA_RES_TRAJECTORY_AGENT22D  Agent 22D â€” Î±_res vs Îº trajectory (derivatives / curvature)","WORKING","MEDIUM","uses innerjoin; uses readtable"
"analysis/run_alpha_res_transition_agent22a.m","unknown","RUN_ALPHA_RES_TRANSITION_AGENT22A  Agent 22A â€” alpha_res as transition / regime coordinate.","WORKING","MEDIUM","uses readtable"
"analysis/run_alpha_structure_agent19f.m","unknown","RUN_ALPHA_STRUCTURE_AGENT19F  AGENT 19F â€” deformation ratio alpha = kappa2/kappa1","WORKING","MEDIUM","uses readtable"
"analysis/run_alpha_with_kappa1_agent21c.m","kappa1","RUN_ALPHA_WITH_KAPPA1_AGENT21C  Agent 21C â€” alpha = f(PT features, kappa1)","WORKING","MEDIUM","uses readtable"
"analysis/run_alternative_coordinate_search.m","unknown","RUN_ALTERNATIVE_COORDINATE_SEARCH Simple coordinate pool vs X for A, R, kappa (LOOCV).","WORKING","MEDIUM","uses innerjoin; reads config_snapshot; uses readtable"
"analysis/run_barrier_relaxation_mechanism_closure.m","unknown","RUN_BARRIER_RELAXATION_MECHANISM_CLOSURE","BROKEN","MEDIUM","uses readtable"
"analysis/run_barrier_to_relaxation_mechanism.m","unknown","RUN_BARRIER_TO_RELAXATION_MECHANISM","BROKEN","MEDIUM","expects observables.csv; uses readtable"
"analysis/run_deformation_closure_agent19e.m","unknown","run_deformation_closure_agent19e","BROKEN","MEDIUM","uses readtable"
"analysis/run_effective_collective_state_test.m","unknown","RUN_EFFECTIVE_COLLECTIVE_STATE_TEST  AGENT 19C â€” effective collective state (kappa1,kappa2)(T).","WORKING","MEDIUM","uses readtable"
"analysis/run_elastic_mode_phi_test.m","unknown","Elastic / interaction-induced Phi mode test from existing artifacts.","WORKING","SIMPLE","uses readtable"
"analysis/run_full_prediction_trajectory_agent23c.m","unknown","RUN_FULL_PREDICTION_TRAJECTORY_AGENT23C  Agent 23C â€” full residual model + trajectory correction","WORKING","MEDIUM","uses readtable"
"analysis/run_kappa1_from_pt_agent20a.m","kappa1","run_kappa1_from_pt_agent20a  Agent 20A: kappa1 ~ PT tail observables.","WORKING","SIMPLE",""
"analysis/run_kappa1_pt_vs_speak_test.m","kappa1","run_kappa1_pt_vs_speak_test","WORKING","MEDIUM","uses innerjoin; reads config_snapshot; uses readtable"
"analysis/run_kappa2_state_vs_geometry_test.m","kappa2","RUN_KAPPA2_STATE_VS_GEOMETRY_TEST Agent 19A â€” kappa2 vs PT geometry vs residual structure.","BROKEN","SIMPLE",""
"analysis/run_local_shift_agent19g.m","unknown","run_local_shift_agent19g","WORKING","MEDIUM",""
"analysis/run_mode_coupling_agent_e.m","unknown","RUN_MODE_COUPLING_AGENT_E  Agent E â€” Îºâ‚/Î± mode coupling vs PT residual structure","WORKING","SIMPLE","uses innerjoin; uses readtable"
"analysis/run_nonlinear_response_agent19h.m","unknown","RUN_NONLINEAR_RESPONSE_AGENT19H  Agent 19H â€” nonlinear response to backbone (S_CDF)","WORKING","MEDIUM","uses readtable"
"analysis/run_perturbative_closure_test.m","unknown","RUN_PERTURBATIVE_CLOSURE_TEST","BROKEN","SIMPLE",""
"analysis/run_pt_to_phi_prediction.m","PT","RUN_PT_TO_PHI_PREDICTION Read-only audit: barrier/PT descriptors vs kappa(T).","PARTIAL","MEDIUM","uses innerjoin; uses readtable"
"analysis/run_residual_shape_consistency.m","unknown","RUN_RESIDUAL_SHAPE_CONSISTENCY  Agent B â€” compare Phi2 (switching) vs alpha_res-implied x-shape","WORKING","MEDIUM","uses readtable"
"analysis/run_transition_driver_comparison.m","unknown","RUN_TRANSITION_DRIVER_COMPARISON  Agent D â€” compare drivers of PT+kappa1+alpha aging residual near 22â€“24 K","PARTIAL","COMPLEX","uses innerjoin; uses readtable"
"analysis/run_unified_barrier_mechanism.m","unknown","RUN_UNIFIED_BARRIER_MECHANISM Build a unified barrier mechanism map.","BROKEN","MEDIUM","expects observables.csv; uses readtable"
"analysis/simple_switching_observable_search_vs_relaxation.m","unknown","simple_switching_observable_search_vs_relaxation","BROKEN","MEDIUM","expects observables.csv; uses readtable"
"analysis/switching_a1_amplitude_response_test.m","unknown","switching_a1_amplitude_response_test","WORKING","MEDIUM",""
"analysis/switching_a1_integral_consistency_test.m","unknown","switching_a1_integral_consistency_test","WORKING","MEDIUM","expects observables.csv; uses readtable"
"analysis/switching_a1_model_scan.m","unknown","switching_a1_model_scan","WORKING","MEDIUM","expects observables.csv; uses readtable"
"analysis/switching_a1_single_derivative_scan.m","unknown","switching_a1_single_derivative_scan","WORKING","MEDIUM","expects observables.csv; uses readtable"
"analysis/switching_a1_static_vs_dynamic_test.m","unknown","switching_a1_static_vs_dynamic_test","WORKING","MEDIUM","expects observables.csv; uses readtable"
"analysis/switching_a1_vs_dX_test.m","unknown","switching_a1_vs_dX_test","WORKING","MEDIUM","expects observables.csv; uses readtable"
"analysis/switching_a1_vs_geometry_deformation_test.m","unknown","switching_a1_vs_geometry_deformation_test","BROKEN","MEDIUM",""
"analysis/switching_a1_vs_logdS_test.m","unknown","switching_a1_vs_logdS_test","WORKING","MEDIUM",""
"analysis/switching_a1_vs_mobility_test.m","unknown","switching_a1_vs_mobility_test","WORKING","MEDIUM",""
"analysis/switching_activation_signature_test.m","unknown","switching_activation_signature_test","WORKING","MEDIUM",""
"analysis/switching_barrier_distribution_from_map.m","unknown","switching_barrier_distribution_from_map","BROKEN","MEDIUM","uses readtable"
"analysis/switching_barrier_projection.m","unknown","switching_barrier_projection","BROKEN","MEDIUM","expects observables.csv; uses readtable"
"analysis/switching_chi_shift_shape_decomposition.m","unknown","switching_chi_shift_shape_decomposition","WORKING","MEDIUM","expects observables.csv; uses readtable"
"analysis/switching_composite_observable_scan.m","unknown","switching_composite_observable_scan","BROKEN","MEDIUM","expects observables.csv; uses readtable"
"analysis/switching_creep_barrier_analysis.m","unknown","switching_creep_barrier_analysis","BROKEN","MEDIUM","uses readtable"
"analysis/switching_creep_scaling_test.m","unknown","switching_creep_scaling_test","WORKING","MEDIUM","uses readtable"
"analysis/switching_dynamical_susceptibility.m","unknown","switching_dynamical_susceptibility","WORKING","MEDIUM","uses readtable"
"analysis/switching_joule_heating_null_test.m","unknown","switching_joule_heating_null_test","WORKING","MEDIUM","expects observables.csv; reads config_snapshot; uses readtable"
"analysis/switching_observable_summary.m","unknown","switching_observable_summary","BROKEN","SIMPLE",""
"analysis/switching_relaxation_bridge_robustness_audit.m","infrastructure","switching_relaxation_bridge_robustness_audit","BROKEN","MEDIUM","expects observables.csv; uses readtable"
"analysis/switching_relaxation_observable_comparison.m","unknown","switching_relaxation_observable_comparison","BROKEN","MEDIUM","expects observables.csv; uses readtable"
"analysis/switching_ridge_motion_decomposition.m","unknown","switching_ridge_motion_decomposition","WORKING","MEDIUM","uses readtable"
"analysis/switching_ridge_temperature_susceptibility_test.m","unknown","switching_ridge_temperature_susceptibility_test","WORKING","MEDIUM",""
"analysis/switching_shape_sector_vs_collapse_asymmetry.m","unknown","switching_shape_sector_vs_collapse_asymmetry","WORKING","MEDIUM","expects observables.csv; uses readtable"
"analysis/switching_susceptibility_ridge_motion_test.m","unknown","switching_susceptibility_ridge_motion_test","WORKING","MEDIUM","expects observables.csv; uses readtable"
"analysis/switching_threshold_residual_structure_test.m","unknown","switching_threshold_residual_structure_test","WORKING","MEDIUM","uses readtable"
"analysis/switching_width_dynamics_analysis.m","unknown","switching_width_dynamics_analysis","WORKING","MEDIUM","expects observables.csv; uses readtable"
"analysis/switching_width_relaxation_correlation.m","unknown","switching_width_relaxation_correlation","BROKEN","MEDIUM","expects observables.csv; uses readtable"
"analysis/switching_width_roughness_competition_test.m","unknown","switching_width_roughness_competition_test","WORKING","MEDIUM","uses readtable"
"analysis/unified_crossover_map.m","unknown","unified_crossover_map","WORKING","MEDIUM","expects observables.csv; uses readtable"
"analysis/unified_dynamical_crossover_synthesis.m","unknown","unified_dynamical_crossover_synthesis","WORKING","MEDIUM","expects observables.csv; uses readtable"
"GenerateREADME.m","unknown","GenerateREADME.m","PARTIAL","MEDIUM",""
"repo_state_generator.m","unknown","REPO_STATE_GENERATOR Incrementally update observable definitions from known runs.","WORKING","SIMPLE","expects observables.csv; uses readtable"
"repo_state_validator.m","unknown","REPO_STATE_VALIDATOR Validate docs/repo_state.json against repository state.","WORKING","MEDIUM","expects observables.csv"
"results/aging/runs/run_2026_03_09_014130_MG119_3sec/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_09_014130_MG119_3sec","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_09_124648_geometry_visualization/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_09_124648_geometry_visualization","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_09_130918_geometry_visualization/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_09_130918_geometry_visualization","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_09_140848_geometry_visualization/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_09_140848_geometry_visualization","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_09_141328_geometry_visualization/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_09_141328_geometry_visualization","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_10_112842_geometry_visualization/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_112842_geometry_visualization","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_10_145239_geometry_visualization/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_145239_geometry_visualization","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_10_150549_geometry_visualization/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_150549_geometry_visualization","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_10_171522_observable_mode_correlation/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_171522_observable_mode_correlation","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_10_200643_observable_mode_correlation/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_200643_observable_mode_correlation","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_10_215702_tp_27_structured_export/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_215702_tp_27_structured_export","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_10_220156_tp_27_structured_export/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_220156_tp_27_structured_export","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_10_220738_tp_30_structured_export/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_220738_tp_30_structured_export","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_10_222534_MG119_3sec/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_222534_MG119_3sec","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_10_222604_MG119_36sec/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_222604_MG119_36sec","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_10_222613_MG119_6min/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_222613_MG119_6min","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_10_222624_MG119_60min/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_222624_MG119_60min","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_10_223913_tp_6_structured_export/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_223913_tp_6_structured_export","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_10_224229_tp_10_structured_export/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_224229_tp_10_structured_export","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_10_225135_tp_14_structured_export/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_225135_tp_14_structured_export","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_10_225902_tp_18_structured_export/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_225902_tp_18_structured_export","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_10_231114_tp_22_structured_export/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_231114_tp_22_structured_export","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_10_231719_tp_26_structured_export/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_231719_tp_26_structured_export","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_10_232934_tp_34_structured_export/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_232934_tp_34_structured_export","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_10_235137_tp_sweep_summary/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_10_235137_tp_sweep_summary","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_11_011643_observable_identification_audit/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_011643_observable_identification_audit","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_11_030129_aging_shape_collapse_analysis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_030129_aging_shape_collapse_analysis","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_11_030129_aging_shape_collapse_analysis_01/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_030129_aging_shape_collapse_analysis_01","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_11_082451_aging_shape_collapse_analysis/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_11_082451_aging_shape_collapse_analysis","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_12_211204_aging_dataset_build/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_211204_aging_dataset_build","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_12_213819_aging_log_time_scaling_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_213819_aging_log_time_scaling_test","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_12_213923_aging_component_clock_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_213923_aging_component_clock_test","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_12_213929_aging_timescale_extraction/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_213929_aging_timescale_extraction","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_12_214012_aging_log_time_scaling_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_214012_aging_log_time_scaling_test","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_12_214126_aging_timescale_extraction/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_214126_aging_timescale_extraction","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_12_214127_aging_component_clock_test/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_214127_aging_component_clock_test","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_12_222238_aging_time_rescaling_collapse/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_222238_aging_time_rescaling_collapse","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_12_223427_aging_timescale_extraction/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_223427_aging_timescale_extraction","PARTIAL","SIMPLE",""
"results/aging/runs/run_2026_03_12_223709_aging_timescale_extraction/config_snapshot.m","infrastructure","Auto-generated config snapshot for run_2026_03_12_223709_aging_timescale_extraction","PARTIAL","SIMPLE",""
