artifact_path,original_classification,action_taken,new_location
reports/aging_alpha_closure_report.md,invalid,ARCHIVED,archive/invalid/reports/aging_alpha_closure_report.md
tables/aging_hermetic_closure_models.csv,invalid,ARCHIVED,archive/invalid/tables/aging_hermetic_closure_models.csv
tables/aging_hermetic_closure_residuals.csv,invalid,ARCHIVED,archive/invalid/tables/aging_hermetic_closure_residuals.csv
reports/aging_hermetic_closure_report.md,invalid,ARCHIVED,archive/invalid/reports/aging_hermetic_closure_report.md
tables/aging_kappa1_kappa2_models.csv,invalid,ARCHIVED,archive/invalid/tables/aging_kappa1_kappa2_models.csv
tables/aging_kappa1_kappa2_status.csv,invalid,ARCHIVED,archive/invalid/tables/aging_kappa1_kappa2_status.csv
tables/aging_kappa1_loocv.csv,invalid,ARCHIVED,archive/invalid/tables/aging_kappa1_loocv.csv
tables/aging_kappa1_models.csv,invalid,ARCHIVED,archive/invalid/tables/aging_kappa1_models.csv
reports/aging_kappa1_prediction.md,invalid,ARCHIVED,archive/invalid/reports/aging_kappa1_prediction.md
tables/aging_kappa2_best_model.csv,invalid,ARCHIVED,archive/invalid/tables/aging_kappa2_best_model.csv
tables/aging_kappa2_master_table.csv,invalid,ARCHIVED,archive/invalid/tables/aging_kappa2_master_table.csv
tables/aging_kappa2_models.csv,invalid,ARCHIVED,archive/invalid/tables/aging_kappa2_models.csv
tables/aging_kappa2_residuals.csv,invalid,ARCHIVED,archive/invalid/tables/aging_kappa2_residuals.csv
reports/aging_kappa2_report.md,invalid,ARCHIVED,archive/invalid/reports/aging_kappa2_report.md
tables/aging_kappa_comparison.csv,invalid,ARCHIVED,archive/invalid/tables/aging_kappa_comparison.csv
tables/aging_kappa_comparison_status.csv,invalid,ARCHIVED,archive/invalid/tables/aging_kappa_comparison_status.csv
reports/aging_kappa_comparison.md,invalid,ARCHIVED,archive/invalid/reports/aging_kappa_comparison.md
tables/aging_meta_audit_model_ranking.csv,invalid,ARCHIVED,archive/invalid/tables/aging_meta_audit_model_ranking.csv
tables/aging_meta_audit_result_inventory.csv,invalid,ARCHIVED,archive/invalid/tables/aging_meta_audit_result_inventory.csv
reports/aging_meta_audit_verdict_summary.md,invalid,ARCHIVED,archive/invalid/reports/aging_meta_audit_verdict_summary.md
reports/aging_meta_audit_latest_results.md,invalid,ARCHIVED,archive/invalid/reports/aging_meta_audit_latest_results.md
tables/aging_model_comparison_strict.csv,invalid,ARCHIVED,archive/invalid/tables/aging_model_comparison_strict.csv
tables/aging_prediction_ablation.csv,invalid,ARCHIVED,archive/invalid/tables/aging_prediction_ablation.csv
tables/aging_prediction_best_model.csv,invalid,ARCHIVED,archive/invalid/tables/aging_prediction_best_model.csv
tables/aging_prediction_models.csv,invalid,ARCHIVED,archive/invalid/tables/aging_prediction_models.csv
reports/aging_prediction_report.md,invalid,ARCHIVED,archive/invalid/reports/aging_prediction_report.md
tables/aging_relaxation_confusion_audit.csv,invalid,ARCHIVED,archive/invalid/tables/aging_relaxation_confusion_audit.csv
tables/aging_relaxation_confusion_audit_status.csv,invalid,ARCHIVED,archive/invalid/tables/aging_relaxation_confusion_audit_status.csv
reports/aging_relaxation_confusion_audit.md,invalid,ARCHIVED,archive/invalid/reports/aging_relaxation_confusion_audit.md
reports/integrity_invalid_artifacts_audit.md,invalid,ARCHIVED,archive/invalid/reports/integrity_invalid_artifacts_audit.md
tables/integrity_invalid_artifacts_audit.csv,invalid,ARCHIVED,archive/invalid/tables/integrity_invalid_artifacts_audit.csv
tables/integrity_invalid_artifacts_status.csv,invalid,ARCHIVED,archive/invalid/tables/integrity_invalid_artifacts_status.csv
reports/io_consistency_20260327_151634.md,invalid,ARCHIVED,archive/invalid/reports/io_consistency_20260327_151634.md
reports/io_consistency_20260327_151752.md,invalid,ARCHIVED,archive/invalid/reports/io_consistency_20260327_151752.md
reports/io_consistency_20260327_151818.md,invalid,ARCHIVED,archive/invalid/reports/io_consistency_20260327_151818.md
reports/io_consistency_20260327_151857.md,invalid,ARCHIVED,archive/invalid/reports/io_consistency_20260327_151857.md
reports/io_consistency_20260327_151919.md,invalid,ARCHIVED,archive/invalid/reports/io_consistency_20260327_151919.md
reports/io_consistency_20260327_151934.md,invalid,ARCHIVED,archive/invalid/reports/io_consistency_20260327_151934.md
reports/io_consistency_20260327_154227.md,invalid,ARCHIVED,archive/invalid/reports/io_consistency_20260327_154227.md
reports/io_consistency_20260327_155921.md,invalid,ARCHIVED,archive/invalid/reports/io_consistency_20260327_155921.md
reports/io_consistency_20260327_161503.md,invalid,ARCHIVED,archive/invalid/reports/io_consistency_20260327_161503.md
tables/estimator_design_status.csv,partial,ISOLATED,ACTIVE (MARKED)
tables/estimator_design_width_comparison.csv,partial,ISOLATED,ACTIVE (MARKED)
tables/estimator_design_width_comparison_local_20260329_222628.csv,partial,ISOLATED,ACTIVE (MARKED)
tables/estimator_design_kappa1_comparison.csv,partial,ISOLATED,ACTIVE (MARKED)
tables/estimator_design_kappa1_comparison_local_20260329_222628.csv,partial,ISOLATED,ACTIVE (MARKED)
reports/estimator_design_proposal.md,partial,ISOLATED,ACTIVE (MARKED)
reports/estimator_design_proposal_local_20260329_222628.md,partial,ISOLATED,ACTIVE (MARKED)
tables/global_physics_stability_status.csv,partial,ISOLATED,ACTIVE (MARKED)
reports/global_physics_stability_summary.md,partial,ISOLATED,ACTIVE (MARKED)
tables/kappa2_kww_shape_test_status.csv,partial,ISOLATED,ACTIVE (MARKED)
reports/kappa2_kww_shape_test.md,partial,ISOLATED,ACTIVE (MARKED)
reports/relaxation_outlier_audit.md,canonical,PROTECTED,ACTIVE
tables/relaxation_outlier_audit_status.csv,canonical,PROTECTED,ACTIVE
