"a","b","c","source","pearson_A","spearman_A","deltaT_peak","loo_min_pearson","loo_min_spearman","beta","power_r2","resid_rms","resid_corr_T","resid_sign_changes","corr_R_pearson","corr_R_spearman","R_overlap_n","perturb_sens_0p05","score_final"
"0.9","0.5","0.95","computed_refine_extension","0.988294528113722","1","0","0.986757816779148","1","0.842733627966183","0.973820497009642","0.000114345814548775","0.203177436137734","4","0.857480374674764","1","4","0.000360408352487562","0.979632484507549"
"0.85","0.5","0.9","computed_refine_extension","0.988224612410406","1","0","0.986688623319268","1","0.879653589327476","0.973750283151143","0.000114499050551809","0.185479871356378","5","0.857914390392394","1","4","0.000393642204328493","0.979629487268"
"0.95","0.5","1","computed_refine_extension","0.988114243356183","1","0","0.986514988783669","1","0.808692766526326","0.973645287906931","0.000114727812225413","0.218874216257174","4","0.857250165644565","1","4","0.000396251438416573","0.97951007168883"
"1.15","0.9","1.15","computed_refine_extension","0.983450508514884","0.995604395604396","0","0.98084340884482","0.994505494505495","0.639217568474786","0.967013452981361","0.000128353584673972","0.10574954551857","5","0.901522055877843","1","4","0.000882214999635071","0.978847118436389"
"1.15","0.9","1.1","computed_refine_extension","0.983618837208272","0.995604395604396","0","0.981010009464745","0.994505494505495","0.664457768936365","0.96594050686926","0.000130424344945472","0.114955161067141","5","0.902150295283255","1","4","0.000802978228300777","0.978777050997503"
"1.15","0.9","1.05","computed_refine_extension","0.983566742494076","0.995604395604396","0","0.980920111941821","0.994505494505495","0.691722220799534","0.964666985002667","0.000132840322953","0.124748839306585","5","0.902875598248591","1","4","0.000792226792080057","0.978594765136109"
"1.1","0.9","1.15","computed_refine_extension","0.982483993277847","0.995604395604396","0","0.979808864626787","0.994505494505495","0.634816411918579","0.96617101247619","0.000129982257022331","0.0830105299690606","5","0.9011974223022","1","4","0.0010591465436217","0.978312158749035"
"1.15","0.9","1","computed_refine_extension","0.983267922859387","0.995604395604396","0","0.980544117384645","0.994505494505495","0.721257118317192","0.963152509550384","0.00013565741318577","0.135158635764238","5","0.903689032821882","1","4","0.000840525078204183","0.978282554819551"
"1.1","0.9","1.1","computed_refine_extension","0.982717956500632","0.995604395604396","0","0.98004609338531","0.994505494505495","0.659738701379823","0.965158646944062","0.000131912842901507","0.0914357386786024","5","0.901840046896011","1","4","0.000974347689905453","0.978278424832797"
"1.1","0.9","1.05","computed_refine_extension","0.982743386758839","0.995604395604396","0","0.980039300766796","0.994505494505495","0.686651169773754","0.963961122493695","0.000134160664821728","0.100452638962682","5","0.902587320976633","1","4","0.000946469808908001","0.978140170053015"
"1.1","0.9","1","computed_refine_extension","0.982535934174515","0.995604395604396","0","0.97976089132506","0.994505494505495","0.715795329086638","0.962541673841993","0.000136777215230745","0.110098468856482","5","0.903432858915426","1","4","0.000991419321898298","0.97788123453824"
"1.15","0.9","0.95","computed_refine_extension","0.982691058329577","0.995604395604396","0","0.979846827004017","0.994505494505495","0.753348685343372","0.961346950052094","0.000138941331938728","0.146212837026496","5","0.904573783244901","1","4","0.000892391450256362","0.977818498760555"
"1.05","0.9","1.15","computed_refine_extension","0.98128303138656","0.995604395604396","0","0.978516667403604","0.994505494505495","0.630376509447874","0.965018621297539","0.000132177652646338","0.0613669025697473","5","0.900859224082428","1","4","0.00123023534911426","0.977633892251479"
"1.05","0.9","1.1","computed_refine_extension","0.981569685967404","0.995604395604396","0","0.978811174581313","0.994505494505495","0.654974608322906","0.964039690070358","0.000134014344650359","0.0689757803827441","5","0.901513370610072","1","4","0.00115643122784181","0.977626810171606"
"1.05","0.9","1.05","computed_refine_extension","0.981658217292122","0.995604395604396","0","0.978872704198749","0.994505494505495","0.681527462258436","0.962887365628171","0.000136144614142471","0.0771630894078725","5","0.9022790511291","1","4","0.00111587207752249","0.977521685843228"
"1.1","0.9","0.95","computed_refine_extension","0.982066680244394","0.995604395604396","0","0.979178122885714","0.994505494505495","0.747451999830829","0.96085475454198","0.000139823150743386","0.120411983999226","5","0.904363315851019","1","4","0.00104882531425841","0.977481649116833"
"1.05","0.9","1","computed_refine_extension","0.981525973705156","0.995604395604396","0","0.978675426831266","0.994505494505495","0.710271534277745","0.961527828397072","0.000138615860234523","0.0859729108069162","5","0.903152217173145","1","4","0.00114507321768505","0.977303683616626"
"1.15","0.9","0.9","computed_refine_extension","0.981798445584763","0.995604395604396","0","0.978785927121644","0.994505494505495","0.788331203491587","0.959187601721332","0.00014276956358331","0.15794078025584","5","0.905501273010105","1","4","0.000948637808257861","0.977175147553454"
"1.05","0.9","0.95","computed_refine_extension","0.981146127453388","0.995604395604396","0","0.978188767885399","0.994505494505495","0.741481753454896","0.95991929512445","0.000141483973809197","0.0954523010806224","5","0.904122711689975","1","4","0.00120820983395868","0.97695451188518"
"1.1","0.9","0.9","computed_refine_extension","0.981300904791888","0.995604395604396","0","0.978251721846506","0.994505494505495","0.781949248303797","0.958843519869718","0.000143370132433687","0.131434069774939","5","0.905354889219126","1","4","0.00111105854308589","0.976916453104166"
"1","0.9","1.1","computed_refine_extension","0.980176808785265","0.995604395604396","0","0.977303849735954","0.994505494505495","0.650171222923134","0.962594184103461","0.000136681312304767","0.0478292892461849","5","0.901171297558623","1","4","0.00133179678720321","0.97682461003614"
"1","0.9","1.15","computed_refine_extension","0.979849943246877","0.995604395604396","0","0.976965190850568","0.994505494505495","0.625902747172672","0.963565739084101","0.00013489459728821","0.0410370532063386","5","0.90050831699054","1","4","0.00139540907630945","0.976814380486559"
"1","0.9","1.05","computed_refine_extension","0.980314549037953","0.995604395604396","0","0.977419176603262","0.994505494505495","0.676357868450463","0.961457516059971","0.000138742470659421","0.0551735708867598","5","0.901952040350492","1","4","0.00128280409013716","0.976742110179345"
"1","0.9","1","computed_refine_extension","0.98024197059908","0.995604395604396","0","0.977286876961801","0.994505494505495","0.704693784062071","0.960124224697714","0.000141121811930288","0.0631181972122451","5","0.902848638965849","1","4","0.00130099432755754","0.976553157970296"
"1.05","0.9","0.9","computed_refine_extension","0.98048655733072","0.995604395604396","0","0.977376139341939","0.994505494505495","0.775479313347809","0.958009763655808","0.000144815061631286","0.105651891794342","5","0.905171119119787","1","4","0.0012766640849378","0.976451356174014"
"1","0.9","0.95","computed_refine_extension","0.979934042385866","0.995604395604396","0","0.976878262400282","0.994505494505495","0.735447590059335","0.95855550569552","0.000143870911899066","0.0717157736465389","5","0.903853860208956","1","4","0.00136999286774977","0.976240877638686"
"1","0.9","0.9","computed_refine_extension","0.979360878713251","0.995604395604396","0","0.976159085171751","0.994505494505495","0.768933045509664","0.956703225684876","0.000147050784179278","0.0810239230829074","5","0.904952314797567","1","4","0.00144483120647733","0.975784274218388"
"0.95","0.9","1","computed_refine_extension","0.978688291670207","0.995604395604396","0","0.975595107976872","0.994505494505495","0.699069741805434","0.958344602310247","0.000144236513633046","0.0417830027017774","5","0.902523577912979","1","4","0.00145868957694904","0.975633185269788"
"0.95","0.9","0.95","computed_refine_extension","0.978435551004374","0.995604395604396","0","0.975246902291918","0.994505494505495","0.729358676526607","0.95677892013871","0.000146922185707509","0.049494424317392","5","0.903558553148937","1","4","0.0015336232063472","0.97534484747085"
"0.95","0.9","0.9","computed_refine_extension","0.977929882339464","0.995604395604396","0","0.97460135757425","0.994505494505495","0.762321498605266","0.954941543859559","0.000150012596277874","0.0578898565395674","5","0.904700704600271","1","4","0.00161493961594522","0.974919983087154"
"0.95","0.9","1.1","computed_refine_extension","0.978542472874847","0.986813186813187","0","0.975523297804301","0.983516483516483","0.645334018029858","0.960833009064607","0.000139861981755739","0.0281719465993004","5","0.900814808476215","1","4","0.00150039544039547","0.973412902482001"
"0.95","0.9","1.15","computed_refine_extension","0.97818738461902","0.986813186813187","0","0.975153338206174","0.983516483516483","0.621399795402519","0.961822102950677","0.000138084704576944","0.0221668202682767","5","0.900145515760464","1","4","0.00155461019372249","0.97339433780964"
"0.95","0.9","1.05","computed_refine_extension","0.978716095452248","0.986813186813187","0","0.975678215243326","0.983516483516483","0.671148842391319","0.959683776319973","0.00014189905294256","0.0346939805545331","5","0.901607477927442","1","4","0.00144701063349536","0.973342942208544"
"0.9","0.9","1.1","computed_refine_extension","0.976670179353338","0.986813186813187","0","0.973469298390398","0.983516483516483","0.640468210168055","0.958767322436494","0.000143502789360814","0.0101035712801969","5","0.900444836037534","1","4","0.00166219622301187","0.972317584650081"
"0.9","0.9","1.15","computed_refine_extension","0.976298338209506","0.986813186813187","0","0.973080561658457","0.983516483516483","0.616872111976483","0.959797682459567","0.000141698456203364","0.00483370078446558","5","0.899771595961673","1","4","0.00170779589135648","0.972299277954144"
"0.9","0.9","1.05","computed_refine_extension","0.976866953049341","0.986813186813187","0","0.97364997720689","0.983516483516483","0.665906526736708","0.957578682845143","0.000145556514818291","0.0158506306571032","5","0.901246493725222","1","4","0.00160916968018558","0.972250523416546"
"0.9","0.9","1","computed_refine_extension","0.976869721049379","0.986813186813187","0","0.973600714232937","0.983516483516483","0.693406689773922","0.95620310621778","0.000147897634848156","0.0221247804151711","5","0.902178413589264","1","4","0.00161859077143495","0.972086009422153"
"0.9","0.9","0.95","computed_refine_extension","0.976656236268506","0.986813186813187","0","0.973295790969555","0.983516483516483","0.723223709582351","0.954605569369346","0.000150570835584626","0.0289819106014124","5","0.903238489243699","1","4","0.00169855394099518","0.97180927222345"
"1","1","1","reused_stability_27","0.97506","0.98681","0","0.97164","0.98352","0.68008962729381","0.952742971916874","0.000153628849046474","0.0364849158008101","5","0.911179364119205","1","4","0.00168132668685124","0.971529254355405"
"0.9","0.9","0.9","computed_refine_extension","0.976200085069822","0.986813186813187","0","0.972700570476502","0.983516483516483","0.755655141437567","0.952742971916874","0.000153628849046474","0.0364849158008032","5","0.904418399110415","1","4","0.00178637597548405","0.97140155918703"
"2","2","2","computed_coarse_extension","0.939705372145527","0.986813186813187","0","0.93349246840422","0.983516483516483","0.340044813646905","0.952742971916874","0.000153628849046474","0.0364849158008106","5","0.961098053115579","1","4","0.00205895921270246","0.962107281027695"
"1.25","1.5","1.75","computed_coarse_extension","0.944200981816678","0.986813186813187","0","0.937922727590482","0.983516483516483","0.390022033105063","0.949404312008887","0.000158963101181754","-0.0306396781454138","3","0.939557832834074","1","4","0.00245263750979533","0.961472024740956"
"2","0.5","2","computed_coarse_extension","0.951306881240434","0.982417582417582","0","0.946510610294572","0.978021978021978","0.445678920375727","0.956152518006298","0.000147983025807638","0.338839261431703","4","0.873425103133167","1","4","0.00156590684867645","0.958904852934104"
"2","2","0.5","computed_coarse_extension","0.90806599285882","0.951648351648352","2","0.892130617660714","0.93956043956044","0.810891359609595","0.819260847784591","0.000300445493535419","0.274573944246904","3","0.825150681219126","0.8","4","0.0031268773467608","0.88582010941644"
"0.5","1","0.5","reused_stability_27","0.92315","0.94286","4","0.91073","0.92857","0.984364742059129","0.851447234054248","0.000272382966300331","-0.0257189619501443","3","0.922925727878675","1","4","0.00537013844358616","0.882655988019516"
"0.5","2","0.5","computed_coarse_extension","0.792400582353981","0.92967032967033","4","0.752809283182792","0.912087912087912","0.60879782592855","0.693283218871362","0.000391388754109693","0.00638322688315833","4","0.941527272916654","0.8","4","0.00583836318938376","0.801925280919586"
