path,classification,purpose,rf_family_scope,durable_artifacts_detected,corresponding_report_table_exists,visualization_rule_compliance,fig_export_risk,pdf_export_risk,mixed_rf3r_rf3r2_risk,safe_focused_commit,proposed_commit_group,notes
Relaxation ver3/run_relaxation_RF5A_RF3R2_primary_rank1_and_m0.m,KEEP_CANONICAL_SOURCE,RF5A primary rank1 and m0 extraction on RF3R2 object with status gates,RF3R2,YES,YES,NOT_VISUALIZATION,NO,NO,NO,YES,G1_RF3R2_REPAIRED_REPLAY_CORE,Core RF3R2 analysis producer with governed tables/reports.
Relaxation ver3/run_relaxation_canonical_visualization_inventory_and_plan.m,KEEP_VISUALIZATION_SOURCE,Inventory and planning script for canonical visualization sets and conventions,RF3R2,YES,YES,PNG_ONLY_COMPLIANT,NO,NO,NO,YES,G5_RF3R2_VISUALIZATION_PNG_ONLY,Planning/inventory with caveated collapse readiness logic.
Relaxation ver3/run_relaxation_collapse_RF3R2_narrow_replay.m,KEEP_DIAGNOSTIC_SOURCE,Narrow replay of collapse on RF3R2 with caveats and quality comparisons,RF3R2,YES,YES,PNG_ONLY_COMPLIANT,NO,NO,NO,PARTIAL,G6_RF3R2_TAU_COLLAPSE_NARROW_REPLAY,High-impact diagnostic script; safe only with tau/collapse caveat preserved in commit narrative.
Relaxation ver3/run_relaxation_linear_time_map_RF3R2.m,KEEP_VISUALIZATION_SOURCE,Build linear-time RF3R2 DeltaM maps and sanity figures,RF3R2,YES,YES,PNG_ONLY_COMPLIANT,NO,NO,NO,YES,G5_RF3R2_VISUALIZATION_PNG_ONLY,Visualization-only with explicit no-log/no-smoothing constraints.
Relaxation ver3/run_relaxation_linear_trace_visualization_sanity.m,KEEP_VISUALIZATION_SOURCE,Linear-time trace sanity visualization for RF3R2 raw DeltaM,RF3R2,YES,YES,PNG_ONLY_COMPLIANT,NO,NO,NO,YES,G5_RF3R2_VISUALIZATION_PNG_ONLY,Readability/sanity visualization source with policy-aligned constraints.
Relaxation ver3/run_relaxation_positive_display_leftanchored_compact_RF3R2.m,TEMP_OR_OBSOLETE_BLOCKED,Positive-display compact left-anchored publication refinement,RF3R2,YES,YES,VIOLATES_PNG_ONLY_PREF,YES,NO,NO,NO,G7_BLOCKED_FIG_EXPORT_VARIANTS,Writes .fig outputs and therefore conflicts with current default PNG-only visualization preference.
Relaxation ver3/run_relaxation_positive_display_map_RF3R2.m,KEEP_VISUALIZATION_SOURCE,Generate positive-display map/traces from RF3R2 using display-only transform,RF3R2,YES,YES,PNG_ONLY_COMPLIANT,NO,NO,NO,YES,G5_RF3R2_VISUALIZATION_PNG_ONLY,Visualization source appears policy-compatible and keeps transform caveat explicit.
Relaxation ver3/run_relaxation_positive_display_publication_fix_RF3R2.m,TEMP_OR_OBSOLETE_BLOCKED,Publication style repair and colormap linkage pass for positive display outputs,RF3R2,YES,YES,VIOLATES_PNG_ONLY_PREF,YES,NO,NO,NO,G7_BLOCKED_FIG_EXPORT_VARIANTS,Exports FIG via savefig/local_export_all; block for focused commit unless FIG export policy is explicitly requested.
Relaxation ver3/run_relaxation_positive_display_publication_style_RF3R2.m,KEEP_VISUALIZATION_SOURCE,Publication readability pass for positive display visuals with PNG outputs,RF3R2,YES,YES,PNG_ONLY_COMPLIANT,NO,NO,NO,YES,G5_RF3R2_VISUALIZATION_PNG_ONLY,Style-oriented but compliant with PNG-only export behavior.
Relaxation ver3/run_relaxation_tau_RF3R2_narrow_replay.m,KEEP_DIAGNOSTIC_SOURCE,Narrow replay of tau on RF3R2 with old-vs-canonical comparison and caveats,RF3R2,YES,YES,PNG_ONLY_COMPLIANT,NO,NO,NO,PARTIAL,G6_RF3R2_TAU_COLLAPSE_NARROW_REPLAY,High-impact diagnostic script; keep caveated readiness semantics in commit scope.
